"","criteria","design"
"1","EXACT-I","-1 1 -1 1 0 0 0 0"
"2","ROBUST-I","1 1 0.000122048935054777 -0.000255944987946809 0.228832173974797 -1 -1 -0.228764771524726"
"3","EXACT-G","-1 1 -1 1 0 0 -0.732051 0.732051"
"4","ROBUST-G","0.732041929968023 -1 -0.732059675541006 1 -5.61271529390723e-05 0.999999999980903 -1 -9.40733838252254e-05"
"5","CCD","-1 1 0 0 0 0 0 0"
