nPsoRun,n_iter,S,fgbest,optDes
14,259,300,-59.000944055782206,[0.7320435357897979; 0.000305356986543058; 0.9999997969471732; 0.9999997627699855; -0.0004210223410988492; -0.9999994066749863; -0.7320580817950803; -1.0]
15,398,300,-59.00073752730348,[-0.9999999762251874; 0.0007706933141143653; 1.0; -0.7318468967535642; -1.0; 0.7322474033307417; 0.002613201155093473; 1.0]
16,893,300,-59.00099145890187,[-0.99999999964629; 0.9999999977472395; -0.7320101460348551; 2.7872697642035402e-5; 0.0006591315312068901; 0.999999999980202; 0.732091083613783; -1.0]
17,577,300,-59.0008622356105,[-0.7318314819987249; 0.7322664692563049; -1.0; 1.0; 0.001904768191623516; -1.0; 0.9999999999999988; 0.0017805022051534888]
18,568,300,-58.99487992333045,[0.012385978371707075; 0.9999987083239946; 1.0; 0.733437514485073; -1.0; 0.012424681731596101; -0.7305027890291861; -1.0]
19,305,300,-59.00073991625531,[1.0; -1.0; -0.0026274005919899807; 0.7317466310160425; -0.002460307703441425; -0.7323477577955798; -1.0; 1.0]
20,180,300,-59.000911571954155,[-0.001296254034104622; -0.0009146079236548002; -1.0; 0.7319199424733127; -0.7321801814779643; -1.0; 0.9999994414697474; 1.0]
21,541,300,-59.00091278036675,[1.0; -0.001582244851696133; -0.999999988431472; 0.731867517362529; 0.9999999887498281; -0.0014984131887337481; -1.0; -0.7322314461945798]
22,291,300,-59.0008007137093,[-0.7317895064015603; 1.0; 0.7323068849140735; -0.9999999990190734; 1.0; -1.0; 0.0021151972971775834; 0.0022675893054057397]
23,349,300,-59.00088462076218,[-1.0; 0.7319315744223551; -1.0; 0.9999999916715262; 1.0; -0.7321661137929603; -0.0018524492337061971; -0.0001330672089868712]
24,703,300,-58.99916499502244,[1.0; -1.0; 0.006875566774024234; 0.9999999999995556; 0.006875541331424013; 0.7328382564962611; -0.9999999999665705; -0.7312135790875578]
25,401,300,-59.000885311866895,[1.0; 0.00019440416401563638; 0.7321200251083085; -0.9999996428654723; 0.9999999945125791; -0.9999996810055606; 0.0009815853843119775; -0.7319818930079388]
26,1133,300,-59.00095720220663,[-0.9999999999772533; 0.7321418300327377; 0.0003270600930664079; -1.0; -0.7319580951756545; 1.0; 1.0; 0.001228092263982695]
27,394,300,-59.00098277958648,[0.999999999147283; -0.0008858620675672179; -0.7320714059600404; 0.0005300761358288512; 0.9999999879114526; -0.9999999516762728; -0.9999999925544127; 0.7320293031739096]
28,508,300,-58.99923741342698,[0.73123298921718; -0.006731738203484092; 0.9999999998153387; -0.9999999654728525; 0.9999999594595228; -0.7328209435398676; -1.0; -0.00670868619438512]
29,1026,300,-59.00100457205846,[0.7320093920371036; 1.0; -0.0002055722909891092; -0.0004932396320051592; -0.7320919538884105; -1.0; 1.0; -1.0]
30,659,300,-59.00100932158897,[1.0; -0.00035148990295701506; -1.0; 0.00026271405247183107; 1.0; 0.7320454851950324; -0.7320559771466275; -1.0]
31,425,300,-59.001008125383,[-0.0002422363560971759; 0.7320557362569902; -0.7320457665570467; -0.9999999717038969; 0.0003271750349215361; -0.9999999999426196; 0.9999999999417777; 1.0]
32,838,300,-59.00027088357367,[-1.0; 0.7325557339248727; -0.7315258787002747; -0.9999999999894705; 0.004358358213027491; 0.9999999999998345; 0.004358358003920201; 0.9999999999995518]
33,880,300,-59.00098484080459,[1.0; 0.00011790482117375385; -0.9999999999998533; -0.7319921362082296; 1.0; 0.7321085977364417; -0.9999999996438346; 0.0008678439331020471]
34,545,300,-59.000280306383,[-0.004325022426005001; -0.004325674309648671; 1.0; -1.0; 0.73152991486274; -0.7325520263046221; -1.0; 1.0]
35,222,300,-58.99929514003977,[-0.006434095435559693; -1.0; 0.7312709596720015; -0.7327851474012265; 0.999999941553001; 1.0; -0.9999999204863438; -0.006374964308380989]
36,1192,300,-58.99950639536309,[0.732764019316203; -1.0; 0.9999999999999868; 0.006208342283131227; -0.7312970088970944; -1.0; 0.9999999999999828; 0.0062083422828230345]
37,286,300,-59.000780783864194,[-0.7319654322939241; 0.732129003306365; 0.9999999960291386; -0.9999999990880596; -0.001107770254549097; -0.9999999992774422; 1.0; 0.0024956973722739762]
38,782,300,-59.00095490802039,[1.0; 0.001172953004542438; 0.7321916069479935; 1.0; 0.001223962896566839; -0.7319084292241534; -0.9999999983546154; -0.9999999942513722]
39,286,300,-59.00039458437932,[0.9999976201419163; 0.9999950433492072; -1.0; -0.0005351467194476689; 0.732043810317269; 0.0002747964904004894; -0.9999996413938523; -0.7320654347013272]
40,569,300,-59.00095402273231,[-0.9999999999399629; -0.001229239300923656; -0.7321956418675766; 0.9999999999848009; 0.7319043632214229; -0.0012361684025008319; -1.0; 0.9999999999978291]
41,1137,300,-59.00078451043018,[-1.0; 0.002421222759623691; 0.9999999999998532; 1.0; 0.7323337796645439; 0.0024212227864528536; -1.0; -0.7317616622620148]
42,531,300,-59.0007893698518,[0.9999999997375338; 0.9999999976249219; 0.7317666556819669; -0.7323289570373149; -0.0023695553493212535; -0.9999999945932921; -0.002389666685706592; -0.9999999935049668]
43,735,300,-59.000932843214244,[0.001330452850819593; 1.0; 1.0; -0.73206176570476; 0.7320369365812639; -1.0; -0.9999999988186092; -0.0015406026611074616]
44,665,300,-59.000962266458615,[0.7320262945092976; 0.9999999974197866; -0.9999999936105424; -0.001171074499158316; 0.9999999999556669; 0.0007690092099208881; -0.7320736936369043; -0.9999999992761177]
45,414,300,-59.00045584087618,[-1.0; 0.7317158211918358; 0.9999999804208974; -0.003774956275812888; -1.0; -0.7323703266269074; 0.999999870764345; -0.0017646026752492095]
46,403,300,-58.99966808365563,[-0.9999987233333947; 1.0; 0.0057080564251711765; -1.0; -0.7314243107123046; 0.7326429040544733; 0.004627281168994589; 1.0]
