nPsoRun,n_iter,S,fgbest,optDes
1,224,300,0.3329009629115496,[1.0; 0.0057867920398021536; 0.9999992108109275; -1.0; 0.2270438872948458; -0.22854790900647828; -1.0; -0.002740975606847198]
2,58,300,0.33293869394882225,[1.0; -1.0; -0.2157379404374789; 0.07425493840866988; -0.05394337325351202; -1.0; 0.20366374321565514; 1.0]
3,141,300,0.33290244433160043,[1.0; -0.22544176800256868; -0.9999994495684194; 0.22249246057195743; 0.006227490706062114; -1.0; -0.0007017646835331542; 1.0]
4,265,300,0.33290016460076116,[0.00032489430304977456; -0.9999999607695707; 0.22889107849849735; -0.22911342246082386; -1.0; 1.0; 1.0; 0.000117318485824891]
5,120,300,0.33290385855898735,[1.0; 0.005431688313165924; -1.0; 0.999999378521771; 0.012752488183650497; -1.0; 0.2209106169583069; -0.23021005859790217]
6,197,300,0.33290036593844685,[-1.0; -1.0; 0.9999997653588069; 0.0020845536910967296; 0.0017839101769138443; -0.23069999532454633; 0.2287645661563711; 1.0]
7,196,300,0.33290052146282817,[-1.0; -0.00032808180131082415; 1.0; -1.0; 1.0; -0.23055613000594477; -0.0016132672650883222; 0.2315347034592794]
8,516,300,0.3329001677381202,[-0.0010607786498178565; 0.0014251701800084093; 1.0; -1.0; -0.9999999997403937; 1.0; 0.22849698208850816; -0.22868060350617592]
9,44,300,0.3329919526427439,[-0.17984551338452506; 1.0; -1.0; 1.0; -1.0; -0.07218759426609206; 0.13291408309751646; 0.12843221435710675]
10,214,300,0.3329017947179469,[0.22102355744843566; 0.006328316274280711; -0.2242513975828059; -1.0; 1.0; 1.0; -1.0; -0.00012381856187407427]
11,238,300,0.3329004447227313,[0.0012401115424447164; -0.2257273847277637; 1.0; -1.0; -1.0; 0.22658279054037353; -0.0029146954870294716; 1.0]
12,182,300,0.33290888258910184,[-1.0; -0.02737729342259558; -0.9999999999077372; 0.02351750620878941; 0.9999934816395515; 1.0; -0.2197386674478007; 0.22187935579399812]
13,198,300,0.33290026220129937,[0.22800492270067363; -1.0; -0.22775662850914632; 1.0; 0.0005223801102457936; -0.0010251226355005106; -1.0; 1.0]
14,315,300,0.3329004905116983,[1.0; -1.0; -0.0030119033207640588; 0.9999999967995914; -0.2258073191330428; 0.0009501586486950821; 0.22686468184124375; -1.0]
15,286,300,0.33290019349372857,[1.0; 0.227632823971125; -0.00048366399566287166; 0.00117610924876875; -1.0; -0.22798328432160478; 1.0; -1.0]
