nPsoRun,n_iter,S,fgbest,optDes
136,10000,300,-23.95631330899128,[0.9915589453112174 -0.9999999999413208 -0.9999999999998697; 1.0 1.0 0.9998985912595715; -0.12325335305466106 0.9903270714582167 0.9915770406890521; 0.9999999999999989 0.8661385516160205 -1.0; 0.9990798588175758 0.3389837545822151 0.9999999999016418; 0.1288036113786582 0.9999999999684568 -0.9995934940494384; -0.999999999999972 0.9790783725787551 0.9999999999941093; 1.0 -0.656241741378291 -0.04076522814101211; -0.9999999999999946 -0.999999999993219 0.22226734734056955; 0.9999999999863919 -0.999999999994818 0.9999999999999312; -0.9962018324661047 0.032541186513333 -0.734859038104044; -0.8402742342426571 -0.9986989041530625 0.9999999999995629; -0.9999999999457984 0.9999999999999933 -0.9917371221394851; -0.6886830710180951 -0.9999999999944478 -0.9999999999999999]
137,10000,300,-24.191588477383814,[0.22139672470056085 -0.9999999999999991 0.9482151796626331; 0.9999999999999983 -0.9198315781304588 -0.9999999999999999; 1.0 0.9919657054837474 -0.9999999999999925; 0.9443252023127688 -0.9260142804445021 0.06379837941821505; -1.0 -0.9997561046899616 -0.7460420602204427; -0.9999995916084856 -0.9999999999999989 0.9999999999999843; -0.9926373665343504 1.0 0.9999999999999978; -0.8192042587287474 0.24383027333152446 0.9994633736242154; -0.24986494604433968 -0.8284688364587641 -0.9999834629863213; 0.9999693649575505 0.9999999999999842 1.0; 0.8177418900269369 0.9999999999999957 -0.09149190448136683; -1.0 0.8468719337596818 -0.47529560032271123; -0.8304554897675879 0.999999999999991 -1.0; 1.0 0.012305364036875275 0.9999999999999961]
138,3428,300,-24.181572917945285,[0.9999999817941638 -0.843080054636875 0.40700194529832223; 0.017128716088633988 -0.9999999991707029 -0.9999999937288957; 0.026735458914139747 0.5210982930848901 -0.9999999802548268; -0.9999999999989461 0.8461399466871402 -0.9999999998642852; -0.9999999999450628 -0.999999915785352 -0.999999988938974; 0.8647811158580918 0.999999681746127 0.3445126599225849; 0.9999999882566307 0.9999999451722477 -0.9999999124326188; -0.9351464792077985 0.5443523526767028 0.9999999582315006; -0.99999999935398 -0.9997678416701041 0.9999999954604685; -0.9999999754332564 0.9999999922703379 0.11435761614528928; 0.9895241644710047 0.7799933496753694 0.9999999998942959; 0.9999999993153931 -0.8964473207994662 -0.999999805720143; 0.5618466585390629 -0.999999907922553 0.9999997660472231; -0.6424156777967046 -0.6957394216265461 0.006108831418459023]
139,7227,300,-24.259865178061325,[0.9999999999780145 0.999999999874444 -0.9999999999999545; -0.9992320755532175 -0.9999974558571113 -0.2696591402764669; 0.9999999999920643 -0.999999999965982 -0.9999999999323942; -0.8674344978823044 0.964125195850181 -0.10719638042462518; -0.9999999999974899 0.9999999997292346 0.9999999999785926; 0.3078232103578227 0.9794133108317615 -0.999378439036488; 0.998872720663925 -0.3031820418694638 -0.9595272604024696; -0.9999999999943818 -0.19853127345913624 0.999999999999759; 0.9999999996624015 0.9999999999983401 0.994541791758477; -0.9999999999681903 0.970029030965437 -0.9999999999975748; 0.09843587295550102 -0.9999999632569054 0.9857947572026444; 0.22488579383785912 0.7842839009666186 0.9068720562280694; -0.9695472482790526 -0.9257108547406988 -0.9999999999999134; 0.9999999997443839 -0.7157399097728503 0.9801687537333931]
140,6427,300,-22.123852921787343,[0.0012738878377584614 -0.9745528372296934 -0.9999999999999324; 0.9999999999992274 0.9999999999999966 -0.9505283162917127; 0.812924942941215 0.34569788341510554 -0.9999999999889391; 0.6587507247668357 -1.0 -0.13296780029839092; -1.0 -0.5412562515253599 0.9748141287315173; 0.9999999999999983 -0.9999999999998502 -0.9997516746690747; -0.9999999999998738 0.3730748898558134 -0.9893629490576709; 0.9999999999157333 -0.5274642708023478 1.0; -0.7254529217441694 0.9999999999994977 0.9999999999999799; -0.2241206072753985 -0.9999999999997413 0.9999999705484808; -0.2701660587784388 1.0 0.33352823778276314; -0.9150623926235949 1.0 -0.9999999999999994; 0.9999990951087723 1.0 0.9883703654396236; -0.9999999999999614 -1.0 -0.9644676020041081]
141,8175,300,-23.682689702834022,[0.19759456009594664 -0.862735825952463 0.9999999997818868; -0.9827843465017703 0.9999999999998389 -0.9991672232159134; 0.9992035544598117 0.9959789268776427 0.999999999999959; -0.9999999999988288 0.10408450797291165 1.0; 0.950703980459432 -0.17513499793881765 -0.9999999997481994; -0.9999999999337134 -0.9999999999993356 0.8625286733008329; -0.6285637588752406 0.9999999999894309 0.999672562541065; -0.28732703132518445 -0.6897480845189785 -0.3505337076092299; -0.9999999999348537 0.1368403029099013 -0.9999999999998871; 0.9999999999993457 -0.999999999510176 0.8895369659848293; 0.9340987619471589 0.9999999999978789 -0.9999999999662021; 0.9999999994897146 -0.9999999999999986 -0.997492069830526; -0.9999999999797063 -0.9999999999997331 -0.9999999998948644; 0.9682992179958855 0.9861577972985529 0.0550164180585376]
142,10000,300,-23.8810956158232,[0.9999999999997463 0.9887501344941331 0.9999999999999973; -0.9601896843033113 0.13750174087956288 0.9999999999541375; 0.40811511332748573 0.8989628886286557 -0.9980615666812663; 0.9999999999986368 -0.851900522236706 0.9999999998806282; -0.8017410067451327 -0.999998101310494 -0.9999999999703966; -0.9999999999998066 -0.9999999999533731 -0.15646276316475521; 0.9999999999938493 -0.9997216195438609 -0.999999999995055; 0.9756871502757005 -0.9999999999999941 -0.0016183459823057998; -0.841646029970592 -0.9999999999999971 0.999999999999829; -0.9999999999999434 0.9999999999999902 -0.9999999999999031; -0.9999981225377972 0.5193648470255259 -0.6230829193172387; 1.0 0.9968931182995628 -0.9420448370491585; -0.9999999999992097 0.9999999999953452 0.9984767714660495; 0.3476928288167811 0.9999999999997593 0.9500045482735531]
143,8246,300,-23.99970488479593,[-1.0 -0.9999999999999994 -0.685967728969067; -0.9999999999999974 0.9999999999999996 -0.9201403673148171; -0.9999999999999999 1.0 0.9988352799071364; 1.0 -0.9999996788373121 -0.9999999999999998; 0.7272375353042146 0.9999999999999996 0.8161603617796321; 0.9999980531481075 -0.9999999999999983 1.0; 0.9999999999999996 0.2185516853407124 0.9997413386714742; 0.5229416437380878 -0.9858648533913797 -0.22721509296210501; -0.3180313716710542 -0.9893156004929666 -0.9999999999999997; -0.9999999999999997 0.07003277841797753 1.0; -0.7595259597796693 0.4766518184803011 -0.45214830954554247; 0.24736000207408287 0.9999999999999806 -0.9999999999999991; -0.9999999999999892 -0.9999999999999992 0.9839555158994993; 0.9999999999999976 0.8461472062856025 -0.9662949366415025]
144,5747,300,-24.76447785884201,[-0.9822419786315659 -0.9999999999999993 0.9999999999999991; 0.9999999999999996 -0.9845639699229252 -1.0; -0.12252253149381767 -0.9999999999999938 -0.9794690075725675; 0.9999992681415745 -0.9990860400408347 0.21873909125753774; -0.990262927257907 1.0 -0.9915503810565327; 0.9998761737066812 0.9999999999999997 0.9999999999999989; -0.9999999999999913 0.9999999999999998 0.9979242510258585; 0.9989945446982191 -0.9999999999999988 0.9999999999999988; 0.9999999999999988 0.999993190210272 -0.9999993838403627; 0.18079371509001543 0.9496809119843707 -0.9451294469526471; 0.9994895805658596 0.5215339226946855 0.8195364696732848; -0.8370708879375098 0.3024687074974084 0.8850914757134746; -0.9999561223510778 -0.9999999999999098 0.1321561110023492; -0.9999999999999994 -0.22149902872105756 -0.9999999999999997]
145,10000,300,-22.13729513980308,[-0.9999999999992527 -0.9999999996910063 0.09723954117558303; 0.9908743096075543 -0.9999999977470689 0.9999999999918959; -0.9999999985921546 0.9877988586780708 -0.9999999998797758; 0.9678588470387895 -0.9362996250337919 -0.09020898717078306; 0.38340074541532243 0.9999999835349872 0.9999920926142015; -0.9999999999940702 0.9846314486021224 0.9999999999796687; -0.8954268303356433 -0.6201322594212358 -0.9223098992359907; -0.9962131338840674 0.7404575851324096 0.09392336958163612; 0.810687133441781 -0.9999999711437796 -0.9999999982496804; 0.9999999999992467 0.9999999804674232 -0.1561808591926571; -0.7545242810754494 -0.5211398531529571 0.9999999933076729; 1.0 0.2872420308992273 0.9999999906173106; -0.09045223401745962 0.8466902883922968 -0.07952761109753573; 0.5787042376302294 0.8816248516620606 -0.9999999999999996]
146,3662,300,-23.573492655801253,[0.9997461112682409 -0.7430493597192034 -0.9999999666369547; 0.9335383681207461 0.48111497498754785 0.6001995517764094; -0.99999999973419 0.9940237965950214 -0.9999999999890997; 0.9975389716582475 -0.999993518708962 0.3547871717053701; -0.9995049978187788 0.47528676314509843 0.994355916979419; -0.999999999978081 -0.949778940374899 -0.9999999998347786; 0.7447885628261581 -0.941644094425597 0.9999999827157394; -0.9988762204851861 -0.6588106005525963 -0.07140161928507571; -0.9953758173220704 0.9999999923122608 0.999999997900174; 0.9999967072408598 0.9781582203988168 -0.9999929981789323; -0.5140197563372705 0.9999999988727434 -0.7735444890667064; -0.9999999974730942 -0.9999999798148159 0.9999999546617049; 1.0 0.999999990919766 0.5119756175291835; -0.28815849665187265 -0.9999999995774286 -0.9792383161984928]
147,5254,300,-23.19380473977994,[0.9996610305834863 0.12445744042333608 -0.9999999999998062; -0.9999923427235626 0.7532074738310475 -0.999999999994478; 0.9654197972996322 -0.5935800180206501 0.4090778643650979; -0.999999999999877 -0.9999999999999999 -0.969301690219568; -0.8968989743565257 0.9999517733828106 0.9999999999998136; -0.2022985426251486 -0.9807372220634718 -1.0; -0.33587614426580054 -0.9808250620093428 0.9999999999999934; 0.9999999999968174 0.9999999999999349 0.13328263401484988; 0.9999999999996373 -0.9999999999999947 -0.9999997124352008; 0.9999998515370939 0.9999999999991656 -0.9999999999984095; -1.0 -0.8493721905733372 0.9575397559985078; 0.9994212065089222 0.9795255976204557 1.0; 0.9999999999998012 -0.9999999999991702 1.0; -0.9999999999999372 1.0 -0.058744236314332836]
148,10000,300,-22.476053323066708,[-0.9999998600716987 0.9999999960226037 0.999999996310867; -0.09153558988134448 -0.9040052746493354 0.5816926304036346; -0.9999999480632388 0.9999999999999931 -0.7380765888034311; -1.0 -0.021817196215232423 -0.9913648275511698; 0.4888096775755956 -0.9999999965136661 -0.9999999999936996; -0.999999999842323 -0.9999999999953973 0.9999999987439053; 0.9999999992730478 -0.9998086610203999 -0.40989926405151894; 0.6813488441964001 -1.0 0.9999999999996756; 0.9999999983411275 0.27837021058744377 0.9999999833669534; 0.2050519771108104 0.9999999869877515 -0.9996103788883893; -0.897605291000184 0.5328385785684091 0.542368747355503; 0.9999999999999991 0.9999999999977145 -0.9999999998829965; -0.9999999999999999 -1.0 -0.5447397417894874; 0.7624941544204947 0.999999919376138 0.9329094196269839]
149,10000,300,-24.3267613792853,[-0.7995079170284963 -0.6060754547801167 -0.48377414391685564; 0.9711505942866848 0.34849543782197623 -0.7679563319552977; -0.9472058874155853 0.775766988072197 -0.9999999999993864; -0.19029519440693987 -0.9999999999999802 0.9999999999994679; 0.99998105018405 -0.4810038030033754 0.9999994744006488; -0.9999999999999795 -0.9999999999999845 -0.9999999999992972; -0.9999999999997878 0.9910190819554979 0.9966099434116644; 0.9999999999999243 0.9999999999999838 -0.8621482851318515; -0.9999999999999183 -0.8283209939130566 0.9999999999940171; 0.9999999999999981 0.999999999999693 0.9999991091696662; -0.7706906014972965 0.9999999999990957 -0.4995806438563872; 0.982557755446545 -0.9999999999999988 -0.999999999998325; 0.9999390333575917 -0.9714405522387685 -0.27085141948959596; -0.15183208781484112 0.9352494309456406 0.9999999999986671]
150,10000,300,-21.954783295621173,[0.08660975011915058 -0.9825020734356119 -0.9999999999999629; 0.99999999999969 0.9994321613381096 0.6397819780235399; -0.9999999999969585 -0.8973000436791359 -0.9938906612030857; 0.9999999998345732 0.9999999999999785 -0.9999999999996233; 0.9999051482821893 0.28295292809188655 0.9999999999986403; -0.39030053315870994 0.9999974005953921 -0.9974014960497329; 0.9999999999999571 -0.9999999999984318 -0.9770821901024085; 0.9656970577156256 -0.006988947552643802 -0.9951982743344098; -0.7899454917511154 0.789136390028249 0.5761618233903071; -0.9353537725528167 -0.9999999999999112 0.6990397707060858; 0.083665031417012 -0.9999999999999889 0.999999999998712; 0.6520208139572461 -0.9556812226833779 0.18473502735280142; -0.9999999999815228 0.9396525139756345 0.999999999998804; -0.9999999999997096 0.9999999999999885 -0.9999999999999294]
151,10000,300,-23.825466212857766,[-0.9999770825035804 -0.999990096398169 0.14364362125896063; -0.9938380282709545 0.999999999975804 0.9999999999923211; 0.9999999999999558 0.12028378907432934 0.9999999997430435; 0.9999999999979147 -0.9999999999973059 0.9999999999998002; 0.9999999999990716 -0.9999999997696101 -0.630430171504124; -0.9999999999991314 0.9999999993078148 0.35165604009943735; 0.9513071344057835 0.9999999990341083 0.9999999999108694; -0.982425443141263 -0.9999999962630708 0.9999999999993997; 0.9999999999997917 0.9999999999718192 -0.9999999999999994; 0.8164239057444359 -0.018431403883327903 -0.9999999999999986; -0.999999999946952 -0.9967915133372834 -0.9999999999324094; 0.10265845905414024 -0.9999999999999907 -0.9374780135453933; 0.2609253967056412 0.9999999999999802 -0.9107984162556254; -0.9999999999825216 0.9999999999946616 -0.9999999999997161]
152,10000,300,-24.366768006219466,[-0.999999999765014 -0.9999999999478747 0.9999999999998961; 0.9263659663420307 0.999999999421811 -0.9999999991010309; -0.9999999089168292 0.9999999992121837 -0.9999999977174108; -0.9149591750138255 0.8506165439082204 -0.28830423389634335; 0.9999999997933279 0.99637925499012 0.18995791033550533; 0.9999999997713306 0.874673731131895 0.9999999999823221; 0.9999999999999983 -0.9999999999398337 -0.9999999999983824; -0.9999899726270308 0.9999999999999998 0.9999999999882562; -0.9939693997297954 0.29659221360793403 0.9935425223534653; 0.9999999999499602 -0.9999998056707072 0.9993649882360628; -0.999999999949043 -0.9999999999812019 -0.9970208585600945; 0.9076762480001097 -0.07106209422779859 -0.9958089144039869; -0.15980916531706663 -0.9999999999137996 -0.9999999999999369; 0.05477010806297869 -0.9904674848608028 0.9999999697783385]
153,10000,300,-24.490303089477347,[-1.0 1.0 0.9999999999997647; 0.9999999999999534 -0.9999999999999984 -1.0; -0.3056023165014653 0.91626648898693 -0.9999922572610003; -0.9999999436580114 -0.9972133599622819 -0.9999999999989814; 0.9525775216631548 -0.8262680362221341 -0.08439048343119984; 1.0 0.12799315263408442 1.0; -0.9999999999996821 -1.0 -0.3116746705953226; 0.9999999999999829 0.801248031472738 -0.9999999999999102; 0.9994695246835594 -0.9999999999999987 0.9999999999999799; -0.9087810188796659 -0.22226760154308492 0.8538735854413285; -0.905527118916111 -0.9999999999999897 0.999999999999996; -0.9999999999998944 0.999999999999978 -0.9999999999971827; 0.9999999657943075 0.999999999999916 0.1583378575232971; -0.21624558981490696 0.999999986988147 0.9999979361450991]
154,7661,300,-24.165114988244746,[0.9999785762836625 -0.2829332336200378 0.9999999999999984; -0.04751545825669834 0.7861463528008765 0.8212030972508177; 0.7953966186646182 0.009448443345892702 -0.962123147714208; 0.9977008201123121 -0.9052767355799931 -0.12932709165089312; 0.054915107557290156 -0.9999991737320968 0.9999999999999984; -0.830822457521058 -0.999971045487065 -0.4029297915598989; 0.9999999999999999 0.9999999999999997 -0.87839168817106; -0.9999999999999991 0.9513479453906974 -0.6018838161852212; -0.9999999999999942 -0.9838629869740351 -0.9999999999999999; -0.9999999999999997 -0.860562718933001 0.9999999999999998; -0.9999999999999991 0.9999999966234546 0.9999999999999959; 1.0 0.9999999999999987 0.9255357706492929; -0.2409348754523162 1.0 -0.9999999389359929; 0.9999999999999996 -0.9999999999999986 -0.999999999999998]
155,6531,300,-24.3307099898312,[0.868449295137059 0.9984533725797217 -0.9999999999999997; -0.9999999999999996 -0.9999999999999993 -0.9335242724634174; 0.9026920325884471 -0.999999999999631 0.0629335113964559; -0.9999991830334529 -0.38964927303396346 0.9940565150919728; 0.9999999999999984 0.9747001894543845 0.9999999999999993; -0.9463870429848887 0.4322641254228659 -0.9269766977634956; 0.9833570704158847 0.9984857512693935 -0.1378144055992749; -0.08991112800974282 -0.9999980136549804 -0.9999999999999958; 0.9999994333164794 -0.7400414400939822 0.9999999999999999; -0.9999999999999988 0.9999999999999993 -0.9999999999999999; -0.8115586725569748 -0.9999999999999974 0.9905964896470247; 1.0 -0.9995563699447162 -0.9999999999999996; -0.21379399853218747 0.8802326943642537 0.8185214993641873; -0.9999999999999984 0.9999999999999994 0.9999999999999993]
156,3814,300,-25.163072744902248,[0.840068630952963 -0.9999999995000017 -0.3504609886521366; 0.9999999295878345 0.8903280608691104 -0.9999999538458162; 0.1380039196867253 0.9999999978858157 -0.7291251435901988; -0.654538211775118 0.9999999998694961 0.9999999959877166; 0.9999999880082907 -0.9999999074939709 0.9999999953747826; -0.9999997418729304 -0.9999999643692987 -0.9594370496565396; 0.9999999998019162 -0.7509105304145097 -0.9999999666514092; -0.9999999900788323 0.9999995859409857 -0.9999999879224492; 0.9999964074704836 1.0 0.9999999898966828; -0.9999999964399336 0.8640068625880322 0.4188482369090998; -0.31265833153396655 -0.9408619672782567 0.9999999965210634; -0.9999999941811013 -0.999999999911401 0.9522077135058504; 0.9003597777308769 0.4812532811233379 0.5911301107781177; -0.8288126140253979 -0.45929109600813645 -0.9619369720333224]
157,10000,300,-24.70309875100526,[0.9999999999999981 0.9999999999998908 0.9999999999986771; 0.99999999999928 -0.9868579801814831 0.9999999999794499; 0.9798510999243962 -0.8550215670940657 -0.011244835953023438; 0.6278495208859467 -0.9999999999999584 -0.9999999999987169; -0.999856116785191 0.27113086243871 0.9443297228491073; -0.9999999999987721 0.3590702030508697 -0.9999999922718534; 0.9998437623642368 0.3850999500853671 -0.998982556103657; 0.19071548225756907 -0.9894700818262017 0.9999448749531213; -0.9999999999993571 -0.9999999999999949 0.8463758388467534; -0.8722124458193202 0.999999999999836 -0.15508351298923845; -0.9999999996865813 -0.9999999999842529 -0.999202662185464; -0.9999937302816938 0.9999999999996393 0.9999999999999133; 0.9999999999853795 0.999999999999645 -0.9999999999921588; 0.5224831434780959 0.8907355533724404 0.5329565639895337]
158,6790,300,-23.652470565674527,[0.999999999999998 0.9934330264518184 0.9999999999999539; 0.9938094741377856 0.1618451691153641 -0.9857700544136554; -0.01236964774754998 -0.9999999999999972 0.7681110185413743; 0.9999999999999997 -0.8122608414124345 0.9999999999999994; 0.9999999999999987 1.0 -0.9459630073327705; -1.0 -0.9997298511423864 0.9999999999999993; -0.9722849908660756 0.44486607620318686 -0.999999999999997; 0.9999872439250269 -0.9999999999999989 -1.0; -0.9999999999998331 -0.782664992557152 -0.04062565102796889; 0.012432131941632637 0.9999999999999988 0.9999999969925218; 0.9999999999999992 -0.9858466321658872 0.023112685081138788; -0.9999999999999999 0.9999999999999983 -0.724137603073356; -0.9999999999999983 0.6681733254236905 0.9999999999999922; -0.9999999999989848 -1.0 -0.9999999999999993]
159,7663,300,-24.106956350953848,[0.9382408319714707 -0.9999999999999866 -0.9999999999999993; -0.9881204879339857 0.2784146858656866 -0.9893857364330872; -0.9966722382535925 -0.9999999999999987 -0.9999999999999991; -0.3564689250791365 0.9783926945016127 0.8860334388880823; 0.08028543992459775 -0.9580056143480314 0.9341775960303084; 0.9999999999999973 -0.9999999999998712 0.9999999999999997; -0.9999999999999999 -0.9999987971079891 0.999999999999997; 0.9768610599237474 -0.7160842868053632 -0.19510991095783345; -0.9999999999999988 0.9999999999934578 0.9999997299972361; 0.999999999999991 0.9999999999999992 -0.052151411212480396; -0.9386378690582353 1.0 -0.9999999357364878; -0.9951390074770836 -0.9994349995814398 -0.20475942245510376; 0.9999999999999931 0.44650751279793116 0.9999999999999944; 0.9804066732577178 0.7543663454752046 -1.0]
160,7072,300,-21.815412204097104,[0.999999999999998 0.9999944096171243 0.9309602046858959; -0.9999999999998612 0.9999999999999992 0.9529719931477166; 0.8018660773079936 -0.9998254551499487 -0.9999999999999886; 0.9999999999999736 0.9882739392186959 -0.9999999999999999; -1.0 0.4968309726542839 -0.9195963048284975; 0.9999926475270952 -0.9310382713040607 -0.20964530792852495; 0.005410530708091178 -0.057958800476085634 0.424699733946159; -0.9999590255866968 -0.9560639727651119 -0.999999999999933; 0.09265168785172084 0.9999999999998038 -1.0; -0.037773835274114924 0.9999999999999875 0.9676763533056342; -0.9999999999999957 -1.0 0.4417617190034276; -0.08252665568359568 -0.9749912073020864 0.9999999999999974; 1.0 -0.9248332415974609 0.9999999999999968; -0.9999913615691579 -0.16006612007282592 0.999999728134491]
161,10000,300,-23.899877751428264,[-0.9999999999219554 0.9999999999999486 0.999999999999988; -0.9999999999999707 -0.9999999999962779 0.4863962599978117; 0.3245037195775012 -0.714460876193352 0.9638480963810727; 0.9999999999999726 -0.9999999999999493 -0.6366916192315213; 0.9999999999999906 0.11156866002303895 0.5803150235102038; 0.9999573475982473 0.9999999999999989 -0.44263968704582934; 0.06258376755677757 -0.9999963955696454 -0.9999999999999989; -0.9999999999999987 0.9999999999999679 -0.9999999999999968; -0.9999999999999988 -0.9920991937252776 -0.9999999999998425; 0.9111500850306672 0.35968542232172346 -0.999999999999949; 0.9999681947047375 0.9999999999996626 0.999999999999973; -0.9083276107306671 0.9372309141389259 -0.20360385635588943; -0.9999999999999994 -0.17044414645934583 0.999999999999904; 1.0 -0.9999999999999934 0.9999999999997955]
162,7846,300,-25.336998898881465,[0.9999999999999994 -0.9999999999999993 -0.9999999999999895; -0.999999999999998 1.0 0.9999999999999998; -1.0 -0.996683570425165 -0.9984599792564739; 0.9989662642537328 0.9770438355374025 0.44120174340456614; -0.2662925686567087 -0.9999999999999999 -0.7986950975365465; 0.8658071340803141 0.9999999999999984 0.9999999999999999; -0.9998888706649072 0.13795927707066985 0.9870431889032262; -0.9999999999999999 0.7820097014691727 -1.0; 0.9999999999999999 0.9999999999999999 -0.9999999999999992; 0.9878337301503824 -0.977503788635306 0.46328306792607854; -0.9999999999999959 -0.9999999999999986 0.9999999999867036; 0.5809784800546943 -0.9977687438345237 0.999999999999999; -0.5808644600596558 1.0 -0.700018509983506; 0.7215468262373296 0.1202679847241325 -0.99999999647139]
163,2531,300,-24.74692269118083,[0.9981899532379943 -0.41466142925438365 0.9999999907022681; -0.8760294742234124 0.996877468629983 0.15307865506786364; -0.9428265666508281 -0.26844320260327276 0.8247960345125677; 0.10958976090424129 -0.9888189060364595 -0.9984085192064227; 0.9999999993522402 0.9984124016120508 -0.9999999998809469; 0.9971117601089691 0.9999999948099593 0.9999997535194862; 0.9976501127170146 0.6686952615152567 0.2766221390659016; -0.9999999995372442 -0.9999999761081819 0.9746055133486803; 0.016538857663678574 0.9999998997063217 -0.9954374786244594; 0.9999999855103756 -0.9993705584882597 -0.9999996709024734; -0.9999997163309062 -0.9999999999997606 -0.9999996594495489; -0.999999991864471 0.28506450927118737 -0.9999999716817086; -0.9997897372766059 0.999999964199998 0.999999990702819; 0.9998829042397834 -0.9999998596664408 0.7150101394709486]
164,6114,300,-24.7499070036502,[-0.5839665050127242 -0.9999999999999959 1.0; 0.999999999999999 0.9595165920614834 -0.9999999999999983; 0.7126280843774523 1.0 -0.6423437880284643; 0.999999999999999 0.10708320371383896 0.9999999999999981; 0.9999999994897553 0.999999999999993 0.9999999999999984; 0.9999999999999996 -0.9857374845904006 -0.9918721159332574; -1.0 -0.9999999999999994 -1.0; -0.999999999998159 0.9999999999998103 -0.9999999999999967; 0.23154815931496694 -0.9999999999999994 -0.975499485711218; -0.9999898905261317 1.0 0.3992752091326917; -0.9809761562391235 -0.9768462534797846 0.38379457663453087; -0.6614537564117788 0.06761070152596754 -0.9999999999994105; 0.9997375479964845 -0.9999999999999986 0.9999998231580213; -0.9796369094429715 0.9999543017737698 0.9999999999999596]
165,1537,300,-23.61110261914092,[0.9997015776378279 0.9208613785744867 -0.17196509116416855; 0.13357514281321697 -0.9999996055154206 -0.8123365447101409; 0.9999999461175537 -0.6642817664040153 -0.9999990507872835; 0.9999999769695923 -0.9999998666842606 0.9999995681322688; -0.17861845679397043 0.9999820331339604 0.9999993936488965; 0.9999658442628871 0.9915566232729188 0.9999915460519035; -0.9892075151417279 0.9999999001129718 -0.9649513575184832; -0.9999980462494306 -0.9999990674570389 -0.847117592231367; -0.9999978686822313 0.8061655816350501 0.999747564298225; -0.1587828404012805 -0.6080479491612822 0.9949432474407239; 0.9999982710096322 -0.9507223341356854 -0.09250025614290004; -0.8483269364710986 0.3353511601910127 -0.9999980516766082; 0.9715890991255718 0.9999932740597565 -0.9999965810104372; -0.9999021989018778 -0.9998412154649441 0.9999990036850246]
166,10000,300,-23.650728194740747,[0.007132491342382838 -0.9889205913883481 0.843484864937699; 1.0 0.17433525017296936 0.9999999999999979; 0.9999999999999999 -0.9999994775584259 -0.9980905786546779; -0.9999999757037068 0.9999999999999998 0.617645884179257; 0.9998168019304592 0.9999999999999271 0.8282364582480441; 0.9882566154375367 0.6295636028666902 -0.23664543580093672; -0.9793009794493815 0.43546369349115094 0.9999999999999969; 0.8587038631550974 0.9999999999999991 -0.999999999999996; -0.9999999999999929 -0.9999999999999999 0.9999999969161719; -0.7793425805388724 0.9999999999999992 -1.0; -0.9999999999996477 -0.999999999999999 -0.9999999999999983; 0.2188982145829919 -0.9999999999999994 -0.9999999658415375; 1.0 -0.9999999999999991 0.9969260956782968; -0.9999999999987462 0.09837047663330983 -0.6700615853220812]
167,8394,300,-24.828959254089916,[-0.1324042255883315 -0.9834724302323165 -0.9953157277764801; -0.9027841175974363 0.9604526475266275 0.10150657901497326; 0.48360614761365145 0.9999999999999994 0.9148611082340213; 0.9966012101079165 0.9999999999999992 -0.9999999999999998; 0.9999999999999992 -0.9999999999999992 -0.9853989391503529; -0.9999999999999613 -0.8678664097269391 1.0; 0.984378282884435 0.34785321051926854 -0.8198025759635166; -1.0 0.9958509110794351 0.9999999999997599; 1.0 0.8819751807439652 0.9999999999999994; 0.48875892557183226 -0.5487530421373121 0.9999993199873979; 0.9999999999999992 -0.9999999999999999 0.9806122624999343; -0.9999999999999983 -0.3387697290416372 -0.9999999999999976; -0.9999997946917568 0.9999999999951017 -0.9999999999999992; -0.9999999999999984 -0.9999999999999932 0.095205256305932]
168,7256,300,-23.83453598064498,[-1.0 0.9999999999795712 -0.9938606896713255; -0.999999999996587 0.0758816194325642 0.9999999999331582; -0.7553940264074054 0.20977281594927555 -0.999998724385838; 0.9999999997117773 0.9999999999895497 0.9057117532982611; 0.5700361305992436 0.5462576882436952 0.999996752371601; -0.9999999999992474 -0.9999999999978524 -0.9999999999999788; -0.7331972297476278 0.9999999999996732 0.9756806385472201; -0.4725567122896346 -0.99999387548171 0.9999999999369781; 0.6455703691044828 0.9999999999994756 -0.9403192080483939; 0.9995789156411238 -0.7555046967571485 0.1005320166003048; 0.8314081120320825 -0.999999999999355 -0.9999999999999978; 0.9999999999738842 0.17545891898150584 -0.9999999999998834; 0.9999999999964783 -0.9999999999983471 0.9999999999922591; -0.9999999587305406 -0.6897398079956444 -0.1948122164427123]
169,6931,300,-24.05020918629996,[-1.0 -0.6069507624478397 -0.9421440209101741; 1.0 -0.8317812071831489 -0.7262335523370612; 0.9999999999999993 0.9882048884270653 0.9999999999999983; -0.9999999999999999 -1.0 1.0; 0.09800763682515932 1.0 -0.9153878917679749; -0.9062191666636247 -0.999999695684651 0.23647473154923687; -0.9999999999999971 0.9818707464072826 -0.9999999999999997; -0.05551192952163506 -0.9999817009147884 -1.0; -0.9688335858137701 0.2702231476102126 0.9999999925640767; 1.0 -1.0 0.9184719830801202; -0.9999672023699575 0.9999999999999999 0.9563230102733778; 0.9999999999999993 0.8178492709988261 -0.9999999999999998; 0.3807631566658892 -0.6243045031360722 0.9033902277344384; 1.0 0.8325531401578274 0.4933429216633327]
