nPsoRun,n_iter,S,fgbest,optDes
18,8062,300,-23.466399084488227,[0.9997667756853932 -0.9999922854766097 0.07718255814147447; 0.9999999999999963 0.9069657387795652 -0.8134306729374677; 1.0 0.9999999999999983 0.9892932519675487; -0.07010697240008826 1.0 -1.0; 0.9999999999999994 -0.9999940980598802 -1.0; 0.999999999999998 -0.9999999999999972 1.0; -0.09988362151080392 -0.9558340845097907 0.999999980299882; -0.9999999999999979 0.3350394454243163 -0.8868010704878218; -0.9999999999999877 -0.9999760703603666 -0.9978469688546998; -0.526998174457499 0.9999999999992039 0.5510778162754918; -0.18593299016901144 -0.8324288889874714 -0.9993831565393988; -0.9999999999999993 0.9647516971860922 1.0; 0.9999999999999538 0.2082743587114124 0.7959123559892527; -0.9999999999999968 -0.9999999999999977 0.9809169840043147]
19,3994,300,-23.954673248275764,[0.9999971552869203 0.9999995464135842 0.9999999482282667; -0.9999999992145105 -0.8721600213350278 -0.9999982483786131; -0.5348859845096705 -0.9999999941166949 -0.562671369235589; 0.9983918895229676 0.9999998171858521 -0.9999998648961206; 0.9999999996220935 -0.3264639656048644 -0.9999999956104272; -0.9999877051712163 -0.09245445241482853 0.998726630121346; 0.4302713231856978 -0.5483789866295641 0.997307584026287; -0.9996478668477394 0.9999998267376785 0.013157166290473374; 0.08116419841775818 0.999999999988387 0.9999999999980953; 0.9999999998780098 -0.9999999996500418 0.9999924090082914; -0.85757761328891 0.9609838710799972 -0.9999999897372934; -0.9999843753017066 -0.9999999133423126 0.9999999866481395; 0.9999702493558194 -0.999999985418609 -0.7753262930595337; 0.9999999984305107 0.6291753508541391 -0.1905068869109672]
20,9766,300,-24.694219029733244,[0.9393836201562079 0.9999999972726199 -0.6173447186857054; -0.1985514095087415 0.5965083737950936 0.9999999985682252; -0.9999999999999948 0.9999999999064966 -0.9999999999988142; 0.9999981066214777 0.12740109075241335 0.6405727091167512; -0.9999999999993445 -0.33304133619129966 0.9988472480103118; 0.9978788990568749 0.37216824225269146 -0.9999999999995516; -0.9999999999989573 0.999999999998789 1.0; -0.3627978011991677 -0.9999999999998739 0.9803393863673144; 0.999999999999892 -0.9999999999999399 0.9999999999975144; -0.9898927099915376 0.9276268144443605 -0.41199273336606873; 1.0 0.9999999999998215 0.9999999999977639; 0.9999999999998956 -0.999999999999555 -0.6944674893865441; -0.9999999999999124 -0.9999999998939748 -0.9999999999999974; -0.30159167957420674 -0.9673462616905618 -0.9989525716000975]
21,10000,300,-24.582706261372813,[-0.45803271662341455 0.9852380330117468 -1.0; -0.9999999999998608 -1.0 -0.9991264199253165; -0.996155966504941 -0.11149421990436796 -0.7618414433444283; 0.9988398748420526 0.9999026734520851 0.21863653149379467; 0.9999999999999997 0.9999838040697068 -0.9999999999999022; -0.9911631003295372 0.9999999999999977 0.9999999999999976; 0.999999999999716 -0.9323213197010954 -0.999999999999707; -0.9999999999999801 0.9999999998958824 0.07391230789129448; -0.999999999999441 -0.9999999999932639 0.995374373016868; 0.4077613601562859 -0.9999999999999982 0.9999999997751094; 0.9999999999999944 0.9992091557931654 0.9999999999993943; 0.12377623540100456 -0.9999999605979016 -0.9995877100848425; -0.7158844601812803 -0.34124824046976654 0.9999999990245093; 0.9999999999994923 -0.9999827686471877 0.9990634372864325]
22,10000,300,-24.384138869025506,[-0.9999999997952191 -0.9999999999957898 -0.9999999999039199; 0.9999999999988697 0.9999999999992494 0.9307869136072451; -0.9866574279731489 -0.933973146294317 0.337830154428744; 0.9999999698680596 0.9999999989667259 -0.7121486221603562; 0.6612312065932071 -0.24191006514942567 0.9999999998980375; -0.9999999999998344 0.20789148291460074 -0.9113188211065856; 0.9999999981331109 -0.9999999999893553 0.9999999994762152; -0.02895741386738405 -0.814497455797963 -0.9999999999878342; 0.9999999999995292 -0.3011423135185397 -0.999999999999997; 0.9999999995994299 -0.9999999967796924 -0.0664521925555794; -0.670461799854751 1.0 -0.9999999999121602; -0.9999999993709545 0.99491417473589 0.9999999999999947; -0.999999999998858 -0.9999999999996763 0.9999999999975919; -0.3868836109357291 0.9999999999871423 0.999989228794717]
23,7928,300,-22.113160767574957,[-0.5394865744183388 0.9999999987436928 0.9999946314930181; -0.19813206294109859 -0.999999999999999 -0.9999999996347411; -0.9999993775982654 0.9999999999784563 -0.6485999923123864; 0.9966553250871126 0.6293520535535576 -0.03595475474334913; 0.9984072348197656 -0.9751670434306795 0.32518095500822464; 0.9999544536477907 0.8740112738977058 0.9999999995034984; -0.9999992328644779 -0.01643313880155596 0.9999982779608819; 0.849408467357554 -0.10050870262396824 -0.9936733392037042; -0.9999999999999999 -0.9999999977730252 0.9999999218709769; 0.9999999999861273 -0.9990158762814533 0.9999999999826467; 0.9999999999776706 -0.9999999973894333 -0.9999999998676272; -0.4225119177408672 0.8955627749396384 -0.9878136886775896; -0.999999999998646 -0.9985378646490439 -0.999999943845422; 0.9999999985851783 0.9999999999944138 -0.9999999999999953]
24,7798,300,-24.245768634210645,[0.9999999999998309 -0.9999999999999892 -0.9725488014982249; 0.9999999999999991 0.999999999999604 -0.9999645075165889; 1.0 0.9992632781510401 0.9696396951238088; -0.9463747876631979 -1.0 -0.30517420486247; -0.2155936484476221 0.9999999999995147 -0.8929626909929564; 0.12515963718422488 1.0 0.9999999999999999; -0.9999999999991013 0.8679948868234013 -0.9999999999974228; -0.9999999999996976 0.9999999999977082 0.9999966841575975; 0.14624148531961767 -0.9801228060499728 0.9980647309799455; -0.9216984954477764 0.23456014747745532 0.42743375309880743; -1.0 -1.0 0.9999999999969115; -0.99871820094226 -0.9932430110969594 -1.0; 0.8957076165129452 -0.14407802216667953 -0.9999996551847047; 1.0 -0.999999895747927 0.8463275554252729]
25,9580,300,-23.455633253466367,[0.6624248105961537 0.4589183192733122 -0.9991356686312256; 0.9999999999999959 0.9994893224165257 0.9999972728457034; -1.0 -0.9268682278307281 -0.8060320130095714; 0.9999999999999848 -0.9963706541598787 -0.19964756037686796; -0.9823391825899443 0.9804211740231413 -0.19639982684263357; 0.1015125126074947 -0.999999999999998 -0.999999999999998; 0.9927018510918034 0.9999999999999968 -0.9999999999999702; 0.1630148247927629 -0.9036262085121759 0.8365732676874716; -0.999999999999996 0.999999999999991 0.9999999999999999; 0.999999999999998 -0.999999999231562 0.9999999999999978; -0.9865965308384156 0.17282812749685078 0.9431392922115338; 0.15361717360165109 0.9999999999994084 0.9719761401659511; -0.9999999999999906 -1.0 0.9999999999999996; -1.0 0.847627223189314 -0.9999999999999962]
26,5945,300,-22.23409826434797,[-0.9999999999946327 0.9993789199342931 0.9999999999998685; 0.9972706504184907 -0.999999999999731 0.9999999999377639; -0.9999862705251873 -0.9999967535114076 0.9999999999990358; 0.9999999999998058 0.9993129195522158 -0.046936689309301304; 0.9999999999994568 0.9993060269555141 0.9980007809176515; 0.14362805473437998 0.9999999999989873 0.9999999999980362; 0.9999564441048964 0.9999999999999782 -0.9999999999992603; -0.999999999999758 -0.9999999999999313 -0.13073940280789595; 0.9999999999998385 -0.9898004445290751 -0.977883659393918; -0.9999999999950763 0.9967035215098894 -0.9999999999999754; -0.6783008910799457 0.9999223176369689 0.07985596063733989; 0.1496834030683156 -0.8874739186817662 -0.9356051373934119; 0.6557168180259382 -0.36918002114019377 0.9999998699714173; -0.9999999999999039 0.08302393875379471 -0.9750043114965837]
27,10000,300,-22.876785418925504,[-0.6281082305366562 -0.020106676450043017 0.6628814673217479; 0.8621006465525761 0.7519246574961702 0.999999998168091; -1.0 -0.6421533560859299 -0.9999999397974665; -0.9338176413437885 0.9999999999174749 0.9999999999433385; -0.9271813475426764 0.9999999999786828 -0.9999999981595927; -0.4564421446314079 -0.9999999976225713 0.9999999998626175; 1.0 -0.9997078597368625 0.9999999999969491; -0.9985200242020456 0.999999999969419 0.007759884996025834; 0.7229788616803298 -0.9890533409759349 0.1052721743466136; -0.37694047505523004 -0.9999999992755619 -0.9999999991719971; 0.7658692318792181 0.40256766827324264 -0.999999635129859; 0.9999999999934451 -0.9988571566304599 -0.999999999997804; 0.9999999990569642 0.99999999988097 -0.0837398826554393; -0.9999999999280137 -0.9998741188363834 0.614929804120966]
