"","criteria","design"
"1","EXACT-I","-0.8052 -0.5653 -1 -1 0.3061 1 1 -1 1 1 -0.0174 0.0524 -0.024 -0.024 1 -1 -0.1528 -1 -1 -1 0.8613 0.9168 1 -0.1531 1 -0.0482 0.0628 0.0628 1 -1 1 0.0475 1 -0.7339 1 -1 -1 0.1993 0.0152 -1 -0.0056 -0.0056"
"2","ROBUST-I","0.999999999999965 -0.000494144337485816 0.993990515699543 0.99999999998659 -0.999999999996047 -0.00182986884311761 0.999999999999402 -0.994786448581076 -0.999999999997878 -0.00345002158840764 -0.999999999999511 -0.00107224753070808 -0.999999999997615 0.999999999999918 -0.99999999999418 -0.994024965880949 0.00315880616500522 -0.999999999992076 0.999999999998482 0.000734916101698404 0.999999999977269 0.00142806310484153 -0.999999999998611 0.00072314111745039 -0.999999999993831 0.994747159615584 0.999999999997709 0.999999999989905 0.999999999992167 -0.0032688592497714 -0.00442495257291741 -0.999999999982303 -0.99999999999964 -0.995228811041734 0.999999999996902 -0.00340545633618395 -0.999999999998495 0.99353421917523 0.999999999998358 -0.00320045402806864 0.999999999999178 -1"
"3","EXACT-G","-1 1 0 0 0 0 -1 -1 -1 1 -1 1 1 1 0 0 -1 1 0 0 -1 -1 1 -1 1 -1 1 1 0 0 0 0 -1 1 -1 1 -1 -1 1 1 -1 1"
"4","ROBUST-G","-1 0.999999999999995 -0.288611433228798 0.999999999999999 1 -0.999999999999999 0.841069296224595 -0.327990091782113 -0.999999999999998 0.992407801935398 -1 0.999999999999999 0.282670698754038 -0.99886326697235 -1 -0.432346490922106 -0.999999999999999 1 0.999998876265641 0.839023768023589 -1 0.999999999998212 -0.999999999999992 0.149860675073177 1 -0.99999999999994 0.999999468766248 -0.253490560253884 -0.997391482417488 -0.999999999999998 0.999989563715341 0.999999999999999 -0.999999999999991 0.527975150178204 -0.512883124089993 1 0.904790879896494 0.563121379204201 -1 0.999999999999999 -0.561210469095377 -0.999961200489606"
"5","CCD","-1 -1 -1 -1 1 1 1 1 1 -1 0 0 0 0 -1 -1 1 1 1 1 -1 -1 0 0 1 -1 0 0 -1 1 -1 1 1 -1 1 -1 0 0 0 0 1 -1"
