nPsoRun,n_iter,S,fgbest,optDes
11,1316,300,0.5360585752522379,[0.9917951340233584 -0.008115682058165338 -0.008308267536033772; 0.005109670280919416 0.9884659375809562 -0.005135363419540015; 0.007638328719824893 -0.006451768249197614 0.988957584522406; 0.9999994266105691 0.9998182908223161 -0.9999965544686682; 0.00694855770982882 -0.01198708049591016 -0.9914259250402242; -0.9885554698010651 -0.002577409292520783 -0.003687766337275167; 1.0 1.0 0.9999887940674023; 1.0 -0.9999998537731897 -0.9999995472831229; 0.006619355521488488 -0.9918669198609522 -0.002663506652959782; -1.0 -1.0 -0.9999893729727033; -0.9999979093434214 -0.9999986622779713 1.0; -1.0 1.0 0.9999973842940754; -0.9999949700065868 1.0 -0.999998879522092; 0.9999991319201776 -1.0 0.9999948352364499]
12,2122,300,0.587210807495619,[-0.936441190231514 -0.9537315501370559 -0.99999994133634; -0.9999998751486882 -1.0 0.915728706318368; -0.9999999862998993 1.0 -0.18159371149089779; 0.0888376099115745 -0.011790688516675574 0.003895498472941649; -0.5653343802026687 0.5914334152699963 -0.9999999908194277; 0.9997832331856638 0.7880921809157488 -0.9999994237251293; 0.9999999873804298 -1.0 0.9999965120198644; -0.19267600895649603 -0.026215074694397544 1.0; -1.0 -0.19760880843944073 -0.051950635181923006; 0.9999999954464521 -0.6896163921385977 -0.5808547758792939; 0.1398797998421151 -0.9999998163139493 -0.3810270024951284; -0.8149004264724413 0.9999989739644232 0.9999999455240356; 0.3873281878970095 0.9999999986751115 0.026226661374258765; 0.999998988393489 0.6444041518386692 0.9992243458483567]
13,2909,300,0.5901792250414578,[0.9181860290997149 0.9999999978650458 -0.8579316307307021; 0.9999999575342549 -0.999998229059274 -0.07774982593104385; -0.014248055911981283 -0.04458331930890199 0.016689202079176995; 0.9974213378091361 0.6283187660500797 0.7206279424523424; -1.0 -0.9941847695625946 -0.9714406906093729; -1.0 0.26869551568314654 0.9999999886628206; -0.7037212814272162 -0.9989010693161547 0.665192156472462; -0.038159335587711736 0.9999999977384426 0.9999999989198901; -0.010903608123823367 -0.05861969529935149 0.0190508732768483; 0.8948841137136582 -0.9994573957414044 0.999999985830919; -0.6619234938952351 0.6303164771417613 -0.9980990712151722; -0.9999999924344042 1.0 -0.00557116348364491; 0.14214368601459054 -1.0 -0.99999999453988; 0.9999999913027771 -0.04078769589371141 -0.9999999981236252]
14,1967,300,0.5405245967564346,[0.9999996842607504 -1.0 -0.8637374370475254; 0.9450777465909245 -0.00034324499446465286 -0.002327609833705934; -0.007772129394955114 0.013263347594879392 -0.9991412096121804; -0.9999998902571923 -0.9999999366432596 0.8337625096777885; -1.0 -1.0 -0.9999998468807095; 1.0 0.9999997184031529 -0.9999998031182956; -0.0034253162433322526 0.010078845646439427 0.9998759516322141; -0.9999997080572169 0.9999999923933696 -0.7881296337370727; 0.9999999912488269 -0.9999999931367194 0.9999999857010697; 0.9999999927163102 1.0 0.8200722677861126; 0.000900878724656773 -0.9378362648273199 -0.00480639297912701; -0.00037527240332379267 0.9971495844148563 -0.0011688924193240648; -0.9999985941284133 0.9999963411792347 0.9999995399064631; -0.9856446245226484 -0.0004427047337781527 0.004355605216130213]
15,2063,300,0.5895570854114928,[0.9997491508853296 -0.9864451324894937 -0.9999999236583265; 0.9999999944849199 -0.9999999678260113 0.9999997972017933; -0.3454139991779001 0.45428425262239563 -0.9999995451911771; 0.07938751810642761 -0.30393234396120306 0.9999999816650281; 0.9999998928748928 -0.1349596676638875 -0.11430517705669135; 0.16072133455397 -0.9999921916723069 -0.14802584513704423; -0.9995247335619134 -0.9999999959050858 0.5806109712599384; -0.9999994779874656 0.9999969268533782 -0.5112100347964149; 0.9999999999887678 0.9999999999988657 -0.9999999999144291; -0.9999999432498812 -0.9138538887031272 -0.999999478833551; 0.9999999973813832 0.9521444773277437 0.7541362826416295; -0.9999999978306866 0.29187874710389144 0.738312292221954; 0.09535174873623078 0.007976278885587712 -0.0689272291157575; -0.3798825353510833 0.9999999665702417 0.7728075656228056]
16,3749,300,0.5912953472801125,[0.12719268645234783 -0.09981835659755645 0.9609720520245799; 0.9999999999888406 0.5326963580537556 -0.8312157542429214; 0.992488297406686 -0.9999999975375844 -0.9964585059728154; -0.44564140052108386 0.2436980191740422 -0.9999999999973794; 0.3366274229928165 0.999999999979967 -0.49797928784956014; 0.2216554354988876 -0.13120937394740037 0.028669411291547986; 0.021083783871510716 -0.9999999999954194 -0.03629396858761509; 0.999999999927496 -0.9999999999994553 0.9999999999710645; 0.9999999999887015 0.6902811866606777 0.7861267507940469; -0.9999999999999484 -0.9999999998915616 -0.9999999979822368; -0.9999999999517666 -0.26174018556779005 0.18363845213218208; -0.9999999999903866 0.9331653627937989 -0.34519342986807705; -0.9905617848958006 -0.9999999999971447 0.9999999999090865; -0.5578944169457297 0.9999999972247016 0.9999999999999275]
17,3958,300,0.6030115292841489,[0.22680477266617816 0.07931592763789948 -0.07921377241583769; -0.012264851451353158 -0.7086670289170992 -0.3680967869900096; -0.47513265431200724 -0.0010608015057008385 0.9999999772161143; -0.999999999669189 -0.9999995637040192 0.37743478106946055; 0.05007106231389796 -0.9999999988991749 0.9999986016065726; -0.6144783398821546 0.999999964019188 -0.999998622353308; 0.9999996151863602 -0.6914069545413769 -0.9999997798701322; -0.9999999556183443 0.2644110785828804 -0.3813407421952038; 0.9999999334736571 0.5218051224194143 0.9999978871458424; 0.99999853785287 -0.9354814761698494 0.58460759112758; -0.999999990232209 0.9999999941794233 0.9999997117503152; 0.9999999856718137 0.9998804379886458 -0.8652384401977525; -0.9986359780288535 -0.99974500932003 -0.9999999997437047; 0.2358830144532519 0.9999999999290954 0.5517327294574518]
18,4339,300,0.5754867075706629,[0.9999999999532009 0.999650621935068 0.9999999999987161; 0.9999999999863117 -0.9999999999380181 0.9999999976279961; -0.9999999997583601 0.8307222996480925 -0.9999999998023162; -0.040567678587246976 -0.9999999998054597 -0.02526013149369103; 0.9999999998588025 -0.027900307416968848 0.020342426409255515; -0.9995084901397214 -1.0 -0.968539867156557; -0.014892591697576871 -0.118796836038823 -0.056296512104301186; 0.5435525909225949 -0.015558553096764304 -0.9999999999998576; 0.9999999999985304 -0.9999999999768707 -0.9999999996107916; -0.9999999997808716 -0.9999999999942454 0.9999999999999112; 0.5788694940351303 0.9999999999844837 -0.6648904452040879; -0.9999999999994016 0.04340205526917524 0.5164870818765772; -0.5462410176932309 0.9999999998882148 0.6251529802080403; 0.019476345616088714 -0.1107106721250907 0.9999999999550357]
19,5622,300,0.6135394254315178,[0.9999999999747985 0.9519565606183052 -0.9867115626880649; 0.6483175960909209 -0.0010005593528528169 -0.21052026130705617; -0.9999999997295198 0.7639116479694972 -0.3116080954101048; 0.9999999876949565 -0.12437485517958036 0.9999999998519342; -0.18604948235005955 -0.16686093485179831 0.9999999997973694; -0.9999999997332496 -0.9999999115434415 0.46406680310566556; -0.12125049035742573 -0.1439489352235961 -0.40718044681807164; -0.39026312974847005 0.9746005285754089 -0.9999999999365577; -0.9999999606520016 0.7463332512427221 0.999999999987534; 0.0811863128733356 0.9999985491056862 0.2588285941777242; -0.8987654321443029 -0.9818608691103593 -0.9999999990820059; 0.8981612448654556 -0.9999999999803453 -0.999999999999973; 0.999942865952682 0.9999999999952619 0.9966703569843537; 0.6551728372097062 -0.9999999999999989 0.6250686203057082]
20,2398,300,0.5609317508055245,[0.9999999824412283 0.8730486397349898 0.9234035181553945; -0.9999998235281323 0.9999975959330057 -0.999999719409898; -0.8016853605019854 0.03979591128295432 0.00853936837890748; 0.9999980582830797 -0.9718174917998674 -0.93993575068663; -0.08480253431050265 -0.01962414317417825 0.9999879941856034; -0.048063857456057325 0.9999999831329577 0.004664109276245201; -0.09272786659512906 -0.9999882019183544 0.019698855051298293; 0.9999993263272795 -0.9840311316994294 0.9523793721758449; -0.9999975533390917 -0.9999998742815269 0.9999983496457575; 0.9999931743691106 0.8623338031891499 -0.9080186374723679; -0.9999988611400276 0.0026136143328931377 -0.00750247072237704; -0.9999999049651962 -0.9999999949800303 -0.9999913973002419; -0.999999215797504 0.9999998818530391 0.9999992863964717; -0.07493786461789943 -0.022746723878936902 -0.9999999983119949]
