"","criteria","design"
"1","EXACT-I","1 -1 -1 0.003859 1 -0.768301 0.094936 0.094936 -1 1 -0.003859 1 0.768301 -1 -0.094936 -0.094936"
"2","ROBUST-I","0.999999999982182 -0.0562549060977092 -0.0556781433766467 -0.134435093345869 0.794191086430224 -0.999999999999973 -1 0.999999999999748 -0.999999999995846 -0.999999999780036 0.999999999959687 0.000207801945124454 7.93956796407917e-05 -0.629994507013953 0.63083538702178 0.999999999985413"
"3","EXACT-G","-1 -1 1 1 1 -1 -0.063291 0.063291 -1 1 -1 1 -0.05219 0.05219 -0.824605 0.824605"
"4","ROBUST-G","-0.999999999999999 -0.51852101037354 1 -0.999999999995933 0.518521010370149 0.99999999999999 -1 1 -0.999999999999974 -0.999999999995114 0.999999999999974 0.518521010371753 0.999999999998328 -0.999999999999992 0.999999999999999 -0.518521010370671"
"5","CCD","-1 0 1 -1 1 -1 0 1 1 1 1 0 0 -1 -1 -1"
