nPsoRun,n_iter,S,fgbest,optDes
11,1468,300,0.8340143150566359,[0.006044711780340048 -0.15721180413144908; -0.9999995071032534 0.01533078266311849; -0.008966148334336942 0.7967233571650378; 0.9999989716069227 -0.12046019566207254; 0.9999979333923444 1.0; -0.999999743481993 1.0; -0.7336197867825555 -0.9999955151450121; 0.513463045404177 -0.9999999563541445]
12,1377,300,0.8358832084678888,[-0.9999939598755763 -0.999999894452702; -0.049344453708764745 0.9999821832006248; 0.148546183099954 -0.006594330368344683; 0.16124845188445475 -0.9999963423667414; -1.0 0.9999993767642458; 1.0 -0.4628283626488302; -0.7996466830752433 0.010411621717030367; 0.999960806077254 0.7970428928719422]
13,1761,300,0.8333544387604419,[0.9999999999995642 -0.9999999999999837; -0.9999999999994453 0.10049230326979532; 0.006790102237386883 -0.793682292969914; -0.9999999999985812 -0.9999999999991733; -0.588190435916301 0.9999999999994169; 0.0047466619775593764 0.1529947976258568; 0.7035608197633939 0.9999999999999871; 0.9999999999985882 0.027351774356820117]
14,1596,300,0.8337160300645206,[0.7962348180719153 0.005980964349356858; -0.14581794855383876 -0.009437179340415384; -0.9999999999757999 -0.5302657905797568; 0.004612423608806356 0.9999999999997642; 0.9999999999980527 -0.9999999999992492; 0.9999999999873064 1.0; -0.10661492778895255 -0.9999999999608131; -1.0 0.710864724159663]
15,1241,300,0.8344975806358932,[0.999990441130398 -0.01825650249536035; -0.5108106704317552 0.9999997412028139; 0.013951559030688386 -0.796841492824087; 0.9999999001659614 -1.0; -0.9999997107364864 0.13991901039762805; -0.9999994607633724 -0.9999998837167308; 0.769326588803135 0.9999999843300542; -0.0014784837241105613 0.17989884465612566]
16,1174,300,0.8344576549716206,[0.16347771185917237 -0.002053984505796317; -0.02645405449895372 0.9999941033990631; 0.9999999268861036 0.750366577933823; 0.13109839155049613 -1.0; -0.99999952883901 0.9999999136002092; 0.9999996767710826 -0.49595966790940327; -0.7974554882506188 0.011265309205403784; -0.999990327525187 -0.9999999329124346]
17,409,300,0.8337132134666073,[0.9999940375087196 0.9999012215331743; -0.9999826507604389 0.6365189591047907; -0.9999954905758903 -0.6900262618399813; -0.055950212334878964 -1.0; 0.9999952569298659 -0.9999982487613179; -0.08887617379984236 0.9999994763039164; 0.7920275908204962 -0.002700344645176694; -0.15789030362295206 0.0016740266638435423]
18,1831,300,0.838075487799641,[0.008155463704500853 0.8389084460744028; 0.9999999999975598 -0.9999999999963924; -0.8426642570914731 0.003665963185488145; 0.9999999999995 0.9999999999972287; 0.0026453582799025053 -0.8399783744177625; -0.9999999999988612 0.9999999999525131; -0.9999999999633293 -0.9999999999980812; 0.8366242559536637 -0.0018544348901237918]
19,1855,300,0.8334671446620101,[-0.7955623227661022 0.0028968851109836035; 0.12281522817477156 0.018762614845533862; 0.9999999998983851 -0.6253260418162597; -1.0 -0.9999999995211174; 0.04106112982079598 -0.9999999990565728; 0.05256440175088928 1.0; 0.9999999999989803 0.6008498523109547; -0.9999999999563634 0.9999999982922533]
20,583,300,0.8358599575407308,[0.999963783469485 0.7853227638343694; 0.15334361403902722 -0.004107836162310769; -0.999938912173437 -0.9999865432901276; -0.7997000031511334 0.010863909406559735; 0.9999964938089696 -0.45465142739189035; -0.9999802345906859 0.9999935588389499; -0.05309784436031028 0.9999646985856724; 0.15447721374527226 -0.999999927287427]
21,1539,300,0.8345478759883763,[8.158997278836744e-6 0.17849500441655897; -0.7704849311068931 0.9999995434926016; 0.9999760112703948 0.14086622092610535; 0.5125587899396953 1.0; -0.014224904490178632 -0.7968915880858194; -0.9999997748249638 -0.9999999385336648; 0.9999999557476199 -0.9999999998541926; -0.9998263715950613 -0.01751196544405962]
22,3048,300,0.8345620686513141,[0.9999998756682061 -0.021313941303593868; -0.9999999660421215 0.13802287890161546; 0.01192574187459674 -0.7974542889207664; -0.5034663926724731 0.9999999999735977; 0.7671470728766812 0.9999999994407716; 0.9999999985026269 -0.9999999999034602; -0.012791706267440492 0.17551053995706845; -0.9999999944258275 -0.9999999999508646]
23,1950,300,0.8389102579727146,[-0.0006447274521237884 -0.827072575834458; -0.999999994012021 0.999999995401246; -0.8467708069677441 -0.009158317863524765; 0.999999999993679 -0.9999999999758377; 0.8326194783930146 -0.03334577785440998; 0.9999999966673236 0.9999999999456003; 0.024139201498281356 0.850395877447102; -0.9999999972592265 -0.9999999875083739]
24,1272,300,0.8586394765506067,[0.025858235012958416 0.9999999997431626; 0.9999999999973229 0.897942983848319; 0.5591585983513545 0.005499720900807363; 1.0 -0.9855790192474568; 0.027625677471431822 -0.9979597672277409; -0.9999999999203532 -1.0; -0.9999999997915423 0.9122359073809048; -0.6189590524052455 -0.01701024371334073]
25,1648,300,0.858524225542735,[0.010498421166511982 -0.6535661973093864; 0.01861730648108942 0.531648188969415; 0.9987228081994417 0.029050677462854384; -1.0 0.08035052900184048; 0.9999967052225147 0.999999999999909; -0.8617863707418106 0.999999999992503; -0.9278909236646697 -1.0; 0.9999999996380154 -0.9999999999981851]
26,1161,300,0.8380534847446268,[-0.9999999999788219 -0.9999999994980445; 1.0 1.0; 0.9999999999987762 -0.9999999999568641; 0.008084424102242494 0.8394785022582659; -0.8409230064309592 0.005811957607223353; -0.9999999999905848 1.0; 0.8383194023838019 -0.0057070939435969106; -0.0034341620686963435 -0.8395868866801823]
27,1881,300,0.8364358891984416,[0.15750454299266686 0.0006674200360985324; 0.9999999926317076 -0.8019788487246823; 0.16477603648223918 0.9999999545454489; -0.9999998351129425 0.9999998566574522; -0.06018284508702387 -0.9999999987419018; -0.8004959901314326 -0.012183053069284631; -0.999999484689035 -0.9999985863291289; 0.9999999987915371 0.44379495793215407]
28,1278,300,0.8366816208875132,[0.9999980189211405 1.0; -0.15404142326146875 0.0063090198639543715; 0.8008297122536834 -0.010964395855678617; -0.9999978683185046 -0.8156983201071666; 0.05855936565045306 -0.9999955049154647; -1.0 0.4479269799537895; 0.9999979715931203 -0.9999995890588874; -0.17300425661569463 0.999969866742901]
29,809,300,0.8334992328565959,[-1.0 -1.0; -0.9999756887182788 0.10803638086919581; 0.00930293934419273 -0.795100502551733; -0.5521038301689308 0.9999999645877513; 0.999926551763583 0.005984879363367909; 1.0 -1.0; 0.009636977684933096 0.1517109655512987; 0.7119348301323862 1.0]
30,2962,300,0.8592661433656218,[0.009659100245101176 -0.5870634805401329; -0.9999999997617621 -0.007187663260075967; -0.9807799646673584 -0.9999999999928872; -0.9962502859396773 0.999999998615194; 0.9531654392675987 -0.9999999998884128; 0.9999999998450828 0.018191605587509842; -0.01343359944368168 0.5757179829666998; 0.9319182155592205 0.9999999999809079]
31,272,300,0.835752191183411,[-0.9982978299132529 -0.6245911731978816; 0.7937100659409525 0.0024710473914107815; -0.10742858849161385 -0.9988387475490393; 0.9997908557502541 -0.9999999994288469; -0.9952326301998751 0.7183449288487338; -0.1674322047363574 -0.004217011043561045; -0.04779796123060803 0.9996455989357209; 0.9994847704608438 1.0]
32,1459,300,0.835276302630726,[1.0 0.776969756457986; -0.9999998692801216 0.9999998719500753; -0.7988196660940319 0.014050337466179045; -0.04080997792123164 0.9999999972079749; 0.1468170794641509 -0.9998728003900869; -0.9999999481531633 -1.0; 0.999999996706739 -0.4726917916111533; 0.1743491628536843 -0.0011818441863398342]
33,973,300,0.8335228564473451,[-0.5444441184919229 -1.0; 0.7144350852113763 -0.9999999308519886; 0.9999999999441591 0.9999999801285985; 0.006907989967526273 0.7954899756790336; -1.0 -0.10825137876876452; -1.0 0.9999999817102792; 0.9999999933887381 -0.002996454902314553; -0.00490136881271521 -0.15026546616621378]
34,1353,300,0.8331065460424537,[-0.0012617002132825903 -0.7934523693140167; -0.6581523515127992 0.9999999999999999; -0.9999999272116784 0.05183432671504156; 0.625734150577311 0.9999999999999865; 0.9999999999812862 -0.9999999997785183; 0.0015007699446776877 0.14248359694795731; -0.9999999999958247 -0.9999999999999397; 0.9999999955146012 0.07188790612913598]
35,1172,300,0.8625358677141484,[-0.9999996243616205 0.7961495354076714; 0.032798129166319044 -0.9999999845060943; -0.1094027000350866 0.9999999878933078; 0.9999998073598327 -0.8456304157755806; -0.9999996714376569 -0.9676398685536046; -0.5170112518913257 -0.06698511327944523; 0.628173884219228 0.02949621803978833; 0.9999996049817252 0.9999999911865306]
36,1371,300,0.8333909997889795,[0.9999999999799855 0.999999999943926; -0.006007635981600787 0.7950921518293507; 0.004589499702196995 -0.14764829164999216; -0.9999999887922505 -0.01024225277953377; -0.9999999999961252 1.0; -0.7058405781133664 -0.9999999992847945; 0.9999980977922509 -0.10277531082204994; 0.5565416351228611 -0.9999999988525811]
37,859,300,0.8599716209658032,[0.9770552250304937 0.999999975257286; 0.9997773862723383 -0.9999998324435542; 0.007615205025216801 0.5407243268014518; -1.0 0.043894378514184956; -0.9551182805474376 -1.0; 0.9999975276365215 0.03201748519770612; -0.944040748335113 0.9999902771304727; -0.0024491562657846045 -0.6202450257715196]
38,1250,300,0.8524873731578,[-0.9999999999424216 0.9999999999999644; 0.35404085950038333 0.9999999999988319; -0.35417326728438053 0.3655202085343444; 1.0 0.3466540731780691; -0.3522290107817158 -0.999999999996605; -1.0 -0.34470345801007773; 0.9999999999729645 -0.9999999999888712; 0.34487057197994286 -0.3749374503377456]
39,1110,300,0.8588775484478584,[-0.999999963571341 -0.015770394553831918; 0.9999999631448704 -0.007432263975439899; -0.9392851462374907 1.0; 0.003610103530027431 -0.5711342802520046; 0.001568471190624248 0.5957361987474555; -0.9273661726220652 -1.0; 0.9962115746236303 -0.9999999891036696; 0.9951060886565691 0.999999999302935]
40,2146,300,0.8337861764623521,[0.9999999999999996 -0.9999999999999993; -0.9999999999999928 0.5468123134768313; 0.7949315093595847 -0.011683947961238714; -0.16591394118369066 -0.009351063747089845; -0.001929000434194874 -0.9999999999771443; -0.9999999999995078 -0.7387866962033002; 1.0 0.9999999999999982; -0.12292752535705291 0.999999999999995]
41,2767,300,0.8332739013215259,[-0.5737749169645538 0.9999999999998747; 0.9999999999933248 0.02112138744984723; 0.9999999999999627 -0.9999999999819478; -0.00943267112591172 0.1443839336504606; -0.9999999999979381 0.0946794888868665; 0.6942394973767771 0.9999999999998317; -0.9999999999996931 -0.9999999999999357; 0.0037612809718921285 -0.7946561554580308]
