nPsoRun,n_iter,S,fgbest,optDes
23,2813,300,-19.018355397443287,[0.3591168694977642 -0.9999998631774887; 0.4245723932793175 0.9998726291461383; -0.9999999999999998 -1.0; 0.9999999999999992 -0.979264333477826; -0.9947984969411442 -0.5914249217536711; 0.9999999999999983 0.5315022006059616; -0.7946317874291666 0.6550638207594317; -0.9999999999999998 0.9999999999999972]
24,1587,300,-20.641886775832358,[-0.9999999999999993 -0.999999999999985; -0.9999999999999896 0.9999999999999365; 0.9998906856407505 -0.5186782714402346; -0.5186456594662459 -0.9999220315058758; 0.5186718335255076 0.999925136309895; 1.0 -1.0; -0.9999635689306029 0.5186355843015479; 0.9999999999999993 0.9999999999999981]
25,1261,300,-20.641954838874224,[0.5185495182557186 -0.9999785534263367; -0.5185368406990728 0.9999955907540681; 1.0 0.999999999999998; -0.9999923170246942 -0.51854352874036; 0.9999999999999518 -0.9999999999999774; -0.9999999999999997 0.9999999999999372; -0.9999999999999325 -0.9999999999999996; 0.9999845717087372 0.5185414058965268]
26,1109,300,-20.639986916906462,[-0.9999999991695802 -1.0; -0.5200452737187945 -0.9995855111660462; -0.99834836252417 0.5206079224678049; 0.9999999999353628 0.9999999999196327; 0.5199154092280285 0.998838854602702; 0.9997972467532418 -0.5195045769599617; 0.999999998005311 -0.9999999985052664; -0.9999999996052038 0.9999999993773583]
27,312,300,-20.613903297760746,[-0.9999679296185867 0.9999994889973115; -0.9834352421806499 0.5605490066651159; 0.9999986848491266 0.9999911860992969; -0.5579693177831206 -0.9801792454998535; 1.0 -0.9999924485058396; 0.5676689288292408 0.9679500515125294; 0.9695907438454614 -0.5627549602456055; -0.9999063172734349 -0.9998973924310531]
28,1893,300,-20.62828489855102,[0.9973439379517317 -0.5253058510514522; 1.0 -1.0; 1.0 0.9999999999999949; -0.9887146673947124 0.5331952134121469; -0.9999999999999982 0.9999999999999994; -0.5274798166603887 -0.9996354644967519; 0.5290605897594187 0.9908002211040652; -0.9999999999999997 -0.999999999999999]
29,1623,300,-20.62979889998038,[0.993682166508138 -0.5307281700975174; 0.5346301986876464 0.987792787036542; -0.5319519439211864 -0.9978422736838038; -0.9865509406181832 0.5380559553424419; 1.0 0.9999999999999994; 0.9999999999999998 -1.0; -0.9999999999999982 1.0; -0.9999999999999992 -0.9999999999999993]
30,2328,300,-20.64168778535331,[0.9997373059043935 0.5188774086334013; -0.9999276086446579 -0.5186846152612231; 0.5187251605486933 -0.9999999979440689; 0.9999999999999997 1.0; -0.9999999999999998 0.9999999999999977; -0.5187776957330754 0.9997794949442182; -0.9999999999999988 -0.9999999999999992; 0.9999999999999991 -0.9999999999999966]
31,922,300,-20.64197690759045,[0.9999993252896694 0.5185219258029312; 0.9999999995993727 -0.9999999998992721; -0.999999687275481 -0.5185219616625585; -0.9999999995015513 0.9999999996063195; -1.0 -0.9999999998594171; 0.5185222333854415 -0.9999991159354008; 1.0 1.0; -0.518521734851221 0.9999997472464781]
32,2217,300,-18.856530218818534,[0.9999999468955437 -0.36523693518498734; -0.999746164047882 -0.44974106196796837; -0.5136454510063447 -0.9999999999995519; 0.9852188734684191 -1.0; -0.57104751957088 0.8611768551315737; 0.9999999999990334 0.9999999999997078; 0.6303041561482869 0.9420515805905718; -0.9999999999999989 1.0]
33,1856,300,-20.64098584088487,[1.0 -1.0; 0.5198959350977554 0.9989954731589705; 0.9999999999999987 1.0; -0.9995209756343361 0.5196947587937855; -0.9999999999999997 1.0; -0.5193778826791712 -0.9997458461433832; -0.9999999999999996 -0.9999999999999998; 0.9992771152417477 -0.5195465850163871]
34,2470,300,-20.631995909295647,[0.9999999999999991 -0.9999999999999967; -0.9999999999999993 -0.9999999999999915; -0.9999999999999981 0.9999999999999999; -0.5274355613438951 -0.9953639787981223; -0.9921898278919965 0.527949136745176; 0.9999999999999993 0.9999999999999976; 0.5244923578273584 0.9954672733408267; 0.9999999365331109 -0.5237276959708674]
35,2501,300,-20.641070771299475,[0.9999999999999984 0.9999999999999989; 0.999999999999999 -0.9999999999999902; 0.5194765831066079 -0.9992552502614515; -0.9999999999999987 0.9999999999999907; -0.9999999999999916 -0.9999999999999998; 0.9994194992421583 0.5191640076648325; -0.5189090103968105 0.9998726739883688; -0.9999866170991517 -0.5190782242259707]
36,2640,300,-19.018424001423416,[0.9894794143240104 1.0; -0.6581217497089709 -0.7897194050469768; 0.9999999999999818 -0.9999999999999993; 0.9999923657628821 0.36019899824534607; -0.9928300131586425 0.4312638014377214; -0.999999999999998 -0.9999999999998584; 0.5887169107848994 -0.9996210679634122; -0.5333639514385013 0.9999999999952577]
37,1766,300,-17.212255716619268,[-0.07117189977346365 -0.9999999999988775; 0.0711718996774385 0.9999999999997957; -0.9999999999999981 0.9999999999759488; 0.9999999999999996 -0.9999999999999997; -0.9999999999999105 0.07117189970102074; -0.9999999999999986 -0.9999999999999922; 0.9999999999999077 0.9999999999817533; 0.9999999999980187 -0.07117189972584219]
38,3129,300,-20.640164296917852,[0.5196022987612775 0.999015078268033; -0.5196392276128722 -0.9998185735289061; -0.9999999999794045 -0.9999999997908413; 0.9998945501294174 -0.5191906583316812; -0.9999999999353989 0.9999999999584929; 0.9999999999896654 -0.9999999999971348; -0.9986055534238494 0.5202272452508655; 0.9999999999967982 0.9999999907235353]
39,1897,300,-20.640818456968486,[-0.9999999999194901 -0.9999999999968009; 0.9995242629705515 -0.5193540025639921; 0.9999999999896314 -0.9999999999970403; -0.5193858648471836 -0.9999471454610842; 0.5196337786457474 0.9991468216997966; -0.9989867343076169 0.5199641705518407; -0.9999999999719655 0.9999999999806926; 0.9999999998148255 0.9999999999802568]
40,2488,300,-20.64188753450775,[-0.5193352257241595 -0.999561147695379; -0.999600531802021 0.5193206150787407; 0.9999999999646257 -1.0; 0.5193472183599637 0.9995788749504759; 0.999542823818187 -0.5193601289665681; 0.9999999999559392 0.9999999999252367; -0.9999999999902246 1.0; -0.9999999999982981 -0.9999999999987297]
41,1353,300,-20.63900484839292,[-0.9999999999999974 -0.9999999999999949; 0.9999941297783825 -0.5194930409948005; -0.520340129016812 -0.999555028165558; 0.999999999999955 -1.0; 0.5200637409734823 0.9985740549175779; -0.9978121877641969 0.5210978534284336; 0.9999999999999787 0.9999999999999902; -0.9999999999999792 0.9999999999999885]
42,9056,300,-18.64837401740497,[-0.9999999999998026 0.9999999999999329; -0.9458933208296548 0.4645388067662847; -1.0 -1.0; 0.9989518659214289 0.4949058006054857; 0.4525669048394306 0.9982074840295266; -0.853443032138487 -0.7326145849296605; 0.9999999999999793 -0.9900336890719613; 0.3719671106060998 -0.9999999999999997]
43,1781,300,-20.63146900921701,[0.9997873427610673 -0.5224541696376641; 0.5242956807072583 0.9948001922204153; -0.9999999999999988 -0.9999999999999999; 0.9999999999999979 -0.9999999999999997; -0.5252918625894922 -0.9980857269043509; -0.9922452806286665 0.5278214908448292; -0.9999999999999982 0.9999999999999998; 0.9999999999999992 0.9999999999999997]
44,2050,300,-20.6418077340372,[0.9999512507963279 -0.5187095716439709; 0.518722225025604 0.9998752722330184; -0.9999999999999992 0.999999999999999; 0.9999999999999999 0.9999999999999979; -0.9999999999999997 -0.9999999999999988; 0.9999999999999993 -0.9999999999999992; -0.9998109667104136 0.5187835079435003; -0.5187847354387883 -0.9998598915729886]
45,3601,300,-20.635391056334797,[0.9999069425882474 0.5196321181561362; -0.9999999999999981 -0.9999999999999973; -0.9999999999999994 0.9999999999999999; 0.9999999999999996 -0.9999999999999946; 0.5204121308796065 -0.9981967249346689; -0.9995573980516165 -0.5197380429467546; 0.9999999999999997 0.9999999999999968; -0.5206799803524531 0.997958875099976]
46,1833,300,-20.631839639842795,[-0.9999999999999991 -0.9999999999999999; -1.0 0.9999999999999988; 0.5271017610045 0.9927293039143582; -0.5218609179371207 -0.9999806742318442; -0.9984881641160601 0.524564996895179; 0.9999999999999997 0.9999999999999999; 0.9951648339272371 -0.5236949866481937; 0.9999999999999992 -0.9999999999999988]
47,1957,300,-20.634725669288635,[-0.9999999999999978 -0.9999999999999999; 0.9999999999999991 1.0; 0.9999999999999991 -0.9999999999999984; 0.5203250665999162 -0.9999082722547123; -0.524464739514043 0.9949277730335012; -1.0 0.9999999999999994; -0.9964032824101204 -0.5220442255628418; 0.999999999993329 0.5219160003410929]
48,2195,300,-20.641106353219183,[0.9999389418744007 0.5189340079358383; -0.9996019425500453 -0.5189179660153939; 1.0 0.9999999999510905; -0.9999999323768147 -1.0; 0.9999999998566672 -0.9999998839296924; 0.5187299976213239 -0.9999985703899289; -1.0 0.9999999910186738; -0.519167264707028 0.9994563541321309]
49,1277,300,-20.641977013860277,[-0.5185215166245631 0.9999996112061383; -0.9999999886926345 -0.5185214174086239; 1.0 -0.9999999999999606; 0.5185217356612463 -0.9999996667819896; -0.9999999999996255 -0.9999999999999285; -0.9999999999999709 0.9999999999997035; 0.9999993352040043 0.5185218110756858; 0.9999999999999446 0.9999999999998329]
50,3135,300,-20.641569748149973,[0.9996702888500735 0.5189156863195066; -0.9999999999999999 1.0; -0.5187693423448734 0.9998151603149206; -0.9999999999999987 -0.9999999999999987; 0.9999999999999994 -0.9999999999999993; 0.9999999999999993 0.9999999999999999; 0.5188976916988268 -0.9998115315682176; -0.9999999734441791 -0.5187295561988559]
51,1094,300,-20.64172209176013,[-0.9999999982773521 0.9999999981868516; 0.9999999999779702 0.9999999927500434; 0.9999999999996596 -0.9999999999411427; -0.9999999987620747 -0.9999999992250904; -0.5188249224733705 -0.999763860721609; -0.999856080408346 0.5187333454868986; 0.9998478061660052 -0.5188175316834044; 0.5187100710045464 0.9999712852615544]
52,2338,300,-19.01419789238341,[-0.6522486240332523 -0.7843322404065765; 0.9985355746219818 0.9999999999999987; 0.5767432475739159 -0.9999724518275832; -0.9999999999999969 0.45035160564488397; 0.9999999999999827 -1.0; -0.9999999999999952 -0.9999999999999968; -0.5286692589305563 0.9999999999999939; 0.9999997786492871 0.3639725814658226]
53,1991,300,-20.639969782996435,[0.9990785520487265 -0.519747783791474; 0.9999999999996352 -0.9999999999985816; 0.5204629272295733 0.9983841458036165; -0.9999999999999393 -0.999999999996568; -0.5195495365426673 -0.9999909338644927; -0.9990936061851919 0.5203510519807213; 0.9999999999973161 1.0; -0.9999999999995481 0.9999999999999938]
54,2189,300,-20.641737709395763,[1.0 -1.0; -0.9999999999999998 1.0; -1.0 -0.9999999999999988; 1.0 0.9999999999999997; -0.9998210527050441 -0.5187321109458232; 0.9999986699227442 0.5185997394684068; -0.5186692014185302 0.9999650884499205; 0.5186475082602962 -0.9998835892775741]
55,1130,300,-14.110714896034244,[0.9999999999971063 -0.9999999979690076; 0.2646168734497295 0.9999999999996264; -0.9999999999950728 -0.9999999999874709; 0.046179805656343456 0.10688700738634566; -0.9999999999930754 -0.0660343575993264; -0.9999999999495583 0.9999999999978196; -0.0837700251565307 -0.9999999999906191; 0.9999999999922079 0.2643683328967225]
56,4783,300,-20.609211111214748,[-0.9999999999999887 0.9999999999999991; 0.5371988847024848 0.9822845440214267; 0.9999999999999996 -0.9999999999999976; -0.9772821531131113 0.5460388877664601; 0.9970145120941064 -0.5296814263570411; -0.5351730039985143 -0.9998901788522448; -0.9999999999999998 -0.9999999999999998; 0.9999999999999999 0.9999999999999997]
57,1903,300,-20.63145436169914,[0.9999999999999998 -0.9999999999999971; -0.9999999999999993 0.9999999999999996; 0.9999999999999992 0.9999999999999962; -1.0 -0.9999999999999997; -0.9999608547234559 0.5258503673134889; 0.9911908961483076 -0.5293013115048205; 0.5307433827389031 0.992079913542039; -0.5256528690180291 -0.9955390176973554]
58,2213,300,-20.641845054068103,[-0.9999999999999999 1.0; 0.5185858195333668 -0.9999983058951422; 0.9999999999999959 0.9999999999999997; -0.5186495732625876 0.9998931496363416; 0.9999474106981502 0.5186366895422051; -0.9999999999999999 -1.0; -0.9999373176580666 -0.518602115133495; 0.9999999999999997 -0.9999999999999997]
59,1196,300,-18.99606075717805,[0.9999999984402924 -0.999999927008254; -1.0 -0.5405216681227587; 0.9999998095913413 0.9999999979067564; -0.5114387471853071 -0.9999999665046357; -1.0 0.9998905016891659; -0.38404341517279844 0.995926110891889; 0.9999741586893013 0.57078552626906; 0.7431884322502675 -0.6911570196095886]
60,1926,300,-20.64183339621116,[0.9999999999999992 -0.9999999999999994; 0.5197108649436977 -0.9994369538712843; -0.5197399261771428 0.9993223494904954; 0.9999999999999988 0.9999999999999994; -0.9993967189929343 -0.5196924601656485; -1.0 0.9999999999999974; -0.9999999999999998 -0.9999999999999999; 0.9993027958379623 0.5197893444617334]
61,2410,300,-20.641697062470794,[-0.9999999999999983 -1.0; -0.9988150024274325 -0.5209191939755101; -0.9999999999999999 0.9999999999999997; 0.5210100994350577 -0.9986255186870954; 0.9999999999999994 -0.9999999999999999; -0.5208490992117374 0.9988276284674141; 0.9986902712915802 0.5209127389171744; 0.9999999999999997 0.9999999999999997]
62,3721,300,-20.64072373978798,[-0.9999922558745808 0.5192408282729915; -0.5189956907201188 -0.9998655490154394; -0.9999999999999967 -0.9999999999999989; 0.51976973311693 0.9990066259552682; 0.999242104017119 -0.5193379761001379; 0.9999999999999809 -0.9999999999999292; 0.9999999999999994 0.999999999999999; -0.9999999999996694 1.0]
63,2211,300,-20.641482763516933,[-0.5191357990749859 -0.9995482066971488; -0.9999999999999998 1.0; -0.9996204500126536 0.5189660012894683; 0.9999952307716669 -0.5188773039849679; 0.9999999999999987 -0.9999999999999997; -0.9999999999999998 -0.9999999999999994; 0.9999999999999999 0.9999999999999997; 0.5188076993250965 0.9998728993924442]
64,7147,300,-20.641948417593106,[-0.5185282975120605 0.99999975725994; -0.9999883170136981 -0.5185347375625341; -1.0 1.0; 0.9999999999999983 -1.0; -0.9999999999999992 -0.9999999999999997; 0.9999999999999974 1.0; 0.5185297955231266 -0.9999949635542631; 0.9999915315472776 0.5185310670823834]
65,1402,300,-20.641678216967478,[1.0 0.9999999999764446; 0.999904312110378 -0.5186446758758007; -0.9999999999362443 -1.0; -0.9999999993845974 0.9999999998384052; -0.5186190655367064 -0.9999898608095334; -0.9998639890030269 0.5186906692686618; 0.5186378001776661 0.9999297938725824; 1.0 -0.9999999989714217]
66,2746,300,-20.641949867098326,[0.5185431729753426 0.9999986640174963; 0.9999999999999999 0.9999999999999999; 0.9999999999999982 -0.9999999999999996; -0.9999999999999992 0.9999999999999999; -0.5185481635468479 -0.999977511564529; 0.9999733989574314 -0.5185578116409426; -0.9999918037879111 0.5185392123476688; -0.9999999999999997 -0.9999999999999997]
67,2767,300,-20.639172125956108,[-0.5203421916754468 0.9994909289343661; 0.999999999999999 0.9999999999999987; -0.9979012211758109 -0.521010169476574; 0.9999999999999983 -1.0; 0.9999771870046166 0.5195152420489615; 0.5200316844913504 -0.9986418995637777; -1.0 -0.9999999999999992; -1.0 0.9999999999999992]
68,5398,300,-20.602757372270815,[-0.9999999999999998 0.9999999999999999; -0.9730072770391579 -0.5513080218041434; 0.5394512048074321 -0.9812363283407296; 0.9999999999999999 -0.9999999999999999; -0.5443961490418996 0.9893811804203761; -0.9999999999999838 -0.9999999999999981; 0.9999999999999926 0.9999999999999993; 0.9995692001218828 0.5355251006521375]
69,470,300,-19.113727494916297,[-0.9999142435224624 0.5268968271042799; -0.5124589210238037 0.9997058388472687; -0.999998098120946 -0.9999420335456931; 0.9999896665616711 0.9999977531376711; 0.5118699873219364 -0.9990651555399634; 1.0 -0.5260696447336864; 0.663893302798614 0.6905434656625372; -0.672107220513855 -0.6828182126320982]
70,2085,300,-20.615698550951596,[-0.9877176630241673 -0.5329530180213851; -0.9999999999999933 1.0; 0.9911605271119962 0.5378091457714574; 0.9999999999999993 0.9999999999999996; -0.5414445460050663 0.9810659552939494; 0.9999999999999999 -1.0; 0.5305366019549977 -0.9999696441082031; -0.9999999999999992 -0.9999999999999997]
71,2035,300,-20.641875111543513,[-0.9999999999999969 -0.9999999999999997; 1.0 1.0; 0.5191861241734318 -0.999620632480453; 0.9996716258264854 0.5191483864690734; -0.5191534696306992 0.9997141264303933; -0.9999999999999993 0.9999999999999993; 0.9999999999999993 -0.9999999999999993; -0.9996181994706957 -0.5192144774568388]
72,1773,300,-20.63972293216882,[0.5199134743628592 -0.9999853096625297; -0.9996469338069872 -0.5195186311750221; -0.5201624255128985 0.9985263005688971; 0.9999999999716175 1.0; 0.999999999994122 -1.0; 0.9981378435304957 0.5209269507212175; -0.9999999999810543 -0.9999999999998673; -0.9999999999982222 1.0]
73,3062,300,-20.625142727538634,[-0.999999999999997 0.9999999999999998; 0.5225485828424669 -0.9999984202799115; 0.9999999999999987 1.0; -0.9920479871988086 -0.5262015079761982; 1.0 -0.9999999999999997; 0.9997909289823707 0.5261391753532623; -0.531534903842726 0.9887641795697384; -0.9999999999999983 -1.0]
74,1610,300,-20.64143842585954,[-0.9999195147234089 -0.5188629189760836; -0.518709519270482 0.9999892145757346; 0.9999999999999994 -0.9999999999999999; 0.99973029563316 0.5188183537352622; 1.0 0.9999999999999999; -0.9999999999999997 0.9999999999999997; 0.5190079836819924 -0.9995918935873103; -0.9999999999999997 -0.9999999999999992]
75,1468,300,-20.641971690362624,[1.0 -0.9999999999999988; -0.9999999999999968 0.9999999999999996; -0.9999999999999891 -0.9999999999999908; -0.5185242095373273 0.9999999623270546; 0.9999999999999949 0.9999999999999927; 0.999999704380253 0.5185228578997911; -0.9999953924849866 -0.5185265792393857; 0.518524433447991 -0.9999966661105859]
76,1415,300,-20.64037436031587,[0.5192850654477169 0.9992168617343743; 0.999999999999715 0.9999999999967958; -0.519282978652075 -0.9999852614595948; 0.9999999657486819 -0.5189034697044829; -0.9999999999999799 0.9999999999999148; 0.9999999999911842 -0.9999999999998833; -0.9999999999998012 -0.9999999999983458; -0.9988651407227319 0.5198410097762665]
77,4127,300,-20.638756027954134,[0.9986192192694442 0.5207614019717725; -0.5206884886617439 0.9996707716702816; 0.9999999999999998 1.0; -0.9976079819073227 -0.5218999787220162; -0.9999999999999939 -1.0; -0.9999999999999998 0.999999999999998; 1.0 -0.9999999999999967; 0.5211482079137171 -0.998167415201886]
78,2895,300,-20.64194132836229,[-0.9999999999999997 -0.9999999999999969; 0.9999999999999991 -1.0; 0.9999999999999992 0.9999999999999999; -0.5185513205774703 -0.999973990995862; 0.5185296432740271 0.9999999059061829; 0.9999999999323093 -0.5185382233067658; -0.9999999999999998 0.9999999999999988; -0.9999819792770165 0.5185385489954106]
79,1502,300,-20.63117996632854,[-0.5199893215782377 -0.9996729298672845; 1.0 0.9999999965840968; -0.9999999904781511 0.9999999880959205; -0.997196580050812 0.5212578445918147; 0.5199071214176166 0.9999278315405039; 0.9970380556829651 -0.5214450831231198; -0.9999999971187181 -0.9999996569076135; 0.9999998406996705 -0.9999999998710188]
80,3427,300,-18.981748775854,[-0.9997258508140903 0.9999999999999997; -0.5860433676225464 -0.9899272799902593; 0.5239888384013931 0.9999999999997833; -0.9999999999999979 -1.0; 1.0 -0.9999999999999947; -0.9999999150278609 0.3627713440339911; 0.6291902923102902 -0.8069588470094726; 0.9960573736343227 0.4448397572282]
81,2121,300,-20.639697171657417,[0.9999999999999821 0.9999999999999962; 0.9999999999999967 -0.9999999999999992; -0.9999048309674801 -0.5197385366090641; -0.5191994891329604 0.9999323171070662; -0.9999999999999996 -0.9999999999999999; 0.9988202867813002 0.5197376708607979; 0.5205248610135457 -0.9983212334162832; -0.999999999999998 1.0]
82,1594,300,-20.641524185746434,[-1.0 0.9999999999999973; -0.9999999999999991 -0.9999999999999997; 0.9997472554792118 0.5189597554646163; 0.9999999999999997 0.9999999999999949; -0.999569972844604 -0.5192136776971188; 0.9999999999999992 -1.0; 0.5191253707788882 -0.9995388864387849; -0.5189657912901626 0.999939259326259]
83,1925,300,-20.641794786937854,[0.9999999999999994 -1.0; -0.9999999999999987 0.9999999999999992; 1.0 0.9999999999999997; -0.9999999999999988 -0.9999999999999999; 0.9998430424016072 -0.5187143283669222; 0.5187132202538659 0.999898487216687; -0.5186484306232102 -0.9999111698698365; -0.9999932206320451 0.5186336972763425]
84,1829,300,-20.64044255229565,[0.998620067967941 -0.520364168011868; 0.9999999999999998 0.9999999999999998; -0.51983741611739 -0.9989091149900263; 0.5197232228184402 0.9998199708135993; -1.0 -0.9999999999999976; -0.9999999999999991 1.0; 0.9999999999999979 -0.9999999999999967; -0.9996717148952643 0.5194217625149544]
