nPsoRun,n_iter,S,fgbest,optDes
1,912,300,-20.641910195489594,[-0.9999999673149473 -0.9999999788095866; -0.9999825462238607 -0.5185622100473337; 0.999938546160426 0.5186050592054741; -0.5185822769458964 0.9999491314346208; 0.9999999485334313 0.9999999982636604; 0.5185727399783505 -0.9999954886056018; -0.9999999915143611 0.9999999999793273; 0.9999999999467942 -0.9999999424392619]
2,964,300,-20.64179993231293,[0.5186092979839241 -0.9999951940350565; 0.9998725495195326 0.5186696169537759; -0.518607344323123 0.999912928276511; 0.9999999996219097 -1.0; -0.9999999999670376 0.9999999999997432; 1.0 1.0; -1.0 -0.9999999999985594; -0.9999998145044527 -0.518565591833015]
3,848,300,-20.64001928941714,[0.9999999808720341 -0.9999999989575101; 0.9998264239568501 -0.5203079990511942; -0.9999999098733257 0.9999999987340846; 0.9999999770629788 0.9999999791879226; -0.9981080590344426 0.5209514863424677; 0.5202504270452769 0.9990126163356501; -0.9999999945902679 -0.9999999990156567; -0.5213822063257936 -0.9981614715624447]
4,1064,300,-20.641417275992413,[-0.9999999999997511 0.9999999997417904; 0.9999999998316945 1.0; -0.9999903434524163 0.5186679469557696; 0.5187982507473418 0.99999414938133; -0.5188049913707663 -0.9997152441595145; 0.9999999997954119 -0.9999999999874919; -0.9999999999208516 -0.9999999999533316; 0.9995938333411627 -0.5190003717652794]
5,2457,300,-20.641977684382944,[0.9999999999999885 0.9999999999999964; 0.999999999727844 -0.5185210391304407; -0.9999999999998418 1.0; 0.999999999999935 -0.999999999999999; -0.9999999999999576 -0.9999999999999337; 0.5185210667063233 0.9999999410192152; -0.9999999053119684 0.5185211155544079; -0.5185210693215604 -0.9999999999999866]
6,2062,300,-20.62902914741346,[0.5296363785325231 0.9907390234516458; -0.5224970815784673 -0.9994112768629401; 0.999999999999999 -0.9999999999999996; -0.9999999999999972 0.9999999999999999; 0.9999999999999998 0.9999999999999997; -0.9999999999999998 -1.0; 0.9932299569317272 -0.5254887124352803; -0.9996584745302163 0.5251910276623202]
7,2617,300,-20.641846150637345,[0.9999999999999999 1.0; -0.5217839782152438 0.9983520375886813; -0.9999999999999997 -1.0; 0.9983139448821703 0.5217680685930439; -0.9999999999999992 1.0; 0.9999999999999998 -0.9999999999999976; -0.9982286709609142 -0.52185598429102; 0.5218113631765103 -0.9982456429858749]
8,1985,300,-20.641818973943252,[0.9999999999999996 0.9999999999999976; -0.9999999999999989 1.0; 0.5186571948496762 0.9998846173168054; 0.9999999999999987 -0.9999999999999994; -0.5185629461177252 -0.9999973287629139; -1.0 -0.9999999999999992; 0.9999193458750022 -0.5186016642992001; -0.9999977213083194 0.5186002521356811]
9,208,300,-20.601126597693042,[1.0 -0.5223333588175582; 1.0 -0.9999144340471281; -0.9999900710914434 0.9999998407387934; -1.0 -0.9999486841767418; 0.999573618800679 1.0; -0.9910530460327548 0.5261236529009882; 0.5201790746192575 0.9989367887760403; -0.5257834249971725 -0.995252822586917]
10,1971,300,-20.635693278663105,[0.9936156037681053 -0.5276233329169651; -0.9974096442915421 0.5235039445640778; 0.9999999999999973 -0.9999999999999977; 0.5240933195962362 0.9997330773894194; -0.5256737662101263 -0.99426987202916; 1.0 1.0; -1.0 -0.9999999999999996; -0.9999999999999997 0.9999999999999997]
11,2006,300,-20.633370972344995,[0.996185251591085 -0.5245032499771731; -0.999999999999999 0.9999999999999986; 0.9999999999999996 0.9999999999999962; -0.5245112972900465 -0.9998616170855489; -1.0 -0.9999999999999996; 0.999999999999996 -0.9999999999999992; -0.9937589538171738 0.5284780056478381; 0.527512772724371 0.9926939355981149]
12,1812,300,-20.641194095180115,[0.5195856134509703 -0.9992904304445578; -0.5190987487415942 0.9996733598092368; -0.9999999999999991 0.9999999999999977; -0.9999985226513277 -0.5191320757250651; 1.0 0.9999999999999991; -0.999999999999999 -0.9999999999999999; 0.9992933116877337 0.5193856887533558; 1.0 -0.9999999999999938]
13,1573,300,-20.639963298104828,[1.0 0.9999999999999979; 0.9999999999999993 -1.0; 0.9999210333673679 -0.5195361641785633; -0.9990211375172067 0.5194975280565334; -0.9999999999999872 0.9999999999999988; 0.519038402808804 0.9999998783232277; -0.520195876216993 -0.99856342892607; -0.9999999999999966 -1.0]
14,2729,300,-20.641960140671152,[-0.5185312424126006 -0.9999985507912638; -0.9999999999999998 0.9999999999999998; 0.9999994671188253 -0.5185267126915137; -1.0 -0.9999999999999997; 0.5185307282729494 0.999990856535087; -0.9999866993993464 0.5185369388025538; 0.9999999999999992 -0.9999999999999998; 0.9999999999999999 0.9999999999999997]
15,2072,300,-20.64197779325187,[0.9999999999999976 -0.9999999999999986; -0.9999999946725131 0.518521054209356; -0.9999999999999999 1.0; -1.0 -0.9999999999999896; -0.5185210526264143 -0.9999999764385803; 0.9999999553297312 -0.5185210686882846; 0.5185210795093491 0.999999955747359; 1.0 0.9999999999999978]
16,2179,300,-20.568433447162317,[0.9999999999999974 -0.9999999999999999; 0.9590849113590416 0.5648525164024907; 0.9999999999999996 0.9999999999999994; -0.9999999992356406 -0.5354325376438549; -0.9999999999999996 -0.9999999999999999; -1.0 0.9999999999999994; -0.5475555578018467 0.969095281425313; 0.5469318432901528 -0.9989355532430553]
17,1585,300,-20.64196014529785,[-1.0 -1.0; 0.5185453293540445 0.9999818630641435; 0.9999999999999991 -1.0; -0.9999866384411746 0.5185457365638485; 1.0 0.9999999999999113; -1.0 0.9999999999999993; 0.9999886791750491 -0.5185389411404074; -0.5185377464382054 -0.9999965470840568]
18,1749,300,-20.641966045033286,[-0.9999999999999999 0.9999999999999736; -0.9999999973850155 0.5185281383901056; -0.9999999999999876 -0.999999999999994; 0.9999999999999944 0.9999999999999984; -0.5185287227240616 -0.9999948090122261; 0.5185337249331194 0.9999927165643068; 0.99999999999996 -0.9999999999999994; 0.999990065608604 -0.5185329943277451]
19,2366,300,-19.009995732636177,[0.9997981646713293 -0.576452729323855; -0.9999999999999998 -0.9999999881015552; -0.9999999999985946 0.5249838192642057; 0.9999999999999997 -1.0; -0.4422068184558939 0.9999999999999996; -0.3614032848017683 -0.9999990660885453; 0.7926292462582358 0.642252844165844; 0.9999999999999999 1.0]
20,2141,300,-20.64176248976208,[0.5187339077574703 0.999892959805786; 1.0 0.9999999999999987; 0.9999655668615439 -0.5187567624502198; -0.9999999999999999 0.9999999999999994; 0.9999999999999997 -0.999999999999997; -0.9999999999999997 -0.9999999999999868; -0.5188825863989429 -0.9997556622551708; -0.9997814098974512 0.5188089234754282]
21,2294,300,-20.639825926862166,[0.99616631839108 -0.5247229792872656; -0.9999999999999994 1.0; 0.9999999999999999 -1.0; -0.9999999999999998 -0.9999999999999943; -0.523999357739039 -0.9965765575960366; 0.9999999999999976 0.9999999999999994; 0.5238755314500055 0.9978016133586212; -0.9976485525774701 0.5234451334394732]
22,2095,300,-20.607984321509488,[0.9658195490565418 0.5660214379988139; -0.999999999999998 -0.9999999999999991; -0.9828095737995783 -0.5499043113536349; 0.9999999999999988 1.0; -0.9999999999999997 0.9999999999999899; 0.5533128128355405 -0.9948298981350963; -0.5594673525148326 0.9685410717865816; 0.9999999999999999 -0.9999999999999987]
