nPsoRun,n_iter,S,fgbest,optDes
18,172,300,0.5794095915462615,[0.0008228858068948792; 0.779970041588812; -0.999999633435406; -8.053429901106498e-5; -0.7799012673286689; 0.9999999997169994]
19,277,300,0.5794097746108933,[0.7799673043588581; 0.001073362609034317; -0.7799041059119105; 0.9999999192702989; -0.00036702742842638326; -0.9999999912543229]
20,424,300,0.5794087023540504,[0.9999999957951804; 7.322244772329381e-5; 0.000153888982748458; 0.7799456748932454; -0.9999999998481264; -0.7799251998972095]
21,496,300,0.5794089787165844,[0.0006375897364917007; -0.9999999972549055; 0.0006401754017345921; 0.999999999998773; 0.7799930089188056; -0.779877808778435]
22,624,300,0.5794097729022852,[0.0012346543848993261; -1.0; 0.9999999999985045; 0.7800467510039548; 0.0012373245996573153; -0.779823883416254]
23,523,300,0.5794086941900723,[-0.7799439204709564; -0.00010161940956107108; -8.644494968289831e-5; 0.779926965307313; -1.0; 0.9999999987777053]
24,385,300,0.5794095898236026,[-0.7800214320918775; 0.7798495687457956; -0.001040757646930608; -0.9999998355115738; 0.999999999386724; -0.0008651421979649317]
25,380,300,0.5794087961328307,[0.9999999475998831; -0.7799169495026779; 0.7799537899779515; 0.0004158180677191622; -0.9999999964172095; -7.112392361239075e-6]
26,433,300,0.5794089132204212,[-1.0; -0.7799716325777992; 1.0; -0.00018826520576945862; -0.0006171551000149615; 0.7798990109729906]
27,333,300,0.5794088387377032,[-0.7799209322767369; -1.0; 0.7799498627452033; 1.0; 0.0004723839970466226; -0.00015305042184425493]
28,428,300,0.579408698862163,[0.7799292993776085; 0.9999999935002055; -0.0001375853723653533; -0.7799415729297257; -0.9999999999980225; 1.4625147973641394e-6]
29,500,300,0.5794090620165013,[0.9999999999999994; 0.7798832217764504; -0.0007738224414363491; -0.9999999975049045; -0.0003814460852127971; -0.7799873504309699]
30,447,300,0.5794090670134698,[-0.9999999964154637; 0.7800009761958225; 0.0007262177075774335; 0.9999999850975286; 0.0007285748242571823; -0.7798698187759662]
31,355,300,0.5794098772070807,[0.0011771585888791752; 1.0; 0.780047166510602; -0.7798233503169121; 0.0013062096775420366; -0.9999999998928584]
