nPsoRun,n_iter,S,fgbest,optDes
115,201,300,-60.0,[-1.0; 1.0; 1.0; -1.0; 1.5831824614092404e-8; 4.091019596612428e-9]
116,189,300,-60.00000000000002,[2.2048678161870535e-8; 1.0; 1.0; -2.208696439458151e-8; -1.0; -1.0]
117,198,300,-60.00000000000002,[-1.0; 1.0; -1.0; 1.0; 2.0024272771415985e-8; -2.001461854709883e-8]
118,212,300,-60.00000000000002,[-1.0; 1.0; -2.141932525928467e-8; 1.0; -1.0; 1.982206202924273e-8]
119,196,300,-60.00000000000002,[-2.0784974216951e-8; 1.0; -1.0; -1.0; 1.697579452829864e-8; 1.0]
120,221,300,-60.00000000000002,[-1.0; 1.0; 1.0; -1.7898180593199722e-8; 1.9724995712610626e-8; -1.0]
121,220,300,-60.00000000000002,[-1.0; 1.0; 1.0; -1.0; 1.7453421263461497e-9; -1.6494524027606812e-8]
122,206,300,-60.00000000000002,[1.0; 2.0782376595559693e-8; -1.0; 1.0; -1.9777724816658642e-8; -1.0]
123,179,300,-60.00000000000002,[-1.3317279865146724e-8; 1.0; 2.23410926261501e-8; -1.0; -1.0; 1.0]
124,197,300,-60.00000000000002,[1.0; -1.0; 2.3658457145011772e-8; 1.0; -1.0; -1.508455208316365e-8]
125,180,300,-60.000000000000014,[1.0; 1.0; -3.107570022586073e-10; -1.0; -1.0; 1.9429233592326996e-11]
126,176,300,-60.00000000000002,[-1.0; -1.0; -1.9760178340827552e-8; 1.0; 1.0; 1.8436876128997164e-8]
127,197,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.8995329747982603e-8; 1.5210538151467505e-8; -1.0]
128,226,300,-60.00000000000002,[1.0; -2.0852509382614934e-8; 1.6399809994845735e-8; 1.0; -1.0; -1.0]
129,94,300,-59.9999999933192,[-1.0; -1.0; 1.0; 5.272213861528489e-7; -7.034766563223977e-6; 1.0]
130,254,300,-60.00000000000002,[-1.0; 1.0; -2.5247248150187188e-8; 1.6203455841242345e-8; 1.0; -1.0]
131,171,300,-60.00000000000002,[-1.0; -1.0; -2.2038752046305475e-8; 1.0; 2.3659758523046167e-8; 1.0]
132,155,300,-60.000000000000014,[1.0; -1.8596155630114423e-8; -1.0; 1.5100083264561073e-8; -1.0; 1.0]
133,181,300,-60.00000000000002,[-2.198613265167402e-8; 1.5302107992112037e-8; 1.0; 1.0; -1.0; -1.0]
134,223,300,-60.00000000000002,[1.71785313186032e-8; -1.9516208203388325e-8; 1.0; -1.0; -1.0; 1.0]
135,157,300,-60.000000000000014,[1.8878114193274345e-8; 1.0; 1.0; -1.0; -1.0; -3.778989240782711e-9]
136,204,300,-60.000000000000014,[1.0; -1.838820468467915e-8; -1.0; 1.0; 2.3370906653030157e-8; -1.0]
137,185,300,-60.00000000000002,[-1.0; 1.0; -2.569480259882747e-8; 1.8765889843494366e-8; 1.0; -1.0]
138,207,300,-60.00000000000002,[-2.021899711082624e-8; 1.0; 1.0; -1.0; 1.8770388361767454e-8; -1.0]
139,185,300,-60.00000000000002,[1.0; -1.9274576851822693e-8; -1.0; 1.0; 1.8803832209021593e-8; -1.0]
140,197,300,-60.00000000000002,[-1.5124015571175424e-8; -1.0; 2.111553490615373e-8; 1.0; 1.0; -1.0]
141,243,300,-60.00000000000002,[1.0; 1.0; -1.0; 1.7462622379955072e-8; -1.0; -1.6459889137202245e-8]
142,109,300,-59.99999998091894,[1.0; -1.0; -1.0; -1.1888713168315995e-5; -1.0315750753193444e-5; 1.0]
143,257,300,-60.00000000000002,[-1.4574376734568789e-8; -1.0; 1.8593356504953382e-8; -1.0; 1.0; 1.0]
144,221,300,-60.00000000000002,[1.0; -2.1281548068807576e-8; -1.0; 1.0; -1.0; 1.9453386652137356e-8]
145,188,300,-60.00000000000002,[3.1742951157078775e-9; 1.0; 1.0; -1.0; -1.0; -1.716306263815011e-8]
146,201,300,-60.00000000000002,[1.0; -1.0; 1.0; 1.961608240305646e-8; -1.0; -1.9406931831941696e-8]
147,227,300,-60.00000000000002,[-1.0; 1.0; 1.0; 1.5165439371837863e-8; -2.0718319764925567e-8; -1.0]
148,191,300,-60.00000000000002,[1.0; -1.0; 2.3611167741016523e-8; -2.516804228765007e-8; -1.0; 1.0]
149,54,300,-59.99995280451001,[-1.0; -1.0; 0.0001532811190467498; 1.0; 1.0; 0.0005912666862147864]
150,175,300,-60.00000000000002,[2.3300285442769405e-8; 1.0; 1.0; -1.0; -1.5240500186776588e-8; -1.0]
151,243,300,-60.00000000000002,[-1.8736740900320625e-8; 1.4889458551590485e-8; 1.0; -1.0; -1.0; 1.0]
152,273,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.0; 1.9163577604856678e-8; -1.7357110596470017e-8]
153,217,300,-60.00000000000002,[-1.0; 1.0; 1.7861806672293414e-8; -2.546486330481214e-8; -1.0; 1.0]
154,151,300,-60.00000000000002,[1.0; 1.0; 1.826596006542512e-8; -2.5366877730338716e-8; -1.0; -1.0]
155,217,300,-60.00000000000002,[1.0; -1.0; -2.112102914885903e-8; 1.0; -1.0; 1.70095954948339e-8]
156,162,300,-60.0,[1.0; 5.127739685121644e-9; -1.0; -1.0; 1.0; 4.397579410760441e-9]
157,210,300,-60.00000000000002,[1.0; 1.0; 2.4180746726089786e-8; -2.0211105106031695e-8; -1.0; -1.0]
158,174,300,-60.00000000000002,[2.034111270071029e-8; 1.0; -1.0; -1.0; -2.383048460425948e-8; 1.0]
159,177,300,-60.00000000000002,[-1.0; -1.0; 2.29210146816928e-8; 1.0; -2.2552557151825032e-8; 1.0]
160,45,300,-59.999273838946756,[0.0023192644615431524; 1.0; -1.0; -1.0; 1.0; 0.0008448949552378182]
161,193,300,-60.00000000000002,[1.0; -1.0; -1.0; 1.0; 1.5525256617897536e-8; -1.7977507888635284e-8]
162,191,300,-60.00000000000002,[1.0; -1.9883439904494333e-8; -1.0; 1.0; 2.5428995935299816e-8; -1.0]
163,179,300,-60.00000000000002,[-1.0; 1.0; -1.0; -1.890271562841955e-8; 1.4315335455913568e-8; 1.0]
164,201,300,-60.00000000000002,[2.1374304639044888e-8; 1.0; -1.0; -1.0; 1.0; -1.8539531808112414e-8]
165,159,300,-60.00000000000002,[1.0; 9.13201464022317e-9; 1.0; -1.736759785429216e-8; -1.0; -1.0]
166,256,300,-60.00000000000002,[-2.1276226627904873e-8; -1.0; 2.0472033293470867e-8; 1.0; -1.0; 1.0]
167,213,300,-60.00000000000002,[1.0; 1.0; -1.0; 2.2470683930916646e-8; -1.0; -1.9878259086274595e-8]
168,195,300,-60.00000000000002,[-1.0; 1.0; -1.0; 1.0; -1.744235513813634e-8; 7.47934261158895e-9]
169,217,300,-60.00000000000002,[-1.0; 1.0; 1.0; -2.198039880438991e-8; 1.7807009523594827e-8; -1.0]
170,187,300,-60.00000000000002,[2.271071148887425e-8; -1.0; 1.0; -1.0; 1.0; -1.8396361322670968e-8]
171,194,300,-60.00000000000002,[2.2468866191716505e-8; -1.0; 1.0; -1.5616003032004898e-8; 1.0; -1.0]
172,214,300,-60.00000000000002,[1.0; -2.2494805311036746e-8; -1.0; 1.0; -1.0; 1.4916190509723603e-8]
173,174,300,-60.00000000000002,[1.0; -2.0109723032711503e-8; -1.0; -1.0; 1.6331366649296084e-8; 1.0]
174,192,300,-60.00000000000002,[-1.0; 2.0320011619492276e-8; 1.0; 1.0; -1.7524470325187042e-8; -1.0]
175,201,300,-60.000000000000014,[-1.0; -1.0; -2.1959693644233742e-8; 1.0; 1.0; 1.2807699050110174e-8]
176,231,300,-60.00000000000002,[1.0; 2.120540503458774e-8; -1.0; -1.0; 1.0; -1.4212695531399925e-8]
177,214,300,-60.00000000000002,[-1.0; -1.0; 1.0; -1.6911931877730762e-8; -2.1598973610141266e-8; 1.0]
178,121,300,-59.999999997615745,[-1.0; 1.0; -4.202541933308367e-6; -1.0; 1.046784903735157e-6; 1.0]
179,204,300,-60.00000000000002,[-1.0; -1.0; 1.0; 1.956424191049886e-8; -1.9149705611180406e-8; 1.0]
180,183,300,-59.99999999999859,[1.0111728264797356e-7; -1.0; 4.91972665432472e-8; -1.0; 1.0; 1.0]
181,166,300,-60.00000000000002,[1.0; 8.980984005982519e-9; 1.0; -2.4952745362017547e-8; -1.0; -1.0]
182,214,300,-60.000000000000014,[-1.0; -1.8912675539432285e-8; 2.0778137546329246e-8; -1.0; 1.0; 1.0]
