nPsoRun,n_iter,S,fgbest,optDes
1,2175,300,0.44435227520199283,[-0.013754330615592093 0.024328062270542506; -0.018362429205933214 0.023731340147831206; -0.5288756771836083 0.9260014996792072; 0.14928039917984523 -0.9999999992064107; -0.9999999999767495 -0.3736579457935514; 0.9999999840314516 0.9999999618698484; 0.9999999917385086 -0.9999999969535607; -0.9999999821534857 0.9999999877804692; -1.0 -0.999999957022787; 0.9999999970952387 -0.1686606867826796; 0.4011692810382956 0.9999999473580004]
2,980,300,0.44484232993301315,[-0.012390094546327477 7.012699950255776e-6; -0.9999596026259002 -0.9999940064703815; 0.9950161636010509 -0.9999989982835183; 0.9999999167234196 -0.27565675796254013; 0.016575852107568238 -0.9999999717075524; -0.004378065051153015 -0.00429980975291523; -0.9999999918591027 0.9999672514743922; 0.9999999991329966 1.0; -0.9999999942057369 -0.29148782622675995; -0.4374305149471985 0.9999996714233411; 0.5362947817564223 0.8571322772998692]
3,1414,300,0.4438996327916093,[-0.9999999811069415 -0.9816363333776177; 0.011080696217008598 -0.0004878291036860675; 0.9999999993492389 0.41452561210907374; 0.022610551234996196 0.0019702032464690216; -0.35595314953073837 -0.9999999983134913; 0.9999999995426349 0.9999999984901319; -0.9999999832830321 0.11527059957732748; -0.9999999876502929 0.9999700647491405; 0.9999999941663368 -0.9999999970331077; -0.2029059269997542 0.9999999781833226; 0.85218934521953 -0.5713496137969315]
4,1216,300,0.44438929994068666,[0.9999999167741991 -0.2938526565874367; -0.9998132824168865 -0.9999999302745625; -0.9999999480420894 -0.27858765024265186; 0.9979527101373046 -0.9999999774086696; -0.011065953361634556 -0.9999999813961177; -0.008973908734667472 0.017068817395854946; -0.006897824000337894 0.010968666448668249; -0.4383353011483583 0.9999998920041245; 0.9999998649419602 0.9999963279163561; 0.5063187160088999 0.9074904739100902; -0.9999999596793381 0.9999998695888069]
5,1235,300,0.4446466304414092,[-0.999999906069085 -0.03915653415011961; 1.0 0.45913354556389796; 0.028238282422627776 0.018181868688803164; -0.9999999188585136 -0.99985577873142; -0.31343737171191616 0.999999607921915; 0.025716787404411853 0.017637540100312352; 0.9999995810951954 -0.9999999075102017; 0.8942271335792024 -0.5204588696188983; -0.2688084504356438 -0.999999985275974; 0.9999985314435414 0.9999999119069893; -0.9999998345199006 0.969785341121931]
6,1508,300,0.44437826327415864,[-0.9999999827696755 0.9912330654213833; 0.5934115532497145 -0.8212721870084896; -0.9999999999957865 0.14232833231802028; -0.38356587619871657 -1.0; 0.9999998595654451 1.0; -0.0075548018529868035 -0.014479729713822952; -0.013309386641804522 -0.007254886167928166; -1.0 -0.9997917546282169; -0.16604354161114523 0.9999999975077687; 0.9999999856906462 0.37415828570002857; 0.9999999133764074 -0.999999956880771]
7,916,300,0.444429533425641,[0.8870492114406807 -0.5326777838572982; 0.999990920150812 0.9999972855294064; 0.999998036096077 -0.9999995946885393; 0.015932400512081567 0.010272122668769158; -1.0 0.9748545614473529; -0.9999991531542354 -0.9989308416367306; 1.0 0.4472658940760947; -0.9999999605727448 0.0012397280295345025; 0.014261260962503797 0.004725560034150608; -0.2894167631005564 0.9999999975934503; -0.29844360420026006 -0.9999999456197651]
8,1264,300,0.4446696740022285,[-0.03140007080005752 -0.025504367875294587; 0.42625528014557124 -0.9753217790338347; -0.9999979901733074 0.9999985274866465; 0.9999639135321535 0.9999361219612639; 1.0 -0.9999856228043227; -0.9999863198678095 -1.0; 0.999996162659768 0.18868092376951925; -0.5075903432221057 -0.9558202353537635; 0.12585772637021347 0.9999995135178334; -0.023491258860751846 -0.030880470637140407; -0.9999924429304965 0.36279093655914824]
9,3313,300,0.44451968666330144,[1.0 1.0; 0.3756142963170564 -0.9999999999935518; -0.021796921032884956 -0.019199441611506024; -0.9313250110263492 -0.5257249864897997; 1.0 -0.9999999999984533; -0.9999999999872369 -0.9999999999930554; 0.9999999999990608 0.15492917801976985; -0.9999999999957526 0.9999999999716263; -0.9999999998676867 0.3975241266314872; -0.02287110437908038 -0.01489365473364487; 0.16190871884565028 1.0]
10,1932,300,0.4441234664972925,[0.9999999999874947 0.9999999999993451; 0.008365306154035385 0.012824253052523807; -0.33671986903497964 0.9999999999994327; -0.9999999999997741 -0.08417438628727004; 0.8671051251430103 0.5504242284623866; -0.2178177127788699 -0.9999999999999779; -0.9999999999999999 0.999999944232432; -0.9999999999983864 -0.9978714770491806; 0.9999999999998505 -0.9999999999993905; 0.9999999999997154 -0.41087781348414515; 0.017170893588670782 0.004679286234893229]
