"","criteria","design"
"1","EXACT-I","-1 -1 1 1 0 0 -1 1 0 0 0 -1 1 -1 1 -1 1 0 0 0 0 0"
"2","ROBUST-I","0.711217576741635 0.999999128342445 -0.00181744606403008 -0.999999998643385 0.999999999632926 1 -0.152928275505502 -0.999999999920923 -0.00817688290987925 -0.370306106644662 -0.9999999988201 0.681232731308333 -0.999999997632828 -0.0112349019585026 0.999952072049659 -0.374076206416425 0.999999995269331 -0.999999998541109 -0.999999990736179 -0.00894053664256089 0.999999999488576 -0.151785482897799"
"3","EXACT-G","-1 1 -1 1 -1 1 -0.561111 0.158889 -1 0.819313 0.000843 -1 -1 1 1 -1 -0.561111 1 -1 0.158889 0.819313 0.000843"
"4","ROBUST-G","0.453524674873414 -0.0192337952101863 -0.999999999999998 -1 0.999999999999998 0.999999999990613 -0.845728202712735 0.740120843688675 -0.823505783030347 0.773970933990356 0.999999999999998 0.178306198950742 -0.569226325571679 0.808162936568303 -0.785208668024257 -0.853529754804117 0.868862788271004 -0.999999999999999 -1 1 0.999999999999999 -0.234718540212257"
"5","CCD","-1 0 1 -1 1 -1 0 1 0 0 0 1 1 1 0 0 -1 -1 -1 0 0 0"
