nPsoRun,n_iter,S,fgbest,optDes
18,914,300,-39.91753585458822,[-0.9999669754442994 0.42024693816424835; 0.9999999083703554 0.7549040373397492; -1.0 -0.9999999999899906; -0.05390310592889843 -0.7452242994070499; -1.0 0.9999998012145712; 1.0 -1.0; 0.7883999447821869 1.0; 0.5415380346334252 0.03150595066462795; -0.9999955543806888 -0.7725799756558138; -0.43298978535432153 0.9999995653864863; 0.8061095758250109 -1.0]
19,2890,300,-41.737707808814065,[-1.0 0.7573656312000449; -0.04168570053615831 0.6850263501848153; -0.8040613555496758 -0.9999999999999998; 0.9999999999999999 0.9998741963858427; -0.835099686099919 0.9999999999999999; 0.5219734154308157 -0.0015193623921817261; 0.7915918126470086 0.9999999999999998; 0.7506944028842335 -1.0; 0.9999999999999876 -0.8872589459292402; -0.9999999999999998 -0.7761092046137537; 0.9998996792182067 0.09058386313438033]
20,3728,300,-40.8843773758099,[0.805178011161078 1.0; 0.8120461077208582 -1.0; -0.7555079174225713 0.9999999999999994; -0.5433358341875038 -1.0; -1.0 0.8196854841917431; 0.9999999999999998 0.7917266972393129; 0.9999999999999998 -0.7700907503960182; -0.9999999999999997 -0.37860235900872363; -0.9819728502229174 -0.9997844812611957; -0.0818689450521294 0.004838959230127749; 0.5529290916382675 -0.18600049129580337]
21,10000,300,-41.711881845130634,[0.6596205973149137 0.9999999999999941; 0.5143503038095013 -0.11774201667384102; 0.9999999999682135 -0.8436242837458529; 0.99999999999939 0.9508277540502751; -0.9817749434715873 0.9999999999999912; -0.999999999999474 0.7663668629157799; -0.9999999999993175 -0.7955453533521223; -0.13446879387521066 0.615747850531467; 0.7613949221213032 -1.0; 0.9999999999998904 0.42421755868453886; -0.8081037205463464 -0.9999999999999991]
22,6310,300,-38.76735631238712,[1.0 -0.7555146532910874; -0.02762924430864752 -0.05851858040642389; 0.9999999996351074 -0.9999999999994773; 0.9961665750748254 0.210571590599472; 0.9999999999934847 0.997506134523767; 0.576953579954417 0.9999999999999394; -1.0 -0.7173199005493035; -0.9999999999983648 0.7386430149028953; -0.026159165380384385 -0.8483851729522156; -0.9999999457007853 0.9999999999999564; -1.0 -0.9999999999987348]
23,6792,300,-38.00300020464696,[0.9991853673869941 -0.2682309756548254; -0.9999986612956189 0.999999999998435; 0.9999999999998188 0.732882980004713; 0.9999999999998359 -0.9998900167315998; 0.49134227775153 -0.9999999999992905; -0.9605296434101256 -0.9999999999999052; -0.9999999999998387 -0.7308894853844241; 0.0503819070444945 0.8381636013573164; -0.3963299653861835 0.03795480654672169; -0.9997210365863173 0.9999999999919735; 0.9999999999973715 0.9999999999995851]
24,7583,300,-39.53095546037555,[0.9999999999999964 -0.9999999996003446; 0.9999999999999969 -0.9999989321320191; 0.9999999999999984 0.9999999999990064; -0.9996051463773041 0.999999999991738; -0.47851196536369556 1.0; -0.7407774496376375 -1.0; -1.0 -0.7898684044332056; 0.7334643697615082 0.10249576351023137; -1.0 0.32514046150704917; 0.7694609892262746 0.9999999999999997; 0.04034639545001496 -0.5463154793523926]
25,5100,300,-40.30670505492176,[-0.9999708571692687 0.7937856772427043; -0.8542559724579768 -1.0; 0.7772805367031453 0.0687848368180133; 0.8190062948971495 -1.0; -0.7587408901795107 0.9999999999999997; 0.1976662092615698 -0.024842286410918152; 0.9999999999999999 -0.9951503009682585; 1.0 0.9999999895473679; -0.15046300304417767 -0.959727298369883; -0.9999999999999997 -0.6315112323921973; 0.7657682842112025 0.9999999999999997]
26,2442,300,-38.525388113344746,[-0.9999999992982295 1.0; -0.9999998834796482 -0.9945406698313286; 0.19578438231738166 -0.10564337609036531; 0.9999999975467913 -0.995667842549861; -0.9999999957996479 0.7552041833784475; 0.9999999737601432 0.7183532314066577; -0.9954760353668407 -0.1370062342443806; 0.05178525202800808 0.7883312991751924; 0.8615625352486026 0.9999999641355565; 0.7642863679552604 -0.9999999978428813; -0.6290923459930658 -0.9999999362896248]
27,4259,300,-38.59958474301065,[-0.999999999182437 -0.9999999997409992; -0.7151179754434311 0.9999999969828272; -0.842207971679943 0.03330822058656229; 0.04768672610508284 0.05833268711010049; 0.9999999986055784 -0.9999999976846314; 0.7723160309578639 0.9445495549187954; -0.7469284844332578 -0.9999999999024733; 0.34330680055390633 -0.9994838465615477; 0.999999999211443 -0.5114800556297503; -0.9999999997564638 0.9999999977971266; 0.9999999991193668 0.999999967625216]
28,10000,300,-41.83244232802614,[-0.9999999997861926 -0.8086606823844693; 0.9999999999996034 0.8149284808550517; 0.9669894440109158 -0.9999999999968096; -0.6202137408756931 0.049255205177186706; -0.8403865660873112 -1.0; 0.3822256502981167 -1.0; 1.0 -0.6176827873455053; -0.9999999999980387 0.8175803970256598; 0.7789650219762441 1.0; 0.15044254694463058 -0.42228898776415896; -0.7769627610611468 0.9999999999999922]
