nPsoRun,n_iter,S,fgbest,optDes
11,206,300,0.5046985456308128,[0.9460130433970811 -0.1674226447040519 -0.9907614786017025; 0.9999825644782682 -0.9903472496074224 0.993103261687231; 0.303815675244642 0.8904001647710367 0.8790695103729723; -0.9554856681935762 0.9422372455693989 0.9949815429795434; 0.7942239535002007 0.9759041413804113 -0.7037657096524125; -0.9995583276209802 -0.9834846100549864 -0.6331478417922506; -0.9994636130524265 -0.9278784883098434 0.991477911432203; 0.9883250534044221 -1.0 -0.3525853602095774; 0.9832268324927 0.374275177163368 0.29231245995769106; -0.9928278778628766 0.3577613996628867 0.07645391012397591; -0.6215387269847815 -0.1464625092142595 -0.9937306189882811; 0.06320835024787648 0.013051101786234903 -0.33137245425235345; -0.05855857972372241 -0.3366631324059981 0.9918809965588751; -0.5702395499921425 0.9984459869680835 -0.8346666628114934; -0.08711320812176675 -0.9874247160135737 -0.2853968991560609; -0.129930665076362 0.034693978670111404 0.11125530112550369]
12,2762,300,0.4206327555640419,[-1.0 0.026526481927718136 -0.03714213159102206; -0.9999994276960813 0.9999999602556696 0.9999998697552605; -0.005573121281368857 -0.015395275502481123 -0.003994889439080119; 0.09048804870826506 -0.03691491841222621 -0.9999996036390274; 0.9999999918539678 -0.9999999938649892 0.9999999989299635; 1.0 0.9999990280815766 -1.0; -0.999996767689743 -1.0 -0.9999998507233694; -0.0648474383613053 -0.9999998892778784 0.016630614050197508; -0.9999999926641595 -0.9999999987911995 0.9999999118984968; 0.004071830725248919 0.9999998028175953 -0.06653272171404556; -0.9999997705848638 0.9999999700832694 -0.9999999966325437; -0.034000184943251556 0.04907701483476113 1.0; 0.9999999884173886 0.9999999990204206 0.9999999843067248; 0.008076251574675303 0.009380659988515358 -0.007482583073119989; 0.9999991578727465 -0.9999998058025509 -0.9999967463470717; 0.9999998906276557 -0.03921651760352913 0.08843182928579185]
13,2772,300,0.42651699084766864,[-0.9999999999942658 0.045586073767855 0.023556067859337643; 0.992712316627106 0.01414514220209963 -0.9997342912228744; 0.999999999998321 -0.02291178607462356 0.17481603215404085; -0.9999999999999972 0.9999999998921593 0.999999999965343; 0.028965107475504775 -0.01097730706518811 -0.03416518350341755; -0.03685256545864475 0.9999999999930529 0.04005771828518032; -0.11294404198371709 -0.9999999999979157 0.1209496023211441; 0.9999999999903337 0.9999999999831908 -0.999999999985101; 0.9999999999207817 -0.9999999998904261 0.9999999999781041; -0.9999999999994237 -1.0 -0.9999999998290405; 0.9999999999937091 -0.9999999999880615 -0.99999999975412; -0.014142572190651286 0.03289383108501145 0.9999999999997277; 0.9999999999874141 0.9999999999785443 0.9999999999913952; -0.9999999999983463 0.9999999999922228 -1.0; -0.19126925586699364 -0.03500234344418696 -0.9999999999946554; -0.9999999999896486 -0.9999999999705284 0.9999999999840506]
14,1376,300,0.4541703183033724,[-0.051041666977281894 -0.02136028911570877 -0.018067947101222222; -0.2698011834432166 0.726128776351997 0.42624745361686833; 0.18702603275303678 -1.0 1.0; -0.9999961175107402 0.9999001648930738 -0.7938934529958225; -0.043953381438565475 -0.022694874300561007 -0.02097299470352983; 0.9998997011448653 0.10802782053906576 1.0; 0.9286221175175177 0.15775906002929507 -0.72734383439195; -0.9999880263487649 -0.5228873284239929 0.999825862712596; 1.0 -0.9999985027390149 -1.0; 0.9999416449736317 -0.9999620498659981 0.2217908751309224; -0.21508412480292963 -0.9999997500035115 -0.9999999806715815; -0.9999954533954479 -0.9999906899374275 -0.060054705104091624; 1.0 1.0 0.4224247992057337; -1.0 -0.15225204795696706 -0.9901901093299351; -0.9976129558265705 1.0 0.9999930747533943; 0.4763032851934643 0.9999900582409283 -0.9999996038837258]
15,1542,300,0.45039571237340503,[0.9999980622796106 -0.9986989652733684 -1.0; -0.8260107140025341 -0.9999997793813791 -0.9999992629000856; 0.9999800508264337 0.9999989269914445 0.9999996152089294; 0.18847172847778187 -0.010941372025211152 -0.554702429339885; 0.1409660350994602 -0.043371076809486084 0.999972857332336; -0.6842746198244577 0.9999848177460701 -0.9999259328667826; 0.9999984568501649 -0.999993713404376 1.0; 0.22483721244576474 0.9998985532648047 0.10191983957961932; -0.9998091132227448 0.9999465874611306 0.9999824691774367; 1.0 -0.2133673405160328 0.10506797695350249; -0.18744914120592462 0.04324544030083542 0.9998162828887858; 1.0 0.9135385868897669 -0.9999998174887322; -0.9999638931591782 0.0369642256015286 -0.9999908894996571; -0.9999772583284896 -0.9999691926756114 0.9999572117823572; -0.06131077714111006 -0.9999855697633168 0.10135664318292864; -0.9999954542279942 0.10581137512712474 0.12205142259790576]
16,2953,300,0.42627693813759543,[0.0854911206959712 -0.9999999999997607 -0.07635240987855768; 0.9999999977900922 -0.9999999978768763 -0.9999999113309695; -0.004381112896719417 -0.004165197454664293 0.0322022031114821; -0.9379089855184797 0.006554867292899663 0.9677909974219184; -0.999999999995998 -0.03038831346733995 -0.1658786484025545; -0.9999998599259319 0.9999999991439763 0.9999999976396046; -0.9999999979276146 -0.999999999871183 1.0; 0.9999999999963832 -0.9999999985597551 1.0; 0.9999999971640771 0.9999999311043033 -1.0; -0.999999995691206 -0.9999999999579046 -0.999999999150683; 0.9999999997757402 0.9999999999015708 0.9999999965222183; 0.22825615701182614 0.011070499756033836 0.9999999995948222; -0.9999999997352725 0.9999999981151917 -0.99999999801337; 0.03160497083615416 0.999999999934753 -0.07816989721945403; 0.9999999999919434 0.009756043377752655 -0.04849227934440356; 0.014163588774700264 0.014270266612671608 -0.9999999993362048]
17,2349,300,0.42670208047371966,[0.999999883784758 0.9999999818735386 -0.9999568010418421; -0.9999999517750228 -0.999999989738194 -0.9999999789630014; -0.999999968607221 -0.999999999993114 1.0; 0.18861757313898408 -0.9999998620610421 0.05671440073298004; 0.013062749430415048 0.9999998936070883 0.03514508878109625; -0.994480065264858 -0.999140916008633 -0.012933391872023806; -1.0 0.18522193100837675 -0.025281941869451333; -0.9999994867579987 0.9999999901358466 0.9999999676421383; 0.10926963737570695 0.11056386550038697 0.9999999247037482; 1.0 -0.9999999073578222 -0.9999999882711617; 0.06284451660554403 0.06992360948168791 -1.0; 0.9999999883929347 -0.9999999986119135 0.9999999587516002; -0.9999999743500202 0.9999999868033114 -1.0; 0.9999999884471863 0.013870168001629659 -0.0801237619590666; -0.02774481833263334 -0.027781394993252922 -0.005538157784073597; 0.9999999924027425 0.9999998229055221 0.9948239853913583]
18,3036,300,0.4581358100680805,[0.31713757084941396 -0.999998035759689 0.9999999163196546; -0.9999998408672309 0.37285682540576043 -0.9999957265453296; -0.055475147318288245 -0.027197413614265524 0.012204723294086606; 0.9999994089787266 0.9999999756431535 -0.9999984996064996; 0.999999975010639 -0.909475158516992 0.44228966635575745; 1.0 0.9999975708797592 0.5038547034546741; 0.0332957039503953 0.5314564593150245 -0.9999950095510061; -0.7531799579857039 -0.9999999754520263 0.22378944998827857; 0.44497288565127785 0.4492771935838268 1.0; -0.05796699416386787 -0.03019507017222451 0.00817713423744013; 0.9999993546896099 -0.29518272244554494 -0.7330654173312794; -0.9999899556187718 -0.30893344185239763 0.9999990076447494; -0.9999999775768088 0.9999999972191617 0.9999995654103314; -0.9999996307969029 -0.9999997846214277 -0.9999999981435317; -0.6744106863791504 0.9999975214515878 -0.20112284949672432; 0.3538221767049369 -0.9999995534339402 -0.9999923899832212]
19,5182,300,0.42017711375147204,[1.0 0.9999999984236078 0.9999999997052281; 0.9999999980954363 0.9999999990476005 -0.9999999999833739; -0.9999999975893777 -1.0 -0.9999999987262168; 0.9999999998960177 0.003655840274945007 0.0112301104655522; -0.01782548340360557 0.020222032928554946 -0.010283058149354441; 0.014965906387921337 -0.016875332116985456 0.014209606045799208; -1.0 0.9999999490119716 0.9999999994850518; 0.02248535534354014 0.03510367386989702 -0.9999999989818092; 0.046630820175087635 -0.00287801064958553 0.9999999867694459; -0.014360572895997514 -0.9999999944210887 -0.04280924777525837; -1.0 0.9999999323071811 -0.9999999978540718; -0.05373422921985052 0.9999999997033265 -0.0038636635004303593; 1.0 -0.9999999948956291 -0.9999999997557344; -0.9999999979168277 -0.9999999987292519 0.9999999703759144; -0.9999999992435514 -0.035852384972929925 0.03571240105032753; 1.0 -1.0 0.999999991045467]
20,3887,300,0.4220727939912025,[-0.9999999999474534 -0.006105679765157894 -0.004152125469291429; -0.00449417870396184 0.0016391310861075866 -0.999999999814134; -0.0015892458131454667 0.9999999999920872 -0.007191399482262746; -0.9999999999560971 -0.999999999841238 -0.9999999999063629; 0.9999999999798609 0.9999999999794481 0.9999999996947553; 0.99999999999965 -0.9999999998494117 0.9999999999770556; 0.9999999993611065 -0.9999999996064829 -1.0; 0.9999999998979104 0.0018505266794752724 -0.010426437075830493; -0.9999999998660037 -0.9999999999955032 0.9999999998581629; -0.001484901643872803 0.02805742068702856 0.9999999999910474; -0.9999999999833571 0.9999999999993194 -0.9999999999405453; 0.00255027430668997 -0.033063527396139554 0.8738382000323063; 0.006340411813113219 -0.999999999983988 -0.008233156052440486; 0.9999999999898144 0.9999999999080692 -0.999999999930803; -0.9999999409647082 0.999999999946313 0.9999999999189904; -0.0008768175598976328 0.006655102182825693 -0.07026928863662159]
21,2333,300,0.42297580441590765,[-0.9999999893860854 0.9999999811875279 -0.999999889558036; 0.005072274581047789 0.9999999976709425 0.0009890858608974003; 0.018458036982128053 0.0025441245050266733 -0.0024608363078115906; -0.9999999693022422 -1.0 -0.9999999975143739; -0.9999998958478842 -0.0016584530537496621 -3.9847851976132845e-5; 1.0 1.0 0.9999999908263103; 0.9999998827162149 -0.9999999466581162 -0.999999989123436; 0.006095067037384833 -0.9999999960618055 0.0009044401407019275; 0.9999999908379902 -0.00286050071045277 0.0007172774480912196; -0.9999989958090245 -0.0009093917412881098 0.0036770878259467336; 0.9999999932602341 0.9999999893576659 -0.999999999782379; 0.005785913352498098 -0.00039300369234740554 0.9999999982063871; 0.9999999887302639 -0.9999999956459912 0.999999984797308; -0.99892477458711 -0.9999999470656481 0.9999999962670616; -0.9999999899236965 0.9999999641985661 0.9999999962319812; 0.005021821388844269 -0.001378752837134059 -1.0]
22,2262,300,0.4211942928651756,[0.9999997478067706 -1.0 -0.3067808524860918; -0.023478036644300107 -0.07208560298564469 0.07427571187123214; -0.9999957714829334 -1.0 -0.4454561601515253; 0.11670981379784753 -0.9998831193653205 -0.999999760815441; 1.0 0.28788685795386915 1.0; -0.06681668095238172 0.9999999914594623 -0.9999983455853678; -1.0 0.12045995363536137 -1.0; -0.02157196548959959 -0.07411132023668136 0.07318639644543343; 0.9999999318083015 0.25189770479974166 -0.9999999173000946; -0.9999902173777645 0.4679911792809464 0.9999998885376185; 0.9999999470678802 0.9999976824654896 -0.25968947943191134; 0.14513768990061346 1.0 0.9967869730148752; -0.024523908060737447 -0.07367370798274292 0.07452576847569291; 0.6071649679766563 -0.9999998613092139 1.0; -0.9999999356467264 0.9999993158920447 -0.15129017891234958; -0.9999999056028211 -1.0 1.0]
23,6643,300,0.4514657624767817,[-0.9999991768992897 0.9999955687711621 -0.24326171032064617; -0.0508347567417171 0.10333769712297435 -0.0010522588378859283; -0.8192589228630273 -0.9999999999995836 -0.9999999998537301; -0.15597281802635363 0.9999999999993296 -0.9999999999150659; 0.9999999980044895 -0.999999896179931 -0.37081455344238456; 0.9999999936694112 0.999999830876178 -0.9200265679993986; 0.9999999839191078 -0.9999999999551042 0.999999999959627; 0.6527499988602061 0.9999999993138675 0.999999266823984; -0.04743092963172049 0.11345459996510655 0.0046953931528101005; 0.620972036960361 -0.3110291631206511 -0.9999989725361796; -0.9995425161807577 0.9887913155005011 0.9999999999295742; 0.9999999973176464 0.38501012648405514 0.47689755315986887; -0.5163754309119599 -0.9999999999568329 0.20806092995163325; -0.9999999999870951 0.08239991460902932 -0.9998907025309599; -0.9999999999976918 -0.7144237930795333 1.0; 0.09711550947021097 -0.48194428474981127 0.9999999890960783]
24,4586,300,0.4533488448183486,[0.9999999999986128 -0.7929434373547004 -0.9999999985570961; -0.18595025011298993 -0.9999999999529526 0.9999999999995172; -0.041398399347376415 0.23237140870654469 0.057238430844168735; -0.9999999998350066 -0.13243403423629582 0.9999999810586944; 0.7839062824210505 0.09199278207307234 0.9999999996993393; 0.9999999988769769 0.32290390584869627 -0.16557332054753665; -0.9999999960519588 0.9999999977688806 -0.6354984056493986; -0.9999999946338508 -0.34530991602261035 -0.9999999986483785; 0.9999999997318295 0.999999997026278 -0.9999999999385739; 0.9999999967122953 -0.9999999996079693 0.4432557885281097; 0.9853719783098516 0.999999999406313 0.999999998236808; -0.9999999749033784 -0.9999998795857346 0.01904328454954003; -0.774434098659251 0.9999999999965501 0.8405855143505404; -0.04703561869708295 0.1347173590673505 0.05188618441236829; -0.06726770350434255 -0.9999999905956518 -0.6779938515847505; -0.02475156765318049 0.5454451856510193 -0.9999999999240461]
25,4143,300,0.45124724227161167,[-1.0 0.9999999996833117 -0.4421459374866556; 1.0 -1.0 1.0; 0.9999999987046724 0.27433426834375246 -0.8830163702545001; 0.9999984237618078 1.0 0.06017535774039822; 0.2285040554327959 -0.9908565435959118 -0.08968516797627993; 0.9999991895886567 0.4102111271781019 0.9999993645921552; -0.9999999361290981 -0.9999999335705198 -0.9999997402622925; -0.9999999904166226 0.7311995131453807 0.8062557672638031; -1.0 -0.7796569518189129 0.1815776392010889; -0.600500134618157 -0.8895979431892712 0.9999999349918794; 0.9999991432112987 -0.9999999432236895 -0.9999999675586282; 0.14950284108255005 0.9999999985836702 -0.9999997320279291; 0.057603114000233414 -0.036900818357790126 0.025307355608640256; -0.5563617629360247 0.013852565736577957 -0.9999999017209494; 0.06343298470313427 -0.03836147395330682 0.027968053624305714; 0.10842940290093019 0.9999999101177854 1.0]
26,6184,300,0.450790417509353,[0.0993856941109025 -0.04937278045091489 0.020853395737153238; -0.522948095433821 0.10544857955828857 0.9999999921832452; 0.40808261068007623 0.9999999997783194 0.4671660307314874; -0.999999999999949 0.9999999919671204 -0.40836121390835783; 0.09181489702916709 -0.051238441041217865 0.014350070408842262; -0.6667979286803779 -0.9999999852778196 0.999999999992978; -0.9999999978699785 -0.8504434430741439 -0.9999999769651258; -0.999999858509418 -0.5733036769922553 0.1963032894728834; 0.9999999999943138 -0.9999999998063777 0.9999999999999444; 0.9999999610204401 0.6581886852822224 0.9999999999999748; -0.28004695454331757 0.5753835899816782 -0.9999999709292273; 0.9999999959734046 0.999999999989926 -0.8774980753517555; -0.9999999987692337 0.9999999951759269 0.999999951586449; 0.09901429552373146 -0.999999993738618 -0.9999999837114198; 0.9991400535152578 -0.999999999653084 -0.24991666015313074; 0.9999999930297438 -0.10868291111755117 -0.9999999993012801]
27,1987,300,0.451472403920093,[-0.8427903730292424 -0.9999969687527983 -0.9999999973060016; 0.9999982798925617 0.914885992245013 1.0; 1.0 0.1659645234685795 -0.9999978136431389; -0.9999998627310109 -1.0 0.9999998218457945; -0.12485006192100183 0.1721563691067385 0.9999999567330559; 0.03194129553394465 1.0 -0.9999999999177052; -0.42088625610847574 0.9999999514811226 0.13019374823219967; -1.0 -0.3340693377772349 -0.0875626524947827; 0.7266108375881325 -0.9999999950173284 -0.9946312290861715; 0.9999999868144324 0.9999999126966069 -0.14068024845304045; -0.9999997325570074 0.9999994350565402 0.9999999795453663; 0.2917835952402928 -1.0 0.999923493090207; 0.9999999977337106 -1.0 0.7685263089571656; 0.08046263717613221 -0.1446144736782892 -0.03138199530487713; -0.9999999995251674 0.50419211560235 -0.9999977457203345; 0.1080956244929109 -0.12864587189554516 -0.022877271755309993]
28,3324,300,0.420573377469581,[-0.999999999177948 0.2414372077233949 -0.9999999999973689; -0.2067479838544934 -0.9924300318864396 -0.9999999999902034; -0.5673817656116703 -0.9999999999957925 0.999999999997677; 0.9999999999461817 0.9999999999987444 -0.1363151273112647; 0.011889813517558108 0.999999999968004 -0.9999999999601842; 0.9999999997516686 0.45243661369040616 0.9999999999999529; -0.9999999999961123 -0.9999999999964052 -0.25833966927886354; 0.9998767539209211 -0.9999999999886067 0.9999999999376318; -0.9999999999349272 0.9999999999990729 -0.22810380581241088; 0.03788881078574782 -0.06616246049825787 0.06597243664062927; 0.035417143198614595 -0.07279204247906665 0.06377770901345008; 0.9999999999612381 -0.9999999999954036 -0.5034986179873946; -0.14448350887715505 0.9999999999377425 0.9999979487885764; 0.03573129846350524 -0.07112055412376307 0.06320259940455192; 0.9999999999972286 0.1985113137337533 -0.9999999999949637; -0.9999999999996122 0.31327584356707483 0.9999999999994277]
