nPsoRun,n_iter,S,fgbest,optDes
11,9322,300,-31.215322122200963,[-0.8932874106301684 0.15507365842993323 -0.704369219408045; -0.37632180039835283 -0.9831093557997258 0.999997027522808; -0.9999999999999811 0.9938843268153477 0.999999999999991; 0.9999999999999999 0.7351303461605072 0.9999999999999998; 1.0 -0.8676464300535386 1.0; 0.9554665666919202 0.9999999999999887 0.250138993715819; -0.9999999999999696 -0.9999734144894766 0.9904225555185188; 0.9999986841829822 -1.0 0.14038653362927; -1.0 -0.9796008250995057 -0.9999328884106663; -1.0 0.9999999999999996 -0.9877125489297365; -0.2754490089936267 -0.9999999999999813 -0.9999759230791807; 0.9939929163728007 0.011169805427521802 -0.5796308859613201; 1.0 -1.0 -0.999999999999994; -0.3366265575238813 0.9999999999999974 0.9963150065865575; -0.12199625665215624 0.9999999999999998 -0.9999999999999994; 1.0 0.9999999999999993 -0.9569370078171203]
12,10000,300,-30.572027448995478,[-0.9999025391344252 0.9999999999999809 0.9999999999975917; 0.9999999999935928 0.9999811485096998 -0.9999999999992182; -0.999999999999976 0.9999999999996966 -0.9999999999999526; -1.0 0.9992707660359753 0.08302103346816322; -0.0652724371583784 1.0 -0.999999999999606; 0.9999999999999996 -0.999999999999976 0.6952960083475983; 1.0 -0.9932488219764246 -0.9999975992276143; -0.9999999999926374 -0.16683767087847165 0.900367435051649; -0.999999999999431 -0.9999999996033668 -0.9999999997488737; 0.2647962533097087 -0.9999999999888622 -0.9999999999996543; 0.9994951099242761 0.9999999998860111 0.9999999999999982; -0.06442313968527484 -0.9999999999999731 0.8524352222014231; -0.9999999999998389 -0.9999999999995149 0.9999999999991025; 0.9999999999996398 -0.0743696238552783 0.9999999999994585; -1.0 -0.3124488025307861 -0.7617962058661211; 1.0 0.9999999999965643 0.10978625114538387]
13,10000,300,-31.84299263670414,[0.9999999999999817 0.9999999999992911 0.9999999999999938; 0.23721158924534014 0.9972420944479373 -0.9978724530288955; -0.9999952863013666 -0.4010715567811718 -1.0; -0.9999999999945615 0.1706181669166185 0.9913958173415067; 0.8198286427216258 -0.9326554196909167 -0.18246033729846886; -0.9999999999987889 0.9974354112478588 -0.9997059866845234; 0.999999999999992 -0.9999999999999952 0.9999999999705134; 0.12391873834965567 -0.9671355096795257 0.9980721603053533; -0.9927276330964134 0.9140841464412823 -0.07901919321600027; 0.9999894746000036 -1.0 -1.0; -0.999999999954566 -0.9999985766167124 -0.47716606041957127; -0.9999999999999939 -0.9999999999999937 0.9999999999998053; 0.9999954244090691 0.4253155823039054 0.7695523305010705; 1.0 0.9999999999991341 -0.999999999995911; 0.9998299889412674 -0.5276226607088655 -0.9999999999976987; -0.05656698279084154 0.99999999999992 1.0]
14,6317,300,-27.777195880248275,[1.0 -0.9999999458280014 0.9999999999322409; -0.7391634226544335 0.5195118154173929 -0.9999999805360064; -0.05875874023250289 -1.0 0.001838817877600719; 0.9974441984876081 0.999876804554137 -0.9999999999999882; -0.9999999999924319 -0.9705866604460284 -0.4921350700165959; -0.48068830644220234 -0.9999999934510598 0.9999999953869115; -0.9875413745133081 -0.9999999998227186 -0.9999999944081003; 0.9999999999966204 0.12905350999921517 0.9999995528315174; 0.9999999999998742 -0.9924864676467605 -0.9999999987826541; -0.9999999863052845 0.9999999994432296 -0.7300242083326778; 0.9999999999997752 -0.9382850414503091 -0.3311590146004544; 1.0 1.0 -0.13087097994334596; -0.9983800758312431 -0.028552423990121662 0.19739668530194648; -0.38189828302344303 0.7964124661639078 0.9999999999999409; -0.9999997798682617 0.9999999947226812 0.9864695999433208; -0.9999999999999996 -0.9922825696108396 0.9999999999916446]
15,9349,300,-29.663508269081373,[0.917112247789982 0.9999999999999976 -1.0; 1.0 0.4233218250612993 1.0; -0.9999999999999998 -0.9999999999999934 0.9999999999999901; -0.9666797971478233 0.059236656313272934 0.11592634209349831; -0.9999129257959039 1.0 -0.9999999999999996; 0.9999999999999986 -0.9993208316097025 0.9999999999999984; -0.12435695692185547 0.9998390702086013 1.0; 0.9999999999999994 -1.0 -0.9743037862265339; 0.998631828375019 -0.17385528714833948 -0.9999998285394568; -0.999997544717273 -0.9999866058769948 0.1656557431629939; 0.9999999999999998 0.9998774433761053 0.07467405762282445; 0.24657463055312612 -0.857991166144372 0.9999995113908242; -0.9996397418091661 0.9975296604768277 -0.28822014291097275; -0.3240012318588695 -0.9970092544781272 -0.9629744420389851; -0.9999999999999978 -0.9999997776156253 -0.999999999999993; -1.0 0.9999999999999888 0.999999999999985]
16,10000,300,-31.853082720228123,[-0.9999999673154141 0.9593860529477446 -0.9999999999999981; -0.9999999999999866 0.9999999999998137 0.9999999999993874; -1.0 -0.9999999999998632 0.9999984169562575; 0.9999999999999989 -0.9999999999979443 0.9999999999988328; -0.9982739678449929 0.9999999999999956 -0.46608157436851155; -0.8514985150154678 -0.7950310956348381 -0.5128903147756786; 0.05152424394266303 -0.9948761357522706 0.9707784953272315; -0.999999999999162 -0.9999999999995212 -0.9999999999985701; 0.9831692500638597 0.5527325537074113 -0.9999999999887517; 0.9999999999999234 -0.9999999999999997 -0.3338303458570265; 0.3506680196584191 -0.9998173121643901 -0.9999999999997978; -0.9996950253202852 0.13265597093642162 0.9353347319782578; 0.6544145825692552 0.3209039716938173 0.03303208221774747; 0.3092882572584669 0.9999999999993132 0.9806942233702255; 0.9999999999999518 0.9999999999964483 -0.7570689618505146; 0.9999999999999535 0.6172775669634545 0.9999998599915111]
17,9035,300,-31.048965185592685,[-0.5093658412789306 0.03196475445174507 -0.1263586936007389; -0.490003098853476 1.0 -0.9999999999997297; 0.9999999999999815 -1.0 -0.9999999999999982; -0.999999999999996 0.7180151324621582 -0.9999967842420129; 0.7475217538147109 -0.999999999999996 1.0; -1.0 -0.9998968856168388 0.9999999999999896; 0.9999999999998597 0.9999999999999934 0.9999999999529879; -0.9999999970127873 -0.9999924357479436 0.45470147943553174; 0.9986168358173458 -0.1902460157039034 0.9999999999999951; 0.7631054082111205 0.3600244990632687 -0.999999997046192; -0.9999999999999981 -0.9999999999999934 -0.9999999999999966; -0.017233864794127512 -0.967210011654842 -1.0; 0.8476074809979907 -0.860045413859264 -0.13664750111541765; 0.9999999999999777 0.9999999999999936 -0.5971998172980196; -0.999999999999924 0.9999999999999007 1.0; -0.40022626214676593 0.9999999999949103 0.9999383332696644]
18,7227,300,-32.45718499560465,[-0.7022932676065398 -0.9999999999999979 0.9999999999999943; -0.9999999999999645 0.9999999999999999 0.8345582804546968; 0.9999983874409982 0.9999999999998734 -0.9999999999999953; -0.9999999999999976 -1.0 -0.9999999999999898; 0.9999578880497076 0.2566121708562838 0.9999280671563047; 0.39894423314791055 0.9999999788718643 -0.4405629218634369; -0.9999999921188478 0.23173236468937172 -0.9999999999715132; -0.47492288538048383 0.95509438688133 0.9999999987562201; 0.9976562741928657 -0.9999999999999678 0.9999999999999538; -0.9933124072681123 -0.7943900933526676 0.5890882694294459; 0.9999999999999829 0.9999999999999961 0.8871784321873704; 0.9173952670925343 -0.9026848317326936 0.222904918728396; 1.0 0.13577356445719727 -0.9999998111570265; -0.2703394816795554 -0.9988603043116894 -0.8081029393968425; 0.9999999999999988 -1.0 -0.9999999999999963; -0.99999999999999 0.9999999999999996 -0.9999999999999987]
19,7113,300,-32.066785992283414,[-0.9385350426185054 0.9445930093917683 0.01021267812007857; -0.999999999999987 -0.9999999992632713 -0.4250172028070506; 0.40029122892598423 0.9995235966008769 -0.9954339226453863; 0.743926260130203 -0.9999999789515664 -0.6545727442345571; 0.30773637394510567 0.9999999999999997 0.9999999999999999; 0.999999999689359 -0.2622047317821968 0.5147767030724673; -0.9999999999999988 1.0 0.9999999999999991; 0.07285232714303658 -0.9999999999999994 0.9977459100810732; 0.9999999999999992 0.9999999999999964 -0.8931074183283295; -0.9999999999999966 0.9983046966327318 -0.9999999999999993; 1.0 -0.9999999999997528 0.9999999999999577; -0.9993440889506545 -0.47879614822249417 -0.9999999999999984; -0.9999999999999982 -0.9999999999999927 0.9999999999999996; 0.9999999999999984 0.8089841684249836 0.9999374399097986; -0.7882372634126311 -0.022130734992667944 0.9258418126376969; 0.9999999999999463 -0.7745860425481824 -0.9999999999999976]
20,2574,300,-31.231557763347574,[-0.3832202473077363 -0.9999999999840549 0.9999987068372029; -0.944298826283968 0.5281211548846492 -0.8139846284392751; 0.9999999926833049 0.9998231346633508 0.32076480409356595; 0.1903961402157838 -0.010755267639526328 0.1643912362076554; -0.9999991047328984 0.8183791039638371 0.9645677338475395; 0.9999999881705607 0.5110398758027463 0.9999954859740616; 0.8253644471376324 -0.9998675809970899 0.057509238368906125; 0.9007538154515811 0.27698780844872156 -0.9999999994904529; 0.999999388178803 -0.9068613300647611 0.9999962316819616; 0.9999955638874894 0.9999951369274963 -0.9967497875252986; -0.9991892928351536 0.9997620759249067 -1.0; -0.3798431907551255 -0.9999933330001013 -0.9999979262898977; -0.27316478764725555 0.9830318698181173 0.9999607094369778; -0.999999999998615 -0.9999950963604768 -0.9198439188357014; -0.9999787145721692 -0.6527955435896312 0.9798788285718787; 0.999999999998597 -0.9998923864518683 -0.9999999033108755]
