"","criteria","design"
"1","EXACT-I","-1 1 0 0 0 0 0 0 -1 -1 -1 1 -1 1 1 1 0 0 -1 1 0 0 0 0 -1 -1 1 -1 1 -1 1 1 0 0 0 0 -1 -1 0 0 -1 1 -1 -1 1 1 -1 1"
"2","ROBUST-I","-0.135958367993865 -0.494022150165083 0.0576846688525116 -0.99999962810109 0.0563370366439676 -0.231675240524616 0.999999995725164 -0.999999999527776 -0.254140199841784 -0.999999989611862 0.0537512396999141 0.999999880660886 0.999999950769394 1 -0.999999813677018 0.999999999160299 1 -0.999999950941974 -0.0562338623535458 0.227195740683307 -0.0546797337984471 0.999999980339758 -0.999999978004217 -0.999999909169556 -0.999536499581848 0.191160643181287 -0.0551935624282975 0.999999999997608 0.533660298183732 -0.999999999180086 0.999999989801305 0.190481879806029 -0.999999841894436 0.999999903524293 0.0562205253205581 0.999999999052612 0.0570967016188575 0.999999953736065 -0.497481615278088 -0.243942634343946 -0.999999999931766 -0.999999990733979 0.0539990968667245 -0.248286649390093 0.99999989653321 0.99999988082189 -0.155893088533813 -0.99999999227167"
"3","EXACT-G","-1 1 0 0 0 0 0 1 -1 -1 -1 1 -1 1 1 1 0 0 -1 1 0 0 1 0 -1 -1 1 -1 1 -1 1 1 0 0 0 0 -1 -1 0 0 -1 1 -1 -1 1 1 -1 1"
"4","ROBUST-G","-0.999999900215136 0.999626217743616 -0.215555011518421 0.999999999995043 -0.0359888993994489 -0.999999998795615 -0.944823987115378 0.999999956587479 0.999999999866876 -0.612164400757895 -0.498132803615872 0.999999880911743 -0.999999999999944 0.999999999994974 -0.776232036220171 0.473278341859528 0.905414309568839 -0.857020678831809 -0.356259218960607 0.999999999459781 0.999999974178983 -0.617074823314325 0.999999999997409 -0.999999979089949 0.20592970415888 -0.99999999999734 -0.999999999986802 -0.999999702000173 -0.503284827157578 0.999999999426712 0.999999999998705 0.0589824132303848 0.448655833297979 -0.999999999044018 0.0818253053378177 0.998359905283267 -0.999999997273007 0.997625480991537 -0.999999996293439 0.134562175923634 -0.999999999998988 0.998174882923713 -0.999999999890779 0.999999999999906 -0.99999999955265 0.178341992689706 0.999999999867541 0.999999997191737"
"5","CCD","-1 -1 -1 -1 1 1 1 1 1 -1 0 0 0 0 0 0 -1 -1 1 1 1 1 -1 -1 0 0 1 -1 0 0 0 0 -1 1 -1 1 1 -1 1 -1 0 0 0 0 1 -1 0 0"
