nPsoRun,n_iter,S,fgbest,optDes
11,9375,300,-29.30666962449419,[-0.9811432678348188 -0.08199714802770754 -0.8938091249936307; -0.32655078904057994 -0.9999999999773593 -0.957311703776784; 0.9999999999980768 0.36387261666134 -0.9690572750039512; -0.9995660570990739 0.8285722024970302 0.3408534961444661; 0.8129172940118318 -0.9847405899462088 0.3576913199813766; 0.403465892840448 0.9768284173685251 -0.9999999999578573; 0.545213924641045 0.9999977749565132 0.9999999999997771; -0.6056300113404026 -0.9592511289908361 0.9999999885720167; -1.0 -0.9999999999999928 0.4368933922886414; 0.9981731449582416 -0.999999999911344 -0.9999999999998243; -0.9999999993672202 0.9999999999699539 -1.0; 0.9999999999997112 0.9999995249843523 0.9861410926197003; -0.9999999999961392 0.9998467880081183 0.9999999999992255; -0.04174662597787756 0.02964864025125499 0.9999999994291214; 0.999999999011347 -0.9984677764080037 0.9999999999992307]
12,5605,300,-28.39353335938777,[0.22700699515963454 0.997014026233869 -0.9999995802496264; -0.9999999999999956 0.9999999999999964 -0.9825738419046324; 0.9999999999999947 -1.0 0.9999999999999994; -0.9999976077345692 0.06820177495424784 -0.9999984355535754; -0.9999999999999986 -1.0 -0.9999998155886318; -1.0 -0.9999999999987316 0.817192491669609; 0.9999999999999998 -0.9999917581974077 -1.0; 0.9999999999999808 0.5384220099074877 -0.9998809504586246; 0.9983189273927768 0.9697317031455545 0.3405512808042103; 0.9201351466801715 -0.9999947759049516 0.015616227292602263; -0.8500440827082373 0.5708394862097653 0.8177499700520062; -0.20898918296226898 -0.9049477635373088 -0.8090947723345865; -0.4518527381085294 -0.9999763597931158 0.9999999999665774; 0.9999999564911264 0.720224145567375 0.9999990231514043; -0.9999999999999949 0.9999999999999958 0.9999897734844145]
13,8963,300,-26.48306958077269,[-0.9999999999999998 0.9999999999999998 -0.9999999999999928; -0.9757702408040629 -0.9999999999999991 -0.4725098888031685; 0.9999999999999997 0.9999999999694362 -0.9999999999999979; -0.5261119940286129 0.9907225535810902 0.20647539786379404; -0.9999999999999999 0.03703398720178646 0.9999999999999992; 0.11977084247672343 0.9201498090768249 -0.9999999999999956; -0.9457676986676551 -0.9999999999999983 0.9999996856142168; 0.9746460471325785 -0.9999999999999974 0.9999999999999993; 0.9999999999999994 -0.9999999886375548 -0.3676046378263686; 0.9800784857754092 0.10952739230773569 0.9999999999999997; -0.999999999999999 -0.20764613328176126 -1.0; -0.5347307703681287 0.9999999999999996 0.9999999999999993; 0.5154570880623707 -0.9999999999999999 -1.0; 0.3659235465246789 -0.13419430906360497 -0.1496717965911702; 0.9999999999999994 1.0 0.21633681265763513]
14,10000,300,-26.733555834407557,[-0.9999979284369098 -0.9999999999999504 0.8881577170068498; -0.9999999999991925 -0.9999999999974001 -0.988717897163609; -0.9705087962925728 0.9999999999837385 -0.695677537922699; 0.9999991246931782 0.15473252766510737 -0.999999999999589; -0.07380858391601897 0.994240415317263 0.9908004994954029; -0.999999999999986 -0.13083444431110713 0.9279366090984085; 0.971171434147696 0.9999999999999992 -0.9999999999970353; 0.9999999999999976 0.9993519330828154 0.9999999999999866; -0.005612665827092665 -0.022797911662823057 0.24041888488218505; 0.424553698217784 -0.9999999999334117 -0.9893608517973933; -0.9999999999960324 1.0 0.9924492716836042; 0.9956770635976484 0.8201989898851878 0.07247709373056017; 0.6294134874123303 -0.9999999999999891 0.9996920973224575; -0.9999999996798042 0.21245885231863673 -0.9999999999999963; 0.9999999999964875 -0.9999978273183892 0.4772012188968528]
15,7627,300,-26.66309925909496,[-0.4357803811593027 -0.9999999999920376 0.9999999999550888; -0.6795066717675456 0.9999999988865759 0.9999999999425095; -0.9999757712075901 0.5880132714285492 -0.9999999999982397; 0.9999999942665608 0.9999999999898564 0.27707960369955326; -0.999977790445085 0.9999999875100277 -0.3036245067358437; -0.06151333974149891 0.19165099958792578 0.29985118386377313; 0.9995343467602791 0.9999999999417402 -0.9999999994579147; 0.9999999999951005 -0.9999999963696067 -0.9999428741418676; 0.9999999999881282 0.04973035748411076 0.9999999999999931; -0.9412854011470191 0.29177441214773153 0.9999999825272734; 0.9999999991598021 0.12960280266825672 -0.9999999917935544; -0.9999999999999937 -0.805701458737913 0.23302348471847015; -0.15333587317606895 -0.9432755235349137 -0.8702772720050229; -0.9999999999858034 -0.9999999999993995 -0.9999999987251724; 0.8674699338897389 -1.0 0.6281523839482592]
16,10000,300,-28.24610114317998,[0.9999999999998569 -0.03978656460470944 -0.9105636084876835; -0.36006574037905836 0.7568032561788853 -0.9965851613941724; 0.9564462194298525 0.5105769446552942 0.9999658179203299; -0.9927557187730811 -0.052077980521298146 -0.25793969535187244; 0.9999999999999665 -0.8355379782153826 0.9999999999999972; -0.31959352148841974 -0.9987615945590159 0.9252606133181118; 0.9999999999996726 0.99999999996816 0.19973809009615998; -1.0 1.0 -1.0; -0.9999999999999963 -0.996035149912261 -0.9999994483490307; -0.9999999999999996 0.9786182750331679 0.5225841337080182; -0.9780905403042293 1.0 1.0; 1.0 0.9999999999955052 -0.9999999999994865; 0.9999999474272133 -0.9999999999485638 -0.3206488211381008; -0.4647491584354841 -0.9999999999999993 -1.0; -1.0 -0.7227529432476975 0.970396146041931]
17,1000,300,-29.160506865113682,[-0.9999965903688206 0.9999974674593052 0.9999995745429943; -0.9999752011715912 0.9977267593959003 -0.5657230288568278; 0.99999770440455 0.14621742198103524 -0.9811485499161896; -0.14680125322340315 0.9999913578304966 0.6365466319797713; 0.9999994736937222 0.9328412982566016 0.9997953033509857; 0.9654236659847013 -0.25743135332901773 0.9999992495964578; -0.31965144594359945 -0.9977094454312387 0.9999966900150093; -0.47674508297021123 0.9896041179730222 -0.9945649061100224; 0.9999898991971341 -0.999982681870172 -0.999989019325633; -0.9999993170065482 0.24296136922739267 0.5932388828300627; 0.999971459038743 -0.9999639929510014 0.17450884199439892; -0.9584098455659472 -0.9999775237854426 -0.9999938110765363; 0.9948385027984623 0.9999971329289976 -0.24112390583028562; -0.9999019762685818 -0.9998238498447133 0.9954825346836891; -0.5934651572066303 -0.661271221780979 -0.9598051461454168]
18,4175,300,-27.724047460297946,[0.9851136139715346 0.9999999928145497 -0.01808937814545238; 0.9999999674512535 -0.9999999984396799 0.9987591054386398; 0.9999999995308179 0.0050168494283558815 0.9999999907124346; 0.3663179242918855 -0.9999998818390997 -0.2701833753103771; 0.8574710392593133 0.9999999940236652 -0.9700400269288789; -0.9993279661278804 0.9999999996099654 0.9999999986124299; -0.9984979776631054 0.8745641980479215 -0.05560530175931336; -0.9999999989561674 -0.9999999917011312 0.6345316712059799; -0.9995227804503455 -0.39310384477330074 -0.9999999947582653; -0.9999999998847613 0.9999999994053308 -0.9999999999975148; -0.35390350451130836 -0.9990053551127398 0.9999999974057551; -0.9999966779039637 -0.9999999920120461 -0.9999999928228557; 0.9999999973777703 -0.9999999996932721 -0.9999999551608815; 0.8987575173120673 -0.14285845335532574 -0.9280311284660558; -0.004990088549236469 0.9921371879940263 0.9999855480133932]
19,10000,300,-28.335847150422733,[-0.9999999829864679 -0.9999999999415194 1.0; -0.47160625368139436 1.0 -0.9999887000588733; 0.6574690695392028 0.3229054650469659 -0.9846177212053439; 0.9999995170515052 0.9999999999449057 -0.9914701280281166; 0.9999999999738641 -0.09659009265799287 0.9999999988507253; -0.7401528707779758 -0.9999999999755383 -0.9999999999999977; -1.0 0.6057351625174877 0.9853039879615092; -0.04901992293915911 -0.3641823317883071 0.22271388329879868; 0.9999999967785472 0.9999999999939146 1.0; 0.99999999998952 -1.0 -0.9999999999521396; 0.9999999999746493 -0.9984131124158561 -0.1756844325364567; -0.2611605954626254 1.0 0.9999999999383166; -0.9999999825298285 0.5685961656837164 -0.9863702319241117; -0.9831956553803454 -0.9993652863013962 -0.31000389225801445; 0.2540760825907161 -0.9937101569254199 0.9993249514748711]
20,6274,300,-29.40117068989145,[0.9998096152868587 0.9999999997446154 0.5523965622610967; -0.999999999999242 -0.09384403895312879 -0.9999999972021036; 0.21655132476393807 -0.9900507948619947 0.9935011504887945; -0.9999999998103083 0.9999999997356975 -0.9999999999999746; 0.9999999930908916 0.9944663710681851 -0.9999999994205316; 0.9999073677244351 -0.99999999972229 -0.999999999892603; -0.9999999999996919 0.9999999994858473 0.9999999998396623; -0.3477821717817596 0.8976391865210454 -0.9431673555856647; 0.9999999996328484 0.5274698780411206 0.9999999905246126; 0.9999999990206515 -0.9997283070130323 0.4324773207912862; -0.9847412390507504 -0.9962913981502479 0.10610656333140538; -0.883913422401124 0.6168857264487893 0.6439218000993959; 0.9896917218944006 0.2162920271220549 -0.587860401689158; -0.999999999970773 -0.9999999987075668 0.9999999997411056; 0.031481598056779185 -0.9745622629589461 -0.9790143429215015]
21,7242,300,-29.2271100155013,[0.9999991424940977 1.0 0.9999999999919036; 0.9999999999999998 -0.9999931181555081 -0.7320270793876364; -1.0 -0.9999999999999991 -0.9999989382230869; 0.9999440836404819 0.3918463211199487 0.999682720799909; -0.8312198956345153 0.9999374674214853 0.4645932056843432; 0.9999999999999997 0.9999999999999998 -0.9999999999999971; -0.9817628744260446 1.0 -1.0; 0.826508205833284 0.6831524420284552 -0.5952201317085796; -0.9999999999999949 0.3849017446367507 0.9999999999999997; -0.005731705867759672 -0.9997496183552959 0.9999999773104303; -0.999999999994449 -0.999994626424759 0.9999999999999996; -0.9999999999982018 0.2071984165596575 -0.9997155831060168; 0.9999999999999931 -0.9999999999999999 0.8152346929136741; 0.3676799283773395 -0.9834282790869331 -0.9999999999999807; -0.6366301909429671 -0.8202452278380302 0.0012655815557028089]
22,2577,300,-27.695250586790475,[0.9999999289173369 -0.999997526024772 0.6503548746357941; -0.9999987527628971 0.2268162524111067 -0.9999998880162208; -0.9999998247049028 0.9999991963704603 0.9999999160179309; 0.16991065493473956 -0.9902722490681511 0.9999985665075148; 0.9983520945377549 0.9999999209770385 -0.9999994116833747; -0.5658118247140949 0.4082931555774427 0.9495365622074121; 0.9999995198189031 0.32584089264884913 0.9998154187850676; -0.5188029839022246 -0.9999994981640931 -0.9536783736017301; 0.9999996125818068 0.17655016014350505 -0.8858006321653571; 0.7059950081226848 0.9055846676848359 -0.253440027846138; -0.9998529276406656 0.9999999990151781 -0.7252182572027903; -0.999999438345417 -0.9457599058644099 0.04830208712189921; 0.729830814030703 1.0 1.0; -0.9999997466444684 -0.9999999023922784 0.9999685738255839; 0.997984455444075 -0.9999998620004081 -0.9999997874055515]
23,1145,300,-26.52967176979627,[-0.9986335439717176 0.37958464297574585 -0.48488575001431095; -0.9738042478767778 -0.9997173736084863 -0.38106496605772733; 0.9430244277373286 0.9573969234673898 0.9999898853080653; 0.5551062705148258 0.9500514403765637 -1.0; -0.9999985560337389 0.9991947632316626 -1.0; 0.9913824383352517 -0.6520460997642449 -0.9999891578632956; -0.9997764862398597 0.7582792405723643 0.9999953324199803; 0.9999319091769797 -0.9967211428352872 1.0; 0.9999019113782599 1.0 0.04741965319785622; 0.999858492269285 -0.9924754095180638 -0.3639615504369504; -0.5405005590116443 0.9999934971840312 0.601279376921518; 0.5286049758987224 0.13184241081150846 0.7198361045622023; -0.9999808980212059 -0.9974223283056624 0.999938176156987; -0.3321345928600382 -0.999677479349153 1.0; -0.9999681173695085 -0.9984357162070714 -0.9998340500536025]
24,7110,300,-29.271499744860204,[0.9999999999999976 -1.0 0.5999164390705923; 0.9999999999998148 0.9999999999999737 0.999999999999997; -0.9999999999999585 0.9778120153451512 0.9999999999999982; 0.3678319152288217 -0.6868151611397061 -0.9772168317967567; 0.16104245392472358 -0.9991823385733191 0.9999999999999903; -1.0 -0.999393004176832 0.9999999999999062; 0.26247163717407607 0.9999999999999946 -0.9999649552048365; -0.9999999999999994 0.9999995090773517 -0.9999999999999092; -0.9999188653909552 -0.9999387918625223 0.17515107740241942; -0.9967584714472797 0.22241923630717192 -0.9173553165811508; -0.8224519915713432 0.9994990089471886 0.4372209182756002; -0.9999999999999707 -0.999999999999994 -0.9999999999999798; 1.0 -0.9999999999999966 -0.9985465399894032; 1.0 0.6023192052830215 -0.9999999999999643; 0.9996270542418033 0.5786563219004262 0.7550756817105254]
25,7374,300,-28.081765532667912,[-0.012526791571111211 0.9999997616080047 0.8230407482175716; 0.9487741760132168 0.6224797150900545 -0.4035879822889662; -0.9999999999999993 0.8372364771253514 -0.9726796987040496; 0.9978897904374651 0.3537394429752891 1.0; -0.9357104796149432 0.18650486479444123 0.9999999999999921; 0.9999999999999999 0.999928806018548 -1.0; -0.9999658735295803 -0.9999999999999964 0.9999999635531446; 1.0 -0.9999999999999998 -0.02292348395528293; -0.9999999999999993 0.9999999999999998 0.9992671011231531; 0.999999811716233 -0.9997898367875531 -1.0; -0.5003176437140553 0.9992336106406201 -1.0; -0.9999610491188218 -0.9999999999999256 -0.16102599049929073; 0.9999999999999988 0.9999999999999999 0.9856347396050869; 0.9977932887600729 -0.9999999999999991 0.9999999999999971; -0.3082209163926015 -0.9997176958462966 -1.0]
26,3678,300,-26.927316694806994,[-0.856936341335684 0.9999999822642509 0.9999999970636458; 0.9955309996703539 -0.9999999993980175 0.9999999762984365; -0.9999999998718796 -0.9999999999353104 -0.9999999993191027; 0.9791827286693136 0.1630364200077148 0.9119998978063731; -0.9999999366734078 0.756188377370939 -0.9999999953293546; 0.9999999924972459 -0.43082414855157175 -0.9999999901415868; -0.06673374017219295 -0.9999081410851773 -0.9999259902019073; 0.1585544223173911 0.9994039049801232 -0.8845101133562759; -0.9171803369181579 -0.6260779226777294 0.1241698897160572; -0.9999999998852039 0.16220371658015492 0.9999999992468639; -0.9999994344402726 0.9998415885321404 -0.1697088475518811; 1.0 -0.999999999933493 0.12723666092688815; 1.0 1.0 0.9999999799961767; -0.9999997440372999 -0.9999999999489501 0.9999999898149157; 0.9999999999756407 0.9999999462130773 -0.9999822120092512]
27,3816,300,-27.25363336273797,[0.036937437868899796 -0.5957240440610012 0.3796225900023458; -0.320130021342962 -0.9957148079067223 -0.9999965253111249; 0.8853557987662647 0.9999999918188004 0.9998659240996932; 0.07634401415608169 0.9999987216975764 -0.9999998796680281; 0.9999999997644221 -0.9999999816692323 0.9745542229152465; -0.9999999904268568 -0.9995271852257576 -0.8308691036798495; -0.9688962001311531 0.7924661878856369 0.15187533892886462; -0.9993790075699108 -0.3783045926941747 0.999999994077034; -0.9999999999639331 -0.9999999199409537 0.9996941766033295; -0.9894309358024189 0.9999999869647369 0.9999999883916093; 0.9999998470821525 0.9999999995126831 -0.1316402470667798; 0.9999999999997427 -0.9999999836503035 -0.8914921785217406; -0.9999999538803844 0.9913763695729112 -0.9999999318910971; 0.9925470935363322 -0.31183466772185603 0.9999999655804829; 0.9979449469828774 -0.13237528623438993 -0.7952027720426171]
