nPsoRun,n_iter,S,fgbest,optDes
11,3845,300,0.5078723517826262,[0.20627559068488924 -0.08878386942587761 -0.9999999984898325; 0.9999935925946977 -0.9999989541375214 0.9951824590123378; -0.9999990502349995 0.9999988452039722 0.2063643505032294; 0.3440936838080712 0.9999992893661148 -0.2216499585363697; 0.9999999658015336 0.9999951118221965 -0.9999998616048638; -0.17192745643309895 -0.9999999571674109 -0.3998019830862214; 0.009205853907111044 -0.036368312131434426 0.2599950253599162; -0.6399342648691131 -0.9999970008285513 0.9999859659795827; 0.9999986058932693 0.6946029846391445 0.9999999998789831; -0.8112810779222327 0.6727376637303026 -0.9999991625577838; 0.9999999999563549 -0.9999999939205269 -0.9999999959398739; -0.9999998238449186 -0.9999959963047927 -0.9861009996097726; 0.857668828682403 -0.1917155264551135 -0.06251996854368255; -0.9999998995804734 -0.14446370011813878 0.4362030206148224; -0.37430859285047124 0.9999995991442125 0.9999994004392988]
12,2072,300,0.4475659406409269,[0.006732332432908967 0.9999998946805495 -0.013685312020007761; 0.9999994042690937 0.9999984524683779 -0.9999999705724755; -0.05969680583172505 -0.9999992275538142 -0.007563175088865497; 0.9999999730064165 -0.050409628654058236 -0.009235829652055345; 0.04410286357664379 0.020375719501025527 0.999999358469928; -0.9999974441701839 0.9999999850120367 0.999999986759077; 0.006896198223284132 0.01528717936489562 -0.9999999916118268; 0.9999999387244711 0.9999999999999386 0.9999999320756211; -0.9999988908360088 0.9999995675849698 -0.9999997100302315; 0.9999974507723819 -0.9999986990720658 0.9999996819339706; -0.9999996501765892 -1.0 -0.9999938628702626; -0.0029835966350084658 -0.0027898103393220373 -0.004095630927248264; -0.9999994923426383 0.016663764592054896 0.02782107058239769; -0.9999997944912747 -0.9999964490385512 0.9999997236195519; 1.0 -0.9999997285208873 -0.9999999996042882]
13,6953,300,0.5000381581244091,[-0.9999999998463535 -0.9999999991934471 0.999999999997521; -0.9999998699549029 0.9999999994577501 -0.8974659826195165; 0.8105393146359927 0.9999999995108887 -0.7480371734020175; -0.9999999999889747 -0.04308717533609651 0.14210265565412697; 0.9999999998049403 0.0005450305580855801 -0.999999999093136; 0.9590041072261489 -0.055102216477406096 0.12101507380032671; 0.9987034241339139 -0.9999999813242618 0.999999999507029; -0.9999999999997705 0.9999999477174768 0.9999999997449063; -0.07584568813534784 0.8161261166280951 0.13491495258805047; -0.12187226257519981 -0.03990226704880307 0.9999999872703592; -0.9999999999998924 -0.9999999996089811 -0.9283944814172919; 0.7414571937121747 -0.9999999983324155 -0.8365375822817718; -0.1575478705970688 0.0475598267356766 -0.9999999985117748; 0.9961043048110576 0.9999999999916718 0.9999999999879393; -0.06441985695083002 -0.7457199088451895 0.09619260812376389]
14,4821,300,0.5159619013794495,[0.9933640836454966 -0.9999999999947957 0.9983251314640805; 0.99999806023976 0.999999825826279 -0.5251575673936851; -0.745762878594896 -0.9287089816692288 0.9999999993300522; -0.9999999996141965 0.24759486110721318 -0.29667574726735235; -0.15739624802336646 -0.9220536806367228 -0.9999998844799913; -0.9999999973975684 0.7181888438157764 0.9999999944333129; 0.15024328924191832 0.999999750479217 0.9999994120513194; 0.999999713859013 -0.9999957814755795 -0.6283390574779394; -0.19672294716336564 0.9999999999469039 -0.12092375201514728; 0.9999999917727292 0.4827889564321048 0.9999998131635935; -0.9396857600930498 0.8721604373327494 -0.9999999955307756; 0.629772511097122 0.25212422478600605 -0.9999999087678936; 0.1476177338035472 -0.14138142585339042 0.11674773260139691; -0.9999995897686895 -0.999999982867971 -0.10541289847238175; 0.03506701913908487 -0.1703969808495149 0.2980027779871758]
15,3180,300,0.4800444066291949,[-0.9999999377529752 0.999502303624217 -0.9999999771368637; 0.9999999706539283 0.9496124831941843 0.9999999792575248; 0.03092905644886441 -0.5656546650477576 -0.03288610414707598; -0.0004045180191469562 0.9999999857130805 0.0170702575982914; 0.9999999999935517 -0.9999999885995567 -0.9781459398222279; -1.0 -0.03866907429969821 -0.0429702749958783; 0.0015451823739259306 1.0 0.020468183754275088; -0.9988954740763288 -0.9999998338053178 0.9144144357687933; 0.03446829327285182 -0.029801725101342588 -0.9999999632987947; 0.999999999738021 0.9999991941099194 -0.9999999817752938; 0.9999998858246231 -0.01614086919301507 0.02348168731410396; 0.9765849504954187 -0.999998731095546 0.9493159723727999; -0.03825101716066849 -0.09268606728248596 0.9999999776199615; -0.9999999864973733 0.9423795744920379 0.9999999575114076; -0.9658647756951982 -0.9999998595424299 -0.9999999006979686]
16,2899,300,0.5002185097721189,[0.04017460953228344 -0.035685140030525614 -0.000502358047391437; 0.8630760602672859 -0.9999997141609069 1.0; 0.019324079391332856 -0.9999998285058409 -0.9999998699274046; 0.21982505457093593 0.9999983643453555 0.6105777287278691; -0.9999999523313964 0.7099095303929789 -0.12830731480325694; -0.9999999427918703 -0.5250146799332573 -0.9999945667042281; -1.0 0.9999993346345523 0.9999998993036853; -0.36587753854331256 0.9674999911775091 -1.0; -0.6305864539995714 -0.43932011011978617 0.9999926185468795; 0.9951079039166156 -0.15302158616840353 -0.9999998860597205; 1.0 -0.9999999503321413 -0.14687113803730464; -0.9999999516207322 -0.9999999768070877 0.3598394604263738; 0.9999996409352038 0.4288327287216982 0.9999988680469675; 0.036675050877270333 -0.03844969025649948 0.002470799393419513; 0.9999999999477232 0.9999995241516806 -0.7637623696636288]
17,2257,300,0.4804592279449365,[-0.9999995082290851 -0.9999999987563785 -0.9953932202239293; -0.9999999543272645 0.9813283819356062 0.9999999588772859; 0.9998877546517108 -1.0 -0.9827084409628873; -0.9999999015894967 -0.017388834378349212 -0.030655147968079846; -0.04701025143824952 -0.5899308076650326 -0.00036981691390181243; -0.9999999690349661 0.9389614123719985 -0.9999999770230907; -0.016681482536906773 -0.06144324932018009 -0.999999998428619; -0.01336928340184311 0.9999999995579723 -0.049734694003471504; 0.9999999999294042 0.9082295163141615 -0.9999999971116165; 0.03751637292061535 0.9999999985061286 0.009298710425166777; -0.013143005839462076 -0.006640703189351183 0.9999999090806396; 0.915881212874708 -0.9999999855588787 0.9999999985002402; -0.9999909165904023 -0.9999999332297979 0.9999096218244766; 0.9999999517390881 -0.09938941059380334 0.03859054980987783; 0.9999999943385486 0.9479507203021709 0.9999999765503518]
18,2736,300,0.44739444602424244,[0.0167100257632327 0.9999999385478021 -0.02401304203399925; -0.9999993124664901 0.9999999663483033 -0.9999970356241552; 0.02311077268934423 -0.9999996304047948 0.01392865484579069; -0.02136199101250074 0.02207132207373155 0.999999995097792; 0.9999992647796643 -0.9999986599839455 -0.9999997116938847; -0.9999957242859144 -0.9999998346209316 -0.9999999835871838; -0.9999999079739363 -0.007495610915242389 0.0032007501432277084; -0.01793213123078574 -0.015364463107839095 -0.9999973017165226; 0.9999998050021656 -0.9999975377877836 0.9999976305540209; 0.999999235325681 0.9999991225811025 -0.9999976331575733; -0.9999996235699457 0.9999998638344796 0.9999994334221876; -0.9999993332163065 -0.9999998669000526 1.0; 0.0001825164376634602 -0.005165740823727289 0.0015983408375455194; 0.9999981768556063 0.9999999257201474 0.9999931942393872; 0.9999994458616535 -0.0014096437285024432 0.007415003029608699]
19,1637,300,0.5037192946234397,[0.01718137843954811 -0.0033916487689456608 0.017975022890835208; 0.999970114881984 -0.10001655035058704 -0.9999837474883467; -0.9999970308165441 -0.9750655648708061 1.0; -0.13021496785102118 0.9999937427078834 -0.9999699328277665; 0.7605439396908905 -1.0 0.9999999885208009; -0.49947432235399614 0.9999965916973144 0.9999999981419827; 0.05501602348411883 -0.9999992374369533 -1.0; -0.9704699593964071 -0.9999735414561992 -0.3425004331002901; -0.13258037730967448 -0.1081308685233408 0.9942767501763871; -0.9999995557880651 0.8973233209768402 -0.10569147937225629; -0.9999957868295032 0.07117762603836 -0.9999999747172491; 0.016576784568059 -0.022789254923446377 0.02867862475782666; 0.9660627324355863 0.9999999942403729 -0.39024511298869363; 0.9999999109214839 0.6677521001189757 0.999995958763615; 0.999999559469039 -0.8256157893676478 -0.24175390548357115]
20,2695,300,0.4914606251358302,[0.3615596744770709 -0.9999869173760492 0.9999801301162643; -0.999999941357762 -0.18055806985954428 -0.9999967282961083; -0.9999991778815496 0.5112720692030258 1.0; 0.9999966820454637 0.1461727647366731 1.0; -0.9999999534961821 -0.9999949989049339 0.7995847242823356; 0.2094000901064649 0.9999997041693367 0.9823041565080228; 0.9999985986339618 -0.999996371082144 -0.23274276784308698; -0.5682513280857242 -0.6030081569847925 0.10856134713476928; 0.9999995804623162 0.003645276489788572 -0.9999998486290096; -0.07859344407482272 -0.9999987418975245 -0.9999999079012182; 0.023307281602141457 0.05303654110209678 0.008547438791805851; 0.9999983129691996 0.9998228376539089 -0.055576011655786614; 0.01564816954945352 0.055361634217272825 0.0038224791745472136; 0.1755620079711197 0.9999351099481055 -0.9999954081652649; -0.9999720079896632 1.0 -0.3797346258688456]
