"","criteria","design"
"1","EXACT-I","-1 1 0 0 0 0 0 -1 -1 -1 1 -1 1 1 1 0 0 -1 1 0 0 0 -1 -1 1 -1 1 -1 1 1 0 0 0 0 -1 -1 0 -1 1 -1 -1 1 1 -1 1"
"2","ROBUST-I","-0.999999833735982 0.00286440244963416 0.99999999034738 -0.99999999867363 0.0165512715894232 0.999999996998773 0.00165434205449695 0.999999995744381 -0.0162937884652192 -0.999999981034768 -0.999999998725426 -0.999999990099612 0.999999929081981 0.999999997427695 -0.00127675709460395 0.999999982116284 -0.00276651792946437 0.999999994841671 -0.999999852044405 -0.00180262630575822 1 0.00545689561786003 -0.999999987848087 -0.99999999993831 0.999999999944551 -0.999999988643816 0.00561732643851609 -0.999999999999723 -0.00966422920214142 0.999999984317355 -0.999999994092136 0.0056021687715046 -0.999999995918868 0.999999999987947 0.999999979028522 0.999999996976703 -0.999999999999166 0.999999999983474 -0.00840512244952455 0.999999998437963 -0.999999993885982 0.0130435184228475 -0.999999990566368 -0.00204671471387406 -0.000999832698992208"
"3","EXACT-G","-1 1 0 0 0 0 0 -1 -1 -1 1 -1 1 1 1 0 0 -1 1 0 0 0 -1 -1 1 -1 1 -1 1 1 0 0 0 0 -1 -1 -1 -1 1 -1 -1 1 1 -1 1"
"4","ROBUST-G","-0.999999999989949 -0.0289618769943951 -0.519573071867164 -0.99999999999997 -1 -0.999996208057245 0.999999999999995 0.999999999999998 0.962799890648356 0.0739396497014348 0.999999999999991 0.999999591834342 0.999999999993188 -0.37651774022524 -0.387948204217193 -0.369142726944754 0.999646099209303 -0.999742369582475 -0.999971568692391 0.999999999999627 0.971751651966942 0.999999999991921 0.993659979796473 -0.285557966207505 0.0960178254259137 0.032893937427434 -0.999999999999999 -0.999904820960419 0.999999298434534 -0.99999999995393 -0.999999999998062 -0.999999999998875 0.999968975599703 0.999817778371845 -0.999999999999906 0.36682665166713 0.999987501543351 -0.0913359346273945 1 -0.129087647104826 -0.965190392311862 0.235171299149965 -0.999999999999364 0.999999999999826 -0.955866225238924"
"5","CCD","-1 -1 -1 -1 1 1 1 1 1 -1 0 0 0 0 0 -1 -1 1 1 1 1 -1 -1 0 0 1 -1 0 0 0 -1 1 -1 1 1 -1 1 -1 0 0 0 0 1 -1 0"
