nPsoRun,n_iter,S,fgbest,optDes
1,4333,300,-15.58205001762512,[-0.9187188429838586 -0.4002268197256817 -0.5173898608267241; 1.0 -0.806277728325596 0.9999999999932999; 0.9974695706012826 0.9999999999993668 -0.998793501540798; -0.9999999999042611 -0.9999901012592891 0.9759163347501054; 0.999999999982914 0.9999999999818486 0.9985946725656231; 0.046223469104649015 -0.9999999999670126 0.9993997777276292; -0.9999999999114922 0.9999999999671704 0.7657332531892742; 0.8010768570708 -0.7720830069349743 -0.3282957503678952; 0.9919075276677481 -0.6838831799047249 -0.9999999999621266; -0.9733364752007242 0.9993766065326085 -0.9999999999718987; -0.5005343432811572 0.4888045903815214 0.9999668055235303; -0.9999999999785663 -0.9999999999996287 -0.9999999999964893]
2,10000,300,-13.960319655198047,[0.9994955678408873 -0.9999999999989936 0.9999999999998008; -0.07055654525257184 -0.9999999994244341 -0.9182781085442908; -0.999999999907464 0.9999999999263934 -0.9878513506581917; -0.9989636449217254 0.9999999999996049 0.8887503843431888; -0.9999999960319106 -0.49739725759498854 -0.9999999999988193; -0.9999999998976987 -0.961099048846417 0.9999999999856574; 0.9999997960094685 0.9999999996948146 -0.9166903981663798; 0.9999999999978424 -0.9058906861909627 -0.9999999999598606; 0.37886986782899124 0.4614873223932641 0.9542549144773143; 0.9839015456969296 -0.5192306056920956 -0.3513398941178757; -0.9999991929824997 -0.9957314409709729 -0.5195863992213222; 0.9053613318413943 0.9999999999142896 0.9999999991222331]
3,10000,300,-14.898406470902163,[-0.9999999989368612 -0.9507549625961095 -0.9999999999529873; -0.02468234732843738 1.0 -0.9941373088503214; 1.0 -0.9999999920787032 -0.9668797234298939; 0.9999999997971319 0.9971361879081759 -0.8572196806710317; -0.9999999999999748 0.9999999998293244 -0.819417764187055; -0.2832398151813861 0.33812293423327666 0.5784435587775383; 0.9999999999808152 0.7810545129923272 0.9999999999551058; 0.9921805869830232 -0.978292364610152 0.9999999991993969; -0.9832895065208592 0.9999999999997332 0.9999999999998703; -0.9680193661637152 -0.9999999999817512 -0.020838153018303336; 0.9999999999983878 0.17532075881251033 -0.999999999999932; -0.956855771661369 -0.9889948165751704 0.9999999999542555]
4,4547,300,-14.499401295411639,[0.9999999999999738 0.9988020048957861 0.978355241704447; 0.9885747302194582 -0.9974538923662597 1.0; -0.9992199948872826 -0.9999999999999065 -0.99736081110558; -0.6314575362103587 -0.08993806143744289 -0.9999999999998105; 0.4644146315675996 -0.9999999999999851 0.3003044718314248; -0.99999999999997 0.9766060893216474 0.9999999999999248; 0.15963567615372212 0.9999613594886791 0.998309996702712; 1.0 0.9871678112502438 -0.9999999999925084; 0.6665111847768344 0.2604981025561187 -0.07348283937476405; -0.9949521917591294 0.9999999999999953 -0.9900821895509055; -0.9836845196308076 -0.9990406237245917 0.9999999999999329; 0.9999999999997801 -0.9997110331029043 -0.9999999999998697]
5,6102,300,-14.512529086635404,[-0.9982353117396501 -0.9999999992191182 -0.7596737636016087; 0.9923862994231972 -0.999999997184688 0.6293143728520094; -0.9999999899312987 -0.9999999823249133 0.8959610853772763; -0.00043787526284944404 0.9999999992205314 -0.9999999878981184; -0.921545948727018 0.49760124589953475 -0.5973156757545762; -0.9999999999816737 0.9999103530261306 0.9999999997595869; 0.6745596160166779 -0.32397384838655946 0.9999999828058121; 0.9602438697048725 -0.9104287947391412 -0.9999999850549889; -0.9999999999890739 0.999930487537704 -0.9285253626034237; -0.5232426376944139 0.9899707518510905 -0.13017985740727736; 0.9999999515180836 0.9999999982180771 0.9593308268047137; 0.9999999954780596 0.9999999995002359 -0.9999999850299397]
6,6860,300,-14.863538427272703,[-0.9998660123858261 -0.9993278434788865 -0.9996716231541029; -0.6374800027909859 0.9999999999835032 -0.3984376043267073; 0.9999999313124733 0.9936125176206917 -0.9999996180108223; -0.9857273082413743 0.9999999999986738 -0.999999999807947; -0.14479880894261374 -0.8217904443427045 -0.9999992518805766; -0.9998860041896466 -0.5025279782116908 -0.1339181016196695; 0.9999999692363557 -0.9999999999270337 0.9645350515925374; 0.8667032864038413 -0.05868556405186811 0.9999987866219338; -0.9999999999747867 0.9857671817221056 0.9999999999982289; -0.9999999999984954 -0.9499914504502793 0.9999999999990481; 0.997201484017542 0.9999999997371971 0.9915260976658498; 0.9999999999974797 -0.910496836776913 -0.9999999999845501]
7,10000,300,-13.490287320374641,[0.9999999999988008 0.8066843109108905 -0.9999999999992901; 0.0853067389541577 0.9383055483264489 -0.776465012448313; -0.7116546560486371 -0.999999999999986 0.22564267547507064; 0.7452287497850237 -0.6725695362244917 -0.9999999999992767; -0.0007161139073474706 -0.043828046142316494 0.8299442595755505; -0.9999999999710192 0.41010530815480567 0.9474350922844014; -0.07868851984171077 -0.9989332562853718 0.9999999999995769; 1.0 0.8676856369609356 0.4897349227965001; -0.9999999999998946 0.6249592739261259 -0.9999999999794001; 0.9999999999592603 -0.9999999999975108 0.47674377829500314; -0.29611067549392217 0.9999999999999833 0.9999999999999928; -0.9203307678156472 -0.9991028535887562 -0.9991742966134551]
8,586,300,-13.580479252889516,[0.9895344551150993 0.9257730209343344 -1.0; 0.9993044788423644 -0.9990364372224252 0.9621177406915741; -0.9999932480386167 0.9899460730478028 -0.9994761991726752; 0.9919092506566035 0.6129241988725668 0.9980917852567224; -0.41464105334218193 0.9979642384368497 0.5509232978433185; -0.8975711026348429 -0.9996390222800176 -0.9994774290114947; -0.9997780676846066 -0.7923329867600495 0.27392238288906146; -0.9995110334629874 0.9319215180630824 0.9340164400117285; -0.8469459369286526 -0.9998783917110056 0.9965290966377085; -0.2849819507913379 0.2348378639928772 -0.47864365222999755; 0.7822250515309702 -0.9663022929475854 -0.9960930327611922; 0.9999876180937777 1.0 0.39807116518894814]
9,6027,300,-15.181651860585479,[0.9966710434452115 0.9999972072045774 1.0; -0.999999999999971 -0.9293377255427437 0.8708459050875648; -0.9999999993894937 0.9999947282524776 0.9999999999999789; -0.2942429485356662 0.2859424251928861 0.0486223211460415; -0.26053600086989687 -0.9998920658456447 0.8335106250336962; -0.9977116788368804 0.10670342001329829 -0.9999997707024351; 0.978276949405373 -0.9910729391829222 -0.999970830565799; 0.9988854825955765 0.9999943273862778 0.03454217136889472; -0.9588086230536222 0.9999999999998928 -0.7268165978371768; -0.9993957959794216 -0.9999999999999987 -0.9988182355058891; 0.9999999999999989 -0.9233244024820506 0.6470172872276267; 0.8996135843321672 0.9995219757162693 -1.0]
10,7824,300,-15.580181719582653,[-0.8566160932795233 0.9999999999980305 0.9229595366281039; -0.9999999998567672 0.9758864369945651 -0.9999999999999821; 0.9956140357976938 0.9999999999996845 -0.8405767048179279; 0.8322305379678803 -0.9999999999847131 -0.9999999999997401; 0.9999999999129182 -0.8318017762431049 -0.4045071723821865; -0.18051716370712398 0.4620064842213655 -0.9744865712838593; -0.9998386255583965 0.024287049107903604 0.9985552689423722; -0.3206674737703262 -0.8971915124371705 -0.15373155199815297; -0.9999999999947204 -0.9912425864597558 -1.0; -1.0 -0.9999999999774787 0.999551394426926; 0.9775073014768783 -0.9672423149095117 1.0; 0.9999999999257985 0.995262511264051 0.9999999536100234]
