nPsoRun,n_iter,S,fgbest,optDes
1,4396,300,0.9522909562721958,[-0.9999999998178332 0.8970143742007481 0.30947390735409497; 0.9999999917961828 0.8671374034574171 -0.9999999996580669; 0.5377734290393078 -0.9940394142306642 0.8202526029841403; -1.0 -0.6286524349259023 0.9998396722608214; -0.9587286314961668 0.9999999999999545 -0.9999999995518084; 0.9999999999974056 0.9999999998269271 0.8445497897813884; 0.09837478842424928 0.6178075923347952 -0.10465281242582905; -0.26856752463719896 0.7447453885448352 0.9999999999996501; 0.9908103424810508 -0.9865319955719362 -0.985551826369751; -0.5503600805428063 -0.9999999996692477 -0.4777802137831406; 0.9999999995777182 -0.280864009570072 0.3979725166352002; -0.6031060397070203 -0.08034094733448403 -0.7430145736018616]
2,4744,300,0.8789034889627771,[-0.9999999999970814 1.0 -0.9272411226267341; -0.24286687020477313 0.9999999999999556 0.24034276278273908; 0.9408446229731829 0.9981207131369595 0.9999999999808695; -1.0 0.2548217793841182 0.8829183194434446; 0.8100603243134128 -0.9999999999762779 -1.0; 0.7516680477542957 0.9850996243090744 -0.9999999995558999; -0.9269047267586153 -0.835572608060795 -0.9984432511833858; 0.041827913890122755 0.02455669760747602 -0.10289848281837362; -0.0804411145352723 -0.40458710273039106 0.9999999998748236; -0.9999999997339265 -1.0 0.32949544468211417; 0.9700673774514528 -0.9997286799039835 0.728732762722583; 1.0 0.12126783478962044 -0.293846037905774]
3,3588,300,0.9114250231718364,[0.9999994907196998 0.08223417731065676 0.04335182019811825; 1.0 0.9999977646842739 -0.9999954756577919; -0.2044024120514552 0.41843390518654877 -0.011329598596276583; 0.9999873202341732 -0.9999998601670095 0.6302439288770039; -0.9999999689286915 -0.6109416569385768 0.7888229939602919; 0.12965682361409084 -0.2997240103576726 0.9999988705856212; -0.9999947903996144 0.9999950700951595 0.9620534915949013; -0.010096586165977887 -0.9999999865794016 -0.03621392842737435; -0.9085621210888347 -0.9705884922928518 -0.9962784601600245; -0.8850033652225315 0.8024160016697645 -0.9992931068631451; 0.7831347895599745 0.9999984660926804 0.9999870712484528; 0.8441538890943303 -0.31466811734532896 -0.9999988245622151]
4,4503,300,0.962274972469987,[0.9999999698736983 0.9999999575759376 -0.9066490068846677; -0.28826200311032046 -0.6457074112277411 -0.3960655712666938; 0.9298428167131025 0.33401084476017523 0.5296927115682468; -0.9999967871326549 0.2539441376004374 0.233953211748978; -0.689380726798923 -0.5452859174544767 0.9999999941726946; -0.9723088772805496 0.7456830617658514 -0.9999999388252302; 0.4143900576608956 0.030326436470957993 -0.9461243474879913; 0.1743857883726664 0.9327131475686509 0.9999998541241344; 1.0 -0.9999998432653582 0.7963999608035436; 0.999985254274518 -1.0 -0.999995628575365; -0.043338629238743945 0.9999990597376132 -0.08255262645451618; -1.0 -0.9999999621742235 -0.923887602756895]
5,2491,300,0.8815265039649581,[-0.9998907572934814 0.9912083107715911 -0.6885758906947195; -0.9999999865327986 0.7817315054706274 0.9999997739144257; 0.14528884007759646 -0.9999999450471285 -0.8821283876876529; -0.005101914459579497 0.02872031424039697 0.057078567840161507; -0.8422424646164879 -0.9187341591912309 0.9993429506969242; 0.9993603068916791 0.9448345611019217 -0.9964014395984997; 0.9999999764120914 -0.22745918290065953 -0.26870358396683236; -0.9999999010422628 -0.963547104917478 -0.5087755947015203; 1.0 -0.9999995285048549 0.8822776719739324; -0.29403834951940006 0.014174359142350983 -1.0; 0.902374459995198 0.7005247119930007 0.9999999994037887; 0.18809312732682504 1.0 0.29193828763960805]
6,2901,300,0.9413913124230558,[0.36100044485622895 0.9241397723452213 -0.9999999982996925; -0.061232998881460304 0.2906941755152704 0.021643225809859216; -0.9237264174206243 0.6350383514183826 0.9473269777371555; 0.9983385502505907 0.9999999969597219 0.999999824364038; 0.728348256391341 -1.0 0.4345126661287792; -0.9999954431442718 -0.2708678801805373 -0.7361976042387939; -0.9908644618673926 0.9999999999566809 -0.7266805964572999; 0.9999999584769214 0.6586983464770494 -0.18402232193843093; -0.30288201646268753 -0.9999999945058745 -0.5864291136338253; -1.0 -0.9999998731139446 0.9570910072081942; 0.5448316338117273 -0.12327311852965883 0.9999999704889666; 0.9999999616283887 -0.7724414611830562 -0.9999997650617763]
7,4648,300,0.8797189196993634,[-0.22436158133316447 -0.9999999919003982 0.1961772299043457; 0.38862129048719324 -0.05188756773127656 -1.0; 0.9663879202141353 -0.9982785247132201 0.9999999836542661; 0.9954069548708244 0.8130138048958742 0.9186704066918324; 0.0806299142376301 -0.006546441383420318 -0.07691672562544388; -1.0 0.3858050369295175 0.08669294503625567; -0.9258712179680166 -0.24557925575615858 0.999999958509361; -0.319707510438317 0.9999999934849144 0.9991562827443785; 0.9999999907312056 1.0 -0.7004257065581849; -0.7610946221213301 0.999480017341581 -0.9999996851799245; 0.9999999999391803 -0.9997140475523415 -0.7109640099842757; -0.9873268893024585 -0.9569814098037321 -0.9716280875979416]
8,7357,300,0.9550074449352529,[0.8159245751143469 0.8561945630437563 -0.5209844378885351; 0.595200673325851 -0.9942002899274046 -0.9999760869204962; 0.9999999895235624 1.0 0.9999999571891488; -0.9999990292674584 -0.9336334594665455 0.9996923892275714; 0.9999999999762387 -0.5811736696364436 -0.2154286628604772; -0.9957201489940295 0.999999414432385 0.1675666836229304; -0.753268574736741 0.9999999009930609 -0.9999999161084436; -0.9999799103560161 -0.3332742677217887 -0.9999954378450338; 0.41339933238120125 -0.9460107516730092 0.9999999991997782; -0.36416248619803276 -0.9999999999993471 -0.4481158162594698; -0.39305482398163955 0.4302153638567373 0.9999996507848097; -0.16389244391078284 -0.01571476322596709 -0.021447728332064497]
9,3434,300,0.8911426427633519,[-0.9999999996692158 0.21871974750227313 -0.0655477963634358; -0.8663925053045994 -0.9999999011091478 -0.9999999998177955; -0.8439289988344602 0.8830971723996809 -0.9999998093149017; -0.06970041007776069 -0.06920424116164074 -0.12446476652009955; 0.8325750834763108 -0.8579367861305931 -0.9875090720423763; 0.13339749732586534 -0.4606803329519932 1.0; -0.9999606384066473 -0.9968858014787979 0.7381448979465247; -0.6076529326449732 0.999999880560636 0.9999999989757469; 0.9999999151205634 -0.9999999972047486 0.5664393542662477; 0.9957397830488517 0.9583346956286969 -0.9633299051865537; 0.9999999975605293 0.31432820628041386 0.9403077901533244; 0.25528524390416835 0.9999999851419537 0.043512845493926436]
10,2494,300,0.9149439596442405,[0.11636453959233817 0.9756295163625295 -0.3272945707397409; -0.9999999984422626 0.9999999994958986 -0.9999999948936729; -0.09777304658154483 -0.9988101687765587 -0.3891604131074614; 0.9999994069198441 -0.15312423931257965 0.32145508090936115; 0.9999999883418835 -0.9999999945746012 -0.9999999886837218; 0.22009347961023285 -0.8315458057672064 0.9999999945462507; 0.9999999999803236 0.9999999918163681 0.9809977686752595; -0.08445504014413838 0.7657745468464615 0.9999999950838011; 0.7535661307609383 0.187676567069293 -0.9999999993142381; -0.9999999976689645 -0.9999999977017885 0.9937343370157046; -0.9649310891037216 0.1665447367607473 0.3386347683323301; -0.7444903500253934 -0.13112754337205873 -0.997069028739319]
11,4413,300,0.9513057906815467,[-0.9999999992864814 0.9057557279101995 -0.9999999999995418; -0.9999999999999845 0.9999999999976551 0.9998098660476902; -0.04982968214818839 0.12840638645873254 0.9962335448792048; 0.1966738442358737 0.9999999999998636 0.4574652423418567; -0.962253826390596 -0.9999996087036028 -0.999999786031048; 0.12860820638971343 -0.9999999999999981 0.9999999999231314; 1.0 0.2571757571059689 0.9507552732962327; 0.9990018186743416 0.9999999837196141 -0.7751029083171855; -0.999999999999977 -0.6759782578729964 0.4397590251974176; 0.6774090512415741 -0.5904102705887617 -0.9999999999939212; -0.39452040815659406 0.2898498459882977 -0.36668370273526185; 0.8647536506399507 -0.789628131942342 0.18237452986760863]
12,4643,300,0.891429656096502,[0.9033053220578277 -0.9999999999084228 -0.9999190712164996; 0.1404200992573468 0.9999999999964351 -0.030100557508611427; -0.9706648308450582 0.9178597336205115 -0.9999999999720296; -0.8272680440793515 0.9922546723452348 0.9999999999963675; -1.0 -0.009680382029442686 0.03059713461442122; -0.9045528969287051 -0.9999999999998928 -0.47250008782959957; 0.9999887534404809 0.591317298281342 0.9999999999241856; 0.9999999999272345 0.7093054498818345 -0.5425148764053184; -0.0035890037386983394 -0.05337876171844977 0.06243493722709438; 0.014006261961287084 0.06765066830594056 -0.9999999999779235; -0.8176345954354689 -0.9999999964096828 0.9999999999960196; 0.9732975728535445 -0.9999942307205558 0.9583983537301138]
13,850,300,0.8879671981303492,[0.9999564032755209 -0.9999728656640529 0.7741508820256592; -0.9646017416052759 0.9920217017087086 0.9997644632227012; -0.5103338594135297 -0.9989406066978376 -0.8808517375870559; -0.9868090602297365 0.12239931230294046 -0.9999796540614955; 0.062061576332680876 0.033008646166621795 0.08475331470297798; -0.9999891541910413 -0.3229679551678139 0.19127229272092883; 0.3761616930578406 0.2552914692457377 0.9997791434766348; 0.87847246021657 -0.7712559588383433 -0.9129245443050836; -0.37574485766894306 0.9999676568534386 -0.24530282901479727; 0.7577718848112074 0.9954691182783143 -0.9999708339624722; -0.5645819339278639 -0.98551610936954 0.9935815887260793; 0.999989812963795 0.9999184823344871 0.5466075117668617]
