"","criteria","design"
"1","EXACT-I","-0.0925 -0.0925 -1 0.312 0.312 -0.1685 1 1 -1 1 -1 -1 -0.0925 -0.0925 0.312 -1 0.312 1 -0.1685 1 -1 -1 -1 1 0.0925 0.0925 -0.312 -0.312 1 -1 -1 0.1685 1 1 -1 1"
"2","ROBUST-I","0.731994739698638 -0.999999999999751 -0.0836927007302684 -0.381049557987182 0.964231294244792 -0.999999991801687 -0.999704452759142 0.378494177088681 0.999999999978131 0.214771882113306 -0.935758690840262 0.999999783873399 0.998930578722019 -0.983704979158443 -0.00463587845745058 -0.100598669300153 -0.200438517844421 0.999999982108147 0.851484279175733 0.999969918575309 0.419009579811038 -0.999999954584549 -0.998488251637269 -0.998809778126892 0.997596612026057 0.751340353440693 0.0594068068202206 0.999999999592203 -0.999999999975125 0.783073826422484 -0.944930586094461 -0.999999936109074 -0.0852598425528019 -0.225598086146278 -0.999999999973171 0.978240159492262"
"3","EXACT-G","1 1 -1 0.993 -1 -1 -0.4144 -0.7357 0.9998 -1 0.3524 0.0928 -0.7188 -1 -1 0.9841 1 -0.5815 -1 1 1 0.01 -1 0.0913 1 -0.996 -0.99 0.8816 -0.8898 1 0.96 0.9983 -0.8238 0.094 0.0469 -1"
"4","ROBUST-G","-0.999999990814425 0.969988825975499 0.516545967133114 -0.996362329812286 0.744579435741481 -0.268286354491679 -0.631655597364899 0.999999999999973 -0.999999999697778 -0.999999999985409 0.975370348437459 0.986022938400148 0.937943660999933 0.99999999999979 -0.999999999999819 1 -0.996308469056782 0.156370507114916 0.307676572793191 -0.222372476233734 -0.999999999999991 -0.999999999994035 0.99999999859771 -0.100006722334867 0.54738973227965 0.999997178175027 -0.651649635960719 -0.997910671450349 0.999999999949648 -0.587425264316662 0.997016707591518 -0.9999993633855 -0.999999998991355 0.58411347113487 -0.869556824414661 0.646808786889204"
