"","criteria","design"
"1","EXACT-I","0 0 -0.1243 0.1243 1 -1 1 -1 1 -1 0 -1 1 -0.0537 -0.0537 1 1 -0.6353 -0.6353 0.2472 0.2472 1 1 -1 -1 -1 0 0 1 -1 -1 1 1 -1 -0.1243 0.1243 0 -1 1"
"2","ROBUST-I","0.281708011537395 -0.0683305295169565 -0.999999997637282 0.859337392007381 0.0207861156059628 -0.999999999163585 0.99999999105874 0.999999966306968 0.503186137784449 0.999999988833276 -0.880424368671261 -0.999999994798175 -0.317708000157633 -0.999999997642709 -0.999999991836964 -0.525835352306431 0.999999999508982 -0.0107010776364461 0.999840982780369 -0.890450325210889 0.933136525896756 0.495627913060632 -0.309067122437717 0.999999991231179 -0.996835634737409 0.430552655773156 0.954438973966477 -0.826438269683658 -0.445641612650748 -0.0656073847169729 -0.0485584102219244 -0.999999990955051 -0.999999990526144 0.999999997788538 -1 0.386907153444679 0.327372491532129 0.999999979313249 0.999999998561785"
"3","EXACT-G","0.3938 1 1 -1 0 0 1 1 1 -1 -1 -1 -1 -1 -0.3938 -1 0 1 0 -1 1 1 -1 -1 1 1 -1 -1 -0.3938 0 0 1 1 -1 1 -1 1 -1 1"
"4","ROBUST-G","-0.999999999992003 0.210917729806537 -0.999752551775615 0.999999999995708 0.999999999992561 0.158844671255453 -0.107420866984745 1 -0.160396825267885 -0.999999999897277 0.999999999893895 -0.999999999999374 0.999999999996645 -0.999999999995358 -0.751217935817213 -0.999999999998262 -0.999975177656925 0.785034183960146 -0.397444705019083 0.999999999999881 0.989808382861087 0.999999999999904 0.478429594503396 -0.999999999999087 0.779796256136592 0.984735472373518 0.999999999998969 -0.999999999994945 -0.634196343601194 0.999999999999997 0.0156123977057623 0.908020242245413 -0.940886744548505 0.999999999999896 0.995911269815648 0.999999999999966 -0.483418080379321 -0.999999994033962 -0.999999999995031"
