nPsoRun,n_iter,S,fgbest,optDes
11,10000,300,-20.233467192685193,[0.999999999999997 0.9999999999999918 1.0; 0.9999928423536223 -0.9999999999999986 -0.9999999999999967; 0.9999999999999994 -0.9998642834508576 0.8041974529721758; -1.0 0.4365145127155695 -0.7331219609560253; -1.0 -1.0 0.9988667778268644; -0.8759815833630189 -0.9782247383665466 0.020442433485886032; 0.9999999999999859 0.25552171661907574 -0.995458268155694; 0.6445618481201029 1.0 -0.740274750352077; 0.21389461913584304 0.9999817546840358 0.9872622511080854; -0.9999999999999991 0.9759545796569103 0.9990351393889084; -0.9993211814733792 1.0 -0.9999999999999999; -0.06964342662787343 -0.9977363540632416 0.9999999999999974; -0.9999999999999989 -0.9999953231802111 -0.999999999999999]
12,10000,300,-18.60860002386241,[-0.9992796641978083 -0.9999999999999966 -1.0; 0.9999999999993047 0.9999999999990403 0.4044368145752742; -0.9999999999999947 -0.8655938503580055 0.9999999999999134; -0.7494595647185773 0.9999999999961992 -0.8731311427920957; 0.8973535815269666 0.9999999999998795 -0.999999999999796; 0.9999999999999989 -0.7785206879710671 -0.999999999998857; -0.9999999999999968 -0.16068256799187303 -0.9998279774744996; -0.9999999999985009 0.999999999924727 0.9859205685319109; 0.8359949436733958 -0.32413042639347484 -0.3469681663501249; -0.2383070486662102 -0.9878963178811208 0.5644369609742239; 0.018166109733756593 0.999999999999615 0.9999999999609963; 0.8325963612154084 -0.37926792134325443 0.9999999999995517; 0.99999999999893 -0.999999999999836 0.534204100059004]
13,3819,300,-20.21992788052851,[0.9992950669095613 0.9338685873086383 1.0; 0.9225977102207458 0.37878198378200645 -0.07469206222918597; 1.0 -0.2571475774249347 -0.999999995706524; -1.0 0.7268890809358369 0.5459728117653957; 0.9603450214677943 -0.9999999990776318 -0.4697223919862909; -0.3293657479659115 -0.9999999993484785 0.8425841426878343; -0.26036103315958925 1.0 0.9997123810273157; -0.9999999651874276 -0.9999999975290109 0.9999999999714599; -0.8537954716447775 -0.16520651201795428 -0.991420047792048; -0.9964870430690133 0.9999999930308981 -0.9999999992647155; -0.9999999995336581 -0.9999999990285359 -0.9999997453906613; 0.9634236140300129 0.9999999989382881 -0.9610892300625695; 0.9999999898002561 -0.9331387519128723 0.999999989086202]
14,4071,300,-20.389786624732672,[-0.9999563653488773 -0.305014985440867 0.9999999983570765; 0.9999999997876696 -0.9999999989646364 -0.9999999992949278; 0.9725697229404214 0.6321361387438275 -0.10042276968944153; 0.3185803453835933 -0.3250856517928976 -0.7657137390951034; -0.9942564911553999 -0.9999999984913053 -0.9999999999687452; 0.9601902864961289 -0.4462359697029999 1.0; -0.9999999999999755 0.3854405758406684 -0.9641684689960593; -0.9999999999672023 -0.9999999999999923 0.21058273101733554; 1.0 0.9624514144544801 -0.9999992808666024; 0.28208385442273 0.9999999999822727 0.9999999996752592; 0.020685417831118588 0.9999999995588206 -0.999999999997436; 0.9999999993018847 -0.99999999939036 0.29019090464675373; -0.999999999916721 0.9999999946552957 0.8451422790747389]
15,3261,300,-19.59940334607776,[-0.9999987669429088 0.06301184589471996 0.9998441093801556; 0.3906308792191547 -0.9980011975974421 -0.9114485608942022; -0.999999999653899 0.9999999988430777 0.6680418125828008; -0.9666758064231721 -0.95943575222878 0.047503275918280345; -0.9877947461296656 -0.9999999982697804 0.9999999974479198; 0.8160567926455482 1.0 0.9999999950912333; 0.6918615767869243 0.9651214367065795 -0.9999999983393822; 0.9999999951252716 -0.9543013115459664 -0.999972602596669; -0.9592014949958572 0.9992123720983427 -0.9915778441217536; 0.9999999999500107 -0.999999999934937 0.9999999975318524; 0.4983334353806761 -0.4712540992662823 0.9775578217902886; 1.0 0.8835944453127765 0.30271475970693185; -0.9999999999312797 -0.9911518192352959 -0.9999999996382786]
16,8661,300,-20.415053283009197,[0.7407795972303678 0.5663069909719916 0.9999999999999986; -0.9999910614632073 0.24303294639120554 0.9999999999947855; 0.9999999999999999 -0.9999999999999962 -0.9999999999999989; -0.9929142285374097 0.9999999999999991 0.08355856816265618; 0.2668771064946474 -0.9999999999999988 0.9999999999999915; 0.7204986397812331 0.9999999999999815 -0.9999999999999966; -0.1236960860815004 -0.9938250047272801 -0.9999048371468889; 0.24817298858603615 0.398498808339035 -0.6427205363990669; -0.999999999999992 -0.5359836560655452 -0.9980394752373404; -0.9999999999999795 0.9969803934671074 -0.9999999999999989; 0.9999999999999927 0.9999999999999997 0.2983195144436319; -0.9999999999999968 -0.9999999999999959 0.9914805958560848; 0.997090947244236 -0.8098380515651401 -0.15121531248749281]
17,8497,300,-19.496691963407777,[-1.0 -0.27363243681282545 -0.999999999999998; -0.9999999999999923 0.9999997497692537 0.940003057554942; 0.9999423215740423 0.8962048107592119 -0.026285184381236913; 0.05007298981633719 0.9999999999999998 0.999999999999999; 0.9999999999999998 0.5560634299706744 0.9997345070127852; 0.6510989344774023 -0.02430860611107165 -0.9999999716394244; 1.0 -0.9999999999999877 -0.9723054483451429; -0.99755662992423 0.9999999999999823 -0.9999999999999997; -0.8390354582481026 -0.9999999999999976 -0.9999999999999992; -0.988168871668804 -0.9760113663610597 1.0; 0.9999999999999895 -0.9999999999999982 0.9999999999999977; 0.9989872117045951 0.9999999999999969 -0.9971232796271443; -0.5072640516959337 -0.9999999999999836 0.4558088381508534]
18,10000,300,-21.07973834817088,[0.9999999999963662 0.9999999999999991 -0.9998052155933131; -0.999999989183473 0.5383675534790976 0.8270848915397476; 0.49495818294455574 -0.12296402886045998 0.8010888761951724; -0.9359467099778076 -0.8419804567202231 -0.012423492902165056; -0.06299462876320241 0.9367185953777993 -0.984367699476546; 0.9357212408004617 -0.9999999999999986 0.9999999943745538; 0.999999986969488 0.999999948626867 0.977555079593523; 0.6202075034278314 -0.5844053434551012 -0.9999999999999973; -0.9999999999951258 -1.0 -0.9999999999857783; -0.19889946486033896 0.9999999998912191 0.9999999475275395; -0.9999999999999146 0.7442039857288032 -0.9999999999967782; 1.0 -0.9999999999593716 -0.27125515895939434; -0.9999999442995887 -0.9999999999962846 0.9999999998921925]
19,4680,300,-19.703699559767163,[0.9852665879631403 -0.27038826151471607 1.0; -0.011608002294062636 0.998436261099872 0.9935592201589242; 0.9999999999603325 0.999999999974874 0.6627323701440672; -0.9901519318715161 -0.9999999475399755 0.9999999999941923; -0.9983261079858311 0.09778313332519385 -0.9999978261068209; 1.0 0.9999999999999488 -0.9997677981660732; 0.9997092667000329 -0.9753284838782982 -0.9999999999993372; -0.8233435869757417 -0.9999999999994648 -0.9999999999976148; 0.9985563281168046 -0.9999999997202158 0.5772302986192256; -0.9795056865521269 0.9999999531824596 -0.9999999368507666; 0.4501116375616597 0.1474309030092596 -0.6752656617947418; -0.9721774224851736 -0.7123876871126903 0.34899597073355254; -0.9999999956552796 0.9999998418325892 0.999030265640832]
20,10000,300,-21.073667164127727,[-0.9999999999998782 0.9782485990982707 -1.0; -0.22245836497205027 -0.7288279838667165 0.9999999999999677; -0.12159221721091834 -0.41855263886782973 -0.8984471546584046; 0.10301555979634226 0.9999999999175211 0.9990608884368564; -0.9999999999999992 -0.9999999999999658 -0.9999999999999623; -0.999999999999996 -0.9999999999998606 0.4428263067954815; -0.9997998426145286 0.7420745831946565 -0.30389856348173805; 0.9999999999999506 0.7613190019359902 0.9999999999999386; 0.3339936797523938 0.9999999999999826 -0.9999999999998112; 0.9877183563535592 -0.999999999999937 -0.9659546108065914; -0.9999999999997783 0.8523090152032997 0.9999999999999972; 0.9999999999999047 0.3953714911887401 -0.8852942118751965; 0.9999999999999734 -0.9999999999999993 0.5479519651014342]
