nPsoRun,n_iter,S,fgbest,optDes
11,5162,300,0.7242543386980156,[-0.9999999988605532 0.9999999998772299 -0.9999999979347003; -0.8278536975403832 -0.9999999963957111 0.9999999850340988; -0.9999999981426944 -0.1500588550771774 -0.5558582868966194; 0.4113351650086108 0.03111978025259 -0.10912130992700105; 1.0 0.9999999998869857 0.9999999994403431; 0.9999999585902732 -0.9996802395865791 -0.9999999995400584; 1.0 0.9999999999986394 -0.6551809714754933; 0.4956813300961805 -0.24973503401473174 0.9999999766277095; 0.9997932159753745 -0.999999999548921 0.2607749848996838; -0.5059243362439202 -0.9999999994452108 -0.5486001572716371; 0.05815385392819653 0.45308991611752547 -0.9816898988780175; -0.10784798408816486 0.9999999984498704 0.25311033360619717; -0.99999999691213 0.6546873251519472 0.7410018439969442]
12,1338,300,0.7074616917879417,[-0.9999879842790912 0.7567929689936038 0.8507155946565357; 0.9999978212485089 0.8869859790573795 0.16756445372789194; -0.9999951433018275 -0.9999999489061503 0.6431668414215395; 0.24346486194198522 0.9999874870547759 0.9999999819841481; 0.7212550674299779 -0.999319076268301 0.9999794469964535; -0.21408348366072044 0.12875088918928262 -0.10571928017153544; 0.7159007744199756 -0.3848299964423572 -1.0; 0.5346449351846205 1.0 -0.9999882891602718; -0.9999990090547091 0.7002416432853913 -0.9827865637696271; -0.1171256596956914 -0.10603653731679297 0.014946771502872082; 0.919450079983221 -0.9999999974729207 -0.34921283925786967; -0.981367914643587 -0.999127141535309 -0.9999272616409036; 0.9999983310194092 0.06830862591503085 0.999912681035204]
13,3403,300,0.7199001652422532,[0.34421162870936883 -0.9999999840615907 0.9999999984579707; -0.021560912987863924 -0.012529423859855593 0.19460852303079637; -0.9999936314578622 0.905733478461676 -1.0; -0.3373381875762187 -0.029432486127008717 -0.1311889657663588; 0.9999999999682917 -0.9891476879319844 -0.1558310865256671; 0.0016740862645736833 -0.9796818225240463 -1.0; 0.573072112896126 0.999999999091154 1.0; 0.999999999909749 -0.0765360537398179 0.9999999979563667; 0.6802773163221106 0.9999999967807247 -0.2070682785834241; -0.9999999996909957 0.999999995390605 0.36458624450885896; 0.8014215795023208 0.5164082766291725 -0.9999999944344445; -1.0 -0.9995499806421122 -0.6784939567224212; -1.0 -0.7881491574530058 0.9977646691785617]
14,1614,300,0.728254440816198,[0.9999067665395222 -0.46902513632290294 -0.9999944227978361; 0.9982859877854995 0.1882052571210457 0.08583530768180136; -0.06190520121081857 0.06446014283864472 0.09018929932248347; 0.015548590793823 -0.9976751425602095 -0.644570707951762; -0.19943725912158147 -0.21476414366410565 0.972814956236417; -0.7626828901662579 0.8204381294625674 -0.7021482873295396; 0.9473183654608847 -0.9999999816942 -0.03146033031258322; 0.9999937984822996 -1.0 0.9999955088165333; 0.7538084965330183 1.0 1.0; 0.8595392713650973 0.9999999542044969 -0.989852073930347; -0.999999923127105 -0.8230524561622602 -0.8974636344065507; -0.999999955544319 0.9999932444546511 0.8482232103011254; -0.9999999089569378 -0.9907259135315998 0.7773875298661801]
15,996,300,0.717678520873734,[0.022245230578435284 -0.001096753264116101 -0.36949474315857195; 0.9999966852183206 0.9999943603949915 0.9996246614232261; -0.7515450373996594 0.8997891511068694 -0.9999735393395864; -0.9999554692034842 -0.3987710336059008 0.24361972583260974; 0.6824976600209388 -0.9999783054451652 0.2634513244579173; -0.979060026681004 -0.9548879566173546 -0.9999763948563446; -0.2071757691339502 0.181241460990513 0.999999663312037; 0.11952764342887456 0.7729238143899252 -0.05500682231920853; -0.9999876386803508 0.9999846910294821 0.19778368926667256; 0.9964720087936068 -0.8442252855970982 -0.9999702058937743; 0.9999911812661015 -0.21304950605811418 0.9160028069517678; -0.6148852278045113 -0.9999899913326121 0.9999806189082412; 0.9999223731263848 0.8939959914133803 -0.9981068414769297]
16,4302,300,0.7266346376073761,[1.0 0.9749211274821024 -0.7672687424752965; 1.0 0.9999999999998299 0.9997782933840836; 0.13505867177307992 0.15196735991517804 0.08677846944461906; -0.3965056286403459 0.9999999999963067 -0.9997069541628116; 1.0 -0.8317854223797179 -1.0; 0.014344244784950376 -0.3295113527989012 -0.7013638132434802; -0.9999999766755733 -0.044854219550856174 -0.9999999965739433; -0.9999999854637741 0.2343198002525312 0.25100116579003756; -0.6897303544756915 0.9999999432115739 0.9965958284145624; 0.9868094006009209 -0.999999999985198 0.20281529997879938; -0.9860771473305898 -0.9999999973991377 0.9999999999992781; -0.5837369381459062 -1.0 -0.10166408953886424; 0.6685899637993157 -0.3718720498623244 0.9999999775696589]
17,2596,300,0.7192798340373902,[-0.044988836547956566 -0.9824358863176248 0.9999999624572395; -0.9999986930843241 -0.9999204874248473 -0.9319369645324288; 0.9999999597547009 -0.4301633594453657 0.9999998358197247; 0.590491146122908 -0.9999999999987191 0.004555577930592453; 0.9998882421071913 -0.7152231344302337 -0.9999998282955155; -0.09868703623883536 0.0733071915276299 -0.22746849004784342; -0.9999972707525856 -0.6306315958892234 0.7407445006116001; -0.1932186041802969 0.13944981218637467 -0.999999999922187; -0.9999983990969828 0.9999999370257695 -0.8393539200455805; 0.9755971901394841 0.9999998912015841 -0.9234069977510966; 0.8431222733836387 1.0 0.9999999698297802; -0.9309832657193102 0.9942853915583364 0.9084014947988992; 0.7015936531281947 0.2277940318602799 0.002634598297551811]
18,2071,300,0.741241508408546,[-0.7803210694154818 -0.9843969396792895 -0.9982442415461902; 0.9999936855606413 -0.8475460552965 0.7313800158857727; -0.9893057113040001 0.9999575648420376 -0.043611299658148785; 0.778833472704835 0.9997157404137128 -0.8418020877878328; 0.9999818912051356 -0.172001679008777 -0.9381112099241173; 0.999995565097497 0.9998710641368256 0.9496934064718348; -0.9999985524836412 -0.13872755780475385 0.30808565309693664; -0.6476190749660842 -0.9999832674953628 0.8479884912906794; 0.027417264514521998 0.196343848134763 0.7762002902873748; 0.46111308608776563 -0.9999537218321974 -0.4332953139441262; 0.02688160145732626 0.08239250804204563 -0.06279291045132177; -0.7240509319191533 0.8625688698439574 -0.9999994493504822; -0.9727411290857101 0.9996409623757314 0.9999992010334365]
19,2769,300,0.7147503435611159,[-0.45252590636367135 0.034284253279040174 0.9999986676460659; 0.3196991219719291 0.9763758143278991 -0.9999999984081515; 0.06232417873074691 -0.9862433838627819 -0.10901001299939207; 0.976489821269027 0.9999999953744853 -0.1079877150599578; 0.8517680682716037 0.9999941317869692 0.9999999997118657; 0.8773286318969973 -0.9999999997482308 0.9188341295684574; -0.9993220264325037 0.9999999998104165 0.4955391797270717; -0.9999999999605556 0.9336560461892675 -0.9681264262123607; -0.9995408030134119 -0.9321711858815824 -0.946936889651439; 0.9999999995225277 -0.03225419336464861 -0.46978302313388304; -0.07468293067584181 -0.01434483481456604 -0.017145574184953768; 0.9998643233389335 -0.999999990143089 -0.9999999917673764; -0.9999999992653108 -0.9999999746447003 0.9999999972725243]
20,5127,300,0.7013661650560878,[0.9999999999996363 -0.9999999999401694 0.9999999999982797; -0.29690231165989733 -1.0 0.39930455125822967; -0.9999999999977546 -0.09260162950219562 -0.9031064291865911; -0.04316171261485708 0.13898970042532163 -0.059303899742124355; -0.9999999999924791 -0.33668007527190247 0.9553848885987967; 0.9999999999958319 -0.856941197746323 -0.3914534468357281; 0.9968316510702105 0.9999999999989044 -0.9999999999938202; 0.9999999999999998 0.7292239658726356 0.13240038703837678; -0.9873148122703511 0.9999999999997712 0.9821487093594519; 0.39887319396191234 -0.23059439751782854 -0.9998839528564273; -0.540347497086881 0.9999999999466193 -0.6046830938459977; 0.5360678641277961 0.4225680792567099 0.9999999999997958; -0.6791056017904271 -0.9999999999999858 -1.0]
21,4260,300,0.7007276879384048,[0.9999999835401138 0.5693775010078744 -0.3637207847877956; 0.9999999998477203 0.9999999927840983 0.9999999973673561; 0.9999999921330671 -0.9999999972086704 0.4329150739006096; -0.9999999999999423 0.9602933990855138 -0.690015234968564; -0.022054277291042687 0.015793349064349625 0.018591849452838243; 0.32469224039830696 -0.18860529832517317 0.9999999987066428; -0.8285173715352658 -0.6848952723019802 -0.9999999998009671; -0.9999745588418739 -0.9999999993022499 0.9999999941234381; -0.9999999994434924 0.0801908187137167 0.7633065785170331; 0.3120631585867179 0.697319420860836 -1.0; 0.9967423942912338 -0.9999060122942276 -0.9999999879077687; -0.5594716659792478 -0.9999999995583545 -0.09146049595534271; -0.4529055155202986 0.9999999997185276 0.8282192944566759]
22,4245,300,0.7071708302382521,[-0.9554548118247314 0.9999937047879812 -0.9870136985129526; 0.8362786240612785 0.999999813076056 -0.9999998520586024; 0.6214558038026102 0.9999999886040931 0.9714041480294382; 0.18477955114350567 -0.9999999738260554 0.10007678604942173; 0.8663487981717367 0.1948230851338522 -0.0132509804298799; -0.1722167700546085 0.11251963363469969 -0.10320846063252911; 0.9999996389667685 -0.9999999990746598 0.9999996747591859; -0.053684524258117094 -0.975478480103019 -0.9999999845780579; -0.9999999813365419 -0.6692904682089282 0.9999958683149484; 0.9999998385915557 -0.5561736630741212 -0.9999729527785529; 0.11667004624723354 -0.06158698034686223 0.99999994633801; -0.9999999389835291 -0.8339768585087035 -0.8948726608617422; -0.9999998554052781 0.9999997120641497 0.5089587307053295]
23,4309,300,0.78206257617074,[0.19864875418837055 -0.9999999887003609 0.8307389554012421; -0.7478084320509879 -0.3607398051271959 0.7903754385729381; 0.9999999999890511 0.999999995568136 -0.9999999999805879; -0.9999999565392849 0.9661375272289117 -0.609299412814235; 0.6478477149256098 0.999999969758426 0.45974716178672465; -1.0 -0.9999999999448601 -0.4016233246605693; -0.32648568931967714 -0.47575364012611476 -0.9999999998659066; -0.13921132866328653 0.8530003408677272 -0.8796970082406449; -0.7815854617164418 0.9999999877534052 0.9999999970015713; -0.07249969151779648 0.2963522689864283 0.039293493793783926; 0.9999999823890571 -0.1305865178793902 0.9999999933870127; 0.6684007885182083 -0.9999999996689611 -0.5970401532718723; 0.999524715423942 0.04186809858012664 -0.06434579521075524]
24,2208,300,0.7230798863742648,[0.15413552530090932 -0.018500477881517725 -0.19207305083004103; 0.9649106410336035 -0.9999998958344406 0.9657506334470893; -0.5580262049663077 -0.9995194859079578 -0.9994934770385432; -0.9999999838676518 0.4378974024963317 0.17895185896006685; -0.970788478001684 0.08513689317806968 -0.9999999811875806; 0.27201130554022335 -0.09654205555476882 0.16837639369494667; -0.31381264198378594 0.9999867829484389 0.9999999941983877; -0.4854804629864368 1.0 -0.6715813099486372; -0.9931881458204812 -0.9999999607435331 0.10264720219625395; 0.9983239505851806 0.929054497659553 -0.9999002001232091; -0.6801858393168698 -0.6718166893597904 1.0; 0.9999999907607574 0.8166516523798262 0.8787619946215479; 0.9999999986704666 -0.9807431210565803 -0.8220407916128213]
25,3777,300,0.7153610476548626,[0.9999999999276572 0.23939849247294795 0.8305574235158298; -0.7577293895296725 -0.9999999956020774 -0.9999999984850027; 0.9999120830751121 -0.9999999978942251 0.9911576059077724; 0.6585296759536942 0.9999999999930528 0.22034970539801618; 0.8622783896901601 0.7424378550617914 -0.9999999989327296; -0.03551636280196912 -0.854452475600581 -0.16986314365003874; 0.9999999978570244 -0.9770144021381362 -0.999999947961113; 0.10867579241312922 -0.06454749549627127 -0.12341581070045365; -0.9999999865196061 0.27384323615295947 0.2878822108930355; -0.9852545246726271 0.6345708775164097 -0.999999636645908; -0.9999999707141649 -0.9961380241327772 0.8915112293669145; -0.64605657857969 0.999999932120086 0.9999864759145263; -0.042132939181839364 0.10255814030658346 0.9999999992149009]
26,2808,300,0.7245344095422698,[-0.52461599446342 0.9999845762968789 0.9999914445805559; -0.9982348213696333 -0.9999896757406704 0.3571981222058169; 0.18473517065636244 -0.20733919005953375 0.41362088139968106; 0.9999992360645693 -0.8140564853592708 -0.8050717475981961; 0.09290804378955916 0.15567876834210748 -0.10421241131780802; -0.1294150000776956 -0.999927386907303 -0.757860174409032; 0.9999995316160328 0.7620053962966739 0.9151156662332445; -0.7631768319873483 0.999996573429454 -0.999999319047868; -0.9999603612518407 -0.22514104517025663 -0.9999956732312733; -0.8795144146907098 -0.4249309526730255 0.9999959284533945; 1.0 -0.9999987375829411 0.9847989791519409; 0.9999918747014342 0.9170958753715822 -0.9094826528370369; -0.9999989492762429 0.7448001886155214 0.05913980023737569]
27,2617,300,0.7114304144449526,[-0.40734299678380237 -0.9616692228189837 0.013964167467792101; -0.9999997619572091 0.8610672793280266 -0.9325109774847894; -0.9999999762554145 -0.9999874198018516 -0.9999996809080234; 0.9341914718651025 -0.9582620671132075 -0.9999998533440929; 0.09396130102687876 -0.018057953163939988 -0.9996130381169123; 0.26296722034876024 0.9999998136266849 0.959375373827837; 0.9999999591248495 0.5148921691250742 -0.02506039958259017; -0.024820926199503327 0.029636664841653722 -0.056944043221384674; 0.847741602109905 -0.9999999993972427 0.9929968981171278; -0.9999590585644784 -0.5031652280619425 0.9999999023061078; 0.9723727343536721 0.10594986456154597 0.9999999982944453; 0.9091568590295824 0.9999991339655311 -0.9999999903974724; -0.999999900700778 0.9019013299739511 0.8935886178916892]
28,671,300,0.7199712816579892,[1.0 -0.9504299309497021 0.6163766675192438; 0.11247403825592299 0.861783361680112 0.06619410649291683; 0.7060942705634017 -0.9998204265752324 -0.7693966886621699; -0.9643553433145652 0.9999566965195824 0.9992318915004165; 0.9963463820008226 0.008070560638668735 -0.9716284143965996; -0.5188698645706643 0.9876995556548361 -0.9999859748976603; 0.9999759803338584 0.9997177151438067 -0.9212328462027166; 0.9987814111219767 0.6797402679141787 0.9996132634914512; 0.009798559312962897 -0.07258363236799201 0.06006003094153591; -0.999962917316423 0.6281458398464843 -0.05595162574724267; -0.9421035545349534 -0.6857467224950918 -0.9982663043419479; -0.0013584057593256556 -0.3762987613263047 0.9999998128637038; -0.9990289789369874 -0.9524738037853353 0.816531969563855]
29,1362,300,0.729188725575113,[0.3507564484148577 -0.9999987679980349 -0.9999992902804958; 0.999995418509119 0.9812631533011544 0.9604772514224371; -1.0 0.9996827037962632 0.8786797311496295; -0.9999148039642147 -0.6221122313050793 -0.9935505813228745; -1.0 -1.0 0.9999931306639241; -0.1691340100586645 0.08185355495670348 0.14753556244781113; 0.9999984651614963 -0.6232697807797821 0.1131293073243257; -0.2699433892917531 -0.891756854603545 -0.02708692444676926; -0.9833599082271854 0.9830122393734098 -0.852646702318102; -0.05216429618293039 0.21328050528800896 0.9471792320682305; 0.9998786553886141 -0.08850062063981225 -0.9354210998168689; 0.6163336158733805 -0.9550415565238792 0.9999977231171048; 0.6359143602393099 0.9999938793923028 -0.6081834816815235]
30,441,300,0.745826686759406,[0.9979996849759448 0.99994173877084 -0.9917076318981114; -0.5155545004759228 -0.9992232491971728 -0.9996194475161471; -0.9998263210649665 0.8417922840010383 -0.9718379594215227; 0.30431966591258786 0.012915041489825004 -0.9999569948236395; -0.9998468149440081 0.5014177032470559 0.9978601439122198; -0.16617297578114607 0.999873849309159 -0.1821471025607041; -0.5486519321780797 -0.8598771602906469 0.9999788465808132; 0.9998494718018204 -0.9998705178844366 -0.8932580277787993; -0.9994535758578722 -0.8395589944373588 -0.018262044330096913; 0.9996549065820531 0.9996756206615303 0.999453281019858; -0.056086955423344256 0.5180250609935074 0.2127256883761418; 0.9993004446194075 -0.9993295144405886 0.9960630413877012; 0.928390262232829 -0.04917788144626223 0.21396395577550578]
31,2135,300,0.7471480329428362,[-1.0 0.9999999914035256 1.0; 0.03268572707354478 -0.19982088143696133 -0.07468980103203446; 0.9999999300743887 0.9024009416470302 0.5237455314756835; -0.6681098383378091 0.7963331427006884 -0.9999999632347311; -0.9999999987948001 0.284694138288135 -0.16282328754164432; -0.5979011581264976 -0.15626151982520484 0.6948488216923852; 0.030010860565221047 1.0 -0.11749739365787591; 0.999999905884345 -0.9841421684457828 0.8929258904451318; 0.320390353077663 0.3916275383805041 0.9999999990533439; 0.9217618014608654 -1.0 -0.8813655731216472; 0.999999959468657 0.40364692929746154 -0.9999999469537252; -0.7780264381299875 -0.9999999993907325 0.9018203514135921; -0.9978771171764451 -0.9999999239507603 -0.9999897050352008]
32,2971,300,0.7581418224599396,[-0.2338546597149176 0.915861329080164 -0.99999994957948; 0.3501538287031006 -0.6634868596665584 0.14911214371069867; 0.9999999938698364 0.8840028516497439 -0.7896657130056978; -0.6230923586376704 0.9999999791948517 0.012452877985200148; 0.2572726944536978 0.02450253290775211 -0.026625386106987583; -0.1361208236331141 0.18682548140808944 0.9999983073113937; -0.9999969564675533 0.3917955556601279 0.6224158739612501; -0.5284095994687437 -0.9999995604964816 -0.9993671163571797; 0.9999999855982016 -0.9999967158597006 0.9530517636011367; -0.9999998451623286 -0.08617787806381162 -0.8625005380464249; 0.8958468473123581 0.9910897694160425 0.9999988930217382; 0.9999724257697867 -0.939383844405716 -0.9999990723383927; -0.657511516795468 -0.9999989274087698 0.9992295142794575]
33,2550,300,0.7135138999061681,[-0.9202533501227689 0.9726216601345684 -0.8816649071775488; -0.9999999964107401 -0.902499330943639 0.9968713315142401; 0.9999999418962034 -0.2960043889875434 -0.9999999986128855; -0.009517478279079037 -0.9999999997685163 -0.506230224802336; 0.021434144903286094 0.4347463575609731 0.9985946710092408; -0.9999999999986221 -0.9978682589047069 -0.9999999846861479; -0.027358679626128677 0.062353647759188134 -0.007414975355832343; 0.9999584792338785 -0.803661355369742 0.9999999034169472; 0.9999999998149192 -0.9991821944389024 -0.019111532958438357; 0.9643702693830185 1.0 -0.999978723973455; -0.9999999993680928 0.9999999883855157 0.9999999963253932; -0.992818203100275 -0.07168573315705801 -0.05046170639043768; 0.9999998664217999 0.9923658984137358 0.49547516530836416]
34,7435,300,0.7008697125684406,[0.9999999999998834 0.7799978943266868 0.494131979962256; -0.999999999996668 -0.14606656487202693 0.40997481454972573; -0.9999999999806651 0.6876827926977345 -0.9999999999981706; 0.07171165796286104 0.03675363232889093 0.026176342200952073; -0.7086700302119281 -0.9999999999994532 0.7257501131028044; -0.9669968917062637 -0.9999999996544076 -0.9993549636355576; 0.5295283558050702 -0.2151082108200845 -0.9999999999985058; 0.9999999999381344 -0.8675068396670589 0.9999998434350945; 0.9999999999981042 0.9999999999643324 -0.9999999999882832; 0.6791518943945569 -0.9999999999985827 -0.5605729201733849; 0.19175618824938226 0.7467881593431942 0.9999999999999994; -0.14036947056199714 0.9999999999999496 -0.19758283299850601; -1.0 0.9999999999857947 0.9987640147845063]
