nPsoRun,n_iter,S,fgbest,optDes
1,614,300,0.2974821738191941,[5.040379047579946e-6; -1.0; 3.698854690328906e-6; 0.578270475012354; -1.0; 0.9999999999999624; 1.0; -0.5782704866784484; -7.203321169811485e-7]
2,472,300,0.29748217383214703,[-0.5782704699541587; 0.999999999999954; -0.9999999999873598; -1.0921503686615072e-5; -0.9999999999979133; -1.6750910564079612e-6; 1.0; -1.6757776378816569e-6; 0.5782704907185999]
3,352,300,0.29748217392293286,[-1.0; 0.9999999996179205; 7.178657099550239e-6; -1.0; 1.370762208297238e-5; 0.9999999998324044; 6.249638405267846e-6; 0.5782704609218038; -0.5782704988776479]
4,363,300,0.2974821738925774,[-0.578270479551231; -1.4882107268990039e-5; 1.0; 1.9571117019532196e-5; -2.7359411577862935e-6; -0.9999999999998515; 0.9999999998779238; 0.5782704775740772; -0.9999999999874721]
5,597,300,0.2974821738197623,[-0.5782704784592558; 0.9999999999987411; 0.9999999999902311; 3.849051687159677e-9; 0.5782704831516744; -0.9999999999991656; -2.178764147617384e-6; -1.0391866713103924e-6; -0.9999999999952685]
6,497,300,0.2974821738192822,[-1.0; 3.5208875245698894e-7; 5.587767697580871e-6; -1.0; -0.5782704824853109; 0.9999999999999998; 0.9999999999988782; -3.680164430109131e-6; 0.5782704792185207]
7,549,300,0.2974821738304503,[-6.71914294188524e-6; 0.9999999999999999; -5.46267464556038e-6; 0.5782704957972847; 0.9999999999964974; -8.419316440541607e-6; -0.5782704658264904; -1.0; -0.9999999999957564]
8,452,300,0.29748217383173314,[1.0; 0.578270474339467; 1.2891529805978663e-6; -1.0; -0.5782704871832781; -8.086264060480266e-7; -0.9999999999806608; 8.481906195570118e-6; 1.0]
9,487,300,0.29748217381889935,[3.4664369680307873e-6; 1.0; 3.954073744070173e-6; 0.5782704796184222; 0.9999999999999813; -0.57827048207543; -0.9999999999999948; -1.0; -5.726461204561153e-6]
10,365,300,0.2974821738711467,[-8.218732983148739e-6; -0.9999999998871671; 0.9999999999917092; -4.388803851585966e-6; 0.5782704694276047; 0.9999999999970968; -0.5782704908313209; -0.9999999999417136; 2.713734048514556e-5]
