"","criteria","design"
"1","EXACT-I","-1 1 -1 1 0 0 0 0 0"
"2","ROBUST-I","-7.1086313989072e-07 1 0.578270480207821 8.27991204847749e-07 -0.578270481521209 -1 -0.999999999999568 7.84734368394662e-07 1"
"3","EXACT-G","-1 1 -1 1 -1 1 0 0 0"
"4","ROBUST-G","-1 1 -1 1 -1.1194109120744e-08 1.14285642524236e-08 -1 1 3.46809531784251e-09"
"5","CCD","-1 1 0 0 0 0 0 0 0"
