nPsoRun,n_iter,S,fgbest,optDes
13,234,300,-75.00000000000001,[1.0; 1.0872456184347026e-8; 1.0; -1.0; -1.0; -1.0; -1.3880977833728147e-8; 1.7871885591016338e-8; 1.0]
14,281,300,-75.00000000000001,[2.4741707336956043e-8; -1.0; -1.0; 1.1069941232527172e-8; -1.0; 0.9999999999999998; -1.3720363882247073e-8; 1.0; 1.0]
15,230,300,-75.00000000000001,[1.0; -1.0; -1.0; -1.0; -4.320522652841438e-9; 1.0; 1.0; -1.109613130868789e-9; 1.1117627105327042e-8]
16,285,300,-75.00000000000001,[-1.0; 1.0; -1.673642216569977e-8; -9.432382165079804e-9; -1.0; 0.9999999999999999; -1.0; 1.2364762146037439e-8; 1.0]
17,253,300,-75.00000000000001,[1.0; -8.858276732839136e-9; 6.842084359458481e-9; -1.0; -1.0; -1.1965719155503701e-8; -1.0; 1.0; 1.0]
18,231,300,-75.00000000000001,[-1.0; 1.1538086867627685e-8; -1.3458110959190874e-8; 1.0; 1.0; -2.170034093376436e-8; -1.0; 1.0; -1.0]
19,203,300,-75.00000000000001,[2.9291665202475494e-12; -1.0; -1.547718445596729e-8; 1.0; 1.0; -1.0; 1.0; -1.7700890933020081e-9; -1.0]
20,230,300,-75.00000000000001,[-1.0; -1.0; 1.0; -6.625184709134938e-9; 1.0; -1.0; 3.748394426479942e-9; 1.0; -4.0928747976189925e-9]
21,233,300,-75.00000000000001,[1.0; -1.0; -5.504656291455363e-9; 1.4049775090587184e-8; -1.0; 1.0; -1.0; 1.0; 7.3183389282218485e-9]
22,229,300,-75.00000000000001,[2.008243780999819e-8; -2.581505644781372e-9; -3.496202285214309e-9; -0.9999999999999999; 1.0; -1.0; 0.9999999999999999; -1.0; 0.9999999999999999]
23,276,300,-75.00000000000001,[-1.7369303777018298e-8; 1.1232159475373459e-8; 1.0; -1.450466524621405e-8; 1.0; -1.0; 1.0; -1.0; -1.0]
24,223,300,-75.00000000000003,[-1.0; -1.0; -1.0; -3.1452415467172207e-10; 1.0343016567604245e-8; -9.543114934856273e-9; 1.0; 1.0; 1.0]
25,201,300,-75.00000000000001,[-1.0; -0.9999999999999999; 1.0; -5.002384320984436e-9; 1.0; 1.0; 8.967823641861726e-9; -1.0; 1.9374134421286932e-8]
26,223,300,-75.00000000000001,[1.0; 2.341001943894858e-8; -1.0; -1.0; -2.150863955283794e-9; 1.0; -3.747524071879868e-9; 1.0; -1.0]
27,234,300,-75.00000000000003,[-1.0; -1.0; -1.2602964889559636e-8; 1.0; -1.050479710200618e-8; -1.0; 1.0; 1.0; 1.0771799436323841e-8]
28,287,300,-75.00000000000001,[-1.0; -7.164939653417685e-9; -1.0608500575821324e-8; 1.0; -1.0; 1.0; -1.0; 1.84235256939819e-8; 1.0]
29,231,300,-75.00000000000001,[-1.0; -1.0686620734021328e-8; 1.0; -1.0; 6.109383886664803e-9; 2.0438094762728252e-8; 1.0; 1.0; -1.0]
30,263,300,-75.00000000000001,[1.0; 1.0; -1.1222585700032216e-8; -1.0; -1.0; 8.58814810887936e-9; -1.0; 4.3394219677165855e-9; 1.0]
31,222,300,-75.00000000000001,[4.605969675948652e-9; 1.0; 5.529492877673815e-9; 1.0; -1.0; 1.0; -1.0; -1.0; 9.743387357552115e-9]
32,273,300,-75.00000000000001,[7.446273360187397e-9; -1.0; -1.0; 1.0; 1.0; -0.9999999999999999; -1.731436982719478e-8; 7.224632220761605e-9; 0.9999999999999998]
33,253,300,-75.00000000000001,[1.0; -1.0; 2.6361172897447047e-9; -1.0; 1.0; 1.0; -1.0; -7.924910694643805e-9; 5.402603015731183e-9]
34,221,300,-75.00000000000001,[1.0; -1.0; -8.824904740436839e-9; -1.0; -2.7787437901430203e-9; -2.0502735660618512e-8; -1.0; 1.0; 1.0]
35,405,300,-75.00000000000001,[-1.0; -1.0; 1.239894162267441e-8; -5.541894293920228e-9; 1.0; 0.9999999999999999; -0.9999999999999999; 1.0; -9.434851092221755e-9]
36,297,300,-75.00000000000003,[-2.0591505801460892e-10; -2.199272470078935e-8; 1.0; 1.0; -1.0; -1.0; 1.4839783217265646e-8; -1.0; 1.0]
37,255,300,-75.00000000000001,[1.0; 0.9999999999999999; -1.262446338331804e-8; -6.648456834170247e-9; -1.0; -1.0; -9.799260226065898e-9; -0.9999999999999999; 1.0]
38,73,300,-74.99957338564752,[1.0; -1.0; 1.0; 1.0; -0.001668534273882985; -0.0014474408635661185; -1.0; -1.0; -0.001116835695450888]
39,218,300,-75.00000000000001,[-8.956561961076234e-9; 1.0; 1.321695161594423e-8; 1.0; -1.0; -1.4824343663476075e-8; 1.0; -1.0; -1.0]
