"","criteria","design"
"1","EXACT-I","-1 0 0 1"
"2","ROBUST-I","-0.554797696403204 -1 1 0.554797696402927"
"3","EXACT-G","-1 1 -0.4858682 0.4858682"
"4","ROBUST-G","0.696320294743682 -0.696320294743682 1 -1"
"5","CCD","-1 1 0 0"
