nPsoRun,n_iter,S,fgbest,optDes
38,348,300,-19.512631368174784,[-1.0; 0.6963202947436826; -0.6963202947436825; 1.0]
39,369,300,-19.512631368174794,[-0.6963202947436827; 0.6963202947436827; -1.0; 0.9999999999999998]
40,343,300,-19.512631368174784,[-0.6963202947436825; -1.0; 1.0; 0.6963202947436826]
41,385,300,-19.512631368174784,[0.6963202947436817; -1.0; -0.6963202947436817; 1.0]
42,363,300,-19.512631368174794,[0.6963202947436827; -0.6963202947436827; 0.9999999999999998; -1.0]
43,413,300,-19.512631368174784,[-0.6963202947436825; -1.0; 0.6963202947436825; 1.0]
44,450,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436826]
45,369,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
46,77,300,-19.50262451052929,[0.6961293355662203; 1.0; -0.696149854214605; -1.0]
47,346,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
48,411,300,-19.512631368174794,[-0.6963202947436827; 0.6963202947436828; -0.9999999999999998; 1.0]
49,385,300,-19.512631368174784,[-0.6963202947436825; -1.0; 0.6963202947436825; 1.0]
50,502,300,-19.512631368174784,[1.0; 0.6963202947436825; -0.6963202947436826; -1.0]
51,393,300,-19.51263136817479,[0.696320294743682; -0.9999999999999998; 0.9999999999999998; -0.696320294743682]
52,440,300,-19.512631368174794,[-1.0; 0.6963202947436827; -0.6963202947436828; 0.9999999999999998]
53,352,300,-19.512631368174784,[0.6963202947436817; 1.0; -0.6963202947436817; -1.0]
54,350,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436825; -0.6963202947436825]
55,391,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
56,391,300,-19.512631368174784,[-1.0; -0.6963202947436825; 1.0; 0.6963202947436825]
57,369,300,-19.51263136817479,[0.9999999999999998; -0.9999999999999998; -0.696320294743682; 0.696320294743682]
58,392,300,-19.512631368174784,[-1.0; 0.6963202947436817; 1.0; -0.6963202947436817]
59,517,300,-19.512631368174784,[1.0; -0.6963202947436825; 0.6963202947436826; -1.0]
60,375,300,-19.512631368113222,[0.6963202947436214; 1.0; -0.6963202947431015; -1.0]
61,497,300,-19.512631368174794,[-0.6963202947436827; 0.6963202947436827; -1.0; 0.9999999999999998]
62,431,300,-19.512631368174784,[0.6963202947436825; -1.0; -0.6963202947436826; 1.0]
63,372,300,-19.512631368174794,[1.0; -0.6963202947436827; -0.9999999999999998; 0.6963202947436828]
64,373,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; -1.0; 1.0]
65,387,300,-19.512631368174784,[-0.6963202947436817; 1.0; -1.0; 0.6963202947436817]
66,65,300,-19.50978776522844,[-0.6962597179495295; 1.0; 0.6962587356483693; -1.0]
67,391,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
68,409,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
69,334,300,-19.512631368174784,[1.0; 0.6963202947436825; -0.6963202947436825; -1.0]
70,345,300,-19.512631368174784,[-1.0; 0.6963202947436825; -0.6963202947436825; 1.0]
71,493,300,-19.512631368174784,[1.0; -1.0; -0.6963202947436825; 0.6963202947436825]
72,437,300,-19.512631368174784,[-1.0; 0.6963202947436826; 1.0; -0.6963202947436826]
73,394,300,-19.512631368174784,[0.6963202947436817; 1.0; -1.0; -0.6963202947436817]
74,387,300,-19.512631368174794,[-0.6963202947436827; -1.0; 0.6963202947436827; 0.9999999999999998]
75,460,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; -1.0; 1.0]
76,267,300,-19.512631368167558,[-0.6963202947436754; -1.0; 0.6963202947437406; 1.0]
77,551,300,-19.512631368174784,[1.0; -1.0; -0.6963202947436817; 0.6963202947436817]
78,307,300,-19.51263136817466,[-0.6963202947436826; 1.0; 0.6963202947436817; -1.0]
79,370,300,-19.512631368174784,[-1.0; -0.6963202947436825; 1.0; 0.6963202947436825]
80,339,300,-19.512631368174784,[1.0; 0.6963202947436825; -0.6963202947436825; -1.0]
81,260,300,-19.51263135314303,[-1.0; 0.6963202948637626; 1.0; -0.6963202947173276]
82,384,300,-19.512631368174784,[-1.0; 0.6963202947436825; 1.0; -0.6963202947436826]
83,377,300,-19.512631368174784,[-0.6963202947436825; -1.0; 1.0; 0.6963202947436826]
84,345,300,-19.512631368174784,[-0.6963202947436826; 1.0; -1.0; 0.6963202947436825]
85,437,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
86,619,300,-19.512631368174784,[-0.6963202947436826; -1.0; 0.6963202947436825; 1.0]
87,470,300,-19.512631368174794,[-0.9999999999999998; -0.6963202947436827; 1.0; 0.6963202947436828]
88,362,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
89,388,300,-19.512631368174794,[1.0; 0.6963202947436828; -0.6963202947436827; -0.9999999999999998]
90,366,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
91,410,300,-19.512631368174784,[-0.6963202947436826; 1.0; -1.0; 0.6963202947436825]
92,444,300,-19.512631368174784,[-0.6963202947436825; 1.0; -1.0; 0.6963202947436825]
93,383,300,-19.512631368174794,[0.6963202947436827; -1.0; -0.6963202947436827; 0.9999999999999998]
94,123,300,-19.51261197321875,[-0.6963202904698773; 0.6963204496790818; 1.0; -1.0]
95,373,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; -1.0; 1.0]
