nPsoRun,n_iter,S,fgbest,optDes
71,320,300,1.5884773070776947,[0.5548802335614041; -0.55488023356061; -1.0; 1.0]
72,140,300,1.588481766219196,[0.5543399406755029; -0.5543399391548358; 1.0; -1.0]
73,204,300,1.5884825338650979,[-0.5547856601599536; 0.5547874789564654; 1.0; -0.9999965507194504]
74,274,300,1.5884774055764028,[1.0; -1.0; 0.5548413537741047; -0.5548414236029172]
75,282,300,1.5884773266646859,[-0.5548340812109718; 0.5548340337223052; 1.0; -1.0]
76,201,300,1.5884772609015427,[0.5548663441590979; 1.0; -1.0; -0.554866344159098]
77,121,300,1.5884801997526845,[-1.0; -0.5551692030172787; 0.5551692052939786; 1.0]
78,313,300,1.588477711070291,[0.5548993158561977; 0.9999999999937482; -0.5548992052003158; -1.0]
79,48,300,1.5885863937695368,[-0.5562877852134872; 0.5563079738462784; 1.0; -1.0]
80,95,300,1.588489330521129,[1.0; 0.5545419677280815; -1.0; -0.5545456083379307]
81,132,300,1.5884782498602208,[0.5549694059926976; -1.0; -0.5549692554601373; 1.0]
82,305,300,1.5884771700017533,[0.5548083325538388; -1.0; 1.0; -0.5548083360166334]
83,242,300,1.5884774814298077,[-0.5546989958113919; 0.9999999175688106; -1.0; 0.5546989586091272]
84,41,300,1.5885551823205473,[1.0; -0.5544600058984048; -1.0; 0.5544856285620912]
85,169,300,1.5884782170495413,[1.0; 0.5549025850966449; -1.0; -0.5549023080801915]
86,79,300,1.588761834755855,[0.5514512917067983; -1.0; 1.0; -0.5514649696800479]
87,226,300,1.5884802891111485,[0.5550984136756953; 0.9999996273650931; -0.555098799622052; -1.0]
88,124,300,1.5884916043887851,[1.0; 0.5556071256187385; -0.5556071353870654; -1.0]
89,384,300,1.588479785189815,[0.9999996800850558; 0.5546472004944425; -0.9999999823901774; -0.554647906376552]
90,197,300,1.588477157285745,[0.5547976079564395; -1.0; 1.0; -0.554797607955195]
91,60,300,1.5887623995588078,[0.5525398206212144; 0.9999273445691383; -0.5525995250594741; -1.0]
