nPsoRun,n_iter,S,fgbest,optDes
1,1426,300,-26.07847939723979,[-0.9999999987302156 0.9999999987839159; 0.9999999999008874 -0.9878737373293928; 0.9999999995110859 -0.009187015597865535; -0.9999999887857743 -0.9999999988000522; 0.9999999995472357 0.989160304618002; -0.9080946870486292 -0.60806536627132; 0.4816351817108956 0.9999999996399366; -0.9150138472296109 0.600133145903658; 0.47837377419121385 -0.9999999999999832]
2,2731,300,-25.412855318820124,[-0.5555402440079105 0.9984605734595844; -0.9940792260925098 -0.5597858784080887; 0.5558849467384345 -0.9999944460704447; -0.015969272606881472 -0.05084047019111646; 0.9999999999999891 -1.0; -0.9999999999999998 -0.9999999999999992; 0.9994672194012465 0.5520946684732067; -0.9999999999999932 0.9999999999999998; 0.9999999999999719 0.999999999999997]
3,10000,300,-26.095691305273828,[-0.9999999997801707 0.9999999999982385; -0.9999695238633484 -0.9999999999999799; -0.9999999999999885 -0.45933756854920077; 0.9964654412219001 -0.999999999998859; 0.5206482311897878 0.9999270931625557; 0.995799794219635 -0.5256576597863971; -0.18644255108764912 -0.9962039619232033; -0.6780963728948606 0.8578266297619991; 0.9999999215707773 0.9999999999999624]
4,4431,300,-25.295488491730183,[-0.9999999999999992 0.5134689758023777; -0.016963947436659983 0.06551035612589909; 0.9999999999999997 0.5362427063399526; 0.8125011066149356 -0.6738306017552191; -1.0 -0.9999999942338642; 1.0 -0.9999999999999929; -0.7221840185517064 0.9999999999999999; 0.6427849908690864 0.999999999999998; -0.620156519952092 -0.863442361857829]
5,471,300,-25.637218048513418,[0.480015409193448 0.9999073614322805; 0.9970289589701915 -1.0; -0.9988998823003253 -0.4905568408073674; -0.9999996479875364 0.9999853078835947; -0.7648583880157104 0.7630989744493911; 0.9999849838447679 -0.40889512632963887; 1.0 0.999976812562088; 0.15418282541106546 -0.9999192026301824; -0.9999473347417801 -1.0]
6,4528,300,-25.583530273061886,[-0.49508066962571046 -0.9974109610366318; -0.9999999999995152 -0.9999814141706025; -0.21819608482278913 0.9999999999995302; 0.9911591618905068 -0.5722933545562682; -0.9999999994772016 0.9976818278269783; 0.8987766295135867 0.6439263124903569; 0.9999999999998936 0.9999999999999979; 0.999999999991209 -0.9999999999843587; -0.9970793737630589 0.4306289942744813]
7,2118,300,-25.418835979518,[0.0009316604406852722 0.009571577644226992; 0.9999999999999956 -0.9999999999999966; 0.998538614327734 0.5747101474183088; -0.9999999999999996 0.9999999999999991; -1.0 -1.0; -0.9998922809730101 -0.5663568517443962; 0.5669564791248646 -0.9932637687125982; -0.5691443267385732 0.9703997474849735; 0.9999999999999974 1.0]
8,2294,300,-24.826185409059736,[0.99999984671804 0.9999999999910376; -0.9999995005676361 -0.635659492527052; -0.5687212204688128 -0.9999999999970101; 0.999999155578567 -0.9999999932392765; 0.9976562752807941 -0.5479183305468748; 0.745066855473955 0.7204531633863479; -0.09660266933595042 -0.20534142482342368; -0.5151974431311517 0.9717034051749048; -1.0 0.7757302849585573]
9,3457,300,-25.614114236711355,[-0.9984285745098788 0.9999999999994214; 0.9999999999999993 -0.9999455735367594; 0.9999999997481785 0.4280979664556846; 0.4790563930316504 -0.9999999999999999; 0.9991956223849515 0.9999999978964714; -0.9999999997598683 -0.9999999998858216; -0.7624219328452759 -0.7640946643958876; 0.10479125831525525 0.9999999997506909; -0.9917962167899044 0.49463112654676983]
10,840,300,-25.39571781655561,[0.9999956448627234 0.15845724799606895; 0.582276649546026 -0.9320819261002585; 0.9999990201808774 -0.9999993760511915; -0.6377124405325306 -0.9025125557725066; -0.9999973691726936 0.9999872893658909; 0.9999997707310224 0.9841367679031611; 0.4135155590834788 0.9999961023934367; -0.9999992783536623 -0.9999996251312598; -0.9999983774340994 0.4753934502088397]
11,4279,300,-25.569980831588445,[-0.9948259924333088 -0.15655555664942752; 0.9999999999999991 0.9999999999999712; -1.0 1.0; 0.7026717050700503 0.851952515295957; -0.9999999999999408 -0.9576031427700211; -0.4301573279024791 -0.9999999999999921; -0.5148009509833033 0.9989105803970019; 0.9999977563300374 -1.0; 1.0 -0.4869408658575496]
