nPsoRun,n_iter,S,fgbest,optDes
12,5223,300,-25.10361602938471,[-0.9999999999998801 0.9999999999998519; 0.999999294973244 0.6474008701028048; 0.561038899153013 -0.9999649530727928; 0.6361655603594527 0.9999999999993563; -0.9172701572061287 -0.9999999999999879; -0.679887944259739 0.7419451303401768; -0.9999999999781485 -0.5403844726064124; 0.9999999999997745 -0.999816733952194; 0.3439880283025283 0.045871491051258546]
13,4072,300,-25.4480165529664,[0.3960799151725409 0.9999999999999873; -0.997203829763993 1.0; 0.9999999999999999 0.1862804059243535; -0.674570696542565 -0.8656202067039466; -0.9999999999962611 0.47833291363672764; 0.9999999636455353 0.9736946057735887; -0.9999999999999981 -0.9999999999999997; 1.0 -0.999999650328356; 0.5474766486702577 -0.9595538271660793]
14,2483,300,-25.69103983284251,[0.48210063242579276 0.9999999999619223; -0.9999999999999984 1.0; -0.9999891503960807 -0.9999999999999997; -0.9999999999999998 -0.48783434309169366; -0.7542663577413606 0.7745568603516604; 0.9999999999999993 -0.44044096478151107; 0.9977367889044632 -0.9999999863452056; 0.9999999999999997 0.9995376651069438; 0.08478348353105553 -0.9999999999999997]
15,2104,300,-25.41815587631622,[0.04045838242906472 0.0029966347307311537; -0.9503437415867899 -0.5763639811786672; -0.5850109566284637 0.9999988364703963; -0.999999999998745 0.9999999999999352; 0.9999999999999803 -0.9999999999955858; 0.9999999999997392 1.0; 0.5772193028912072 -0.9999999999996315; 0.9911321524887634 0.5768929818261541; -1.0 -0.9999999999987613]
16,1883,300,-25.66300289321159,[-0.9792946089465716 -0.5700394680952545; 0.9999999999999721 0.38879531561713565; 0.26863314478378214 0.9999999999877213; 0.9990571473573158 0.9999992833080653; 0.49324926439675515 -1.0; -0.9999999999998873 0.9999999999996534; -0.9999999999999951 -0.9999999999995307; -0.8976327162793759 0.6390269088638049; 0.9999999999906074 -0.9999941257685266]
17,2692,300,-25.558197231766187,[-0.9999758973654059 0.9999999999999986; 0.9999999999999947 0.9999999999999977; 0.914291615343309 0.6308141215491498; -0.2930474893855323 0.9999999999999916; 0.8068353467926747 -0.7223209764373157; -0.9999999999999991 0.3678670645121924; -0.4844468808611576 -0.9999999999999974; 0.9999999999999994 -0.9999999999999969; -0.9999999999999997 -0.881036676994248]
18,3793,300,-25.750668423658833,[-1.0 -0.48946989003665575; 1.0 -0.49145152247059537; -1.0 0.9999983112018331; -0.9997965041560587 -0.9993610471606895; 0.9999999999999997 0.9999999999999994; -0.5115352387090558 0.9999973587233656; 0.9491004891912133 -1.0; 0.032630562206407726 -0.9999999999999584; 0.7809200019670824 0.7631327379775845]
19,2021,300,-25.606793715806344,[1.0 -0.48594256831525556; -0.9999999999999988 -0.32909081456241035; -0.9999999999999658 0.9997363633725843; -0.4843507370827218 0.9987336091925235; 0.9999999999999983 0.9999999999999999; 0.9999974768824956 -0.9999999999999901; -0.2743530463144098 -1.0; -0.9986600658237403 -0.9997347270586266; 0.762705834265784 0.7628569917490495]
20,2339,300,-25.415593197036,[-0.9999980519472814 0.5496090930735491; -0.554473663703684 -0.999714402930889; 0.9999600371687507 -0.5556499247031572; -0.9999999999999997 -0.9999999999999998; -1.0 0.9999999999999994; 0.9999999999999972 0.9999999999999993; -0.003023885772965994 -0.049396676487387235; 0.9999999999999997 -0.9999999999999994; 0.5499225756600988 0.9998460063574489]
21,4104,300,-26.114613339286862,[0.9983067459703642 0.999999999999999; -0.9510913052769425 0.9999999999999996; 0.6935350395619904 -0.8540667583901015; -0.5591512353678941 -0.9593657088962657; 0.9999999999999993 -0.9999999999999994; 0.16872475928059752 0.997809549751434; 0.9999999999999997 0.46325297716834085; -0.9999999999999998 -0.9999999999999997; -0.9999999999999896 0.5137193723462956]
22,200,300,-25.29567902625592,[0.9796924370253519 -0.5015780584081095; 1.0 0.9999913773553902; 0.5854503554714259 0.986591671584886; 0.9660330757523666 -0.9999999987760241; -0.9999987198431868 -0.1470109058703472; -0.9999999963904503 0.9999962119795122; -0.4655056784595103 -0.9989413468053255; -0.9998018704424425 -0.999993037435998; -0.675103190439769 0.8803899137158004]
23,4142,300,-26.140022690757633,[-0.9999999999999997 0.4591468440157322; 0.5193819800717521 -0.9999993796866132; -0.9999966902351706 0.9999999999999998; 0.9999999999999976 -0.9999999999999343; 0.9999999999999997 0.519063357298006; -0.6758529872955185 -0.8599385543426339; -0.1760548665431507 0.9999999999999997; -0.9999999999999996 -1.0; 0.9990918501578023 0.9999999999947417]
24,1947,300,-25.405158297406505,[0.569425658660333 -0.9947285620951507; -0.5707644281877208 0.999999970232; -0.9999999999394013 0.9999999999860063; 0.9999822168253808 0.572156822983754; 0.9999999999999868 -1.0; 0.09664835454534529 0.045271446507776134; -0.9999999988395516 -0.9999999999999643; 0.9999999999876057 0.9999999999940447; -0.9695217968367031 -0.5624214039094327]
25,2338,300,-25.835220976028182,[0.9999999999999967 -0.35283026938802753; -0.9954758211204819 -0.9999999999999998; 0.656840817883745 0.8820926448871549; -0.5534366351564514 0.9883913362007211; -0.9999999999999948 0.9999999999999978; 0.3303912055489142 -0.9999999999999832; 1.0 0.9999999999999989; 0.9977252132348842 -0.9998487158782798; -0.9999999999999899 -0.505823727287945]
26,1907,300,-25.411477186132853,[0.5541665108140339 -0.999970897867751; -0.9999999999999992 0.999999999999999; -0.9998637112412805 -0.5569042807486955; 0.9999769289026477 0.5485572840469369; -0.006780856345040453 -0.06166353111649811; -0.5498623003343445 0.9998948368963634; 0.9999999999999982 1.0; 0.9999999999999999 -0.9999999999999961; -0.9999999999997239 -0.9999999999999997]
27,2704,300,-25.618684398948954,[-1.0 0.40015241362964965; 0.903805781274827 0.6327526094472515; -0.24806430600589766 1.0; 0.9999999999999863 -0.9999999999999929; 0.9999999999999827 0.9999999999999991; -1.0 -0.999977479442333; -0.4916046914286214 -0.9999999999999933; -0.9948069334276447 0.9999925464341516; 0.9751990441581644 -0.5767210207407251]
28,1710,300,-26.079480535265684,[0.9999999999827349 0.9999999999119241; 0.6964084812029037 0.843954427963356; 0.9999999994368176 -0.46307206190684874; 0.9999813526371761 -0.9999999999867016; -0.5167989441404337 0.9998944847625904; 0.16728525748413706 -0.9999999989563734; -0.9886646335932576 -0.9997665563432659; -0.9999999975423252 0.9999999587258878; -0.999999999270396 -0.5161961439200455]
29,1043,300,-25.564072320609334,[-0.9999999990796187 -0.9906074913832177; -0.34108850535494495 0.999999763161571; -0.9998840891579127 0.9963217178373478; 0.7675859262276826 -0.7579632755174077; 0.9876177252330745 0.4980566078139187; -0.9999999959336516 0.25708046303185417; 0.9999999928251737 -0.9999999714413191; 0.9998423105040748 0.9999999725487856; -0.4842002682600273 -0.9999978186417077]
30,2727,300,-25.62034606269038,[-0.2551204187500696 -0.9999999999999999; -0.9999999999999997 0.9904643030799003; -1.0 -0.352279424630153; 0.9999999999999987 1.0; 0.7627269829558652 0.7648299149637491; 0.998114528746104 -1.0; -0.9983273765244812 -0.9999967687662593; 0.9999999999999996 -0.4931716285706907; -0.4846678622961162 0.9999860129769589]
31,506,300,-25.34917939652447,[-0.9999894212401172 0.5463892394520814; 0.543343027126061 0.9999834480823735; 0.9999084483317782 -0.9999904235379456; 0.9999630851736658 -0.5519546396760916; -0.9980769956534538 0.9999999678369288; -0.999994532173532 -0.9995528498272614; 0.9999854699076477 0.9914759716458234; -0.5569877216909481 -0.9999991030825859; -0.05588734891587435 -0.07712784748955924]
32,4089,300,-26.06275940654409,[-0.1485389803498456 -1.0; 0.9999737028012144 -0.9999998288412817; -0.6854746112589701 0.8481003038608793; 0.9999999999999973 -0.5119004728925511; -0.9999999999999997 -0.46284558260031095; -0.9999999999999938 -1.0; -1.0 1.0; 0.5129188826187004 0.9999999999594907; 0.9999999999999997 0.9999999999999863]
33,1677,300,-25.472566957072843,[0.999908850648688 -0.9999999999924218; 0.10720147467922674 -0.9768694982546001; 0.4829689599561098 0.9999999999999999; 1.0 0.9997000151987531; 0.9999999958985131 -0.4552332365346187; -0.9999999972801241 0.999999999718366; -0.9999999999974675 -0.5082626121280786; -0.8021209242483128 0.7288986446640109; -0.9760280802797472 -1.0]
34,1546,300,-25.948789781345692,[0.13373484744649797 -0.9999999335554585; -0.9989147786957502 -0.9994779622500248; 0.9659763972055936 -0.999999999999936; -0.9999999999974911 0.9999345717891179; -0.5231052420466876 0.9984229953729102; 0.9999999386740356 -0.47109683671631375; 0.7265737456803657 0.8151965906795423; 0.9999999980922659 0.9999999998594203; -0.999975719720915 -0.5099735900973946]
35,3695,300,-26.095501933349464,[-1.0 -0.9999999999999972; 0.9999999999999997 -0.056184095640072824; -0.9241050613942482 0.5877662973195469; -0.8942936096062791 -0.6311599893287715; 0.48992275818203007 0.999999999999999; 1.0 -0.999898550019183; 0.47248944084558187 -1.0; 1.0 0.969240152811546; -0.9999999999999991 0.9999999999999775]
36,2901,300,-26.08688570187988,[0.4584062114676459 -1.0; 0.5275056787553701 0.9999999388994971; 1.0 0.9994804233531905; -0.8572587379993951 -0.6799215840722739; -0.999999999999969 1.0; -0.9999999999999994 -1.0; -0.9989217023253643 0.5264244271713382; 0.9919507013714641 -0.2061419909444001; 0.9999999999999999 -0.9910673851544596]
37,393,300,-25.388634615329423,[0.9999825254028698 -0.9999717466590576; -0.562426584577971 -0.9999035600531788; -0.9809457774924057 0.5697492775514794; 0.9999925576754682 0.9999974256534686; 0.9914916788552686 -0.5591022234946544; 0.017277617857617025 0.08901207065097792; -1.0 0.9999909294992524; 0.5682784758220788 0.9997008027260285; -0.9999945166218612 -0.9996088531222956]
38,2829,300,-25.74916273297338,[-0.782158245960845 -0.751783293751313; -0.9999999725700998 1.0; -0.9999999999999998 -0.9999999999999992; 0.4848479845718437 -0.9999999999999934; 0.9999930088630249 0.9917025147725171; 1.0 -0.997002046179496; -0.9988824832326826 0.49003448913199954; 0.9999999999999992 0.009356861059897068; 0.4679676463665564 0.9999999999999989]
39,216,300,-25.40001690408092,[-0.43798053658694963 0.9994629956418668; -0.483738745696728 -0.9973271561061479; -0.9996634277403477 0.08203285751071757; 0.8332402469414049 -0.691442517214062; 0.9979749668951187 0.9992245462687466; 0.9746591116826449 0.5167786540769794; 1.0 -0.9992743992823432; -0.997087752203593 -0.9920853226263782; -0.9828135911051212 1.0]
40,7340,300,-26.08861374927502,[1.0 0.9999999999999835; 0.5663287249827368 0.9441593523286483; -0.9999999999999966 0.9999999999999993; 0.9986222653456044 -0.9999999999999186; -0.6254430013124588 0.8928513571323355; -0.9999999999999931 -0.46818715864909044; -0.06863845706601654 -0.9999999999999992; 0.9999999999999933 -0.4928442852013613; -0.9939272097217116 -1.0]
41,1545,300,-25.404395196976893,[-0.9999999651322689 0.999999417957516; -1.0 -0.9999984696791854; 0.5585454207936196 0.9999987354700758; -0.9663332648331867 0.5667044965829925; 0.9999837943654372 -0.5669461314947052; 0.9999999999735593 -1.0; -0.044143252256218554 -0.056286480596079505; 0.9999961181218834 0.9999983162104787; -0.5787566712985422 -0.999998409786919]
42,2670,300,-25.588331503745653,[-0.9999999999893622 0.999999999991014; -0.9983455702873543 -0.9999999999979771; 0.9999999999984628 0.9999999999996696; 0.6530149826969466 0.8905545871070539; 0.9999999999376761 -0.2411510175652195; 0.9996872673748248 -0.9999999999047043; -0.9954521312356568 -0.4985310106184513; -0.5622276949819441 0.9999994684385264; 0.41927412567209493 -0.9983287217286729]
43,727,300,-26.105966916823256,[-0.8446772415592219 0.6999707680927286; 0.9999999747824588 -0.9876001717077286; 0.521987227535716 -0.999807943561106; -0.9999930723935155 -0.9999941547997547; 0.999996297829592 0.9891567126314665; 0.46127845651416044 0.9999998085519285; -0.9997730102579975 -0.5258879610037596; -0.9999927093150751 0.999999476084983; 0.9996394704353183 0.18959137844695206]
44,1841,300,-25.422210849760724,[-0.009874953361188906 0.012582009165163483; -0.9999999999999999 0.9999999999999996; 0.5526779785646834 0.9997926002835565; 0.9999999999999999 -0.9999999999999997; -0.5525651421068941 -0.9999998341963413; -0.9999999988578259 0.5538072382053802; -0.9999999999999999 -0.9999999999999983; 0.9991397965791156 -0.5513897365926327; 1.0 0.9999999999999993]
45,3295,300,-26.070009821819024,[-0.4767133171939138 -0.9999999999999949; 0.9999999999999998 -1.0; -0.9999999999997989 -0.9999896943934703; -0.9999999999999999 -0.009192088445964327; 0.9155426066059649 -0.5953042338171384; 0.9220524333921717 0.5872984031451878; -0.9999999648528235 0.9988283665940182; 0.9999999999999997 0.9999999999999996; -0.4799753076030084 0.9999999999999474]
46,1166,300,-25.499083650431587,[-0.9978408602853036 -0.999998489418182; -0.9999999981597844 0.9715122251292406; 0.9999999986340072 -0.9999999601894258; 0.9999999962533223 1.0; -0.999999990817894 -0.4454337491859879; 0.9030648300003636 -0.6435309261993111; -0.4836093405615445 0.9999999959545238; 0.9497016767587673 0.605301157189308; -0.17059587118664002 -1.0]
47,3935,300,-25.80989070697047,[0.5487491762914875 -0.9953755766623315; -0.9999955842059433 0.9999999999999993; -0.99999999999999 0.3408875247292521; 0.9998612225934508 0.505210807036349; 0.9999999999999998 -1.0; -0.34270908249681054 0.9999999996984805; 0.9999999999891067 0.9999999999999999; -0.9999999999999993 -0.9999999999999525; -0.655263227936938 -0.8832014578158873]
48,482,300,-25.419859977614973,[-0.9999988958233855 0.9999954096973256; 0.9999995437767818 -1.0; 0.5533819145075227 0.999964745073586; -0.5508928826931371 -0.9999999999971989; 0.9999959848434029 0.9998048860750175; -0.9999975978705566 -0.9997685002742949; -0.9999928124270168 0.5512493989447665; 0.9999116179705381 -0.5527961972143051; 0.019097068111730384 0.0004564226672110077]
49,698,300,-23.943446951023336,[-0.9999999688644405 -0.5222216454899038; -0.9999980227988733 0.5274270736367399; 0.47178384126792633 -0.9999694105404588; -0.999999997188491 0.9999999953081079; -0.9999999681191326 -0.9999999755923976; -0.04595370156646204 0.23884713950032443; 0.9999999298193545 -0.997839392964007; 0.6119847295719355 0.9999336177072566; 0.9999999994483302 0.5645291362668383]
50,2316,300,-26.148468447119424,[0.9999999999999997 0.9999999999999998; -0.5914486825624832 0.9263357738226462; -0.9999999999999999 -0.50411272541339; 0.9999999999409389 -0.9999895675126765; 0.9999999999999983 -0.468350672872732; 0.12607703280461424 -0.9999999999999993; -0.9999999999999989 1.0; -0.9308286582050042 -1.0; 0.6775629097517801 0.8684762942330075]
51,3552,300,-25.767150829410625,[0.9994359395544594 0.9654334059562402; 1.0 -0.04817316439804846; 0.9999999999999992 -0.9999999714485039; -0.9996891864058549 0.49578199077455515; -0.7642797507601159 -0.7866913363159167; 0.490931503399386 -0.9999999999999993; -0.9999999444207823 0.9999999999999991; -1.0 -0.9999999999999999; 0.4879280973276914 1.0]
52,501,300,-25.409051442318965,[-0.9999269640494217 0.5543870368168191; -0.9999999992124745 -0.9999835449434191; 0.5587414764919336 0.9999667596803533; -0.5486710780051859 -0.9970817952727447; 0.9999969409621756 0.9999729895907856; 0.999991417859199 -1.0; 0.04757093804078483 0.050831208367929155; 0.9998000805568156 -0.5529371040672286; -0.9998674511308314 0.9999984776747747]
53,3832,300,-25.92038071491571,[-0.5060279338388054 -0.9999997818000051; 1.0 -0.9999999999999996; 0.7013446021060193 -0.8317597235154801; 0.11529045575272022 0.9999999999999992; 0.9995977576788011 0.9999999999999999; -1.0 0.5100395383244286; 0.9999999999999998 0.48456269306228344; -1.0 -0.9778705285870383; -0.9994826967199142 0.999999999987857]
54,4657,300,-25.567475145602526,[0.9934999975284341 -0.5687991668027471; 0.9999999999999879 0.9999999999999964; 0.896682190459505 0.6469477137144004; 0.9999999999999912 -0.9999999999999875; -0.9999778721588922 0.43102591396727946; -1.0 -0.9988822772178267; -0.9999999999999954 0.9999488300991348; -0.21162242247464527 0.9999999999999717; -0.4908817163707458 -0.9999999660956133]
55,3508,300,-26.070719668706037,[0.9999999999999991 0.48132531289976394; -0.5984889374501692 -0.9129639016925427; 1.0 -0.9999999999999996; -0.9999999999999979 0.47550803722207924; -0.9999844038491253 0.9999999993113505; -0.01626466891124827 0.9999999999999997; 0.9987567599618378 0.9999999999999992; -0.9999999999999997 -0.9999999999999992; 0.5842723778737177 -0.9247109481526441]
56,1187,300,-26.073069550790983,[0.6732422487540943 -0.8626041159372342; -0.97585467279099 0.9999999936328118; 0.9999999817022142 -0.9999999551276887; 0.9999999993641758 0.47870477260337857; -0.6202571684577659 -0.9157098702942261; -0.9999999974791952 -0.9999999992054955; -0.9999999995608488 0.49832197649906446; 0.05878655431366659 0.9999999965188381; 0.9301186059337258 0.9999999999429386]
57,2304,300,-25.752399264713986,[0.999999999994828 -0.9963823429827044; -0.9712598003940692 0.5175875742402717; -0.8269254501045189 -0.6932628875088965; 0.9999290022033598 0.9999999912056001; 0.4729075842230988 -0.9999999999999993; 0.4536210894277168 0.9999999999999689; -0.9999994309114811 1.0; 0.9999999999995661 0.029602439413135496; -0.9999999999980479 -0.999999999999963]
58,3944,300,-25.627692530573768,[-0.9999999999999999 -0.9999999999999998; -0.9703852130787505 -0.5755160392060388; -0.8984358023624486 0.6351185761219766; 0.9999999999999998 -0.9999547979302219; 1.0 0.3876900798935658; -0.9999999999999999 0.9999999999999992; 0.48958673029970523 -0.9999999999999908; 0.999997272677777 0.9999992320833822; 0.25995078898772095 0.9999999999999983]
59,1887,300,-26.140979619289322,[0.9999999999999973 -0.4602149155721577; -0.997808092512349 -0.9999999999999941; -0.5371918963682745 0.9785367209388713; -0.9999999999999 0.9999999999999752; 0.9975486664278083 -0.9999999806495262; 0.1469001590757519 -0.9999999999999477; -0.9999999999996184 -0.5114731880341553; 0.9999999999999323 0.9999999999995219; 0.6566587273796837 0.8734185087901193]
60,2481,300,-25.52746960467804,[-0.45376259031386745 0.9999999999942722; 0.9984420100936624 0.999999999998671; -0.9999999998828544 0.08166760357731657; 0.9999999983672762 0.48552009034304455; -0.999999999999892 -0.9998962701604132; -0.9999999993386991 0.9568136828282271; 0.6858671445479109 -0.8721040976696854; -0.5366668973178874 -0.9783489566801703; 0.9999999998858979 -0.9999999999727804]
61,2473,300,-25.789474130287882,[-0.9999999999999998 -0.011298400424393507; 0.9999999999999999 -0.9999999999999978; 0.9992015142733291 0.49086283589142005; -0.4733389434402174 1.0; 0.9999455591699933 0.9999999999999784; -0.9999999999999997 -0.9990825352273629; -0.4798541830575912 -0.9999999999998722; 0.797915919757332 -0.7315227661332107; -0.9999810746628189 0.9990295444965172]
62,597,300,-25.336691027177245,[-0.9990167944792708 -0.5561488496662412; -0.04232808004117142 -0.023540916312488985; 1.0 1.0; 0.5571187930207616 -0.9999311770320316; -0.5557432024251701 0.9999945474013155; -0.9996907997870232 -0.9999079573851446; 0.9842637398641648 0.5499164687239763; 0.9999995167158113 -0.9997811559438035; -0.9999361852690698 0.9795278967312625]
63,1999,300,-25.875860495232413,[0.9999999999999999 0.9906118109003175; 0.3866498502809027 -0.9999999999916788; 0.5040455958203044 0.9999999999744217; 0.99999999979959 -0.9976383538594976; -0.8786511118632695 -0.6547742621080327; -0.9715037734036376 0.5573220738524386; 0.9999999999945332 -0.2754532158280192; -0.9999999999862363 -0.99999999999922; -0.9999999999961826 0.9999999999996417]
64,6333,300,-25.458535178378458,[0.6216998497356855 0.9088481161771461; -1.0 1.0; 0.9999894336110677 -0.9982273397877981; -0.9999753540115565 -1.0; 1.0 0.999999999999999; -1.0 -0.48010965853106846; 0.43558114994251684 -0.9999999999999987; 0.9999999999999983 -0.15391688121480152; -0.5985909986191981 0.9520420711397163]
65,3513,300,-26.13730119014183,[-0.9999999921082856 -0.9999999989854296; -0.15268518128967654 0.9999999999357788; -0.9870612293532637 1.0; 0.5450745309235968 -0.9755195760336282; 0.9999999998197511 -0.9999999453860071; -0.6675192537070481 -0.8669645283271535; -0.9999999999216534 0.4608956492531586; 0.9999999987486302 0.5129365049356098; 0.993029201800176 0.9999999821604107]
66,2005,300,-25.42106266028398,[0.9999957905845896 0.5546552604358934; -1.0 1.0; -0.9999999999999997 -0.9999999999999998; 0.018586672812711577 -0.015653387424173167; 0.9999999999999982 -0.9999999999999994; 0.5564177223914253 -0.9990668192012144; 0.9999999999999983 1.0; -0.554537912251806 0.9993383557517047; -0.9945959415598273 -0.5556123859762468]
67,2023,300,-25.405718851617998,[-0.9999999999999986 0.9999999999999849; -0.9999999999999759 -0.9999999999999973; 0.999999999999935 1.0; 0.5535365736353911 -0.9999974311367864; -0.9926627746686127 -0.549913441317019; -0.5572781665313504 0.999999999999257; 0.9999999999999954 -0.999999999999975; 0.9999996194381751 0.5619499051202691; 0.039261781893833315 0.07495598199170653]
68,2321,300,-26.088207289448764,[-0.9145206192225911 -0.6072284827366099; 1.0 0.9758570071096733; -0.8849017089500825 0.6460300370707406; 0.9999999999998082 -0.9631306000429523; 0.49203926107378265 -0.999999999999998; -0.9999999999999992 0.999999999999997; -0.9999999999999872 -0.9999999999999991; 0.9999999999999957 0.05162772545223998; 0.4762155539901464 1.0]
69,3461,300,-25.570376062085696,[-0.9999999999999999 0.9999999999999999; 0.9999999999999996 0.9999999999999993; 0.9999999999998834 -0.5430535763142187; -0.9999999999999998 -0.5493447299889419; -0.5980291438546981 0.9108998417285132; -0.6956809530391155 -0.9999999999999983; 0.672004666250187 -0.9999999999999998; 0.7217403620808888 0.7468746048397925; -0.1341650351480503 -0.1266609113013218]
70,3572,300,-26.132133691925127,[0.9999999999999342 -0.9995126004645934; -0.9999999999547713 0.9999999999999651; 0.9999999591696417 0.9872599069018373; -0.859745818734119 -0.6783522074371872; 0.5158381162447329 0.9999999999995404; -0.9999999999999666 -0.9999999999992303; 0.46026247880605925 -0.9999999999995941; -0.9875457433069273 0.5303648253748519; 0.9999999999991643 -0.16788213613223052]
71,5053,300,-25.77996715197615,[1.0 -0.999999999999938; 0.8626693895764154 0.999999997768663; -0.7312710128097965 -0.8248095221212393; -0.2600049726829465 0.9554951371384129; 0.9939190185525055 0.5331911653738911; -0.9999999999999994 -1.0; 0.6290583183260419 -0.8847028767045614; -0.9994044379558892 0.46310228573194084; -0.9999999999999597 0.9999999999999823]
72,1037,300,-25.63316869460938,[-0.7670495344340966 -0.7600506841810517; -0.9999999947689211 -0.9999999999909851; 0.9999999984697974 -0.99794525521631; 0.3844363658646194 0.9999999946437714; 0.4942601270765383 -0.9999999995736708; -0.9999999547837534 0.4825543886770196; 1.0 0.2074340965671238; -0.9909102507997998 1.0; 0.9998797092993255 0.9999936315637895]
73,1324,300,-25.372277483829357,[0.5602047689829598 -0.9782706543399; -0.5638847252354443 0.9999999938294699; -0.9999723622579364 -0.5762591530634975; -0.10331250070353677 -0.08265003580622474; -0.999999999986485 0.9999999920610158; -0.9999998286383758 -0.9999999861079393; 0.9999999985998316 -0.999999978524731; 0.999421230152705 0.5510611057868414; 1.0 0.999999994657416]
74,1303,300,-25.715765144854586,[0.9999999999899564 0.45496678239372385; -0.9999999999709334 0.4872808836477346; 0.999999999996785 -0.9998285746089801; -0.9999922720383367 0.9999999999973905; 0.9931533918109238 0.9999787522815101; -0.7562815252775356 -0.7758551864902983; -0.9999999999896012 -0.9999999999990961; 0.484633544871696 -0.9999623231621335; 0.04760017089968505 0.9999999999682829]
75,3329,300,-25.62655822718987,[0.9999999992998478 0.9999999981296785; -0.22380148229758492 -0.9999999999546093; 0.9933311301085214 -0.9999999999097788; 0.7675811242434535 0.7594215138936528; 0.9998912884283361 -0.4902972127741612; -0.9999999978557397 -0.3716271819105611; -0.9997745237209712 -0.999999999181658; -0.9999999905129292 0.999030312674935; -0.4839889406841956 0.9999999998839378]
