nPsoRun,n_iter,S,fgbest,optDes
37,1269,300,0.6285799027968539,[0.03672420128442977 0.03492370364674031; 0.920756064322018 -0.04357127012299465; -0.9999954468299709 0.9999926388719381; -0.012400740374371999 0.9999114094204661; -0.0326273752549556 -0.9351892356134714; -0.8767237563724307 -0.018691324161838073; -0.9999997979548657 -0.999999997247067; 0.9999990031829127 -0.9999505360966948; 1.0 1.0]
38,1226,300,0.6274999162783648,[-0.999999999994218 0.9999999999998418; -0.014617010724840854 0.9999933497174591; 0.9999999999877984 -1.0; -0.9999999998841589 -1.0; 0.8923254634286945 -0.012461657794257393; -0.8486458859267304 0.01289138421288264; 0.999999999993599 0.9999999999986117; -0.039085422666422884 -0.9983780747990312; 0.01696619860525638 0.001391782317147242]
39,1014,300,0.6279543605465678,[0.9992934495513908 0.04886872797047301; -0.005841757886590198 -0.027883572609975336; 0.00626640523388908 -0.9041691161153386; -0.9999999986551069 1.0; -0.01514274332824132 0.8401597271422514; 0.9999999958148478 0.9999999985338226; -0.9954154681491685 0.02821241209161032; 0.9999999980354489 -0.9999999997515953; -1.0 -0.999999992016979]
40,825,300,0.6293241382926573,[-0.9999992438405161 -0.9999999723285093; 0.9999992954212519 -0.9999998927073023; 0.027568485620949813 -0.8730893841807704; -1.0 0.9999988174918671; -0.014605807540100097 0.06167095526208256; 0.9999929943446826 0.9999936697351152; 0.9285579994394887 -0.03681911159059353; -0.9669460707122881 -0.05311381291801413; 0.016160378104914674 0.9620658036688774]
41,913,300,0.6279488694333394,[0.9968968713155035 0.04552265291117392; 0.006669038575892705 -0.9077909710647329; -0.9999999994084862 0.9999999950193088; -0.9868071357131645 0.026466175010838353; -0.011762168370073182 0.8460326508381815; -0.9999999976189063 -0.9999999971801218; 0.9999999999875153 -1.0; 0.019431474475023358 -0.03181914377538683; 0.9999999286622692 0.9999999791479072]
42,1842,300,0.6280462191665467,[1.0 0.9999999999783564; 0.9971141192164467 -0.059395855755679496; -0.9994122246996917 -0.018008045356919616; 0.02283002962139306 0.9021620074738184; -0.020094333492004825 -0.8399817163287123; -1.0 -1.0; -0.9999999999998137 1.0; 0.999999999979623 -0.9999999999590591; 0.010086600997119593 0.021416621553415015]
43,1739,300,0.6301226066074818,[0.8238935363832257 -0.058260266681023874; 0.9999999999958916 0.9999996210996351; 0.10720788445531555 0.9999352239962732; 0.9999999999581602 -0.9999999999753696; -0.9999998918233892 0.9999999944461456; -0.9999999976703593 -0.9999997778397043; 0.008861487217545018 -0.9852311565703767; -0.051144377710605406 0.037649374084872414; -0.9251886950179177 0.0430803342855179]
44,1113,300,0.6281315842609878,[-0.05842252627617487 0.9957959676429975; -0.999999999397238 0.9999999942926653; 0.9024527092348531 0.02483540912856605; -0.004088505419117063 -0.9997767094591195; 0.9999999653852665 -0.9999999867214512; -0.8406353348755119 -0.03198668627070247; 0.05444726650961146 -0.017804144279462156; 0.9999999244370807 0.9999997850141481; -1.0 -0.9999999752334775]
45,1649,300,0.6274853934386151,[-0.9999999999961441 -0.9999999999995959; 0.013130547040977138 -0.967596353064679; -0.8943002227639155 -0.012389746247304939; 7.317129934205846e-6 0.9920092626561884; -0.013534416971351384 0.04206294752085366; 0.8805738341909221 0.0015728247564913333; -0.9999999999998789 0.9999999999821304; 0.9999999999982536 -0.9999999999988632; 0.9999999999571357 0.99999999999977]
46,974,300,0.6277077644512169,[0.8411690715589328 -0.0022701615566235577; -0.9999999996701184 -0.9999999871141229; -0.899823591794494 0.005024381568227196; -0.9999997231057962 0.9999999824336183; 0.9999999999975254 1.0; 0.029260322576614078 -0.9999768527847136; -0.03822367766796674 0.0055743737208987275; 0.9999968632924704 -0.9999993306512464; 0.03633902397793606 0.9990856062329456]
47,1896,300,0.6339934506163891,[0.016503059608105088 -0.11137887671796748; 0.9660709778714183 0.05887252320207027; -0.99998336235977 -0.9999999998765334; -0.999999994588593 1.0; -0.9414629420042463 0.12241920799816079; 0.03323898792220617 0.8249564831137306; 0.9999996578922152 -1.0; 0.9999999155585185 1.0; -0.044784144247145344 -1.0]
48,2306,300,0.627322497301887,[-0.999239498987765 -0.029412527346502428; 0.9999999990381071 0.9999999715329886; 0.011297844930421172 -0.8548019608309759; -0.9999999981048551 -0.9999996551421146; 0.010104538577671901 0.003842044592351584; 0.9998305602259675 -0.012027879841105066; -0.9999995480091728 0.9999999666169389; 0.9999996999356541 -0.9999999727229284; -0.006807983575431395 0.8856812387434424]
49,4470,300,0.6310392636107983,[-0.9999999983294595 -0.9999999983692047; -0.9999999970563046 0.9999999981613001; 0.9999999994744152 -1.0; -0.988446844839287 -0.077255675386992; 0.8980450151368775 -0.020149974912059658; 0.023921050600334483 0.9704705967394245; -0.06345421272358452 0.05897963886430245; 0.06825427877291526 -0.8740726071359903; 0.9999999833048153 0.9999999991030941]
50,1559,300,0.6290428475665869,[0.999999662379999 1.0; -0.9999993485580249 0.9999990393641212; -0.039570448608056724 0.04049221846691643; -0.9272788220688015 -0.04561394300668369; -0.9999443558664928 -0.9999999915239152; 0.999996778618364 -0.9999965296678499; 0.07259089826062935 -0.95633428186126; 0.8529057056039626 0.021591815079358402; 0.01255465265319647 0.9961596113125218]
51,549,300,0.6383668917033257,[0.00842883180339386 -0.19204148929994727; -0.9999925415713347 -1.0; 0.9999990910852355 1.0; 0.9999985852682357 0.11406955280942363; -1.0 1.0; -0.9999061095919564 0.1413556227755386; 1.0 -1.0; -0.010639612712882968 -0.9999969424471391; 0.024570292065293264 0.751680365004996]
52,1106,300,0.6277552537578571,[-0.9999999922196684 -0.9999999682158976; 0.0020881961832461375 0.999970888910432; 1.0 0.9999999920471105; -0.8994586716320455 -0.024498168022812253; -0.019925649352532628 0.04768679444017755; 1.0 -0.9999999885335413; 0.01641509314910737 -0.954916556949226; -0.9999999991834935 0.999999999658446; 0.8799804316338613 -0.00842717799430567]
53,1026,300,0.6319974437911422,[0.008820999080463212 -0.06013561163039133; -0.982211669967688 0.10658950497860477; 0.9999958865294704 -0.999975949348906; 0.999797501786875 0.07466237941231806; -0.9999995502401815 -0.9999240848165102; -0.024374389023564275 -0.9541625031797969; 0.9999895934279485 0.9999976378497428; 0.015880693108105953 0.80246914461681; -0.9999366582594152 0.9999999190773428]
54,1806,300,0.630019870357979,[0.999997747348763 -0.9999974125526565; 0.027951761294948935 -0.8672055979062835; -0.9435537424672003 -0.08233676125597097; 0.9422555784828124 -0.030734650838816446; 0.9999999761928737 0.9999999995305523; -0.02546095824508433 0.9764196023457855; -0.010912090824633621 0.06646530990493495; -0.9999890380405129 0.9999998114645552; -0.9999583904474622 -0.9999994518765943]
55,667,300,0.6286258716377051,[0.04274973445309209 -0.8354155247267523; 0.9999981080160927 0.9999768022158921; 0.9948911417674191 -0.00016530315772344967; -0.9999998324479237 0.9999761651472489; 0.0034599602363707773 0.06984727081730047; 0.9999999718937925 -0.9999999634685605; -0.02953873912327427 0.9079975872324628; -0.9999980035871691 -0.9999967548457139; -0.9998374459919619 -0.07037017943389214]
56,1040,300,0.6295319923562179,[0.03672331067217064 -0.9621976567472756; -0.9529901330985777 0.02459239352038178; 0.07447461222083675 0.9578559115231015; -0.03746237066695716 0.021782006451975887; -0.9999831944375316 0.9999993585258715; 1.0 0.9999713672608144; 0.9999987658172597 -0.9999987941887574; -1.0 -0.999995826922954; 0.8576248292713501 -0.014342904710640687]
57,318,300,0.6282147393734876,[-0.9999145924411766 0.999995579886972; -1.0 -0.9999772716933409; -0.9034690772441692 -0.015539860539375621; -0.003731424835952779 -0.04193198886110148; 0.8653386182339847 0.04220501789992814; 0.9999862133939015 -0.9999152761588881; 0.999946584254166 0.9999769909333216; 0.05427012408876226 -1.0; -0.004290808112968187 0.9649022781434077]
58,331,300,0.6296987350963483,[-0.061332511688744304 0.9980209752583874; -0.9996114388155316 -0.996585455343284; 0.011667277177703422 -0.03107832874282363; -0.8333721138252326 -0.022090279120365406; -0.9984123081302673 0.9988246614363397; -0.03197109438503071 -0.9998770388145858; 0.9997214453812715 -0.9999159832909887; 0.9999999314152314 0.999997657654895; 0.9058432512998982 0.009387762512418678]
59,1440,300,0.6272818509708263,[0.9999999999995706 -0.9999999999983312; -0.9918877656502819 0.02473365422648507; 0.007086235464778414 -0.022794084492411524; -0.9999999999855224 1.0; -0.9999999999925414 -0.9999999999943046; 0.9999473684479132 0.0017514578414461529; 0.9999999999999767 0.9999999999990021; 0.009201849264365302 0.8602951196270897; -0.014671765378133939 -0.8862359048977471]
60,1544,300,0.6276428702890138,[-0.028665255662923092 0.9993354847629246; 0.8988287722467214 -0.0021551418553830523; -1.0 0.9999999999688762; -0.842959957318047 0.001084397454800308; 0.9999999999963701 0.999999999650658; 0.9999999997029818 -0.999999999999626; -0.03178900930318688 -0.9988556882418239; 0.04117399971536976 -0.0018281728224503301; -0.9999999999847498 -0.9999999999799596]
61,903,300,0.6289587683419949,[-0.9999951478615492 -0.9999999910189373; 0.9999992427063824 1.0; -0.012744401896520716 0.06685343632632676; 0.9999996408070304 -0.9999996163576826; 0.9998051544543841 0.015076594178409678; 0.05290556313506234 -0.8332830123703189; -0.9997255424184542 -0.08393559137416669; -1.0 0.9999995649096444; -0.04974505499798046 0.9036828686022408]
62,414,300,0.6285815664936356,[-0.05414714433222546 0.9013320457362051; 1.0 -0.9999999994561936; -0.999999814937541 0.9999867799339016; 1.0 0.011840433929391101; -0.03132847206056843 0.04067083173486428; 1.0 0.9999999977920547; -0.9815328838078541 -0.06393672782138327; -0.999988898487059 -0.9999898222116939; 0.02466397706495686 -0.8523852374812028]
