"","criteria","design"
"1","EXACT-I","-1 -1 -1 0.044158 0.044158 1 1 0.044687 0.044687 1 -1 0 1 -1 0.836727 -0.836727 0 0"
"2","ROBUST-I","0.87259545917489 -0.00373779268993479 -0.867751650592188 0.999999990179739 -0.000613009106347491 -0.999999720080552 -0.999999979813058 0.999999965503899 0.0057204857078109 0.004450605247289 0.999591800474196 0.00125500390043898 0.999999954252248 -0.999783690070967 0.99999973259591 -0.999999949608392 -0.999999999074358 0.0131571755101095"
"3","EXACT-G","-1 -1 1 1 0 0.420229 -0.420229 1 -1 -1 1 -1 1 0 1 -1 -0.420229 0.420229"
"4","ROBUST-G","0.660607047234346 -0.529390553399325 0.999999999999982 -0.999999999999379 0.162714927376814 -0.999999999999966 1 0.999999948463588 -0.99980316580493 -0.871197210770614 -0.987949348131786 -1 -0.999999999999998 1 0.515619481995245 0.458821170575968 0.999999999999999 0.999994443947361"
"5","CCD","-1 0 1 -1 1 -1 0 1 0 1 1 1 0 0 -1 -1 -1 0"
