nPsoRun,n_iter,S,fgbest,optDes
28,182,300,0.40000000000000036,[1.0; -1.336993711617475e-8; 1.0; -0.9999999999999966; -1.0; -3.4944227135249074e-8; 2.3868958508823776e-8]
29,167,300,0.40000000000000524,[1.0; 1.0; -8.004391716044132e-8; -1.0; -9.45465818791092e-8; -1.0; 1.2725789936776963e-7]
30,185,300,0.4000000000000163,[1.0; -5.545925960404157e-8; -4.385639232782671e-8; -0.9999999999995541; 1.0; 1.4034640550659436e-7; -1.0]
31,137,300,0.4000000000003177,[-1.704438934584811e-7; -1.0; 1.0; -1.0; 5.610908357975424e-8; 0.9999999999900123; -4.57711270950062e-7]
32,257,300,0.4,[-1.0; 6.825980612840478e-9; 1.0; 0.9999999999999992; 2.050029987785044e-8; 1.4006613002256172e-8; -1.0]
33,170,300,0.40000000000000047,[-1.808078088373825e-8; 4.2343033252182975e-8; 1.0; -1.0; -1.0; 1.0; -3.3366966277417365e-8]
34,194,300,0.4000000000000008,[-2.5708173490705807e-10; 1.0254777405989279e-8; -6.228873312489122e-8; -1.0; -1.0; 1.0; 1.0]
35,221,300,0.4000000000000127,[-1.0519511056408256e-8; 2.2406556459690933e-7; -1.0; 1.0; -5.0182391985466144e-8; -1.0; 1.0]
36,167,300,0.40000000000000113,[1.0; -2.1502420137235475e-8; 6.19879848460824e-8; 1.0; -2.5210431033483663e-8; -1.0; -0.9999999999999999]
37,230,300,0.4000000000000004,[1.6852805218238495e-8; -1.0; -2.453342237847757e-8; 1.0; -1.0; 1.0; 2.6342069927525804e-8]
38,213,300,0.4000000000000006,[0.9999999999999964; -1.0; -1.0; 2.4712339597739797e-9; 3.9598376711693754e-8; -1.972272060078037e-8; 1.0]
39,176,300,0.4000000000000019,[1.0; -3.270425682976036e-8; -1.0; -1.0; 8.55946546243972e-8; 1.0; -4.637741782839774e-8]
40,220,300,0.4000000000000081,[1.0; 5.8532182621251275e-8; 1.0; 1.0080630559045439e-7; -1.6353395799330372e-7; -1.0; -1.0]
41,225,300,0.4000000000000004,[0.9999999999999956; 1.0; -4.6663027952313046e-9; -2.7047354946802537e-8; -1.0; -1.0; -1.391475663194798e-8]
42,201,300,0.4000000000000029,[1.9078386737054247e-8; 9.916296943648364e-8; 1.0; -0.9999999999999974; 1.0; -1.0; -4.638464061418631e-8]
43,200,300,0.40000000000000213,[-7.888153951105606e-8; -3.3366739071750854e-8; -1.0; 4.317335344491408e-8; 1.0; -1.0; 1.0]
44,196,300,0.400000000000001,[1.0; -3.346737805514206e-8; 5.651050444193664e-8; -1.5188117303985293e-8; -1.0; 1.0; -1.0]
45,186,300,0.40000000000000185,[0.9999999999999621; -1.0; 1.0; 5.2868240686518395e-8; -8.26573418441791e-9; -1.0; 1.8272596979167345e-8]
46,170,300,0.40000000000000013,[-1.0; 1.0; -2.242418303115195e-8; 1.0; 7.374811556163965e-10; -1.0; 2.21986410931251e-8]
47,167,300,0.4000000000000066,[6.794445703697482e-8; -1.0; 1.0; -1.0; 1.0; -7.40626790781444e-8; -1.314408526515607e-7]
48,180,300,0.4000000000000635,[-1.0; 1.0; -4.180616495412292e-9; 4.985887637713963e-7; 1.0; -1.0; -1.2289712513947871e-7]
49,176,300,0.40000000000000097,[5.624065637478512e-8; 1.526616642525707e-8; 1.0; 1.0; 3.3117221530337995e-8; -1.0; -1.0]
50,187,300,0.4000000000000004,[2.2611793415418843e-8; -1.0; -3.936670265733256e-8; -1.0; 1.522437218262574e-8; 1.0; 1.0]
51,178,300,0.40000000000000724,[1.3247341112389607e-7; 6.771884208959847e-8; -1.0; 5.7767907404860465e-8; -1.0; 1.0; 0.9999999999999711]
52,243,300,0.40000000000000213,[-2.2802305745322034e-8; 1.0; 5.490135388476148e-8; -8.232252104568495e-8; 1.0; -1.0; -1.0]
53,211,300,0.3999999999999999,[6.586129174616168e-9; -1.0; 1.0; -1.0; 2.4765429289700976e-8; 8.6185156620829e-9; 1.0]
54,166,300,0.40000000000000613,[1.0; -1.0; 1.0; -1.0; 1.1669290173918049e-7; 3.9767023910292305e-8; -1.250764839913219e-7]
55,144,300,0.40000000000094493,[1.0; -1.9188149969708987e-6; -1.0; 1.0; 3.58092594691034e-7; 6.622339551628404e-7; -1.0]
56,212,300,0.4000000000000034,[1.1039815856192285e-7; 1.0; -4.620977475075176e-8; -1.0; 1.0; -5.1688386281850216e-8; -1.0]
