nPsoRun,n_iter,S,fgbest,optDes
1,575,300,-56.71182853498827,[-1.0; 0.39185515300060153; -0.46541158417358514; 0.506871932025895; 1.0; 1.0; -1.0]
2,548,300,-56.711828534988285,[-0.5068719320258939; -1.0; -1.0; 0.465411584173586; 1.0; -0.3918551530006015; 1.0]
3,546,300,-56.7118285349883,[-1.0; 1.0; 1.0; 0.5068719320258942; -0.46541158417358613; 0.39185515300059987; -1.0]
4,528,300,-56.71182853498831,[-1.0; -1.0; 1.0; 1.0; -0.4654115841735863; 0.5068719320258942; 0.39185515300060175]
5,595,300,-56.71182853498827,[1.0; 1.0; -0.3918551530006012; 0.46541158417358547; -1.0; -0.5068719320258941; -1.0]
6,512,300,-56.71182853498828,[1.0; -1.0; -0.5068719320258942; -1.0; 0.46541158417358613; -0.39185515300060003; 1.0]
7,619,300,-56.71182853498831,[0.3918551530006014; -1.0; 1.0; -0.46541158417358663; -0.9999999999999999; 0.5068719320258942; 1.0]
8,539,300,-56.711828534988285,[0.39185515300060136; 1.0; -1.0; 0.5068719320258941; -0.4654115841735866; 1.0; -0.9999999999999999]
9,580,300,-56.711828534988285,[-0.4654115841735862; 0.5068719320258943; 1.0; 0.39185515300060125; -1.0; 1.0; -0.9999999999999999]
10,601,300,-56.7118285349883,[-0.46541158417358613; 1.0; 0.3918551530006013; 1.0; 0.5068719320258942; -1.0; -1.0]
11,512,300,-56.7118285349883,[-1.0; -1.0; 1.0; 0.5068719320258942; 0.3918551530006; 1.0; -0.46541158417358625]
12,510,300,-56.7118285349883,[0.4654115841735862; -1.0; -0.3918551530006014; 1.0; -0.5068719320258942; 1.0; -1.0]
13,678,300,-56.7118285349883,[-1.0; 1.0; -1.0; 0.3918551530006; 0.5068719320258942; 1.0; -0.46541158417358625]
14,483,300,-56.71182853498827,[0.4654115841735859; -1.0; -0.5068719320258945; 0.9999999999999999; -0.9999999999999999; -0.39185515300060114; 1.0]
15,556,300,-56.71182853498831,[1.0; -0.5068719320258938; 0.4654115841735861; -1.0; 1.0; -1.0; -0.3918551530006017]
16,465,300,-56.711828534988285,[1.0; -1.0; -1.0; -0.5068719320258942; 1.0; 0.4654115841735859; -0.39185515300059987]
