"","criteria","design"
"1","EXACT-I","-1 1 -1 1 0 0 0"
"2","ROBUST-I","-1.96276694208404e-08 1 7.20441231827879e-09 -1 1 -1 -1.56714640842124e-08"
"3","EXACT-G","-1 1 -1 1 0 -0.488512 0.488512"
"4","ROBUST-G","-1 -1 1 1 -0.465411584173586 0.506871932025894 0.391855153000602"
"5","CCD","-1 1 0 0 0 0 0"
