nPsoRun,n_iter,S,fgbest,optDes
1,7708,300,-6.511909537564586,[-0.9999976695140449 -0.9998281283523764 0.7942319372006343; 0.9999999996170623 -0.999888635922912 -0.1375423488607676; 0.7795271225913101 0.11894243121458044 -0.48702492640700235; -0.6522564703467328 0.8144123306227434 -0.9999999838909478; -0.03629044120854424 -0.5960715411470987 0.5733593376991502; -0.9999999999997853 0.3933015510677046 0.9999999999182786; -0.999709433576057 -0.802138781913815 -0.5451386426324673; -0.06016842458895704 -0.9999999872226505 -0.9771061837981716; 0.9812317034426725 0.16217996268571586 0.8892946807560823; -0.963055498770309 1.0 -0.20707043962743182; 0.9997824237722808 0.9999999994857411 0.018905618248549142]
2,1064,300,-7.31705781239674,[0.734850432853013 -0.9998472700564386 -0.8679788176683365; 0.40171981478773783 0.6885335572515527 -0.6367480698107837; -0.7825216277456377 -0.999852562923133 -0.3418965747140574; 0.878077921272871 -0.9639176720384459 0.999812401862687; 0.9972745257664718 -0.2040023791316319 -0.2645555091913905; -0.8629868575551397 -0.9785142850365848 0.9959872406321265; -0.6289951115682827 0.9357839260196971 0.9999535571808357; 0.9999400866236109 0.9999859023986981 -0.9981655276446957; 0.999999874055527 0.4572699711431457 0.9747330443849606; -0.9999257346887301 0.8169917842772918 -0.6627857639413846; -0.5752924601926365 0.11872646518869909 -0.9999794204609275]
3,9154,300,-6.224664211259731,[0.05888298356048627 0.9438618129058977 -1.0; -0.8399946820895839 0.03644920049569013 0.9999999999993741; 0.9999999999999309 -0.8920400421387543 -0.0003714847706004139; 0.4775819611774676 0.9997120649947586 0.5038807887001099; -0.5797667767674596 0.19443091864399453 -0.07427635555482301; -0.9999999999613769 -0.8520114716456855 -0.5773030649036599; 0.999999999999931 0.49241807057090514 0.9999999999999972; 0.9999999999999999 0.9997849177901558 -0.7787687974345754; 0.0887828739106016 -1.0 -0.9999634897794981; -0.2750806846112267 -0.9999999999977751 0.6742401727496764; -0.999999999999838 0.9999999999999949 -0.006072563387650374]
4,6467,300,-7.71963822585907,[-0.29626285333752933 -0.9922312749319502 -0.999999951621869; -0.9910595522075742 -0.9999999422762383 0.9999999999999426; 0.9999999999961682 -0.83770860026023 -0.9689739311141342; -0.9999993423532407 -0.7859397795685041 0.4344853707788976; -0.01980945188663224 -0.9752860480535522 0.04967126356519244; -0.6303302884224181 0.05810935231802911 0.9999143694331758; 0.9999999999504396 0.9999999980368546 0.9278097494289395; -0.9999999984446418 0.928249715261972 -0.9698254388639957; 0.7003053985895628 0.9727501956197544 -0.9451914232493933; -0.9760288459920963 0.9969676858078172 0.9757251492877619; 0.9732091936296019 -0.6039099751040354 0.9967524984581336]
5,3686,300,-6.440842756099223,[0.9860689141259806 0.9999944757449661 0.9999999971714831; -0.9860029349773645 -0.7267647517313902 0.9998696677554615; -0.9999999999990266 0.9992503186164443 -0.9754493779197436; 0.7161326499042048 -0.9635753577886328 0.9917436268287957; 0.9999999996857994 0.5954971063489299 -0.8529291236531321; -0.7641981387437007 -0.9999999355442546 -0.9965678285159971; -0.7180703183317393 -0.06845087499004758 -0.9624911151872559; -0.48493398152041817 0.9999999946471868 -0.8676414071596146; -0.957419630828296 -0.5310627562444075 0.008094271231325167; 0.9805574308684835 -0.9999999985838048 -0.447253259021412; -0.33293030660809664 0.8136754349674403 0.9999999924788028]
6,1635,300,-7.074241325038532,[-0.6007946857916701 0.9927527873616412 -0.006867553277115975; -0.9998796518400881 0.9369607274494446 0.9999344818117867; -0.3336100241854281 0.9857601075119758 -0.9999965707284728; 0.9999280233684796 0.43763963424550784 0.9999999855938466; -0.9999978038775365 -0.8601255413534817 0.46327469432926416; 0.5255154949741271 -1.0 0.9426957726667202; -0.9999999513319556 0.9337235254797146 -0.8259172971330965; -0.41957351725910425 -0.9895569009854739 -0.9999848444798348; 0.9989013200933036 -0.9999318461169244 -0.9948121899413852; 0.9999999314520703 0.9999998962202507 -0.42771715086104795; 0.7219553946865631 0.17850427855432008 -0.46231273265618017]
7,3836,300,-7.1058809027566605,[0.7888764058305465 0.01852123661983759 -0.9752894532728568; 0.9999900012758254 -1.0 -0.5073269417908892; -0.9275577946302306 0.982540943261089 0.6309392318071926; -0.9941046562634608 -0.7992184191796612 0.9999999971885741; 0.45579932510835885 1.0 0.9999999855670318; 0.36333568737230565 0.9999999819795633 -0.8049211608587421; -0.23652649796905453 0.10383872310316491 -0.23572421030389237; 0.9455619652447732 -0.19060033866784856 0.9796986879059507; -0.9997860965516421 -0.9999999999972922 -0.15242718102216765; -0.9999999998614197 0.5396234610593686 -0.9999999999995692; 0.9999999997058172 0.8515856929600095 -0.41744300888242847]
8,7266,300,-7.168698545656883,[-0.9999999999997284 -0.9999999581255635 -0.9999999999945398; 0.9999999999994174 -0.9469763691282094 0.8650972932842224; -0.9879977807069402 0.0961694004540502 0.35035659145337406; 0.9999999544087952 0.983093674585383 -0.9999996225765155; -0.12012279526623895 -0.8587855506999855 0.999999999997295; 0.888090331284225 0.9281135232643926 0.7103178376889648; -0.4342297149087601 -0.23783179227056392 -0.9992918220798653; 0.9955867562752018 -0.978972924129686 -0.9991460340195659; -0.28076700247557473 0.9999999999999967 -0.9996764665313774; -0.6167606723761833 0.9999999999996717 0.9999077437996331; -0.7981302147892306 -0.9697618349471867 -0.5728601674309252]
9,198,300,-5.209643994406595,[-0.9915123597506653 0.9932922919898479 -0.5814778865684201; 0.2616330418308933 -0.7049137630551233 -0.9781890494413156; 0.7140296086958432 -0.9873862707605481 -0.7818977122905573; -0.06235509836469319 -0.8156000332027651 0.31197737848036594; -0.9921246681348911 -0.9960873033040757 -0.4176158313843457; 0.8417969988540562 -0.5851483427641189 0.9668403575681422; 0.3852544956657034 0.9756251926110919 -0.6293296961223817; -0.7474344180006904 0.3190886536576944 0.8832879490446882; 0.7067362798168895 0.931565313098876 0.8228340613836509; -0.9874099126137217 -0.9781269098750351 0.9921006441849515; 0.9966529750249623 -0.40926634300224357 -0.5787901430750084]
10,261,300,-7.592640850851623,[-0.9952104758901686 -0.03675614080153808 -0.6070544912971432; 0.9875718902336091 -0.9853312511891764 0.9947585052702946; 0.9671000118188411 0.8277657501484891 0.9405543447638844; -0.5069597687988406 -0.9980225925022564 -0.9813055148019417; 0.9983532372648682 0.9986748406391189 -0.9935628159386123; -0.4531663496793193 0.6330164192382715 0.017716395649749944; -0.997245088316884 0.9994289518822685 0.349739119360575; -0.33360916383816885 0.6136557771722673 0.9950358242800159; -0.969925469711578 0.855443594574302 -0.9961465988012789; 0.8550693575698292 -0.9480279114910419 -0.9811766474356015; -0.9442062086011324 -0.9993349350953791 0.9930638818244202]
