"","criteria","design"
"1","EXACT-I","-0.0589 -1 0.1905 0.1905 -0.2349 1 1 -1 -1 -1 1 0.0589 -0.1905 1 -0.1905 -1 0.2349 -1 -1 1 1 1 -0.0589 0.1905 0.1905 -1 1 1 -0.2349 -1 -1 1 -1"
"2","ROBUST-I","0.999996280769147 -0.921082403103846 0.999999999908743 -0.0572655990236066 -0.999999826211808 0.999999998794719 0.0982893109236904 -0.934062255312789 -0.794894478298788 0.285079271349968 -0.781818876164924 -1 0.999999487913537 0.444511526331198 -0.00674050724710697 0.207577641579203 0.476286379773355 0.999999803196541 -0.999999986728383 0.844161300238939 -0.382500343595689 -0.988937717127783 0.684316116365753 0.999936202658272 0.594000137980539 0.999999897471777 0.0587911426465961 -0.999999993255702 0.0462431203757971 -0.999999931565864 -0.999998407469904 -0.466324893567793 0.70595501924819"
"3","EXACT-G","-0.114 -1 -1 -0.755 -0.755 1 0.1858 1 1 -1 1 -1 -0.114 -1 -0.755 1 -0.755 0.1858 -1 1 1 1 1 1 0.114 -1 0.755 0.755 -0.1858 -1 -1 -1 1"
"4","ROBUST-G","-0.389223830896837 0.999999623161306 -0.99702642590255 -0.999999974952181 0.758156852939475 0.944054120115935 -0.999999898370428 0.994569761456633 -0.31536273811277 -0.0955286225426121 -0.99673387640888 0.993287231412369 -0.497415791516616 0.999860946041279 0.994648881302325 -0.994427637675407 0.997705524853775 -0.795958289694828 0.914297209880826 0.421590745770608 -0.999999970935543 -0.885241644782452 0.999999963693002 0.999999588109147 -0.958130375631256 0.309759034387931 -0.832979629012006 0.996342162853785 -0.999999641372863 -0.999999003149765 0.191641910708138 0.183511418325975 0.938918160172633"
