nPsoRun,n_iter,S,fgbest,optDes
11,1419,300,1.9662413421316063,[0.03956425104065676 -0.7919485613813186 0.7602548407479903; 0.9981057609134615 -0.756607194455394 0.26193786313968154; -0.31734987427775746 -0.9999309321752565 -0.7662529114828478; -1.0 -0.7720315237395304 0.5030011627317624; 0.9966834311614926 0.39673275668347446 0.7973419629411737; 0.994604912589392 0.6357231595708537 -0.9471379260343088; -0.9993528434178448 0.9991668952237721 -0.999904101762026; 0.7063864183846809 0.9999191047593997 -0.07317327181585538; -0.08475961269220923 -0.07745310372157715 -0.6558350499074649; -0.1509714129476746 0.7812510963520976 0.9994548307137311; -0.7161031322540709 0.7239008567017357 -0.10535270551291256]
12,3716,300,1.5219744498470704,[-0.6994638630333606 0.7629583614523737 0.8423257519314681; 0.4629850446109329 -0.9612038853814998 0.6077630139979998; -0.14201067941985904 -0.22627819542797314 -0.20595843020351626; 0.10219771448428623 0.6417248041388648 -0.9328599651855376; -0.9999877195384477 0.9329849298346109 -0.7035494010381477; 0.9995782195128212 -0.9900936418336524 -0.9999995796596169; -0.9985628471340212 -0.8643550746973437 -0.6962383337897569; 0.9999845133669806 0.2275256395189823 0.040639256097969007; 0.6345727803850497 0.9999976504962984 0.15075303617565328; 0.8293821363659092 0.08931063344241505 0.9999995084816286; -0.999998578541265 -0.8753738984767248 0.9999894391770062]
13,3668,300,1.5085686129200202,[0.9999999997791418 0.9999999778580694 -0.8119141282518859; 0.8892582943307616 -0.4664340352297706 -0.99998217982244; -0.10311339684745882 -0.9999996086266298 -0.1544320870605096; -0.4596304324584438 -0.980201832634186 0.9999999997689569; -0.31260501852841727 0.07343103995012276 -0.9999999452198333; 0.564809238516993 0.26330212632076294 0.39744764382091624; 0.9999998047358137 -0.9997345538149334 0.8781625060502138; -0.9998467660484704 -0.9998784528549507 -0.9999288740305388; -0.9999999971917586 -0.1348020693516136 0.3602947294156097; -0.5699367132270691 0.9921191532326789 -0.31454277004800335; 0.034447402863392824 0.9999999978048523 0.9999999949900502]
14,2835,300,1.6691540183771436,[0.17101968455861655 0.8047795992094383 1.0; -0.9999948498564455 -0.4573641113129167 0.9999778177378071; 0.8878689974473724 -0.4451189903380767 -0.9999997536027779; 0.9999841457826577 0.706386454626739 0.10621864790381069; -0.040207290022034985 -0.289600924055742 0.0815279871728965; 0.9953718100279251 -0.36540051213823116 0.8846860527743056; -0.9211393586571431 0.5209789564689374 -0.932368814409956; -0.8462043881228102 -0.9999990843721431 -0.9998102148850285; 0.9040726602547976 0.9058012757467928 -0.9999295665195539; -0.9999908654572797 0.9878776005955275 0.999990561763885; 0.3894027794541794 -0.9999999733668994 0.3476327773731117]
15,1395,300,1.6676367332863433,[-0.9986551576116024 -0.9809692146796191 -0.9989547790421455; 0.9977405565629183 -0.996467849383173 -0.9995140216477423; -0.999996415151333 0.5326876350174896 0.056241321410188665; -0.12119235599587551 0.9998817503037455 0.9997720541590801; -0.9977533519604879 -0.9927295456522423 0.9999988690871847; 0.999960535040747 0.9980208581395199 0.9284819702390573; 0.7531493528073393 -0.06073528753416457 0.9999174063870594; -0.7591144473066888 0.9995428895507752 -0.9654592283012944; -0.14277863741513894 -0.07037961126848137 0.04853828703268837; 0.989714184807057 0.9740689552781452 -0.9935466091053567; 0.43056607558304166 -0.9999954204383403 0.1712618348855994]
16,6604,300,1.7309469364957077,[0.9999999999218232 0.5706127075135141 -0.3982916236896163; -0.9981371468768553 0.38640148886588044 -0.6808598067842316; 0.09841225130057284 0.993458673206447 0.3610577563506143; -0.8845189278649063 -0.9999999981762235 -0.2097726950218339; 0.8622394795433628 -0.9999999999367518 0.8191127774110036; 0.35418856121268266 -0.4110618434292353 -0.19805769399353415; -0.5955948613478284 -0.15157086521068291 0.9114244953348917; 0.9460998683355373 -0.041572366060266014 0.9999999999952212; 0.04772674739651452 -0.9913019212665893 -0.9999999998436419; -0.999999999983543 0.9999999993105284 0.7816745149744093; 0.15317277417180025 0.937327974934312 -1.0]
17,9896,300,1.599679731820088,[0.4562680723778 0.9192095761714189 0.9999999987334894; 0.9999999738828687 -0.9999999994258071 -0.520916388223577; -0.7330597194215743 0.7209355630055327 0.1860918716604348; 0.6134769931400976 0.16320816056402296 -0.9999999997197547; 0.20550416945971908 -0.3112131299448575 0.021993896172721124; -0.9999999999978543 0.10876114764953534 -0.9999979264588417; -0.5587811125035119 -0.9748003162510932 -0.7779376195717232; 0.9999999062287087 0.6675737420432467 0.13393512838426572; 0.16901072640697828 -0.8759876724999017 0.999999998028734; 0.36654572466017654 0.9999999999942565 -0.7468917409130157; -0.9999999940765575 -0.7906821006044995 0.8951384482469216]
18,693,300,1.6162395797523137,[-0.9258397228977553 -0.7150109003270334 0.9261174979939524; -0.9915195602444073 0.6172921262314921 -0.5933212552928155; -0.9998777982413536 0.994795412804135 0.9994647270474796; -0.9947558067126219 -0.9996674616272583 -0.9938277540543559; 0.6739280450751132 -0.9972152457661551 0.7930469260681065; 0.9990397558165407 0.4328182973944513 -0.052958712008931756; 0.5383275684570639 -0.6482098787318736 -0.6634917951744602; 0.21280074604250576 0.7703189886812887 -0.9977758943554026; -0.2908941244386007 -0.061845161773006904 0.30930639090314116; 0.35448896279964753 0.9968726239935244 0.015741304685608554; 0.6639393135558556 0.11949824601467862 0.9781487065677367]
19,2636,300,1.5299591407868631,[0.6292915651347102 0.8894531837996376 0.4767140411454227; 0.9996168834577981 -0.9368233313629587 -0.8126884957552374; -0.9929508364435412 -0.9999999586666447 -0.9412096003784349; -0.9999998879581238 0.0314479343854014 0.07364321830172613; 0.06776064310939588 -0.99999748413146 0.9985371844570821; -0.5939086003052148 0.4803183724311548 0.999998412972945; -0.7426460395687033 0.9999999913847497 -0.4944581180969845; 0.999997380866728 0.7650128167838273 -0.9999995131416767; -0.49460759263652365 0.22288825725204983 -0.9999926527674193; 0.0581095251533126 -0.5079109561604133 -0.1959902752305514; 0.9999999084077226 -0.44564073732041165 0.8795109378976784]
20,2479,300,1.5687184895670616,[-0.9999970272709693 -0.8297205324082964 0.9790250367607379; -0.9999935166809941 0.13101203386332766 -0.6869462514637212; 0.9999843289091076 0.03663609027376014 0.02147478945335891; -0.03426881155152496 0.6631432225594324 0.06418940253579573; 0.9999956246652517 0.9999950564891186 0.9999997275348088; 0.9177962889787927 -0.9999998952403615 0.5566259109536528; 0.4168364648106017 -0.2252219356981135 0.902448651751501; 0.5189692158760775 -0.5340834287479919 -0.9999999919011634; -0.9997061182643869 0.9996875925242132 0.7330245265281613; -0.028057795863937415 0.9652399746184613 -0.999995693255696; -0.7754660243564129 -0.9999265239911072 -0.6221035092516122]
