nPsoRun,n_iter,S,fgbest,optDes
11,2490,300,-32.38885262367053,[-0.6025020853784673 -0.9948713442549653; 0.9999999998010984 -0.9999999918890644; 0.6613687237095961 -0.999996657991633; -0.3364866658668597 0.9881656385108514; 0.9510171657513546 0.6120815913632216; 0.9999998909042216 0.9999999999257805; -0.9999999999868571 -0.9999999976320193; -0.9999999999997132 0.9999999469697847; -0.9918547190063854 0.31637158349127753; 0.027309580654651177 -0.1842587347029094]
12,429,300,-31.877873844050164,[-0.9998996604696079 0.9995909929938144; -0.9999974187378113 -0.9999999607003454; -0.9998865267806777 -0.6259690196666621; -0.7025057477664646 0.9904676706089451; 0.9999942525482854 -0.9869749212397418; 0.9124590862384245 0.08485726474452537; 0.5300244618125666 0.9999050639479793; 0.5634119194676447 -0.9977880501954061; 0.9999611067041706 0.9709030681843359; -0.30941496367335014 0.02877023351314984]
13,10000,300,-32.48020016122743,[0.9999999998909557 -0.6435563033961079; -0.999999998117861 -0.6200670950690759; 0.9999999943255463 0.917187356874876; -0.030604864245946183 -0.8161417870116742; 0.6430572710334351 0.9999999532578193; 0.17663906828935091 0.052014382873196145; -0.9999999893201176 1.0; -0.9999999999821032 -0.9999998657278997; 0.9071647426553504 -0.9999999981025719; -0.9784568733419179 0.6960508010794597]
14,2899,300,-32.60001339974031,[-0.9995664951497367 -0.9999999999999996; 0.9363298282792795 0.7006165151802419; 0.9995892395269481 -0.575072645424864; 0.9966664769205422 -0.9999999999999999; -0.9999999999999998 0.9999999999999971; 0.08412592239791265 0.17680894099127828; -0.9999999999999921 -0.3562823823782251; -0.26894725386824636 -0.9935846087701732; -0.5919981369934013 0.9976844867136505; 0.9999999999999992 0.9999999999999989]
15,3849,300,-32.509137298818494,[0.35356507803861514 -0.9479648165977229; -0.999999999999992 1.0; 0.5800058154883594 0.9999991452406254; 0.9999999999999889 0.9232948560375261; -0.8548448767144812 0.7505776144627607; -0.9999999999999933 -0.999999999999901; 1.0 -0.35166607198591515; -0.9999657205554986 -0.6236433328051249; 0.9999999999997609 -0.9999999999998909; -0.1463095776652452 0.022275125837055532]
16,2664,300,-32.460113397570474,[0.9990821045674014 -1.0; -0.999999999999999 0.9973958729297107; -0.6071979725276797 0.9998878317222801; 0.6708812769105343 0.9999833596680606; -0.9999999999999999 -0.9994146073527794; 0.06682536535282028 0.06300855607642326; -0.9274012676246295 -0.22621366311946978; 0.9999955072877189 -0.6025563220119579; -0.46891487488120526 -0.9999999999999962; 0.9999999999999998 0.9999999999999493]
17,2716,300,-32.70579441997886,[-0.08611035919183452 0.06592392504585957; 0.6165022486921035 0.9612145947839871; 0.9999999999993232 -1.0; -0.9999963318490788 -0.5854679241755025; -0.9946583671165314 -0.9999999999999954; 0.34478918269666864 -0.9999942615446424; -0.6896740042056818 0.9394022103459279; 0.9999999999997611 0.9999999999967442; 0.9999999683949299 -0.2927844452711325; -1.0 0.9999999999992474]
18,10000,300,-37.38477578574053,[-0.9999999999999897 -0.7238934670559837; -0.7505309572029168 -0.9976903140502305; -1.0 0.7157842610935254; -0.9489188978870551 0.9999999999999886; 0.9999999999999813 -0.7605743692248752; 0.9999999999999993 0.7784254521369827; 0.7141302470146433 -0.9999999999999978; 0.5534270875711259 -0.07203013385711382; 0.7735953936721677 0.9999999999999972; -0.12795790600420995 0.6164886297627835]
19,2060,300,-32.40356702873838,[-0.9999999999972121 0.9999999999968001; -0.5959243212934894 -0.9861739353882264; 0.9991277571964504 -0.6634807560660365; 0.9999999998748014 0.9999999999810912; -0.19445714376623027 0.9991207784968078; 0.8976288199312726 0.6722757033651484; 0.10815573833112577 -0.06197154001974306; 0.9999999999925547 -0.9999999999271204; -0.9999999998700424 -0.9999999981564207; -0.9999973165630167 0.4183696715845454]
20,4806,300,-32.79578946647355,[-0.9999999967627067 -0.9999999998385836; 0.9999999999985834 -0.9999999999999766; -0.9999999999997874 0.9999999997932432; -0.9999396919170728 -0.5944596493557582; 0.5788736170479026 0.9996370497641871; 0.9983724163905524 -0.2943747822107033; 0.9999999999985826 0.9732317834767625; -0.8302003418508495 0.7728016143613764; 0.3510880731123094 -0.999999982478801; -0.07074372734471512 0.03835534315866645]
