"","criteria","design"
"1","EXACT-I","-1 1 -1 1 0 0 1 -1 0 0 -1 1 1 -1 1 -1 0 0 0 0"
"2","ROBUST-I","0.999999910772886 0.00302736015216699 0.999999985515299 -0.999999987087748 -0.999999983501846 0.00478778941299667 -0.000911520065550414 0.00247755123946616 0.999999999239425 -0.999999945378021 0.999999792007571 0.000561484802896727 -1 0.00209563129035283 0.999999940155132 0.00350035335212643 -0.999999985219083 0.999999963861458 -0.00128668130810169 -0.999999966350829"
"3","EXACT-G","-1 -1 1 1 0 -1 1 -0.564028 0.564028 0 -1 1 -1 1 -1 -0.43 -0.43 1 1 0.176604"
"4","ROBUST-G","0.761010961235787 -0.545718939154571 -0.999999999999997 1 0.771589335884874 -1 0.999999808752562 -0.780653115338335 -0.735498762284931 0.128436956444146 0.999460701487961 0.129300698697268 0.77172122676032 -0.735563278307943 -1 -0.780717737804198 0.761300676884896 -0.999999999999999 1 -0.545670037592547"
"5","CCD","-1 0 1 -1 1 -1 0 1 0 0 1 1 1 0 0 -1 -1 -1 0 0"
