nPsoRun,n_iter,S,fgbest,optDes
24,891,300,0.5133261208861155,[0.9999994116464933 0.9999979478423873; 0.14221849549240614 -0.9999974756474177; 0.006377500634615838 0.014425177662748354; -1.0 -0.14065019746990035; -0.0004587580196596208 -0.001918091930914315; -0.9999992714304106 0.9999999969791754; 0.9999949174790418 -0.999996060790886; 0.9999999825819316 0.14316034567794272; -0.9999888684394708 -0.9999996052274119; -0.14158763468791752 0.9999999821962159]
25,925,300,0.51290634672825,[0.012969885134519249 0.005271423726963174; -0.9999999846338385 0.10700543481858178; -0.9999975208471471 0.999999879263028; -0.025472737166689567 0.017172949169996222; 1.0 0.9999999946410613; -0.10557989315865175 -1.0; -1.0 -0.9999998318424275; 0.9999996730209444 -0.10237175681485511; 0.10383848547807525 0.9999999941066591; 1.0 -0.9999999783727193]
26,1925,300,0.5146709513786872,[-0.9999983733353114 -0.999999998602005; -0.006928409208810975 0.010895660432913951; -0.20174699920706343 0.9999999610523552; -0.9999998976521582 0.9999998376449636; -0.999991479479997 -0.20017340488407098; 1.0 -0.9999998956972236; 0.9999999997934362 0.20114640814954038; 0.199595244232867 -0.9999999997455459; 0.9999953230546167 0.9999998688683651; -0.0034150937290030802 -0.002284272620468253]
27,558,300,0.5125560294885441,[0.9999968871493107 0.9999966839976759; -0.999999938852587 -0.9999981860499886; -0.030704960274320948 -0.01011242582973974; 0.046059321525144276 -0.9999999963631101; 0.9999994910877013 0.04629588309130414; 0.9999927845113518 -0.9999993425871102; -0.04966576447653757 0.9999937109802208; -0.9999999964602931 0.9999582611842902; 0.011437428109427867 -0.00438441994686867; -0.9999970887422067 -0.049435113690110166]
28,899,300,0.5142124296015999,[-0.1844955485498524 -0.9999999649335575; -0.9999999839076251 0.18320846322522916; -0.011108371983311986 -0.0261629618439639; 1.0 -0.18454817186259717; 0.005340658309930792 0.016964457437257396; 0.183094959037194 0.9999999221542072; -0.9999989198932188 0.999999990214021; -0.9999999223510146 -0.9999998462844595; 0.9999996588304424 -0.9999998138791147; 1.0 1.0]
29,1601,300,0.5125385058058164,[1.0 -0.9999999999999997; 0.999999999999979 0.05694839199764719; 0.9999999999999285 0.99999999999999; 0.0025420574579784654 0.0027237894832566425; -0.9999999999975536 -0.05809271465562726; 0.0572803133862557 -0.9999999999940651; -0.00550593187488182 -0.008279855098734537; -1.0 -1.0; -0.05777236443295355 1.0; -1.0 0.9999999999999284]
30,1161,300,0.5125274359337088,[0.013300335247617564 -0.0049731429425926565; 0.9999902525298198 0.9999996037382302; -0.99999960108263 1.0; -0.9999790005417565 -0.9999998391551626; 0.9999996830929581 -1.0; -0.02373093044728064 0.003902062687486855; 0.04748809141537142 -1.0; -0.04954421821914451 0.999998372703444; -0.9999974808854204 -0.048715804865637445; 0.9999995851362847 0.04836266724177222]
31,1564,300,0.5124669217673694,[0.9999999995207807 -0.015535937480255108; 0.016566160514516495 0.9999999999027482; -0.016873479240604616 -0.9999999999996607; 1.0 0.9999999999994612; -0.999999991887558 0.9999999869687359; -0.01877721758076353 0.022722780341247358; 0.016949221509871205 -0.012017523264659834; -0.9999999991043853 -0.9999999995726296; 0.9999999999978779 -0.9999999953631669; -0.9999999995901429 0.017680034550128943]
32,1541,300,0.5131789277242921,[-0.9999999999459048 0.13172577489215445; -0.13304350274600762 -0.9999999999592811; 0.9999999998811737 0.9999999992166813; 0.13215019613855938 0.9999999999995589; -0.004153091880754595 0.00022156593890940393; -1.0 0.9999999999963177; 0.9999999998067837 -0.9999999999212371; 0.0011942411320328547 -0.010103055835046351; 0.9999999999134426 -0.13345377765833866; -0.9999999998568223 -0.9999999945604608]
33,860,300,0.5134647438814873,[-0.15062305913887553 0.999999990826401; 0.1477938793255073 -1.0; -0.018929766577484578 -0.004812399108000035; -0.9999999788708908 0.999999919459031; 0.9999999416243914 -0.99999997695433; 0.9999999949645318 0.1475958826865237; 0.00038067544587035325 -0.009395798146961195; -0.9999999997534698 -0.9999999975691993; -0.9999999994899823 -0.15088705960355636; 0.9999998687957992 1.0]
