nPsoRun,n_iter,S,fgbest,optDes
32,316,300,-25.71996871516299,[0.0003968776578649101; 1.0; -1.0; -0.7287497462535467; 0.7288261431098664]
33,631,300,-25.720323290687,[1.0; -0.7285708350590416; -1.0; 0.7290014555024993; 0.0022388823423074395]
34,46,300,-25.57958402745185,[1.0; -1.0; 0.7253010839400126; -0.7337929702756508; -0.052658076625077016]
35,238,300,-25.72026312802114,[-0.0034081830774229816; 0.7284586322007045; -1.0; 0.9999999846044334; -0.7291141432339727]
36,837,300,-25.709272993154638,[0.9999999413903751; 0.7251627273587484; -0.03852039310710845; -0.7325598586629051; -0.9999997312028057]
37,257,300,-25.71709744233749,[0.7308121122504726; 0.020845313275909588; -1.0; -0.7268040875287461; 1.0]
38,222,300,-25.71964429874035,[-0.7297315794286784; 1.0; -1.0; -0.009783595972938508; 0.7278499539787938]
39,525,300,-25.717797683227015,[0.018538784456854595; 0.9999999999999966; -1.0; -0.7270211609312244; 0.7305855660396072]
40,478,300,-25.719321005085614,[-0.7288377042573718; 0.7287449696396172; -0.00041516777950757755; -0.9999999992577789; 1.0]
41,194,300,-25.72035442541023,[-0.7288684938947099; -1.0; 1.0; 0.7287033697211834; -0.0008585452497196724]
42,284,300,-25.719997099336528,[-0.7281303568524181; 0.006840712850361993; 0.9999999999962537; -1.0; 0.7294463361218171]
43,531,300,-25.72036004772701,[-1.0; 1.0; 0.00028638195786624855; 0.7288134357425476; -0.7287583535372392]
44,531,300,-25.720194081237914,[1.0; -0.7283324475589689; 0.7292416050992682; -1.0; 0.004726980747276823]
45,244,300,-25.716180330823487,[-0.9999989033026792; 1.0; -0.7304126256657363; 0.7271991704814464; -0.01649013786665291]
46,684,300,-25.71405406665053,[-0.731621548814674; 1.0; -0.029065745167463814; 0.7260361496071416; -0.999999950536721]
47,371,300,-25.67988529407072,[-1.0; -0.7360827194893605; -0.07344607359966009; 0.7220378894253418; 0.9999983580384104]
48,737,300,-25.71930310779366,[-0.7277308737983303; 0.7298541753264337; -1.0; 0.011025341038598474; 0.9999997785090244]
49,163,300,-25.720174979479598,[-1.0; 0.002990438770152739; 1.0; 0.7290728537378075; -0.7284976824586955]
50,256,300,-25.720032526883315,[-0.006620087363893074; 1.0; -1.0; 0.7281514907552766; -0.7294247606572809]
51,518,300,-25.720359631166737,[1.0; 0.7287501861986759; -0.7288216087620558; -1.0; -0.00037133834132321327]
52,584,300,-25.720271141909702,[-0.729119743304733; 0.9999999999944892; -0.9999999999998539; 0.7284532584368141; -0.003465214904083263]
53,148,300,-25.720244875703045,[-0.0022953998726652895; 1.0; -1.0; -0.7290064540895254; 0.7285666627761916]
54,492,300,-25.7203447594525,[-0.728645553252683; 0.7289264445244054; 0.001460405743544218; -1.0; 1.0]
55,403,300,-25.71926748107607,[0.012108409770871978; 1.0; -1.0; -0.7276290710332454; 0.7299576165069557]
56,532,300,-25.72034670420158,[0.7289175614659483; -1.0; -0.7286544097861508; 0.9999999999999899; 0.0013681739412558524]
57,75,300,-25.705974955347642,[0.7264647363373656; 1.0; -0.023676260060385458; -0.7309997602693197; -1.0]
58,613,300,-25.720120561100316,[-0.9999999933648165; -0.0056725165171598564; 0.7282420231568637; 1.0; -0.729333026615367]
59,469,300,-25.69874437033979,[-0.9999998694286752; 0.7340632822088423; 0.053536400043036045; 0.999995077605896; -0.723798558827676]
60,727,300,-25.72030242231771,[-0.002794968547604059; -0.7290550750363296; -1.0; 1.0; 0.728517500120446]
61,32,300,-25.175113844909557,[-0.7232683428938078; 0.11444265318751917; 0.7402270853276924; 1.0; -1.0]
62,580,300,-25.712263679289656,[-0.7319983253318971; -0.03287304508356131; 0.7256830572640015; -0.9999995390087182; 0.9999997341632477]
63,486,300,-25.720302605201834,[-1.0; 0.7290546508186211; 0.9999999999913477; -0.7285179218370342; 0.0027905702837034583]
