"","criteria","design"
"1","EXACT-I","-1 1 0.083733 0.083733 -0.173967"
"2","ROBUST-I","-1 0.620128198758907 3.23510382464639e-05 1 -0.620120669509785"
"3","EXACT-G","-1 1 0 -0.728786 0.728786"
"4","ROBUST-G","-1 0.728793425568471 1 -0.728778355997208 7.83493132120765e-05"
"5","CCD","-1 1 0 0 0"
