nPsoRun,n_iter,S,fgbest,optDes
35,557,300,0.9452696935788509,[0.6187729093946002; -0.011780478986772942; 0.9999976027361352; -0.6215151341953288; -1.0]
36,440,300,0.945265897930246,[-1.0; -0.6214739709561747; -0.011440859089946454; 0.6188112361089375; 0.9999998842225583]
37,132,300,0.9453994049392344,[1.0; -0.015187239628423894; -0.6218783856193912; 0.6183426037680523; -1.0]
38,196,300,0.9452057293566715,[1.0; -0.9999997222569105; 0.6203255950217188; 0.001725022617794221; -0.6199243473825636]
39,395,300,0.9453171191403776,[-0.6216481926635089; -0.013027887557334307; 1.0; -1.0; 0.6186237454116614]
40,493,300,0.9452921495719688,[-0.6217563193667454; 0.6185471875447776; 0.9999999999999857; -0.013789244901532459; -1.0]
41,126,300,0.9455109402691019,[0.6190139651083828; 1.0; -0.6212138625948398; -0.009568897950268763; -0.9996571868407854]
42,415,300,0.9452280277283239,[-0.00615212249038818; 0.6194160968842579; -0.6208476052417609; -1.0; 0.9999999707777432]
43,511,300,0.9452065918034276,[1.0; -0.9999999998103001; -0.6198348613637421; 0.002496116170180345; 0.620415796620627]
44,445,300,0.9452037671253762,[-0.0003960970094563076; -0.6201705495670236; 0.6200783635297893; -1.0; 1.0]
45,450,300,0.9452055469384044,[1.0; -0.999999999754042; -0.6198927425944376; 0.6203572698707382; 0.0019959426827739395]
46,564,300,0.9452037483657908,[0.0003361914070748981; -0.6200853282993527; 0.6201635714423087; -1.0; 0.9999999971070833]
47,371,300,0.9452356353710513,[0.6210971581534747; 0.00827458688102881; -0.9999999897708922; 0.999999985018618; -0.6191714238373719]
48,466,300,0.9452556654760007,[1.0; -0.010570307605611735; -1.0; -0.6213705037493386; 0.6189104677125964]
49,694,300,0.9452522212554388,[-1.0; -0.010214165077489385; -0.6213279994271563; 1.0; 0.6189508453181174]
50,315,300,0.9452141970382911,[0.999999947232567; 0.6196017902971303; -0.6206535076231688; -1.0; -0.004519763313827092]
51,446,300,0.9452304213431865,[1.0; 0.007580622938171316; -1.0; -0.6192505577612155; 0.6210148209884296]
52,440,300,0.9452037467699221,[-0.6201635868732769; -0.0003363180657200519; 0.6200853135756617; -1.0; 1.0]
