"","criteria","design"
"1","EXACT-I","1 -1 -0.314097 1 -0.796856 0.147869 0.147869 -1 0.310497 1 0.796856 -1 -0.147869 -0.147869"
"2","ROBUST-I","0.704621832743685 -0.844274273884811 -0.99999999999786 0.999999999999922 -0.0840018561371286 0.0382775934492306 -0.0743889274101729 -0.51995914140438 -0.406691476404134 0.993512454432286 0.685454048743628 -0.999999999999789 0.998403997512997 0.0859437107372336"
"3","EXACT-G","1 0.937817 -1 -0.603132 -1 0.773037 -0.050674 1 -1 0.937817 -1 -0.603132 -0.050674 0.773037"
"4","ROBUST-G","0.283243458021579 1 -0.999999999962458 0.999999999999998 -0.103554693430951 -0.999999999999998 0.524248704978875 0.999999999999998 0.999999999291683 0.999995422876474 -0.999999999999989 -0.999999974846987 -0.356767553457952 -0.241014181267618"
