nPsoRun,n_iter,S,fgbest,optDes
1,1787,300,1.594130880574856,[0.9995261819390684 0.02046833747771509; -0.999999999999826 0.095198288947604; 0.0859145027293273 0.10730866153246327; 0.6981943309948011 -0.9999999999999877; -0.47217620676736055 -0.6990403206804311; -0.46866347289084026 0.8651573339460061; 0.9991427463494402 0.999999999999215]
2,966,300,1.6124785079849613,[0.2692448090558103 0.012855795850435735; 0.999999997659244 0.8692194997482434; 0.19948914457726646 0.9400727438188939; -0.7717284151060166 -0.4324694232854505; 0.8673810382827246 -0.6382708900463505; -0.18961399636327345 -0.9999988788286537; -0.9999997042036085 0.926422158954395]
3,1134,300,1.594613743383768,[0.8986699002144247 0.4461298002171008; 0.075286206962147 0.9999999999679368; -0.6741298941403627 0.49166379127586235; 0.012223963783954591 -0.9998699194478253; -1.0 -0.7112418947322394; 0.13201118822309144 -0.09089552414931085; 0.9999999937447119 -0.9985775187326311]
4,1069,300,1.595534954656078,[0.8757571198883376 -0.5034426798498927; -0.9999999332629703 0.7417705364824398; 1.0 0.9997331425839638; -0.7104717133213175 -0.48990662581311684; 0.19127677245931535 0.05197483350563387; 0.07277810640490606 0.9790485682115803; -0.000963114517690774 -0.9999999990035275]
5,2452,300,1.6270501359423506,[0.7336478364556213 0.8406330255369245; 0.048176688171497166 0.3174352712757936; -0.9276854330172664 -0.9999999999488777; 0.45830478601715546 -0.8151917135114923; -0.9850162929823713 0.9999999985470726; -0.9161724340551528 0.23538741006295053; 0.999999574968602 -0.22684901236575947]
6,1722,300,1.6028913322503162,[-0.9999999999779239 -0.20369954088814035; -0.6226268580771303 0.7226728810624264; -0.3777674334752717 -0.827730529808738; 0.7508469925666759 0.9999999999410967; 0.9631743618155582 0.20697730321664817; 0.0072813439504949 0.15217410845875615; 0.9999612131577889 -0.9999999996790039]
7,2175,300,1.595189207751596,[-0.9715398908464912 -0.02181925312345974; 0.44118714426182076 0.9042970530245115; 0.9999993756775417 0.11799642523187044; -0.6751857575117411 -0.9999999998722542; 0.5049444445196242 -0.6780488750562241; -0.9872104548645503 0.9999999998974195; -0.08563875196418791 0.08726913615524334]
8,1063,300,1.5912319631209002,[0.4707680958281434 -0.7635278973321598; 0.48953566993578423 0.7924245963912631; -0.822176144976814 -0.999999999524204; -0.04471777526875488 0.06196980849032763; 0.9999999999779368 -0.030948419513280867; -0.8323084451705332 1.0; -0.9748392437406714 0.03720696113939681]
9,1372,300,1.6038910050959627,[-0.9999999976051067 0.9999999999999616; 0.5654791127397261 -0.6398826876334734; 0.9999999997082569 0.1674714812987667; -0.6480610333349177 -0.9999999998611738; -0.09859417984379977 0.017725204531672038; -0.9984944441859263 -0.14968316505188112; 0.31332880929494145 0.891559126006609]
10,307,300,1.623411731877927,[-0.999944889174135 0.8537669216402166; 0.11306988744499864 0.8419572920710806; -0.8091146158849298 -0.48745087480268845; 0.8339165420870681 -0.6401283501352142; 0.13394466034098085 -0.042923893716997265; -0.11952754432861633 -1.0; 0.9999923136473997 0.7562616533602353]
11,129,300,1.6225417311270476,[-0.9986072645880594 -1.0; 0.6777038015414809 0.671664049828088; 0.28858015586461777 -0.8931979921934081; -0.8704523921669604 0.2561337540434174; 1.0 -0.472902469884629; -0.3694049582509096 1.0; 0.09623012524669805 0.0051480948617636775]
12,493,300,1.6066614965349286,[0.9999998115704394 -0.1458875481409983; 0.9190811432745803 -1.0; -0.9999907312639523 0.12319765461452895; 0.038840615433900626 -0.23276739837676308; -0.5393563218439786 -0.8544245651436481; -0.45437313291632664 0.7297121830001555; 0.8731298794752641 0.9999646711740613]
13,1604,300,1.5950281509564803,[0.034195232110243244 0.08899240047484848; 0.9803924402172628 0.9999999999469334; -0.5094972630475764 -0.7437259331340546; -0.46490619164928904 0.7977281536500687; -0.9999999999989967 0.02954938460868946; 0.7386572568318124 -0.999999999945703; 0.9942165012759436 0.009473741679881305]
14,1603,300,1.6044623955182395,[-0.5199173798488333 0.6805335583037246; 0.162518022469495 -0.03588351838535287; -0.9999994880281426 -0.14178623914207658; 0.620821010942189 0.9999993511479285; 0.991932548269827 0.0893070029310374; -0.3425488700821412 -0.8851328661659635; 0.9747422044698117 -0.9999994227189921]
15,785,300,1.71101704259438,[0.9999889724845306 0.8507061997783754; -0.9998236730140698 -0.9971130986257056; 0.8634916224477238 -0.446799337758227; -0.5062078343355662 -0.1565149316412596; 0.14963298308256945 -0.9999855132585181; -0.2880491111774437 0.7620699065289103; -0.9999986946658617 0.9999854718683281]
16,384,300,1.6060887593627677,[0.8542433611081393 0.3306859000052145; 0.9997238362219446 -0.9956293001102373; -0.07290128466713061 -0.004838357670965741; 0.29143944569353614 0.9999923100094188; -0.6974776692668828 0.6155107472895788; -0.21317676003468397 -0.9277141099934173; -1.0 -0.5580304554343729]
