nPsoRun,n_iter,S,fgbest,optDes
17,2372,300,1.6115826638575053,[-0.9999999648907252 -0.9999999986182568; -0.8863710557379902 0.12248205881720875; -0.04204139987619873 -0.04008802889440807; -0.5301938142670573 1.0; 0.3699995960907638 -0.9086699622341143; 0.6055480991277165 0.6867202515016119; 0.9999999997772394 -0.2098547376963392]
18,849,300,1.6183041472394735,[-0.5437425441868343 0.6971419277916345; 0.9998675265207029 -0.9999923628142836; 0.6849165579895277 0.9999783085032572; -0.9999969473183136 -0.034128829733035104; -0.5461317849344426 -0.9555108113081608; 0.8864874125058628 -0.04080078009456978; 0.013526244334478797 -0.18500828905763203]
19,1563,300,1.6025401153153982,[-0.9999959657752574 -0.1811345641780705; -0.00784096801796467 -0.1571306752175949; 0.4003783206388432 0.772144752252585; -0.9824418567843011 0.9999999998449581; 0.9999999999915573 0.16081760298057587; 0.5958744628047141 -0.761473414484725; -0.808664313824697 -0.9999999999996585]
20,687,300,1.5991112983254003,[0.005814468770747346 0.09416099295881064; -1.0 -0.057284798935875; 0.8886178441517817 -0.9999971047981094; -0.5320952953795823 0.7887450293045265; 0.9999952448926598 0.07453497389231449; 0.8656280590597878 0.9999811098686707; -0.46260567847874273 -0.7439614536434495]
21,3606,300,1.6187591855000405,[0.9999999999996133 0.9004564606196407; 0.16387808014129512 -0.9999999999120218; 0.7419641351984921 -0.4475508050177613; -0.21856577017041465 0.926460503262628; -0.9999999999765937 0.9744304604452017; -0.9301734472996201 -0.7114056504401247; -0.31408161875376334 -0.006334203753023124]
22,1481,300,1.593398899796311,[-1.0 0.022814919628032934; 0.8441857225933509 -0.999999999940364; -0.48887361303617877 -0.7517915653793628; 0.843168516410942 1.0; -0.4905758050450112 0.7917768230312089; 0.9802607024083052 -0.010148533852020638; 0.020507962229752277 -0.009425371637924175]
23,1783,300,1.5944761826021483,[-0.016534611966379373 0.9418105414007198; 0.060378692436591115 0.0309961552314349; -0.9999999999999313 0.6817172108150024; -0.74368507982583 -0.5251185881033146; 0.9999999999999986 0.9684138587248738; 0.08471423029933588 -0.999999999999981; 0.8304550543300433 -0.4738499800939047]
24,899,300,1.614542252074253,[0.9999779275387631 -0.20357207416623102; 0.6812851024238272 0.8122745050332252; -0.9569875683859776 0.23700987095585166; -0.9001888672834185 0.9999977197078387; -0.9649789344435896 -0.9999997149113103; 0.40782366221850014 -0.7878801194059878; 0.01761698836819781 0.26822485352005004]
25,803,300,1.6650729134365296,[0.9455181772812686 0.8472632352774845; -0.8427675407644903 0.446698732070375; -0.9999862522937721 -0.8548846634739383; 0.9999994049528358 -0.9962957514622036; -0.18202797062699358 0.9999953480722785; 0.422876685441386 0.04247843855149886; 0.2681484411193343 -0.830402712968003]
26,1974,300,1.6251195753098548,[-0.9401894836299876 -0.30810605052176676; -0.5926784983510143 -0.9999999998763849; 0.9999999990528937 0.3626610896548969; -0.9999999871706707 0.9999995176195072; 0.04914712072525716 -0.15425904108324043; 0.2978229663884676 0.8223900807851297; 0.6627032256453611 -0.7104078762327554]
27,751,300,1.6408939499341686,[-0.926391668730598 0.27077568454248324; 0.4225354642189494 -0.7481090011915075; 0.0230338080404345 0.3472398634662035; -0.9986456826691545 -0.9999992566790543; 0.8280207184510203 0.9476678709524508; 0.9999981921863561 -0.22005551240299684; -0.9993565707556068 0.9999985164092681]
28,3322,300,1.6308532926384394,[0.9999999909141323 0.9623807550003012; 0.20975646204014767 0.8568514223133697; -0.19499735753171657 -0.9999999999891418; -0.8287164245958681 -0.48446351459753334; 0.330121367614285 -0.024678981815897928; -0.999999999999678 0.8442412927647405; 0.8944431679674424 -0.732861501089947]
29,1434,300,1.5968707590243731,[0.13262274487720796 0.022609699738711946; 0.8475430628549895 -0.524746984711124; 0.05183027382486319 0.9320891854202912; 0.999999998819066 0.9375254644097026; -1.0 0.7262719399146049; -0.7446575934441463 -0.4969224132259699; 0.016875021227304877 -0.9999999999195067]
30,3219,300,1.5961276635820698,[0.9999999362366024 -1.0; -0.4949748754489722 -0.9027958548672281; 0.7196396620394038 0.9999999999999988; 0.06815359472438556 -0.1698807210752409; -0.9999999999999997 -0.04460465743458932; 0.9754294651248894 -0.05283889194404238; -0.48650949402233423 0.6900311464417768]
31,488,300,1.609615586907826,[-0.09814607525103212 0.044312398735606585; -0.9998997449637699 -0.16177482102009086; 0.2832275756317073 0.8857372196104037; 0.5667199156471644 -0.6359999987459245; -0.9999564002395374 0.9999985489184756; -0.5764335285658051 -0.9999904396804845; 0.999999987665985 0.21209453958827276]
32,611,300,1.6239023011034854,[-0.3199041011028495 0.017524649423979192; 0.7946963826115666 0.4147301928453531; 0.9999893798287111 -0.9820848291737854; -0.25805111456136 -0.9412953458148171; 0.23307613529448176 0.9999738142264384; -0.8561359061274341 0.7360193501715684; -0.9999970659246273 -0.9477850536879486]
33,294,300,1.6938214285266315,[-0.08201417648343506 -0.42076770706463845; 1.0 0.9991317729301152; 0.999924382907813 -0.9999739566644795; -0.9997323264821828 0.2440258325906293; 0.8240878231591043 -0.30265409604143684; -0.9999907388761388 -0.9187134297377784; -0.4214089803563595 0.8594018341748233]
34,505,300,1.644945135213704,[0.3174240717464216 0.04524678315878579; 0.9999039590164952 0.9993373627159895; 0.21081821993503136 0.9982845389937497; 0.9923930762246369 -0.7033602590413512; -0.6931261853002109 -0.4157449704667215; -0.1585124325758706 -0.9997865310479997; -0.9999087006140139 0.9933522335529436]
35,640,300,1.6665488344162622,[-0.9999618454009561 -0.99947788859943; 0.9991839747003894 -0.9050425739694673; -0.288936434270408 -0.840393508611158; 0.19860646611511718 0.9999895926271419; 0.8162724220665563 0.42966018672494244; -0.9681867130770597 0.8976373689031304; -0.42447515673562836 0.04637431627822673]
36,862,300,1.6057495498726724,[0.9015730761226537 -0.29662973885786303; -0.9999999997681667 0.551035615897839; -0.6378295985567738 -0.5816128897973754; -0.19392895902863713 0.961976424111289; -0.006811253096554221 0.06351054054107909; 0.9999999774907877 0.9999999996418465; 0.2744778179974217 -0.9999999999992263]
37,1291,300,1.6097189882501737,[-0.27696104254062387 -0.8913691194359916; 0.10614417849614473 -0.01793217103514433; -0.5694838428575713 0.6303394584391641; 0.9999999999360991 -0.9999999999958522; 0.9998088317528173 0.17904683732246765; -0.9999999997512224 -0.21523239717296402; 0.591620194815695 0.9999999999843928]
38,2011,300,1.6190857398804326,[-0.967036194997007 0.9999999998492528; 0.01923543884523794 -0.27216764892657275; -0.9010101151819053 -0.24579071040999495; -0.8270332774647003 -0.9999999999138863; 0.7252831418075982 -0.8591108461461733; 0.4058058937986993 0.7795973220634687; 0.9999999998130301 0.2109083241418097]
39,512,300,1.6739319109003217,[-0.1124783565991108 0.2286545673914643; 0.6708487436621599 0.9997865422862056; -0.7075905627743224 0.7961212918915382; -0.9998688259994368 -0.4907883506569642; 0.9828341883313062 0.3337354966607221; 0.9999922801588376 -0.9999152856426802; -0.2825197241670258 -0.8162427220280488]
40,1803,300,1.6296920858368666,[-0.9944217676120721 -0.2806940748689786; 0.9999999999723508 0.2025056769172472; -0.020846023111616117 -0.3318931709098277; 0.37305326024502716 0.7717892168179717; 0.7279141615592021 -0.8541205015273808; -0.9968291086705469 0.9999999982795985; -0.9984381300698818 -1.0]
41,513,300,1.6132745485378075,[-0.706332552177362 0.41345640657876825; 1.0 -0.9418941934625366; -0.0851991965461087 0.999998943689765; -0.9999586552512536 -0.8816795183810346; 0.2543692831896117 -0.06019620468269004; 0.9046972544194415 0.6018742716726898; 0.1776099567589085 -0.9939281770385897]
42,674,300,1.6035164173703802,[0.8021214146609598 0.5525469754052559; 0.9999966978320586 -0.9562380046640534; -0.08793568839217933 0.9999999658161632; 0.22353859165312537 -0.0459883716248484; -0.9996285526439304 -0.8149839629148692; 0.1617493144978008 -0.9990413886498503; -0.7685781393354544 0.4282641498425116]
43,196,300,1.6608508197816558,[-0.5781277218919844 0.9993349403437827; -0.9832511551479721 -0.9997108853308316; 0.9999823520390944 -0.3943103182949729; 0.6589455946631796 0.717851156593014; 0.251597082439758 -0.8093837032705832; -0.9909527044654085 0.3143908577230545; 0.05674911885150764 0.14296885353711594]
44,431,300,1.6012969941064812,[-0.6831490086618732 0.47224497666735954; 0.0876371951809169 -0.9977913419918147; -0.9999215514713731 -0.7696821704849911; 0.9998899572715301 -0.9942999103727382; 0.210084136993215 -0.07573522965913612; -0.003573962897608583 0.9999745536252924; 0.9120594043880841 0.5021010293244872]
45,2199,300,1.6214030966952606,[-0.16633597049756954 -0.9999999999337196; 0.20043798920074046 0.9110194725777198; -0.9999999999897674 0.8360008358420941; 0.999999998824932 0.9913502017381611; 0.9536653158577449 -0.6586268061758467; -0.7607665855950736 -0.4796722315677612; 0.3406872959384304 0.02653974869207289]
46,431,300,1.6256977920632,[0.7192972677318016 -0.454473358849022; 0.999961459986504 0.9990372461056184; -0.18117250003837412 0.010105099882511641; 0.1546932043478945 -0.9999998819577862; -0.8706793589280989 -0.5769806004094574; -0.9999815856193834 0.83559718832261; -0.11084152187815023 0.998775023596964]
47,1240,300,1.6957588878237269,[-0.9999997051150717 -0.9105363032195077; 0.9999921855180809 -0.9998537740997095; 0.31081457018352787 -0.7985625594756056; 0.49821411405521454 0.12188517873790321; -0.8490539187332221 0.4328354299572468; -0.1955283981961408 0.99982975844478; 0.9953942261090977 0.9810240997387164]
48,682,300,1.6586863522359656,[-0.8649978612819509 0.271096456325458; 0.458631883571423 -0.8008527040167281; -1.0 0.9996579831083848; 0.8639061799535411 0.9960390720854573; -0.9429682692523882 -0.9999998422683768; 0.013687059443599735 0.39008253271678767; 0.999995461751564 -0.2629581289723117]
49,1216,300,1.6362719949156392,[0.9999999999946778 -0.2258831204918996; -0.999912171075639 0.999999996731066; 0.01651944844348267 0.3443026954061053; -0.9973562273445508 -0.9999998651498834; 0.4297841186051737 -0.7578608797485398; -0.9341123875299792 0.255388546103553; 0.8000751789062288 0.9411853257330687]
50,1634,300,1.619079054915284,[-0.5916291931418816 0.999999998722201; 0.6471364461004248 0.7681320893605573; -0.8734479966635702 0.20608867523065913; -0.9989070516963642 -0.9999999559713044; 0.03504759222845625 0.14448076741179505; 0.4002206843796343 -0.8444174456925522; 0.9999999999999927 -0.31178899829515505]
51,1278,300,1.5981327433873433,[-0.07454579692706625 -0.9426295819929621; 0.05713825249256192 -0.05142747559714037; 0.9188650672721024 0.4169970233268995; 0.9999997388413598 -0.9999997000665923; -0.9999999996524143 -0.6605519347857505; 0.1370310298326515 0.9999997988830721; -0.663294598179894 0.5586054795718548]
52,1731,300,1.6047052874591112,[-0.9999999999992598 -0.18451687651823742; -0.5632139241108948 0.6574805042873062; 0.5815483181407907 0.9999999999743329; 0.9999997498959124 -0.999999999913811; 0.07927298583879025 -0.06479847140601956; 0.9282587404789149 0.09387985650021576; -0.37555438498235194 -0.9360525834024627]
53,3480,300,1.6082338017720026,[0.9999999993996208 -0.6789408536539159; -0.07486390761521561 -0.9308892229125226; -0.22850174079612445 -0.08790255613766901; -0.9999999999839957 -0.9967074739281313; -0.9394084162177272 0.49738665335755045; 0.7098509172168499 0.5066694013753481; -0.006800935700937972 0.9999999999297599]
54,1795,300,1.6102399655721726,[0.004327413087358264 0.19096344145416008; 0.36371910583409506 -0.8022780848999713; 0.9999999999602993 -0.2544636399540744; -0.9476420448261473 0.2438321998204243; 0.6395492696128009 0.7623320826151332; -0.7091051575130893 0.9999999841902985; -0.9999998830764979 -0.9999999510878649]
55,902,300,1.6292636361246464,[-0.6778470650595846 -0.8710442567143684; 0.04759153565009356 -0.30736992233327604; 0.9945423961943557 -0.9999960526813686; -0.9999999439024428 0.20440882730636498; -0.4051753310584947 0.8029115062624951; 0.9997485951026966 -0.19085537239341402; 0.9998648572197344 0.9999997583546437]
56,1813,300,1.5939336687296695,[-1.0 0.9590324222247865; 0.027590207866871844 0.05379473845493259; -0.7776302716334577 -0.42551604321164443; 0.7697622326963185 -0.5276554758798162; 0.0716962135003362 0.9823266618876657; 0.9999999999977106 0.7067923934491792; -0.09964648316037673 -1.0]
57,1188,300,1.5931163843641551,[0.06298422097872615 -0.1144661169433654; -0.4573880630991524 0.7305070209132394; 0.7784587159525018 1.0; -0.999999999999455 -0.0026419975086900277; -0.4971205926913695 -0.8351299308679673; 0.8915582914985755 -0.9999999999995625; 0.9816205121679672 -0.05932217296727608]
58,1871,300,1.5991062284400694,[0.3728476787997459 -0.8074592560991738; -0.9663023228017535 0.17857847665797938; -0.6666876245119507 0.9999999972894809; -0.9999985267383811 -0.9999999953234632; -0.024994621356385555 0.10275822971673712; 0.9999999232364712 -0.20884407459095988; 0.5900238330133277 0.7376151836498467]
59,943,300,1.6147096307430346,[-0.011406597470240714 -0.11800694978298942; -0.6521727085700333 0.5718477255474552; 0.2632450786849267 0.9999998775901818; 0.9999996808934551 -0.999994608534546; -0.9999999658119357 -0.5258392267933105; 0.8617411531098829 0.2507846866317842; -0.21300456662313128 -0.9999267505410299]
60,712,300,1.5939386491068641,[0.12613712659235501 0.9999999660809558; -0.7391294770207378 0.5480120911073887; 0.026369452446659905 -0.06534382851755396; 0.9999997221703942 -0.9989191447657217; -0.999999935803357 -0.6292288362526339; -0.06837612183186893 -0.9480271021172382; 0.8310404810977988 0.41706289936898094]
61,1543,300,1.614165277076692,[-0.5662969460143996 -0.6093269918136129; -0.999999999999977 0.35762306331991317; 0.9999999999827666 0.9999999981787558; 0.4620183935700563 -1.0; -0.27809102005373504 0.9393655431295164; 0.9616651683438712 -0.18597944945887857; 0.05544134567672179 0.055139788755313036]
62,525,300,1.6304074224132858,[0.9998150432653755 -0.9987679579210396; 0.8337286993316559 0.270573388776616; -0.10931575764429326 0.1447938615517449; 0.5531689609459762 0.999939558525277; -0.3535896610853307 -0.8691091337376785; -0.7392913188864032 0.7327581447950263; -0.9999986125389423 -0.3893527511838065]
63,2499,300,1.5991381078356204,[1.0 0.049646496067951885; -0.9179910091383666 0.9999999999999986; 0.4941422204935562 -0.6875146172490174; 0.47376779151117965 0.8563005232935372; -0.8068850376411709 -1.0; -0.03294259277935033 0.05998660823630811; -0.9999999898451903 -0.005988691935990812]
64,1291,300,1.5977670504073616,[0.5863324114669597 -0.7090089700180534; -0.9999999960501642 0.999999999885823; 0.3735780583680541 0.8541188636937883; -0.6276245546334168 -0.9999999999999462; -0.0369116184945411 -0.07789740592698716; -0.9414360437944408 -0.1701225889806431; 0.9999999999889109 0.2276524391117606]
65,256,300,1.7311017641945274,[0.4733969731632003 0.08917120153843736; -0.986925729448432 0.46883396899627794; -0.2502587097768202 0.9941089785729247; 1.0 -0.9901037845302142; 0.2782325929999524 -0.7873152247890253; -1.0 -0.9267140125407999; 0.8896579698500449 0.9222732357814108]
66,1498,300,1.6056893272034811,[-0.9999999964563954 -0.6420719698111188; 0.027705162919920562 -0.07106543587943222; -0.1369998137859935 -0.9989607504570324; 0.9094814040381145 0.33926909829599633; 0.9999999992478041 -1.0; -0.6284881882644083 0.5473370501929686; 0.20713695835679785 1.0]
67,946,300,1.6210023122625041,[0.8708129584418066 0.1446073565720309; 0.5022198966015223 0.9999927939318951; -0.6071063971447302 0.6665604760500404; 0.9999715664109441 -0.9999972155433094; -0.02681934773911928 -0.019315736365557487; -0.39197635319629937 -0.934223963276289; -1.0 -0.3172880373268815]
68,1435,300,1.602840893425532,[-0.38765932873816183 -0.9355965756558615; 0.9999999486433723 -1.0; 0.11066417423730177 -0.072295810889231; -0.5146320290698035 0.642733742224763; 0.6477170978847563 1.0; -0.9999999980629307 -0.16561959589400146; 0.9861835801328617 0.06531812575094385]
69,1523,300,1.599922652011023,[-0.7912876185110865 0.9999999999999606; -0.9976994398103141 -0.9999999999999906; -0.9999999999987361 -0.1450826706898401; -0.05055551632623109 -0.22730560447455034; 0.5537825993110976 -0.84216113702615; 0.43965067932320756 0.7351383296335492; 0.9999999999995918 0.04559145094087123]
70,930,300,1.5980993659153404,[-0.11700106330895017 -0.9868772096390697; -0.8413308300550767 0.5552010968672065; 0.02386615154541693 0.9999996788187775; -0.18317148293234706 -0.03494062554048164; 0.7278233218024185 0.44606647420779355; -0.9999999993918396 -0.9594088418543533; 1.0 -0.7991826101624452]
71,371,300,1.6482499237077992,[-0.31016266455238156 0.8966637223292896; -0.2318492911626729 -0.13895216465392027; -0.8352361858428473 -0.763957206468575; 0.7841115514594947 -0.3654288534474983; 0.9998673708376707 0.9997340626337909; 0.4090850970760636 -0.9996254732666666; -0.9999999628448794 0.6831831872716098]
72,728,300,1.5937516889031724,[-0.9999999828146834 -0.999962784364902; 0.9999991790402091 -0.6758023173590679; 0.6924126125093464 0.5557310721506921; -0.1568631652800403 0.9999999803989862; 0.13034571955998178 -0.9993794433362538; -0.8359438386863459 0.364306494318831; 0.017913996535447316 -0.06405684798021952]
73,2243,300,1.6298637890644512,[0.0286506593370912 -0.32031281764190805; -0.9315636366518211 0.999999273962117; 0.4663262895130993 0.7610313391509663; 0.7430534564739749 -0.9444391990586186; 0.9999997771786987 0.2164130650953259; -0.8936757880603405 -0.22253397375096973; -0.933239315606766 -0.9999999830882124]
74,2389,300,1.5957407556401089,[-0.08595668571366408 -0.038706056601517005; -0.7657499765946236 0.5875197886472914; 0.7910999067265536 0.39392270039394517; 0.1437424280060757 0.999999999835004; 1.0 -0.9788792377780472; -0.9999999999942458 -0.6893861871475152; -0.14187946092119325 -0.9537586775028205]
75,1361,300,1.6371727515325136,[-0.737566167470879 0.39808129346225607; 0.3546304578161692 -0.002224664748132277; 0.9999999995834191 -0.9999422681756489; -0.9999999009733382 -0.9954046399659896; -0.21031809340523436 0.9999989200592847; 0.9295863471320366 0.7837537678582025; 0.2936168917460945 -0.9586510932439185]
76,762,300,1.6031690857578036,[0.999998898922525 -0.9896534073894862; -0.9999999539645338 -0.7938723657167573; -0.047108186457197096 0.9999999087513259; 0.14192936915362672 -0.9992266352379614; 0.8021171737042901 0.5597672027188363; -0.7572448285466138 0.4377473063283932; 0.20217027990111636 -0.030808069185829047]
77,362,300,1.5958611221517813,[1.0 -0.9820178931448539; 0.03781202702411104 0.9999723507917041; 0.16809933489408158 -0.08177581509347669; 0.05012831656868939 -0.9652853480316593; -0.9999278700940722 -0.6962091542394724; -0.7082499559871023 0.4892183134224826; 0.8896255409808004 0.4789680764083199]
78,1234,300,1.6303306786616023,[-0.830637378080315 0.4148855911619954; 0.8468562986795565 0.751693652205102; -0.9999999513632093 -0.9401622185854338; -0.24195365844473782 0.9999999962672823; 0.9999999994137627 -0.853592042717353; 0.3104724727873254 0.026009691498678364; 0.2635337723863632 -0.8709732498049707]
79,1089,300,1.597714645990476,[0.007835379409030186 -0.9999999999897721; 0.07829399511011745 0.9929928837235151; 0.8320658934197384 -0.5327535107547857; -0.7223912212829579 -0.46754655590846667; 0.14794415813868197 0.02500966124942777; -0.999999977195817 0.7820804504563366; 0.9999999899023393 0.9788730302770707]
80,1300,300,1.5957950865239987,[0.787270974745879 0.9999999999931334; 0.9295326173770025 -1.0; -0.5568614114703726 0.7526440365465837; -0.4375013170569923 -0.7950112270769116; -1.0 -0.1315071875360923; 0.009050583669058032 0.10417644471453555; 0.9746559827451611 0.1191776670852244]
81,267,300,1.6202739080060928,[0.9857197680043318 -0.9962057725268345; -0.43261590194510935 -0.7750179921799989; 0.9262356537697373 0.2279005282162109; -0.04448340644047585 0.2615358635064203; 0.859890041086603 0.9988336210890163; -0.9999999747352614 -0.22594130390305997; -0.704432809117187 0.8414596502609775]
82,1472,300,1.59227823761301,[0.999999999403345 0.12133549476464002; 0.4278786016120691 0.8064255509801933; 0.544319650309746 -0.72707263765369; -0.991317854872766 -0.08186527502675729; -0.9999065955316512 0.9999999880998066; -0.7182548310988071 -0.9999999999996867; -0.02928739134994415 -0.011670723848709232]
83,636,300,1.6124041221504959,[0.9999970480329632 -0.15659611424082254; -0.8555839150798132 -0.9999982713847856; -0.9198032138537103 0.21068558609689797; 0.4492751578469652 -0.7892542384670302; 0.6802931124804149 0.8558459303188652; -0.9714420561924939 0.9999992355033289; 0.013959954508614428 0.29761166776387166]
84,2241,300,1.610512454836392,[-0.7786721665932405 0.5404614091455221; 0.8398895605891588 0.5294898877909847; 0.010532077187117022 -0.8705676853100304; 0.03260894296531633 0.9999999999999952; 0.0709455555150192 0.009836898830525442; 0.999999999998072 -0.8855290822002173; -0.9999999999995574 -0.7041154884905765]
85,3512,300,1.6282971358183387,[0.21382591359945805 0.9999999395529543; 0.9999999889914678 -0.969573513993262; -0.2371216151560237 -0.8809860273933893; 0.7729486550323457 0.42257477703655677; -0.8765275276990789 0.7686479142127414; -0.2651284426347022 0.05391092638492947; -0.9999999893676031 -0.8370035942781868]
86,1585,300,1.6142326015627209,[-0.16615944802133656 -0.9999999999999989; -0.7686051257837219 -0.39738948260301743; 0.2196823717113906 0.9999999975391168; -0.999999999999965 0.9457588494017257; 0.9999999999999583 0.9555850996503561; 0.27786824191275744 0.02587789848541068; 0.8323332391961019 -0.6454035689013614]
87,273,300,1.6182662140143067,[-0.460922313600065 0.7451863124046245; -0.00999916901650535 -0.31621726147140994; 0.9988698825515048 -0.9999522770086926; -0.6638498022920326 -0.9003021370945186; -0.9999999746570104 0.18280551621681695; 0.9587714023975883 -0.21283921872378705; 0.905087456726772 0.9993740018676764]
88,1894,300,1.6253333526270815,[0.7516615644621488 -0.7204676158191242; -0.8452113631879601 -0.35840965876231723; 0.19965155493615652 -0.07756845683455267; 0.9999996491905585 0.6596734740328805; 0.2777071304833234 0.8781821234292824; -0.9999997096898853 0.9998297961026906; -0.3400606949626829 -0.999996249441516]
89,782,300,1.6235999894916897,[0.31912841269361214 -0.042415177358950236; 0.9231425674523062 0.691508003767; 0.2171668480871751 -0.9802474588094086; -0.7448414384498735 0.40986179926648114; -0.16040843536538466 0.9999975587744441; 0.9998909368768962 -0.9995321360712816; -0.9999568729427838 -0.9461598138385797]
90,561,300,1.6077847618118197,[0.3438900400016505 0.9121051879868032; 0.5298165007571275 -0.6365774115540844; -0.99946291113704 0.9998888220858911; -0.9940525227942675 -0.10930112898314902; -0.07674906258277446 0.0667919533532103; 0.9999964866073902 0.2332684068059409; -0.5838810634408002 -0.9998266873270283]
91,700,300,1.598602882569699,[0.9999999910541038 -0.7496427366560464; -0.10105860745988103 -0.9928400224411411; -0.892497324042341 0.5123660688740953; -0.20603327048552844 -0.08551131231249752; -0.9999999995725746 -0.9886038959079378; -0.0063471276159983 0.999999999988058; 0.7016367861745911 0.45472618371318546]
92,2535,300,1.5964535255379753,[-0.4827839110396621 0.6781224788736507; 0.9999690995597726 -1.0; -0.9999999999982337 -0.08924424167676635; -0.43493565841499937 -0.9026335752477738; 0.999578591450588 -0.014390747778340766; 0.11913073762519943 -0.1340862832216998; 0.6826596564169366 0.9999999999999931]
