nPsoRun,n_iter,S,fgbest,optDes
22,7455,300,-10.159955544291806,[0.9999999999967537 -0.9999999999948969; 0.5411968902817688 -0.25517064147853513; -1.0 -0.3504908310218871; 0.2959288736647402 0.9999999999992433; -0.141318973454615 -0.9995013028098519; 0.9999999999994077 0.9837366461427206; -1.0 0.999999987142891]
23,2716,300,-9.659738153586797,[0.9996769972890177 0.2564052225017505; 0.1688845739163431 -0.8144899237845283; -0.9441106251983741 0.901038010330953; -0.9999998014236218 -0.4742394958866427; -0.9987406534349524 -0.9999999995826543; 0.9999999997775582 -0.9999998585295257; 0.16292616217014094 0.9999999937512865]
24,985,300,-10.176100829860514,[0.9999983200099039 -0.25636912029304254; -0.9999999997698457 0.10989882399938886; -0.9795056636696868 -0.999999999450016; -0.39560180409418544 1.0; -0.27688718905501264 -0.49437851901377217; 0.9999999996595794 -1.0; 0.9999999883053766 0.9999999999986303]
25,1747,300,-9.876106250410732,[-0.9999986362767685 -0.9999998389570652; 0.9514466085121132 0.9977565016187588; -0.9999995962137377 0.9719974574431972; 0.20417939539647878 -0.9998761880649383; -0.3755072579244032 0.999999869555855; -0.6658135393672441 -0.2043969873740387; 0.9999999445754051 -0.2668520426176944]
26,1521,300,-10.167331989908376,[0.4098201009071937 1.0; 0.9675434933823835 -0.9999999999999988; 0.28181615779192737 -0.48002097856712417; -0.9999999999999998 -0.24414030462448671; 0.9999999999999992 0.10142358812537215; -0.9999999999999992 0.9999999999999997; -0.9999999999999986 -0.9999999999999998]
27,797,300,-10.164134930331675,[0.29513950234357084 -0.9999999816787889; -0.12284383325619293 0.9999556945549947; -0.9989312753611997 -0.9869010061362035; 0.5441781527206845 0.24601821538116136; -1.0 0.34447989800227585; 0.9999991744599415 0.9999997384252776; 0.9999982464159225 -0.9964278089831365]
28,3034,300,-10.205524675085984,[-0.3588327395094384 -0.9999999986735718; 0.9999999994219324 0.9999999999115541; 0.9999999999856395 0.28248206069978665; 0.9999995894329424 -0.9998608879697496; -0.2452423116082676 0.5236726775244432; -0.9999999974640352 -0.10675613607032099; -0.9999999999903576 0.9999999999261403]
29,364,300,-10.190269445686019,[-0.9999999516597708 -0.9997713343591569; 0.3684433482554666 -0.9999261320854335; 0.2654621937328455 0.5211617880520937; 0.999181612566442 0.999922894704243; -0.9979610247787082 0.9998748231006572; -0.9999983055256328 0.2794191274365877; 1.0 -0.1243326404564882]
30,3469,300,-10.184605954567965,[-1.0 -0.9999999999999989; -0.1285080298937972 1.0; -0.9999999999999998 0.3831561509334862; 1.0 -0.9999999999999999; 0.9999999999999999 0.9942639138209827; 0.5103127524846226 0.2808408101575742; 0.2697859505739617 -0.9999999999999999]
31,2697,300,-10.11279113668049,[-0.999999999999979 -0.4933161930070046; 0.41727131859678834 -0.33583373201956584; 0.9999999999999992 0.9993776165157163; 1.0 -0.9077887213377785; 0.18412357520252842 0.9999999999999999; -0.9999999999999993 0.9999999999999976; -0.09146020188231181 -0.9999999999999997]
32,3734,300,-9.941303665664377,[-0.9999999999999991 0.8287195991582063; -0.13077117466717722 -0.9999999999999997; 0.0900733375151405 0.9999999999999999; -0.38772128268747835 0.3662440958638837; -1.0 -0.9999999999999992; 0.9999999999999998 -0.9860166610000329; 0.9993652408260455 0.5696272605482596]
33,4213,300,-10.17575920246399,[0.9999999999509458 -0.999999999974513; 0.3484146365769054 0.9999999999658543; -0.9922430758948584 0.99999705874846; -0.999999999998882 -0.29227078372598037; 0.24588144110881996 -0.5383193998671753; -0.9951006898512246 -0.9999999992376408; 0.9999210632635609 0.12071564036010111]
34,1474,300,-9.996262433373962,[0.261956373849076 -0.5895135589344781; -0.9999983153334846 0.999896797078257; 0.9999999999985216 0.2281349136989598; -0.9999999992527178 -0.34088773739614603; 0.999999999978203 -1.0; -0.939228108817687 -0.9999999995587493; 0.3173628883157341 0.9999999999365362]
35,1853,300,-10.168270379348415,[-0.9647672948460527 0.9999999999994974; 0.9999999999982101 -0.9999999999988413; -0.4110153416833499 -0.999999999999891; 0.9999999999999742 0.24193525486623355; -1.0 -0.09575560633985188; 0.9999999999988248 0.9999999999995952; -0.27858422360828766 0.4768185678584217]
36,1196,300,-10.173674979893669,[-0.9999999942405459 0.3924601401676504; -0.13587085742655097 0.9999999999987574; 0.505077548105213 0.29314948041584965; 0.26474725188213094 -0.9999994003250208; 0.999999999968649 0.9914985759008078; -0.9999999904677372 -1.0; 0.9999999951971362 -1.0]
37,3249,300,-10.11648923686779,[-0.999999999999999 0.9995033284058769; -0.09139420184960272 -0.9999999999999991; 0.9999999999999996 0.9982013425286952; 0.42033944329276446 -0.3323278514974299; 0.9999999999999999 -0.9103005835357022; -0.9999999999999976 -0.4874530838985808; 0.18760226626679993 0.9999999999999998]
38,3070,300,-9.364983553343594,[0.9108933702374352 -0.5534548084386444; -0.02883596249070767 0.9999999999999999; 1.0 0.7265167591220028; -0.07436341190610171 -0.9999999999999999; -0.9999999999999999 -0.63299985031046; -0.9999999999999999 0.999999999975292; -0.1493433210837088 -0.3464802568281075]
