"","criteria","design"
"1","EXACT-I","-1 -1 1 1 0 0 -1 1 0 0 0 0 -1 1 -1 1 1 -1 0 0 0 0 0 0"
"2","ROBUST-I","-0.999999999638111 0.0284419087625244 0.832142967059417 0.690484069310543 -0.592882967282649 0.9999999999869 -0.999999998730102 -0.2793009462579 0.0222653471641907 0.0238852544620256 0.999999999953556 -0.999999999999649 -0.849838143287851 -0.0332279902326829 0.999999998392272 -0.999999999609381 -0.999999996901501 -0.698523830397826 0.999999992891348 0.999999999651773 -0.0303103132720584 -0.0329486589542116 0.583291067586312 0.307959545168037"
"3","EXACT-G","1 -1 1 -0.681289 0.061178 -1 0.519483 -0.035116 1 0.8954 -1 -0.8954 -1 1 -0.681289 1 -1 0.061178 -0.035116 0.519483 0.8954 1 -0.8954 -1"
"4","ROBUST-G","-0.999999999999938 -0.128766114801442 -0.986573846182221 0.474984203805639 -0.30825455419353 -0.999998687283837 0.999999999999912 0.474984202316359 -0.999999869405331 0.963880617404993 0.999999999999986 0.999997281820691 0.96356174368616 -0.309898397993592 0.994872950349739 0.999999999999999 -0.137286292426233 -0.998309689146097 0.476608429269774 0.999999999999873 -0.999820098534921 -0.99999999999998 0.476608429269212 -0.984737964541678"
"5","CCD","-1 0 1 -1 1 -1 0 1 0 0 0 0 1 1 1 0 0 -1 -1 -1 0 0 0 0"
