nPsoRun,n_iter,S,fgbest,optDes
11,6049,300,-46.38901896073336,[0.8755307972482611 -1.0; 0.9999999999773057 0.7259644936636337; -0.6461321821405114 0.15864157841622623; 0.2744760636637199 0.9999999999627001; 1.0 -0.8276839168343019; -0.9999999999720071 -0.7891690315712483; 0.05668271894963311 -0.0326411648691724; -0.9999999999055685 0.9891308249030297; 0.9999998486402826 1.0; -0.9205057693595887 -0.9999999999999604; -0.17593063166958922 -0.9999999802111578; -0.856135503175502 1.0]
12,1137,300,-46.94374900601506,[0.026228440582129673 0.1154188395170267; 0.015042624808847462 0.9999981846977837; -0.9999852333579923 -0.8845664485469324; 0.984424253336859 0.9999951000852014; 0.9852736112926029 -0.9999999792948933; -0.9999982200254907 0.8452282372180733; -0.862166450097862 -0.9999958703290434; 0.9999825237408516 -0.7615909999841696; -0.632444618533737 -0.038172705804622786; 0.16692880817007263 -0.9999994500898356; 0.9999999218621813 0.8075039676268336; -0.8715133118593239 0.9999954175840837]
13,5341,300,-48.766517383399695,[0.9999999999999959 -0.438508841127646; -0.9451738299669907 0.999999999999815; -0.9999999999999916 -0.9018985955763767; 0.8005993660914263 0.9999999999999774; -0.9390893074785139 -0.9999999999999675; 0.6542660230500796 -0.9999999999999997; 0.7543406193714983 -0.998276750430034; 0.99984485857538 0.9992334565348894; -0.14782874586043107 0.01843373624661978; -0.9993935943430103 0.9999999999997684; -0.12859021999344106 0.5021583155437698; 0.9999999999999224 0.2727960574102266]
14,2796,300,-52.900486158016335,[-0.4721139921974874 -0.9999999499928047; -0.9658488884347105 0.9999999240269732; -1.0 0.9860722581019851; -0.4721278092937806 -0.9999999878596028; 1.0 0.9944514141701585; 1.0 -0.9653540399510581; 0.9999998386198637 0.9999999492125865; 0.24917721903220202 0.16439947872409705; -0.9999999607573665 -0.4764605154623833; 0.19339528532076244 0.28337025116132447; 0.9989340549821744 -0.9987252128894034; -0.9999999982675689 -0.4764295513311815]
15,3767,300,-47.19338928184622,[1.0 0.8114663988253422; -0.9999999999999997 0.7611657922733858; 0.9999999999999981 -0.913914663145363; 0.9083652583733417 -0.9999999999999981; 0.024733175202971126 0.9999999999999993; -0.7209566950935271 0.9999999999999999; -0.9999999999999998 0.20653611123361804; -0.058123526622734394 -0.5758579777717; -1.0 -0.9500316496180191; -0.9999999999999981 -0.9021606267879355; 0.9024871217506447 0.9999999999999999; 0.4561792135091197 0.01191019103855629]
16,4721,300,-46.05222350575319,[-0.999705723559769 -0.9999999999999994; 0.7379401297642938 -0.034599920518548787; -0.9899347929057362 0.9999999999999999; 0.9999999999999991 0.9998278780187377; -0.11370669314953213 0.9999999999999992; -0.9999999999999999 0.7772679027681783; 0.8476192623052756 -1.0; 0.9999999999999999 -0.848232042147518; -0.21184726671232484 -1.0; 0.9999999999999815 0.9999579584780347; -0.9999999999999999 -0.7014246697951821; 0.11326406054556881 0.19352962273126212]
17,10000,300,-52.99318636290662,[0.9999999809482534 -0.9830750037537014; 0.4754097858770552 0.999999993127949; -0.09517889234675675 -0.3066391179873219; -0.9990019837825612 -0.9999986078169701; -0.9999978551040055 0.9992788259609894; 0.47540987103609605 0.999999995328774; -0.9999999999922928 0.9602683435173961; -0.9999999343822986 -0.9845640219963314; 0.999999954435644 0.4805623778582167; 0.9603088572556725 -0.9999999995138085; -0.2968510292090814 -0.08196889656526893; 0.9999999999990999 0.48056266053622343]
18,4135,300,-49.44174388228232,[-0.9999999999999999 0.413258300460309; -0.6818005218522083 0.9999999999999994; -0.6818005218522065 0.9999999999999996; -0.8398391044928624 -0.9999999999999997; -0.9999999999999993 -0.20817318575135035; 0.9998694578872867 0.9999999999999998; 0.08485457187154806 -0.10950902144535335; -0.9950525964235216 -0.9931224508392107; 0.9999999999999999 0.9121517065978392; 0.9999623408144541 -0.9737384355845957; 0.15670710550558073 -0.4591646419291127; 0.9521405668031705 -0.9999999999999998]
19,4236,300,-53.022014662892445,[-0.477715577950244 -1.0; -1.0 -0.47723540168230494; -0.9614958111929577 1.0; 0.9979331366242044 0.999803511337848; -0.4777155779502442 -0.9999999999999998; 1.0 -0.961564999528996; 0.9996131031250404 0.999995197288603; -0.9997182138567421 0.9922063558438329; -1.0 -0.4772354016823049; 0.29456583145348786 0.0897331918137775; 0.09649835300707284 0.2965040080914636; 0.9899724910998138 -0.9999999999916771]
20,10000,300,-46.828496043524744,[-0.18823318764106217 -0.10626384368539354; 0.16212440475363551 0.022625673084499094; -0.999999999862989 0.8860318181350444; 0.8050378471536704 0.9999999995032287; 0.9999999999867839 0.9810163260509983; -0.8587644807847994 0.9999999999659378; -0.7621619798749033 -0.9999999999998569; 0.999999999251189 0.05273807881294819; -0.9999999999957073 -0.9917710235895452; 0.999999991775662 -0.8772995262821852; 0.8344261681745405 -0.9999999949727479; -0.9999999998746487 -0.22323823822719482]
21,10000,300,-47.39945171580879,[-0.9237163780171006 -0.9999999999999978; -1.0 0.7667931651294496; 0.888814574640253 -1.0; -0.9999999947410351 -0.730539680391465; 1.0 0.8782275772633997; -0.1363726667926417 0.9999999999992878; 1.0 -0.9661941797888015; -0.88086566668802 1.0; 0.15925430499084237 0.08507332829103409; -0.23997201897674136 -0.9999999999998586; 0.6468336752656256 -0.0008626524920321397; 0.8949285661668457 0.9999999898197098]
22,559,300,-43.901603492229185,[-0.9999986801166139 -1.0; -1.0 0.508170957361191; 0.15518022631467276 -0.13420052792247353; 0.9999450130747368 -0.9999983668651141; 0.9931270745885683 0.9391919835926338; 0.9964937797541646 0.01626036994893895; 0.9999622016409137 -0.991736847839718; 0.9996515629351949 0.9994326987590314; -0.9704460155029122 0.9979091485372309; -0.9998870895901604 -0.8089425037566104; -0.47514371563129015 0.9999988376032051; -0.03072665714722133 -0.8280113205895366]
23,6816,300,-45.914010745065504,[1.0 -0.9999999999999926; -1.0 0.8762171848908761; 1.0 -0.8552367283774361; 0.05376155937372429 -0.7141386130597204; -0.9999999999999997 -0.9984793996463237; 0.4695204842866284 1.0; -0.4272236126307485 -0.05307737760872896; -0.8780271186505504 -0.9999999999999997; 0.9999912646025271 0.9999997619390106; -0.7476816300239837 0.9999999999999999; -0.9999999999999998 0.2366279708779333; 0.9999999999999994 0.5637977723295295]
24,4816,300,-46.92121026675219,[-0.9999999999999999 0.19392453185858907; 0.956388751863349 -0.9999999999999962; 1.0 0.22585441957831892; -0.0855855477231904 -0.24588412874382665; -0.7400925564263496 1.0; -0.999999999658388 0.8497975047773266; 0.9999994164696003 0.9021651856453295; -0.999999999999999 -0.9999879039033688; -0.005124254417135836 -0.7024074226919069; -0.9999999999999992 -0.9999999425032018; 0.708486693339871 1.0; 0.9999999999999994 -0.8881575541753316]
25,4454,300,-53.03125492013998,[0.999999999462047 -0.4782226906711317; 0.9999999983540752 -0.4782226890707321; -0.9985145708888099 0.9999999992458973; -0.11041988497705915 0.30445303048430566; -0.9999999999625525 -0.9620071135842417; 0.9995012010460834 0.9864560574868921; 0.9620111340426308 0.9999999999820484; 0.4761153943322826 -0.9999999999756096; -0.991702069390643 -0.9982931510326065; 0.4761153924255083 -0.999999999273043; -0.9999929399941176 0.9942535266291512; -0.29609927324149304 0.09714364023869834]
26,6138,300,-45.254012181557144,[0.9999999999999999 0.9999999999998889; 0.8976823780950054 -0.9999844476785077; -0.8521730805915988 1.0; 0.38331886647621355 -0.004029843200219694; 0.9999999999999999 0.9999999918200189; -0.0269116184597194 0.7701996433200726; -0.4448016054183402 -1.0; -1.0 -0.5550344089608227; -0.9497224885696481 -0.9999999999999997; 0.9909821224604662 -0.019709910722261362; 0.9999999999999989 -0.9986109862953595; -0.9999999999999984 0.8213697127898917]
27,1250,300,-52.881309299188,[0.9897408767834326 -0.9991214280305337; 1.0 -0.9575209805717484; 1.0 1.0; 0.31000980707158265 0.07834314307827381; -0.4778767218219026 -1.0; 0.08622321250527348 0.3037756111810682; -0.957821351487912 0.999963781439229; -0.9999975184245309 -0.47968622097751373; -1.0 -0.4796511806420357; -0.47164704661049706 -0.9999998811490418; -0.9999999996134182 0.9999963654367593; 0.9999999999998956 1.0]
28,10000,300,-47.4260934362334,[0.9868363883676801 1.0; -1.0 0.999999999989005; -0.7965885689209455 0.999999999999976; 0.04738035552623907 0.4509394540517313; 0.9980723281054951 -1.0; -0.9999811488636067 -1.0; 1.0 -0.8698270044889821; -0.9999999999999984 -0.387368078213575; -0.7353098946590171 -1.0; -1.0 0.23521712761786362; 0.9999999999999993 0.8805537963024072; 0.05259960059753611 -0.5851669241585963]
29,3187,300,-42.388964410879254,[0.9999999984346135 0.8354802690929819; -0.9999999999955096 0.052726183286151765; -0.758389715826239 1.0; 0.828653921093236 -0.9999999998291643; 0.002010840476073387 -0.9999999939675338; 0.999999999513805 -0.9990165909386634; 0.033168825101904234 0.6539849629547457; -0.9999999999672311 0.8395822296601888; -0.9979561767358753 -0.9999999881253556; 0.777270581856089 -0.05626435383566272; 0.9996331724771235 0.9999999930172034; -0.9920669931752928 -0.9427276728864653]
30,3655,300,-53.06499199411091,[-0.9999999999999376 0.96356174368616; -0.12876611480144234 -0.3098983979935919; -0.9865738461822212 0.9948729503497385; 0.4749842038056391 0.9999999999999991; -0.30825455419352976 -0.1372862924262334; -0.9999986872838372 -0.9983096891460974; 0.9999999999999123 0.4766084292697745; 0.4749842023163591 0.9999999999998729; -0.9999998694053306 -0.9998200985349214; 0.9638806174049925 -0.9999999999999797; 0.9999999999999862 0.47660842926921243; 0.999997281820691 -0.9847379645416777]
31,6928,300,-46.574000662727045,[0.999999999999998 0.9943326878392426; -0.9999999999999986 0.8565680497695224; 1.0 0.16155848965544; 0.7431016224368344 1.0; 0.024849112510701883 -0.7223407306128803; -0.8626043433365641 -0.9999999999999921; 0.9999761348313077 -0.9999999999999977; -0.999999999999999 0.13409699954880802; -0.08446538363261312 -0.15414382268939536; 0.9999999999999997 -0.8707924982357244; -0.9999999999999994 -0.9870398806348114; -0.7548607174603181 0.9999999999999994]
32,752,300,-45.98360878582694,[-0.03713921340114835 0.33172411573604427; -0.8833141787086387 0.9999946669342212; -0.01770770059395851 0.999994851444031; 0.8448500062262426 -0.999999217163871; 0.9470779678318753 0.9999932001768242; -0.9999820882743965 -0.9999979957239263; 0.7253444890479479 -0.0689030896019701; -0.9999997819262684 0.8101458028658577; 0.9999999996807125 -0.9329301557543183; 0.9999991956181458 0.9678941448175253; -0.5944961837250886 -0.999992865816835; -1.0 -0.4319376594950444]
33,5557,300,-50.406720968867184,[0.999999999999995 0.9590978708967957; -0.9999999999999998 -0.8032917519443954; 0.9999755027840445 -0.8061846040266141; -0.2440350863953421 -0.9999999999999998; -0.9343775687421927 1.0; 0.26812891431363345 0.1795427447026175; 0.9340530320218791 0.9999999999999998; 0.99997044961075 -0.8061948803154755; -0.9999999999999996 0.9592280277085994; -0.9999999999999999 -0.8032917519443966; -0.24473319370983238 0.1692222054516592; 0.2413519771280123 -1.0]
