nPsoRun,n_iter,S,fgbest,optDes
13,2042,300,0.4008719838010933,[0.999999162313741 -0.29731705902523853; 0.14002044631807273 -0.9999992704366952; -0.09549864290992899 0.999998137083886; -1.0 0.3493634496422498; 0.7603899946192332 0.6224662966986639; 0.999999997288173 0.9999981352423846; -0.023406263995205987 -0.03036929036919484; -0.02459189123198789 -0.03005330411256338; -0.9999955781841566 -0.9999957019329451; -0.9999946206020234 0.9999999784300728; -0.9974507115044486 -0.45562742027591596; 0.9999934486233715 -0.9999975132941294]
14,852,300,0.39695604912947596,[0.032821634643703274 -0.04142308421559183; -0.16828638551355155 0.9999999848253215; -0.4606105413698045 -0.9999829177641038; 0.5458330780378825 -0.9999404940390884; -0.9999944431774637 0.2140557551973887; 0.9746626726974611 1.0; -0.9999995265148014 -1.0; 0.03883607310000161 -0.025087079953664475; 0.9999987548435794 0.43006253327905636; 0.9999999022765003 -0.9951975802436867; 0.018804881280315665 -0.04001488175817975; -1.0 0.9999768087075741]
15,879,300,0.39460825763705,[-0.12066788891315662 -1.0; 0.9999803551846368 0.7691697658958201; -0.9999998124056321 -0.37553695626592926; -0.9275506592982388 -0.99999862047489; 0.9312036129456666 -0.9999986489858271; 0.015493255913501503 0.030540796649187147; 0.018229416549457932 0.035630702457559754; -0.5876555396878685 0.9999998374486159; 0.012956816052337849 0.02886515725610742; 0.6325659616333008 0.9999973772883888; -0.999998630841056 0.8503614006315267; 0.9999876314606221 -0.5040233667294003]
16,1100,300,0.3935522057853581,[0.9999999997883373 -0.9405468375105297; 0.20107013558279568 0.999998264302099; 0.9999997962415951 0.9999999992915649; -0.8419836073117807 0.9999998487241506; -0.002562547782186168 -0.04123199091659901; 1.0 0.3378345688865769; 0.005786800772854862 -0.04656150867803976; -0.015413475429535943 -0.04040697409221001; -0.6417951846523194 -1.0; -1.0 0.530834210868201; -0.9999942334223371 -0.7439918312930947; 0.5828545297769498 -0.9999994632004578]
17,1985,300,0.39414568992865023,[-0.01745612339756911 -0.013062857438454803; -1.0 -0.7005785994382233; -0.013975441295166919 -0.020076415322200277; 1.0 0.4326647551814458; 0.6197062388338522 -0.9999997172728876; -0.6433361395655319 -1.0; 0.8840224044673386 1.0; -0.9785356126684872 1.0; 0.0487531354849286 0.9999886301429389; 0.9999998460727154 -0.7361179794344773; -0.01602600065640497 -0.01460441984868639; -0.999999625217591 0.4984236988333466]
18,1197,300,0.39995486343799935,[-0.3363761572821832 0.9985471581019236; -0.9999999994537484 -0.9999999851780413; 0.01639922442723843 0.00039862179359699887; 0.01485212389884546 0.002100537177327687; 0.3850804697409098 -0.9999999999999978; 0.3832915254805784 0.983779997095837; -0.5296826377898503 -0.861562428864212; -0.999999913518938 0.9999999544292202; -0.9999979475271503 0.08718041573189678; 0.9999997593081179 -0.999999619755732; 0.9999999990562041 0.011041872268531684; 0.9999989956398104 0.9999996708840718]
19,1420,300,0.4007755693255042,[0.049147831220361746 0.03929880355627453; 0.29572593073248116 -0.9999999999545609; 0.03914324984249961 0.0458835178953101; 0.9999999905645054 -0.14757545250257148; 0.9999997438283668 -0.9999999714437631; -0.5960958403383523 -0.7649579428668968; -0.9999998645009054 0.03972932406104664; -0.9999999999999855 0.9999999881727429; -0.38559455555285543 0.9995518696642595; 0.9999999577637179 0.9999995213480184; 0.46944601916263334 0.9888164106199806; -0.9999992302325519 -0.999999999997253]
20,832,300,0.3959540590510511,[-0.0639071649582487 0.012863905489106382; 0.9999647255570691 -0.9838387091429311; -0.05711444192739947 0.013136038435960746; 0.9999781620453738 0.9173642497517168; -0.9999997893139637 0.5554602204734492; 0.2918729647390366 -0.9999996196718551; 0.42169162611635985 0.9999848881510168; -0.9999698663989882 -0.9999878779634446; -0.04369546278324054 0.02853821370306036; 1.0 -0.11234079410444986; -0.9999768417344483 0.9999934360098299; -1.0 -0.5121495940672363]
21,2506,300,0.40001927782983354,[0.01930236381037524 0.006231189290893492; -0.9999999739349097 0.9999999833217644; 0.9999999996776314 0.9999991358897489; -0.5489544531454462 -0.8371654165927818; 0.4025826377237379 0.9999970676683051; 0.9999999974455243 -0.9999994597082336; 0.356282249624095 -0.9999999999747127; 1.0 -0.045624857133164616; -0.9999999981527177 0.08248367579479184; -0.34532770774602284 0.9956113386673968; -0.9999999926843471 -1.0; 0.01897484402790336 0.004132065077250589]
22,1775,300,0.3999577759198203,[-0.9999999996683623 1.0; 0.9974122056518248 0.38386548473016874; -0.011777094602432252 0.9999993707058973; -0.006628923422970562 0.021777992897957666; 0.9999997287172082 -0.9999998997461732; 0.08190832837514368 -1.0; -0.8910038267610628 -0.49820234487576964; -0.9999783102070592 -0.9999999999902867; -0.005273276076720541 0.02217175213340293; 0.9746206137166987 -0.3504774320789878; -0.9999999992529441 0.37411339473771; 0.9999999945390582 0.9999999999845126]
23,2291,300,0.39690568936752335,[-0.043398018874348306 0.012379874644619104; -0.049886504056299005 0.007448022601495861; 0.3845842882197389 0.9999999999163208; -0.999999999182289 -0.48881144423437595; 0.2868087473513646 -0.9999999999131589; -0.9999999599835935 0.9999999996464453; -0.9999999981779403 0.5253172947739484; -0.049442322667773625 0.023710570495226853; 0.9999999999261608 -0.07922347691022583; 0.9999999997935726 -0.9899980686922868; -0.9999999767354191 -0.9999999995423705; 0.9999999999502857 0.9653137672119813]
24,1105,300,0.40118281342511714,[-0.5944319716878681 -0.7807125660212654; 0.6057440486727479 0.8483310743877481; 1.0 -1.0; 0.251206201733452 -0.9999999937563814; 0.9999985591141717 -0.22881549756690026; 1.0 0.9999994623860082; -0.9999934913475377 0.054982518767320694; 0.016015496601216688 0.03858763443922541; -0.9999972466964521 0.9999966727213855; 0.018317777363234203 0.038452002461854914; -0.388741618159379 0.9999693188034021; -0.9999999999999999 -0.9999998952834752]
25,2526,300,0.3933061020097094,[-0.9999998993060761 -0.930661090198017; 0.9999998605501528 0.5455138453138924; 0.9999999142567921 -0.6860259808985868; 0.6517579107965752 -0.9999997029136051; -0.999999999757514 0.9999998573031644; 0.007687928187019852 -0.03685173188102594; 0.005149164479705833 -0.03459804521092899; 0.0009492742432066558 -0.03336924124762837; 0.8639215795789709 0.9999999998813264; -0.5790653035896096 -0.9999999999999833; -1.0 0.3187741880681078; -0.2287230145512034 0.9999999999965175]
26,1005,300,0.3935016314037903,[-0.03663721864117481 0.002404584355051319; -1.0 -0.6539724401672207; 0.9999885907551314 -0.887071427900704; -0.022464639623048 -0.015209421214936963; 0.29451660553056386 0.9999980004837127; 0.5492987130371373 -1.0; -0.9131799427331088 0.9999997676801563; -0.00858767511556015 -0.021676864289718344; 1.0 0.9999346384284913; 0.9999517800302304 0.24936563533001477; -0.6977648565149526 -0.9999977956844618; -1.0 0.56663298156039]
